time,R_loc
0.000000000000000000e+00,-6.399999008976919868e+00
1.010101010101010083e-01,-1.497269665548454087e+00
2.020202020202020166e-01,-1.541614637798884635e+00
3.030303030303030387e-01,-1.577026715924254585e+00
4.040404040404040331e-01,-1.603886751108891229e+00
5.050505050505050830e-01,-1.622112686178910579e+00
6.060606060606060774e-01,-1.630935813138249424e+00
7.070707070707070718e-01,-1.628407296032256868e+00
8.080808080808080662e-01,-1.610193480944865918e+00
9.090909090909090606e-01,-1.565999426214807588e+00
1.010101010101010166e+00,-1.463694875252349537e+00
1.111111111111111160e+00,-1.104259879730618010e+00
1.212121212121212155e+00,-1.284559980163634041e+00
1.313131313131313149e+00,-1.491554625143720614e+00
1.414141414141414144e+00,-1.724569456462709649e+00
1.515151515151515138e+00,-1.977446522083425862e+00
1.616161616161616132e+00,-2.232627402065645583e+00
1.717171717171717127e+00,-2.449847226859702687e+00
1.818181818181818121e+00,-2.546946107351288902e+00
1.919191919191919116e+00,-2.378602663721807176e+00
2.020202020202020332e+00,-1.755936688496717579e+00
2.121212121212121104e+00,-6.050309657723571544e-01
2.222222222222222321e+00,7.897543330415146556e-01
2.323232323232323093e+00,1.916020282877183067e+00
2.424242424242424310e+00,1.282998831869482048e+00
2.525252525252525082e+00,-2.445953197642545263e-01
2.626262626262626299e+00,-1.237296766699471195e+00
2.727272727272727071e+00,-1.809083375105980718e+00
2.828282828282828287e+00,-2.114071171007507743e+00
2.929292929292929060e+00,-2.233426213572788033e+00
3.030303030303030276e+00,-2.233812844593059843e+00
3.131313131313131048e+00,-2.165276918525799843e+00
3.232323232323232265e+00,-2.044247156317774206e+00
3.333333333333333481e+00,-1.881552447389428284e+00
3.434343434343434254e+00,-1.673646625024046264e+00
3.535353535353535470e+00,-1.422291018184173250e+00
3.636363636363636243e+00,-1.226947658297654176e+00
3.737373737373737459e+00,-1.043249510469288932e+00
3.838383838383838231e+00,-8.105038799661652416e-01
3.939393939393939448e+00,-8.293085393518947468e-01
4.040404040404040664e+00,-9.763104032278420163e-01
4.141414141414140992e+00,-1.101705767784345369e+00
4.242424242424242209e+00,-1.208631726345792634e+00
4.343434343434343425e+00,-1.299631319583618883e+00
4.444444444444444642e+00,-1.376789508644629789e+00
4.545454545454544970e+00,-1.441813250299742055e+00
4.646464646464646187e+00,-1.496077690271234495e+00
4.747474747474747403e+00,-1.540647165580797839e+00
4.848484848484848619e+00,-1.576269816267826585e+00
4.949494949494949836e+00,-1.603336045877132410e+00
5.050505050505050164e+00,-1.621777047185581466e+00
5.151515151515151381e+00,-1.630844980979421210e+00
5.252525252525252597e+00,-1.628629422738291144e+00
5.353535353535353813e+00,-1.610880660304508716e+00
5.454545454545454142e+00,-1.567538288286383086e+00
5.555555555555555358e+00,-1.467550954360167026e+00
5.656565656565656575e+00,-1.100206061033226490e+00
5.757575757575757791e+00,-1.279875153026299728e+00
5.858585858585858119e+00,-1.486215949142443815e+00
5.959595959595959336e+00,-1.718641788106545221e+00
6.060606060606060552e+00,-1.971181832760571240e+00
6.161616161616161769e+00,-2.226660216653186808e+00
6.262626262626262097e+00,-2.445555940866483979e+00
6.363636363636363313e+00,-2.547006034525623352e+00
6.464646464646464530e+00,-2.387320930719027512e+00
6.565656565656565746e+00,-1.777555254989238387e+00
6.666666666666666963e+00,-6.378026249365116307e-01
6.767676767676767291e+00,7.572070455097442698e-01
6.868686868686868507e+00,1.894738767660442136e+00
6.969696969696969724e+00,1.326886003932736147e+00
7.070707070707070940e+00,-2.141833471566594871e-01
7.171717171717171269e+00,-1.218984676986243354e+00
7.272727272727272485e+00,-1.798839219892389263e+00
7.373737373737373701e+00,-2.109061130097458658e+00
7.474747474747474918e+00,-2.232663830059863574e+00
7.575757575757575246e+00,-2.234533601303843042e+00
7.676767676767676463e+00,-2.167677389387684173e+00
7.777777777777777679e+00,-2.047653026507591179e+00
7.878787878787878896e+00,-1.886020566622319095e+00
7.979797979797979224e+00,-1.679215604868733447e+00
8.080808080808081328e+00,-1.428846146411528961e+00
8.181818181818181657e+00,-1.229679586494000221e+00
8.282828282828281985e+00,-1.048470935681542038e+00
8.383838383838384090e+00,-8.164235232345266047e-01
8.484848484848484418e+00,-8.254433237952266689e-01
8.585858585858586522e+00,-9.730145389084356999e-01
8.686868686868686851e+00,-1.098894020160137819e+00
8.787878787878787179e+00,-1.206235803827030439e+00
8.888888888888889284e+00,-1.297595337234965118e+00
8.989898989898989612e+00,-1.375067612397943950e+00
9.090909090909089940e+00,-1.440368116206260263e+00
9.191919191919192045e+00,-1.494879648983118869e+00
9.292929292929292373e+00,-1.539674096050698493e+00
9.393939393939394478e+00,-1.575507500429092822e+00
9.494949494949494806e+00,-1.602779862771358310e+00
9.595959595959595134e+00,-1.621435465722971925e+00
9.696969696969697239e+00,-1.630747076195913747e+00
9.797979797979797567e+00,-1.628842043181286670e+00
9.898989898989899672e+00,-1.611552728838751891e+00
1.000000000000000000e+01,-1.569046418811957722e+00
