time,R_spec
0.000000000000000000e+00,3.750000005489542015e-02
1.010101010101010083e-01,1.776920149117921024e-02
2.020202020202020166e-01,1.382552847465911422e-02
3.030303030303030387e-01,1.366785153894453826e-02
4.040404040404040331e-01,1.308000353498357110e-02
5.050505050505050830e-01,1.060598522486603558e-02
6.060606060606060774e-01,9.235995057844574932e-03
7.070707070707070718e-01,8.534405942233836209e-03
8.080808080808080662e-01,8.301910270667317571e-03
9.090909090909090606e-01,8.468349040179212403e-03
1.010101010101010166e+00,9.059020594983197353e-03
1.111111111111111160e+00,1.020260663984259332e-02
1.212121212121212155e+00,1.175948270543210154e-02
1.313131313131313149e+00,1.179839552534080703e-02
1.414141414141414144e+00,9.669042656480945214e-03
1.515151515151515138e+00,7.419229158209044231e-03
1.616161616161616132e+00,5.288896514088066783e-03
1.717171717171717127e+00,3.508048908834318289e-03
1.818181818181818121e+00,2.205263324692827154e-03
1.919191919191919116e+00,1.376119964033652686e-03
2.020202020202020332e+00,7.621983853224961964e-04
2.121212121212121104e+00,4.321955474899035290e-04
2.222222222222222321e+00,3.642242692615079618e-04
2.323232323232323093e+00,4.612780425298015907e-04
2.424242424242424310e+00,5.632051134472435688e-04
2.525252525252525082e+00,7.127995923313576454e-04
2.626262626262626299e+00,9.902989558517229923e-04
2.727272727272727071e+00,1.441381833832737491e-03
2.828282828282828287e+00,2.138906664643221850e-03
2.929292929292929060e+00,3.095518645387538344e-03
3.030303030303030276e+00,4.032210995296279035e-03
3.131313131313131048e+00,5.342064114725494396e-03
3.232323232323232265e+00,7.079205771799184331e-03
3.333333333333333481e+00,9.263327848022286093e-03
3.434343434343434254e+00,1.184151887391505890e-02
3.535353535353535470e+00,1.466296496710532693e-02
3.636363636363636243e+00,1.516042123302020414e-02
3.737373737373737459e+00,1.491293095696417589e-02
3.838383838383838231e+00,1.459574132993210135e-02
3.939393939393939448e+00,1.267317834918008437e-02
4.040404040404040664e+00,1.128943906367561520e-02
4.141414141414140992e+00,1.017955263958950432e-02
4.242424242424242209e+00,9.804131595777833968e-03
4.343434343434343425e+00,1.001718744717060121e-02
4.444444444444444642e+00,1.009693417858606966e-02
4.545454545454544970e+00,9.723726098000538484e-03
4.646464646464646187e+00,9.688327577154154380e-03
4.747474747474747403e+00,9.964126631317141158e-03
4.848484848484848619e+00,9.641192813871275746e-03
4.949494949494949836e+00,8.932683105208932134e-03
5.050505050505050164e+00,8.432201691435860236e-03
5.151515151515151381e+00,8.118018978337155495e-03
5.252525252525252597e+00,7.988344042852618676e-03
5.353535353535353813e+00,8.062459744260362660e-03
5.454545454545454142e+00,8.387087770285826110e-03
5.555555555555555358e+00,9.051337893402854745e-03
5.656565656565656575e+00,1.021820140232854342e-02
5.757575757575757791e+00,1.183434793817904687e-02
5.858585858585858119e+00,1.185913122350719731e-02
5.959595959595959336e+00,9.733645848512717524e-03
6.060606060606060552e+00,7.479801796144572475e-03
6.161616161616161769e+00,5.340129395981614568e-03
6.262626262626262097e+00,3.546884404503769170e-03
6.363636363636363313e+00,2.231322645275533954e-03
6.464646464646464530e+00,1.391346699930828476e-03
6.565656565656565746e+00,7.754439545572004364e-04
6.666666666666666963e+00,4.364493444460873701e-04
6.767676767676767291e+00,3.636371723283906947e-04
6.868686868686868507e+00,4.607431902145034397e-04
6.969696969696969724e+00,5.609899706422068200e-04
7.070707070707070940e+00,7.077863250076824042e-04
7.171717171717171269e+00,9.817665296040171269e-04
7.272727272727272485e+00,1.427869841268740447e-03
7.373737373737373701e+00,2.118422053497642094e-03
7.474747474747474918e+00,3.077070722635521192e-03
7.575757575757575246e+00,4.005462211943549948e-03
7.676767676767676463e+00,5.305589920437220677e-03
7.777777777777777679e+00,7.031951714251687136e-03
7.878787878787878896e+00,9.205527602976895651e-03
7.979797979797979224e+00,1.177555831810003784e-02
8.080808080808081328e+00,1.459365175640246759e-02
8.181818181818181657e+00,1.516552044748195952e-02
8.282828282828281985e+00,1.491979375790419490e-02
8.383838383838384090e+00,1.460415726485699006e-02
8.484848484848484418e+00,1.271632680391913787e-02
8.585858585858586522e+00,1.132781931265026618e-02
8.686868686868686851e+00,1.019695455041257776e-02
8.787878787878787179e+00,9.806012169181170177e-03
8.888888888888889284e+00,1.000555148819020843e-02
8.989898989898989612e+00,1.011064177695048319e-02
9.090909090909089940e+00,9.728604453673461716e-03
9.191919191919192045e+00,9.685472812754978428e-03
9.292929292929292373e+00,9.953779616559927518e-03
9.393939393939394478e+00,9.661317046000133385e-03
9.494949494949494806e+00,8.947306922360533793e-03
9.595959595959595134e+00,8.442117543319575812e-03
9.696969696969697239e+00,8.123514834356528394e-03
9.797979797979797567e+00,7.989228749630301538e-03
9.898989898989899672e+00,8.057980680955782390e-03
1.000000000000000000e+01,8.375696275247129091e-03
