time,connectedness
0.000000000000000000e+00,7.999606620039270410e+01
1.010101010101010083e-01,1.505788295218251278e+02
2.020202020202020166e-01,1.995382958335716239e+02
3.030303030303030387e-01,2.162586567305949075e+02
4.040404040404040331e-01,2.259799001108376331e+02
5.050505050505050830e-01,2.326063113967842355e+02
6.060606060606060774e-01,2.366044142318168895e+02
7.070707070707070718e-01,2.384680073896687134e+02
8.080808080808080662e-01,2.387958877999533627e+02
9.090909090909090606e-01,2.381720813204940157e+02
1.010101010101010166e+00,2.371351607923702716e+02
1.111111111111111160e+00,2.361980215175198055e+02
1.212121212121212155e+00,2.358685182301886982e+02
1.313131313131313149e+00,2.366416650954947158e+02
1.414141414141414144e+00,2.389492240037249644e+02
1.515151515151515138e+00,2.430638051263389627e+02
1.616161616161616132e+00,2.489636907516850783e+02
1.717171717171717127e+00,2.561606180389049428e+02
1.818181818181818121e+00,2.634709298847942591e+02
1.919191919191919116e+00,2.687204177589327969e+02
2.020202020202020332e+00,2.686734472584871583e+02
2.121212121212121104e+00,2.603248951538747633e+02
2.222222222222222321e+00,2.442171375074352682e+02
2.323232323232323093e+00,2.255153819524534242e+02
2.424242424242424310e+00,2.093352759938499617e+02
2.525252525252525082e+00,1.972956031478218506e+02
2.626262626262626299e+00,1.887606883838040517e+02
2.727272727272727071e+00,1.826924121078610028e+02
2.828282828282828287e+00,1.783217358026143700e+02
2.929292929292929060e+00,1.751894865788120796e+02
3.030303030303030276e+00,1.730545115318094247e+02
3.131313131313131048e+00,1.718179769004433410e+02
3.232323232323232265e+00,1.714797019725680229e+02
3.333333333333333481e+00,1.721145181499818193e+02
3.434343434343434254e+00,1.738538683381522674e+02
3.535353535353535470e+00,1.768577590278114542e+02
3.636363636363636243e+00,1.812642436329153099e+02
3.737373737373737459e+00,1.871135861953260644e+02
3.838383838383838231e+00,1.942665634987578755e+02
3.939393939393939448e+00,2.023603574712334705e+02
4.040404040404040664e+00,2.108460743375465540e+02
4.141414141414140992e+00,2.191106170078440414e+02
4.242424242424242209e+00,2.266259487623014479e+02
4.343434343434343425e+00,2.330493266831047947e+02
4.444444444444444642e+00,2.382396759672383837e+02
4.545454545454544970e+00,2.422100336045179461e+02
4.646464646464646187e+00,2.450595368214184759e+02
4.747474747474747403e+00,2.469159152123063450e+02
4.848484848484848619e+00,2.479008279685735943e+02
4.949494949494949836e+00,2.481172150603433977e+02
5.050505050505050164e+00,2.476521522050389308e+02
5.151515151515151381e+00,2.465897685785472220e+02
5.252525252525252597e+00,2.450294693366177228e+02
5.353535353535353813e+00,2.431056546457554361e+02
5.454545454545454142e+00,2.410071680111844330e+02
5.555555555555555358e+00,2.389918304463342906e+02
5.656565656565656575e+00,2.373924346332544815e+02
5.757575757575757791e+00,2.366062838783518032e+02
5.858585858585858119e+00,2.370600959110360861e+02
5.959595959595959336e+00,2.391419157868754155e+02
6.060606060606060552e+00,2.430967098850672983e+02
6.161616161616161769e+00,2.488877062327881333e+02
6.262626262626262097e+00,2.560235590597033024e+02
6.363636363636363313e+00,2.633296742593549880e+02
6.464646464646464530e+00,2.686519404458833833e+02
6.565656565656565746e+00,2.687695024743650833e+02
6.666666666666666963e+00,2.606345242651698300e+02
6.767676767676767291e+00,2.446652850745640251e+02
6.868686868686868507e+00,2.259536445564328915e+02
6.969696969696969724e+00,2.096790425631998573e+02
7.070707070707070940e+00,1.975419260835704449e+02
7.171717171717171269e+00,1.889347848618476178e+02
7.272727272727272485e+00,1.828171568351460792e+02
7.373737373737373701e+00,1.784118021554854749e+02
7.474747474747474918e+00,1.752530635830846677e+02
7.575757575757575246e+00,1.730955317142640411e+02
7.676767676767676463e+00,1.718375510111778794e+02
7.777777777777777679e+00,1.714768693711041578e+02
7.878787878787878896e+00,1.720867200800428520e+02
7.979797979797979224e+00,1.737974246715496065e+02
8.080808080808081328e+00,1.767687960666825404e+02
8.181818181818181657e+00,1.811402149892140301e+02
8.282828282828281985e+00,1.869553426137908616e+02
8.383838383838384090e+00,1.940801004978227979e+02
8.484848484848484418e+00,2.021570284953243117e+02
8.585858585858586522e+00,2.106405416964299206e+02
8.686868686868686851e+00,2.189173260992910457e+02
8.787878787878787179e+00,2.264557106745607484e+02
8.888888888888889284e+00,2.329080180554823869e+02
8.989898989898989612e+00,2.381285955067874056e+02
9.090909090909089940e+00,2.421275578442854908e+02
9.191919191919192045e+00,2.450027831546533150e+02
9.292929292929292373e+00,2.468817224141977249e+02
9.393939393939394478e+00,2.478864668772599487e+02
9.494949494949494806e+00,2.481203870732508392e+02
9.595959595959595134e+00,2.476708538624286291e+02
9.696969696969697239e+00,2.466218757086058417e+02
9.797979797979797567e+00,2.450722221431655043e+02
9.898989898989899672e+00,2.431552325036483921e+02
1.000000000000000000e+01,2.410582232619338470e+02
