time,potential_global
0.000000000000000000e+00,3.830648791423278681e+02
1.010101010101010083e-01,6.068536494757877335e+02
2.020202020202020166e-01,7.221893137603249215e+02
3.030303030303030387e-01,7.612897987158194155e+02
4.040404040404040331e-01,7.838116140787568611e+02
5.050505050505050830e-01,7.975429148138982782e+02
6.060606060606060774e-01,8.034585852998139899e+02
7.070707070707070718e-01,8.028184814927973321e+02
8.080808080808080662e-01,7.971471519156666545e+02
9.090909090909090606e-01,7.879091852878938198e+02
1.010101010101010166e+00,7.764459366642042824e+02
1.111111111111111160e+00,7.640455022749717955e+02
1.212121212121212155e+00,7.520120365081081673e+02
1.313131313131313149e+00,7.416582668833137859e+02
1.414141414141414144e+00,7.341893072919622227e+02
1.515151515151515138e+00,7.304836892583157351e+02
1.616161616161616132e+00,7.308193312069251988e+02
1.717171717171717127e+00,7.346145544031849113e+02
1.818181818181818121e+00,7.402198418104593429e+02
1.919191919191919116e+00,7.447341350549221488e+02
2.020202020202020332e+00,7.440634382188959535e+02
2.121212121212121104e+00,7.343834006322748564e+02
2.222222222222222321e+00,7.158157131095841805e+02
2.323232323232323093e+00,6.938325836305778012e+02
2.424242424242424310e+00,6.743023178256057690e+02
2.525252525252525082e+00,6.594285621725646251e+02
2.626262626262626299e+00,6.487787080172497554e+02
2.727272727272727071e+00,6.412838290669270691e+02
2.828282828282828287e+00,6.360839377604197580e+02
2.929292929292929060e+00,6.326582536715327478e+02
3.030303030303030276e+00,6.307673133242449239e+02
3.131313131313131048e+00,6.303930747103103158e+02
3.232323232323232265e+00,6.317096131054123589e+02
3.333333333333333481e+00,6.350721207195423403e+02
3.434343434343434254e+00,6.409959463627175182e+02
3.535353535353535470e+00,6.500870976436310684e+02
3.636363636363636243e+00,6.628882017454066045e+02
3.737373737373737459e+00,6.796374731509696403e+02
3.838383838383838231e+00,7.000106065284992383e+02
3.939393939393939448e+00,7.229874276041480243e+02
4.040404040404040664e+00,7.469763495431570846e+02
4.141414141414140992e+00,7.701906683657937265e+02
4.242424242424242209e+00,7.910925048211593094e+02
4.343434343434343425e+00,8.086789214490602262e+02
4.444444444444444642e+00,8.225201278839971337e+02
4.545454545454544970e+00,8.326171708579142887e+02
4.646464646464646187e+00,8.392052786227627621e+02
4.747474747474747403e+00,8.425898559086649584e+02
4.848484848484848619e+00,8.430486305717379309e+02
4.949494949494949836e+00,8.407956810568492756e+02
5.050505050505050164e+00,8.359902331589288451e+02
5.151515151515151381e+00,8.287735576362402981e+02
5.252525252525252597e+00,8.193212265708452833e+02
5.353535353535353813e+00,8.079007427509063746e+02
5.454545454545454142e+00,7.949281673879456775e+02
5.555555555555555358e+00,7.810131522837726834e+02
5.656565656565656575e+00,7.669812077069982479e+02
5.757575757575757791e+00,7.538539821760730320e+02
5.858585858585858119e+00,7.427669156476463286e+02
5.959595959595959336e+00,7.348066724455711665e+02
6.060606060606060552e+00,7.307710927295113379e+02
6.161616161616161769e+00,7.308874847696509960e+02
6.262626262626262097e+00,7.345504924063692442e+02
6.363636363636363313e+00,7.401097329280972872e+02
6.464646464646464530e+00,7.446802140684917504e+02
6.565656565656565746e+00,7.441807247081439982e+02
6.666666666666666963e+00,7.347386071096984779e+02
6.767676767676767291e+00,7.163360389721793808e+02
6.868686868686868507e+00,6.943544432484294475e+02
6.969696969696969724e+00,6.747228470358310233e+02
7.070707070707070940e+00,6.597353389515784556e+02
7.171717171717171269e+00,6.489956412262596359e+02
7.272727272727272485e+00,6.414357883647719518e+02
7.373737373737373701e+00,6.361876683361148253e+02
7.474747474747474918e+00,6.327227717042871973e+02
7.575757575757575246e+00,6.307956308224084978e+02
7.676767676767676463e+00,6.303833008114338554e+02
7.777777777777777679e+00,6.316553405799388656e+02
7.878787878787878896e+00,6.349627059326120389e+02
7.979797979797979224e+00,6.408173835235979823e+02
8.080808080808081328e+00,6.498246338159326569e+02
8.181818181818181657e+00,6.625311593566909778e+02
8.282828282828281985e+00,6.791858155665609047e+02
8.383838383838384090e+00,6.994803484483539933e+02
8.484848484848484418e+00,7.224111902876387603e+02
8.585858585858586522e+00,7.463968575028447958e+02
8.686868686868686851e+00,7.696499952044996462e+02
8.787878787878787179e+00,7.906221463259078064e+02
8.888888888888889284e+00,8.082962284006605387e+02
8.989898989898989612e+00,8.222295865610208239e+02
9.090909090909089940e+00,8.324151942564922138e+02
9.191919191919192045e+00,8.390848124481698278e+02
9.292929292929292373e+00,8.425435195135919457e+02
9.393939393939394478e+00,8.430704094558374209e+02
9.494949494949494806e+00,8.408810995657714784e+02
9.595959595959595134e+00,8.361358465936333459e+02
9.696969696969697239e+00,8.289757800376885370e+02
9.797979797979797567e+00,8.195749316565019171e+02
9.898989898989899672e+00,8.081979244626131731e+02
1.000000000000000000e+01,7.952566040038670963e+02
