time,R_energy
0.000000000000000000e+00,-9.648765276121677744e+03
1.010101010101010083e-01,-4.393647773794615205e+03
2.020202020202020166e-01,-5.181885995002762684e+02
3.030303030303030387e-01,-2.313782097846006991e+02
4.040404040404040331e-01,-2.397257368652074092e+02
5.050505050505050830e-01,-2.807258674400341647e+02
6.060606060606060774e-01,-3.330970944140195797e+02
7.070707070707070718e-01,-3.851162912983864430e+02
8.080808080808080662e-01,-4.269191114990508140e+02
9.090909090909090606e-01,-4.484766117994749379e+02
1.010101010101010166e+00,-4.485648214573994892e+02
1.111111111111111160e+00,-4.683640345044627793e+02
1.212121212121212155e+00,-5.893154417589232708e+02
1.313131313131313149e+00,-7.993825580621803510e+02
1.414141414141414144e+00,-9.630752659693202986e+02
1.515151515151515138e+00,-1.014274496853777350e+03
1.616161616161616132e+00,-9.994333718534284117e+02
1.717171717171717127e+00,-9.675410808514463952e+02
1.818181818181818121e+00,-9.413408084180340438e+02
1.919191919191919116e+00,-9.244240707280879406e+02
2.020202020202020332e+00,-8.769636943563128852e+02
2.121212121212121104e+00,-7.197469000725504884e+02
2.222222222222222321e+00,-4.674958779729710727e+02
2.323232323232323093e+00,-2.580527028175885675e+02
2.424242424242424310e+00,-1.592669638002207080e+02
2.525252525252525082e+00,-1.268382466812938958e+02
2.626262626262626299e+00,-1.170206290344216455e+02
2.727272727272727071e+00,-1.169995688439615407e+02
2.828282828282828287e+00,-1.270505959987095252e+02
2.929292929292929060e+00,-1.489784979996238690e+02
3.030303030303030276e+00,-1.818422049975262951e+02
3.131313131313131048e+00,-2.208015659706746874e+02
3.232323232323232265e+00,-2.584914172896899345e+02
3.333333333333333481e+00,-2.880006526279370291e+02
3.434343434343434254e+00,-3.051505604071623452e+02
3.535353535353535470e+00,-3.086131715435408864e+02
3.636363636363636243e+00,-2.985645132999708267e+02
3.737373737373737459e+00,-2.755629924195928311e+02
3.838383838383838231e+00,-2.407948081518776462e+02
3.939393939393939448e+00,-1.974926217884958817e+02
4.040404040404040664e+00,-1.519270905855266278e+02
4.141414141414140992e+00,-1.123118349249154164e+02
4.242424242424242209e+00,-8.597352044105059576e+01
4.343434343434343425e+00,-7.699831804967217863e+01
4.444444444444444642e+00,-8.585052964927353969e+01
4.545454545454544970e+00,-1.104469939718863429e+02
4.646464646464646187e+00,-1.474012204156472876e+02
4.747474747474747403e+00,-1.927986034818593453e+02
4.848484848484848619e+00,-2.426367748904564792e+02
4.949494949494949836e+00,-2.932674684857173020e+02
5.050505050505050164e+00,-3.418962073473818464e+02
5.151515151515151381e+00,-3.867239396221704055e+02
5.252525252525252597e+00,-4.259874876978702218e+02
5.353535353535353813e+00,-4.555694047897254109e+02
5.454545454545454142e+00,-4.675891622488633743e+02
5.555555555555555358e+00,-4.605611069364331343e+02
5.656565656565656575e+00,-4.738293344118686719e+02
5.757575757575757791e+00,-5.885192708989455923e+02
5.858585858585858119e+00,-7.959450949798044803e+02
5.959595959595959336e+00,-9.611649056477230033e+02
6.060606060606060552e+00,-1.014308080879970930e+03
6.161616161616161769e+00,-1.000194952345312345e+03
6.262626262626262097e+00,-9.683198597486008339e+02
6.363636363636363313e+00,-9.418294199221109011e+02
6.464646464646464530e+00,-9.249048399203758208e+02
6.565656565656565746e+00,-8.791368490122582671e+02
6.666666666666666963e+00,-7.251000673846865539e+02
6.767676767676767291e+00,-4.736885552025141237e+02
6.868686868686868507e+00,-2.617829138642177895e+02
6.969696969696969724e+00,-1.606296932157280253e+02
7.070707070707070940e+00,-1.272543661472005994e+02
7.171717171717171269e+00,-1.171310638274784566e+02
7.272727272727272485e+00,-1.168902156282001670e+02
7.373737373737373701e+00,-1.266701493154247800e+02
7.474747474747474918e+00,-1.483060093510795809e+02
7.575757575757575246e+00,-1.809467303368646185e+02
7.676767676767676463e+00,-2.198406514069435502e+02
7.777777777777777679e+00,-2.576511382711608462e+02
7.878787878787878896e+00,-2.874214270771684028e+02
7.979797979797979224e+00,-3.048959658313415275e+02
8.080808080808081328e+00,-3.086912480560795302e+02
8.181818181818181657e+00,-2.989646879643920556e+02
8.282828282828281985e+00,-2.762681570572690362e+02
8.383838383838384090e+00,-2.417581776377398057e+02
8.484848484848484418e+00,-1.986009173558683187e+02
8.585858585858586522e+00,-1.529960462104241401e+02
8.686868686868686851e+00,-1.131400108672779936e+02
8.787878787878787179e+00,-8.641582482839626778e+01
8.888888888888889284e+00,-7.700138781642516506e+01
8.989898989898989612e+00,-8.543884983647554066e+01
9.090909090909089940e+00,-1.096901480694323539e+02
9.191919191919192045e+00,-1.054729127990769797e+02
9.292929292929292373e+00,-1.034740136550248053e+02
9.393939393939394478e+00,-1.014296791542371921e+02
9.494949494949494806e+00,-9.750466853517235677e+01
9.595959595959595134e+00,-9.011067545362226383e+01
9.696969696969697239e+00,-7.779470839964119477e+01
9.797979797979797567e+00,-5.925401521081518297e+01
9.898989898989899672e+00,-3.348203467213362927e+01
1.000000000000000000e+01,-0.000000000000000000e+00
