time,x1,x2,x3,x4,x5,x6,x7,x8,x9
0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,4.000000000000000000e+00,7.999999999999999112e+00,8.000000000000000000e+00,1.200000000000000178e+01,1.000000000000000000e+01
1.010101010101010083e-01,1.166979723250977097e+00,8.880185620000778934e-01,2.318157970728424111e+00,3.582499807046935381e+00,5.011992476576341282e+00,1.947483708839306260e+01,1.987567335071078745e+01,2.593381226705266940e+01,2.304110051276957805e+01
2.020202020202020166e-01,1.368967022246719845e+00,7.929849357665634813e-01,2.613048686666808784e+00,4.074688484949962941e+00,5.938029574800889776e+00,2.370032276103217228e+01,3.011313988631449234e+01,3.460330363198414716e+01,3.240756628936860295e+01
3.030303030303030387e-01,1.613020116549349181e+00,7.129094879745714319e-01,2.867775651085277655e+00,4.431449889735427305e+00,6.654849290562109054e+00,2.509066531423007262e+01,3.267613134817397480e+01,3.675168424725207927e+01,3.471951255683610782e+01
4.040404040404040331e-01,1.907630119378587619e+00,6.461572063287670531e-01,3.070084137727260742e+00,4.640403632918582488e+00,7.086875492428878154e+00,2.590071519186524540e+01,3.368115446648844369e+01,3.770964916489066354e+01,3.569654798783088978e+01
5.050505050505050830e-01,2.262969627048591725e+00,5.914344647677179934e-01,3.211824997024214312e+00,4.714909924997078505e+00,7.221008507845337654e+00,2.633739045178393567e+01,3.423253588734885255e+01,3.824665734838578857e+01,3.624009673775767482e+01
6.060606060606060774e-01,2.691166928965546656e+00,5.477929474084649586e-01,3.287698937765811014e+00,4.678698012131103923e+00,7.091652058631538580e+00,2.642277221772678431e+01,3.441806242164486207e+01,3.842115138882424219e+01,3.641977193758791742e+01
7.070707070707070718e-01,3.206593308382352792e+00,5.146576181268215366e-01,3.294447658411448376e+00,4.553542477140066325e+00,6.754578495315834985e+00,2.620657570837829198e+01,3.428498393454476201e+01,3.827892954930513980e+01,3.628185563911344502e+01
8.080808080808080662e-01,3.826136110759891906e+00,4.918908494787850860e-01,3.230731135938920140e+00,4.354070218263760950e+00,6.266501948136008693e+00,2.575336543586108817e+01,3.389731999315014832e+01,3.788389030679329039e+01,3.589028742889386336e+01
9.090909090909090606e-01,4.569402316258261543e+00,4.799143385108120552e-01,3.097395057865464985e+00,4.088098475662839348e+00,5.675388856364670609e+00,2.512623544670558573e+01,3.331995020613457825e+01,3.730065369641454254e+01,3.530980606259753074e+01
1.010101010101010166e+00,5.458742711043456985e+00,4.799274379400745860e-01,2.897829383906545431e+00,3.759716612126506430e+00,5.018886266557419873e+00,2.438343828745415109e+01,3.261233489063502589e+01,3.658850699274952945e+01,3.459977815756674602e+01
1.111111111111111160e+00,6.518893057137820080e+00,4.942963139435926356e-01,2.638337223402229537e+00,3.373203651671504044e+00,4.326773893279844962e+00,2.358099865832432940e+01,3.183017928491798187e+01,3.580319409271648112e+01,3.381592810042065622e+01
1.212121212121212155e+00,7.775818626641568976e+00,5.272512572218986948e-01,2.328580438294312938e+00,2.936749875259496267e+00,3.624557810381035416e+00,2.277508559390646425e+01,3.102827892178270019e+01,3.499973533844871554e+01,3.301317094400109653e+01
1.313131313131313149e+00,9.253974881901635641e+00,5.861664256255050276e-01,1.982147974392487688e+00,2.465227503752484228e+00,2.936539710962374095e+00,2.202090506712668372e+01,3.026074082572949209e+01,3.423252424987568077e+01,3.224576888499407801e+01
