time,R_energy_linear
0.000000000000000000e+00,-7.350021718110792572e+05
1.005025125628140753e-01,-4.893476210803915747e+05
2.010050251256281506e-01,-4.545708924607195659e+05
3.015075376884422398e-01,-4.742155321488589980e+05
4.020100502512563012e-01,-5.263518303196429042e+05
5.025125628140704181e-01,-6.026689320738225942e+05
6.030150753768844796e-01,-6.927551245140642859e+05
7.035175879396985410e-01,-7.808710583429436665e+05
8.040201005025126024e-01,-8.547313340099259512e+05
9.045226130653266639e-01,-9.109290840275125811e+05
1.005025125628140836e+00,-9.521412256977005163e+05
1.105527638190954898e+00,-9.822363582149517024e+05
1.206030150753768959e+00,-1.004071331820628839e+06
1.306532663316583021e+00,-1.019504972278271336e+06
1.407035175879397082e+00,-1.029353218176192488e+06
1.507537688442211143e+00,-1.032873245603823802e+06
1.608040201005025205e+00,-1.028025737387528759e+06
1.708542713567839266e+00,-1.013681585104863625e+06
1.809045226130653328e+00,-9.918629103108092677e+05
1.909547738693467389e+00,-9.668548147773214150e+05
2.010050251256281673e+00,-9.424822588636325672e+05
2.110552763819095734e+00,-9.207363216840737732e+05
2.211055276381909795e+00,-9.019990317179060075e+05
2.311557788944723857e+00,-8.854947202036129311e+05
2.412060301507537918e+00,-8.689516912850177614e+05
2.512562814070351980e+00,-8.468606781543694669e+05
2.613065326633166041e+00,-8.093305006764749996e+05
2.713567839195980103e+00,-7.510472131163026206e+05
2.814070351758794164e+00,-6.774984462504145922e+05
2.914572864321608225e+00,-5.991976977491178550e+05
3.015075376884422287e+00,-5.376052877880521119e+05
3.115577889447236348e+00,-4.976462730929547688e+05
3.216080402010050410e+00,-4.723288902934002690e+05
3.316582914572864471e+00,-4.551949183459739434e+05
3.417085427135678533e+00,-4.425746629283307702e+05
3.517587939698492594e+00,-4.326487502919503022e+05
3.618090452261306655e+00,-4.245234880651782732e+05
3.718592964824120717e+00,-4.177279331928448519e+05
3.819095477386934778e+00,-4.119825255692045903e+05
3.919597989949748840e+00,-4.071015313866833458e+05
4.020100502512563345e+00,-4.029490863878407981e+05
4.120603015075377407e+00,-3.994211880148136406e+05
4.221105527638191468e+00,-3.964363098857051227e+05
4.321608040201005529e+00,-3.939294598347824067e+05
4.422110552763819591e+00,-3.918503563090679236e+05
4.522613065326633652e+00,-3.901603792122589657e+05
4.623115577889447714e+00,-3.888317713380248169e+05
4.723618090452261775e+00,-3.878469299799143337e+05
4.824120603015075837e+00,-3.871983277694759308e+05
4.924623115577889898e+00,-3.868890617104426492e+05
5.025125628140703959e+00,-3.869341227141774725e+05
5.125628140703518021e+00,-3.873628403391090687e+05
5.226130653266332082e+00,-3.882221618240814423e+05
5.326633165829146144e+00,-3.895833740420835675e+05
5.427135678391960205e+00,-3.915493831851300783e+05
5.527638190954774267e+00,-3.942707981653452734e+05
5.628140703517588328e+00,-3.979664931571936468e+05
5.728643216080402389e+00,-4.029600619305997971e+05
5.829145728643216451e+00,-4.097381825913616922e+05
5.929648241206030512e+00,-4.190457442534975708e+05
6.030150753768844574e+00,-4.320404478468490997e+05
6.130653266331658635e+00,-4.505207978322022827e+05
6.231155778894472697e+00,-4.771947604733835906e+05
6.331658291457286758e+00,-5.157357367721731425e+05
6.432160804020100819e+00,-5.698402586073146667e+05
6.532663316582914881e+00,-6.401165639751742128e+05
6.633165829145728942e+00,-7.200036339233203325e+05
6.733668341708543004e+00,-7.972976244168739067e+05
6.834170854271357065e+00,-8.627108124704112997e+05
6.934673366834171127e+00,-9.139937623765056487e+05
7.035175879396985188e+00,-9.529908332842567470e+05
7.135678391959799249e+00,-9.822802421371790115e+05
7.236180904522613311e+00,-1.003893457026503282e+06
7.336683417085427372e+00,-1.019318118893985753e+06
7.437185929648241434e+00,-1.029247126186474110e+06
7.537688442211055495e+00,-1.032923551548018353e+06
7.638190954773869557e+00,-1.028299538983713137e+06
7.738693467336683618e+00,-1.014178286350380979e+06
7.839195979899497679e+00,-9.924952229822939262e+05
7.939698492462311741e+00,-9.675122962532055099e+05
8.040201005025126690e+00,-9.430936295849004528e+05
8.140703517587940752e+00,-9.212821081501238514e+05
8.241206030150754813e+00,-9.025055631460580043e+05
8.341708542713568875e+00,-8.860526704671808984e+05
8.442211055276382936e+00,-8.698034517534957267e+05
8.542713567839196998e+00,-8.485685248077732977e+05
8.643216080402011059e+00,-8.126045082336146152e+05
8.743718592964825120e+00,-7.556703454474572791e+05
8.844221105527639182e+00,-6.829509253499608021e+05
8.944723618090453243e+00,-6.040193683352882508e+05
9.045226130653267305e+00,-5.406389491125856293e+05
9.145728643216081366e+00,-4.992937768436613260e+05
9.246231155778895427e+00,-4.732209638278548373e+05
9.346733668341709489e+00,-4.557199445748250000e+05
9.447236180904523550e+00,-4.429220301944053499e+05
9.547738693467337612e+00,-4.329037329031600384e+05
9.648241206030151673e+00,-4.247243642839095555e+05
9.748743718592965735e+00,-4.178925429124429356e+05
9.849246231155779796e+00,-4.121203412855388597e+05
