time,R_spec
0.000000000000000000e+00,5.287647820117827302e-03
1.005025125628140753e-01,5.514388280681080216e-03
2.010050251256281506e-01,6.214058649095321497e-03
3.015075376884422398e-01,6.879267319930392616e-03
4.020100502512563012e-01,7.906632043382391672e-03
5.025125628140704181e-01,9.471512494935880114e-03
6.030150753768844796e-01,1.151718606042653921e-02
7.035175879396985410e-01,1.340528714232542586e-02
8.040201005025126024e-01,9.184245219058332840e-03
9.045226130653266639e-01,4.027367101035625625e-03
1.005025125628140836e+00,1.611859889917640004e-03
1.105527638190954898e+00,6.816122595262539543e-04
1.206030150753768959e+00,3.400499221753547244e-04
1.306532663316583021e+00,2.155239772170726323e-04
1.407035175879397082e+00,1.849427824783440877e-04
1.507537688442211143e+00,2.266603421466182764e-04
1.608040201005025205e+00,6.953898083563360031e-04
1.708542713567839266e+00,5.011286766174998658e-04
1.809045226130653328e+00,2.380571659732915216e-04
1.909547738693467389e+00,2.124823753115532145e-04
2.010050251256281673e+00,2.625378700631698643e-04
2.110552763819095734e+00,4.075612625124847010e-04
2.211055276381909795e+00,7.559413528833328977e-04
2.311557788944723857e+00,1.613753857024078763e-03
2.412060301507537918e+00,3.803906824927538299e-03
2.512562814070351980e+00,9.223584120107378853e-03
2.613065326633166041e+00,1.071200440854188848e-02
2.713567839195980103e+00,9.056660266965971262e-03
2.814070351758794164e+00,7.486511967752977961e-03
2.914572864321608225e+00,6.465734726814327364e-03
3.015075376884422287e+00,5.817132337086752640e-03
3.115577889447236348e+00,5.327338490817939282e-03
3.216080402010050410e+00,4.917593763577214096e-03
3.316582914572864471e+00,4.561704656342403796e-03
3.417085427135678533e+00,4.249150269173897730e-03
3.517587939698492594e+00,3.973997755653715762e-03
3.618090452261306655e+00,3.731953114414738194e-03
3.718592964824120717e+00,3.519566981242598473e-03
3.819095477386934778e+00,3.333979455473460099e-03
3.919597989949748840e+00,3.172807431625088680e-03
4.020100502512563345e+00,3.034081848888317817e-03
4.120603015075377407e+00,2.916203180542961682e-03
4.221105527638191468e+00,2.817915989368825844e-03
4.321608040201005529e+00,2.738293277974415772e-03
4.422110552763819591e+00,2.676731803788091543e-03
4.522613065326633652e+00,2.632960881201502987e-03
4.623115577889447714e+00,2.607062228772969587e-03
4.723618090452261775e+00,2.599504374544304303e-03
4.824120603015075837e+00,2.611196910388390198e-03
4.924623115577889898e+00,2.643567446908263747e-03
5.025125628140703959e+00,2.698670573811093060e-03
5.125628140703518021e+00,2.779340104240848527e-03
5.226130653266332082e+00,2.889401219270605354e-03
5.326633165829146144e+00,3.033966479070831102e-03
5.427135678391960205e+00,3.219854172463637847e-03
5.527638190954774267e+00,3.456176128252611696e-03
5.628140703517588328e+00,3.755176939515729798e-03
5.728643216080402389e+00,4.133420563500054407e-03
5.829145728643216451e+00,4.613456081969105269e-03
5.929648241206030512e+00,5.226097358312371821e-03
6.030150753768844574e+00,6.013407477331926716e-03
6.130653266331658635e+00,6.509207282524629920e-03
6.231155778894472697e+00,6.956442646357893604e-03
6.331658291457286758e+00,7.610513846992505819e-03
6.432160804020100819e+00,8.588757754938792718e-03
6.532663316582914881e+00,1.005172256000035416e-02
6.633165829145728942e+00,1.167342404614467484e-02
6.733668341708543004e+00,1.347739860560664277e-02
6.834170854271357065e+00,8.964063900659876086e-03
6.934673366834171127e+00,3.904177393348029924e-03
7.035175879396985188e+00,1.553783811794347009e-03
7.135678391959799249e+00,6.534788240372824001e-04
7.236180904522613311e+00,3.240072987629871856e-04
7.336683417085427372e+00,2.038795558445614768e-04
7.437185929648241434e+00,1.734218716323358530e-04
7.537688442211055495e+00,2.101322594285438600e-04
7.638190954773869557e+00,6.146352742519982674e-04
7.738693467336683618e+00,4.883241106435802850e-04
7.839195979899497679e+00,2.252632190174090956e-04
7.939698492462311741e+00,1.989395555922641176e-04
8.040201005025126690e+00,2.441680318374654006e-04
8.140703517587940752e+00,3.771839433692765866e-04
8.241206030150754813e+00,6.970645624811086256e-04
8.341708542713568875e+00,1.484990151737560502e-03
8.442211055276382936e+00,3.503478719518653833e-03
8.542713567839196998e+00,8.559925535083379861e-03
8.643216080402011059e+00,1.082513774440285043e-02
8.743718592964825120e+00,9.171894964478122247e-03
8.844221105527639182e+00,7.554750228678039879e-03
8.944723618090453243e+00,6.496841324287958193e-03
9.045226130653267305e+00,5.834056460852962353e-03
9.145728643216081366e+00,5.339376482544833796e-03
9.246231155778895427e+00,4.927507720440498298e-03
9.346733668341709489e+00,4.570287985270880642e-03
