time,Rspec_hyper
0.000000000000000000e+00,9.620009620009624699e-04
1.005025125628140753e-01,1.277136114715608653e-03
2.010050251256281506e-01,2.213724028475702078e-03
3.015075376884422398e-01,3.861107043753653819e-03
4.020100502512563012e-01,6.625184050928129009e-03
5.025125628140704181e-01,1.088989317201440564e-02
6.030150753768844796e-01,1.393524853397993049e-02
7.035175879396985410e-01,1.385240772864978695e-02
8.040201005025126024e-01,1.123388966560181015e-02
9.045226130653266639e-01,9.371849008761689095e-03
1.005025125628140836e+00,8.411867362569243681e-03
1.105527638190954898e+00,8.160731553803509189e-03
1.206030150753768959e+00,8.530919334524683650e-03
1.306532663316583021e+00,9.470167719254692085e-03
1.407035175879397082e+00,1.090022542584604195e-02
1.507537688442211143e+00,1.216759316701396081e-02
1.608040201005025205e+00,1.332244136049106319e-02
1.708542713567839266e+00,1.446772561555305543e-02
1.809045226130653328e+00,1.451732282419456940e-02
1.909547738693467389e+00,1.275190946255440501e-02
2.010050251256281673e+00,1.015780644721784448e-02
2.110552763819095734e+00,8.111567499754092359e-03
2.211055276381909795e+00,6.490612372218442470e-03
2.311557788944723857e+00,5.200864388363990627e-03
2.412060301507537918e+00,4.167230072294321637e-03
2.512562814070351980e+00,3.324819298789657637e-03
2.613065326633166041e+00,2.616555251642971227e-03
2.713567839195980103e+00,2.018284899111242453e-03
2.814070351758794164e+00,1.557251466655234584e-03
2.914572864321608225e+00,1.231620828453624172e-03
3.015075376884422287e+00,9.960338828645235766e-04
3.115577889447236348e+00,8.161431410753809462e-04
3.216080402010050410e+00,6.746467943329027220e-04
3.316582914572864471e+00,5.619622476044834093e-04
3.417085427135678533e+00,4.716864197471400100e-04
3.517587939698492594e+00,3.990826323505734731e-04
3.618090452261306655e+00,3.405156827313566940e-04
3.718592964824120717e+00,2.931619536078118094e-04
3.819095477386934778e+00,2.548184875991705385e-04
3.919597989949748840e+00,2.237637218753336574e-04
4.020100502512563345e+00,1.986527907860161589e-04
4.120603015075377407e+00,1.784379342769025999e-04
4.221105527638191468e+00,1.623087230003655010e-04
4.321608040201005529e+00,1.496474296562593138e-04
4.422110552763819591e+00,1.399968754942357079e-04
4.522613065326633652e+00,1.330391199402536362e-04
4.623115577889447714e+00,1.285838346039169138e-04
4.723618090452261775e+00,1.265665730585995637e-04
4.824120603015075837e+00,1.270587704850314776e-04
4.924623115577889898e+00,1.302924476740099013e-04
5.025125628140703959e+00,1.367059830809135088e-04
5.125628140703518021e+00,1.470217862545344077e-04
5.226130653266332082e+00,1.623746714290343204e-04
5.326633165829146144e+00,1.845237381944866799e-04
5.427135678391960205e+00,2.162056735136124157e-04
5.527638190954774267e+00,2.617331785577162433e-04
5.628140703517588328e+00,3.280277546287064150e-04
5.728643216080402389e+00,4.264342967959254592e-04
5.829145728643216451e+00,5.759590304779197952e-04
5.929648241206030512e+00,8.090949103410912486e-04
6.030150753768844574e+00,1.182232151162844469e-03
6.130653266331658635e+00,1.793573415670130173e-03
6.231155778894472697e+00,2.810814944925626481e-03
6.331658291457286758e+00,4.502530020482784986e-03
6.432160804020100819e+00,7.238818504109645682e-03
6.532663316582914881e+00,1.138266371691171522e-02
6.633165829145728942e+00,1.396109422679316266e-02
6.733668341708543004e+00,1.386483990812708428e-02
6.834170854271357065e+00,1.122921382496379177e-02
