time,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
0.000000000000000000e+00,5.000000000000000888e+00,1.999999999999999778e+00,9.999999999999998890e-01,2.000000000000000000e+01,1.500000000000000000e+01,2.700000000000000000e+01,2.700000000000000000e+01,1.999999999999999645e+01,7.999999999999999112e+00,8.000000000000000000e+00
1.005025125628140753e-01,5.220635597213490797e+00,2.587005122823722747e+00,1.297674682063244767e+00,1.609821241668996450e+01,1.478454701690460737e+01,3.401416373172820329e+01,3.207649308605116545e+01,2.234479967367452247e+01,8.589861190945700997e+00,8.791393384157579760e+00
2.010050251256281506e-01,5.355514189927331969e+00,3.382745992630073140e+00,1.708644835532890704e+00,1.436824041639771998e+01,1.458511858330194144e+01,3.317359978809593457e+01,3.119313806798200872e+01,2.261641324047129942e+01,8.714299218333879438e+00,8.783290008614466515e+00
3.015075376884422398e-01,5.362809300975598603e+00,4.454649872406786670e+00,2.263326720047665663e+00,1.260962014691813415e+01,1.427265238711956918e+01,3.206132080672755080e+01,3.008454422489298352e+01,2.199538140418316345e+01,9.070149089759938832e+00,9.574370754546690065e+00
4.020100502512563012e-01,5.201384286791281397e+00,5.864289286244420474e+00,2.980280951082944885e+00,1.048184058825101062e+01,1.374239885801403105e+01,3.060706423155050615e+01,2.864010126745768403e+01,2.111465979418230532e+01,9.615493112544092114e+00,1.095252364156918823e+01
5.025125628140704181e-01,4.847555066449242389e+00,7.621638396519020198e+00,3.844101178738287494e+00,7.995383541756043044e+00,1.288365074623214035e+01,2.870800367725795965e+01,2.675550009705313670e+01,1.996081831047020927e+01,1.038104099393771662e+01,1.291216753544960483e+01
6.030150753768844796e-01,4.315815907489982450e+00,9.616707314013632768e+00,4.783646015149384922e+00,5.399285964189942888e+00,1.163123194184531251e+01,2.642282781756708232e+01,2.448751900409286364e+01,1.854046406931202640e+01,1.138955695174484184e+01,1.536700056453027052e+01
7.035175879396985410e-01,3.667563999611021419e+00,1.159064882460822865e+01,5.673931359198389757e+00,3.121141890235788807e+00,1.006145982684376428e+01,2.399426935428149577e+01,2.207458438246396781e+01,1.696395247406804074e+01,1.258917571148636583e+01,1.799262189917772048e+01
8.040201005025126024e-01,2.992786235375333614e+00,1.322143923540817489e+01,6.377347042169036584e+00,1.521244412331321794e+00,8.422168871699831527e+00,2.174901680017985939e+01,1.983795661572103697e+01,1.541339372169225186e+01,1.383279932577283056e+01,2.034435063421014434e+01
9.045226130653266639e-01,2.373382005972086262e+00,1.427751669043218818e+01,6.801513026026784203e+00,6.388615288851449137e-01,7.013237854331374699e+00,1.992907199563186182e+01,1.801615660340327096e+01,1.405386926612922593e+01,1.494408808391009025e+01,2.214488329255905441e+01
1.005025125628140836e+00,1.856420523054306715e+00,1.470035479194038608e+01,6.928711728628478284e+00,2.460715916701552708e-01,6.032177095242525766e+00,1.862955021726649463e+01,1.670387465288098383e+01,1.297733316115979108e+01,1.580770677929706025e+01,2.336698509554867442e+01
1.105527638190954898e+00,1.452428304388239333e+00,1.457285844159804000e+01,6.801921880495754635e+00,9.460357627128297697e-02,5.539201833897585914e+00,1.785014617981546792e+01,1.590244707271149416e+01,1.221218610243596459e+01,1.638985724187906357e+01,2.410406279315430567e+01
1.206030150753768959e+00,1.149269258056788034e+00,1.404096776707251237e+01,6.491097628045270795e+00,3.933958449937385859e-02,5.518543526996072757e+00,1.755851336450586331e+01,1.558230540110684714e+01,1.175687082125693372e+01,1.670272549057061795e+01,2.445429962926383283e+01
1.306532663316583021e+00,9.266123525006736417e-01,1.325186383539367796e+01,6.065769262284971930e+00,1.878992626510496422e-02,5.931980259958100632e+00,1.772185896519820147e+01,1.571433538390140505e+01,1.160443636734107997e+01,1.676989354822016409e+01,2.448059376965231593e+01
1.407035175879397082e+00,7.645070962276917514e-01,1.232495402652990180e+01,5.581995650864755909e+00,1.069658285616820019e-02,6.720493422443111875e+00,1.830335876119531946e+01,1.626672782429626807e+01,1.175021435443990647e+01,1.661418874956993719e+01,2.421304532603205928e+01
1.507537688442211143e+00,6.466702626358628025e-01,1.134596114945197165e+01,5.079802148160454500e+00,7.387461037111131557e-03,7.777093922381147273e+00,1.923042662584200002e+01,1.717314109040906800e+01,1.218048291676874584e+01,1.626535178725097452e+01,2.367363660983507145e+01
1.608040201005025205e+00,5.609135565327713069e-01,1.037148889234805260e+01,4.585424442059847117e+00,6.214766631731981870e-03,8.945010660699329819e+00,2.036786802266280105e+01,1.830300614484914590e+01,1.284673883787448645e+01,1.577477176216239663e+01,2.291137068045100023e+01
1.708542713567839266e+00,4.984949216245699311e-01,9.436292953914744430e+00,4.114778911533224282e+00,6.337504867446592735e-03,1.006804761841436502e+01,2.154296696442544601e+01,1.948268863876956303e+01,1.365043515981101940e+01,1.521650782028789273e+01,2.202008938793408177e+01
1.809045226130653328e+00,4.532661271054060359e-01,8.559935185449450756e+00,3.676621227045160367e+00,7.754422484143650915e-03,1.104791232781123078e+01,2.261441164188230246e+01,2.056511952920249087e+01,1.446824397619308122e+01,1.466555817261738959e+01,2.111366096275544990e+01
1.909547738693467389e+00,4.209338061989350011e-01,7.751902364037709603e+00,3.274971199336810912e+00,1.123673085915734109e-02,1.185480896882055291e+01,2.351557574503735992e+01,2.147797583834779189e+01,1.520362975073781087e+01,1.417277568186213976e+01,2.028064744186512769e+01
2.010050251256281673e+00,3.985019098099396029e-01,7.015239889658804628e+00,2.910832261286816713e+00,1.900749146082650679e-02,1.250090084350989805e+01,2.424241670103729973e+01,2.221444092326947484e+01,1.581452716556534277e+01,1.375822017407911346e+01,1.956306335495035853e+01
2.110552763819095734e+00,3.838761200448443933e-01,6.349023467306185609e+00,2.583360064426408531e+00,3.697402689477402582e-02,1.301273534218952044e+01,2.482066490542728943e+01,2.279977569249307479e+01,1.630219447538758715e+01,1.342044277770348515e+01,1.896577747468360542e+01
2.211055276381909795e+00,3.755909953230899267e-01,5.749998584839432603e+00,2.290636830693431936e+00,8.143205826674168590e-02,1.341704888294524345e+01,2.528474702879065816e+01,2.326876255459041332e+01,1.668795671960388560e+01,1.314784594107437599e+01,1.847384336599525056e+01
2.311557788944723857e+00,3.726239139258388233e-01,5.213649034437473517e+00,2.030175322734321774e+00,1.995000326709734928e-01,1.373639203874198778e+01,2.567495414856067981e+01,2.366192943513395974e+01,1.699990102653785229e+01,1.292445589247470039e+01,1.806143310652543477e+01
2.412060301507537918e+00,3.742685011971557674e-01,4.734882277109289106e+00,1.799241432693965859e+00,5.301219737617310912e-01,1.398879229824718351e+01,2.605465744625717051e+01,2.404210191308320788e+01,1.727499064900615267e+01,1.272806045511368822e+01,1.768590329615208034e+01
2.512562814070351980e+00,3.800483070377128070e-01,4.308460657076412126e+00,1.595056522767542395e+00,1.455316472218161294e+00,1.418846775162908536e+01,2.656251551457528848e+01,2.454563227449102669e+01,1.758167998165980350e+01,1.251690847323697753e+01,1.725598768383254722e+01
2.613065326633166041e+00,3.896576563834848739e-01,3.929265199266244402e+00,1.414920615182115204e+00,3.716074358670470090e+00,1.434660950351801212e+01,2.749003748690018512e+01,2.546031653546300788e+01,1.806981949079579053e+01,1.220115295829492119e+01,1.656262800967700954e+01
2.713567839195980103e+00,4.029209159171553978e-01,3.592449746116105569e+00,1.256283790186168758e+00,7.480746943868753718e+00,1.447202633722570830e+01,2.908845417850170634e+01,2.704370290382822262e+01,1.895778633022898418e+01,1.165258865332773652e+01,1.530017958951153467e+01
2.814070351758794164e+00,4.197643404555537194e-01,3.293523767533439894e+00,1.116783937571250718e+00,1.095052965502683229e+01,1.457165038416405523e+01,3.086051330563775608e+01,2.882008041890946970e+01,2.018154735146011802e+01,1.089487807725130253e+01,1.353855296731787661e+01
2.914572864321608225e+00,4.401966026886598993e-01,3.028389281724910287e+00,9.942628883652251393e-01,1.291025750654625703e+01,1.465093391588214367e+01,3.205580824862129674e+01,3.003247465724165011e+01,2.123553830528629049e+01,1.018246851415593746e+01,1.190998494385534912e+01
3.015075376884422287e+00,4.642953914051884956e-01,2.793348780320271896e+00,8.867688999701528463e-01,1.389370177502272341e+01,1.471416267049989024e+01,3.270201116448063061e+01,3.069008104971018369e+01,2.187426091251499116e+01,9.672970563343493922e+00,1.076894873588322277e+01
3.115577889447236348e+00,4.921983097206192870e-01,2.585095381500617684e+00,7.925507804399530842e-01,1.448762450455143558e+01,1.476470397446540161e+01,3.308673099452136057e+01,3.107964830242042353e+01,2.223357187800201373e+01,9.341851649795744450e+00,1.002838692250093544e+01
3.216080402010050410e+00,5.240968657199408520e-01,2.400692659705212506e+00,7.100471508697129286e-01,1.493159093614082522e+01,1.480520313511837394e+01,3.336382053545836612e+01,3.135871415563090636e+01,2.246542154842800443e+01,9.120765565779132444e+00,9.522974396469328084e+00
3.316582914572864471e+00,5.602327213146144347e-01,2.237549077478568460e+00,6.378731536521897727e-01,1.530175946261621256e+01,1.483773855242206885e+01,3.358816305411269099e+01,3.158405549798598599e+01,2.264078734226661638e+01,8.961265629738946359e+00,9.146053492383217076e+00
3.417085427135678533e+00,6.008956148167903244e-01,2.093390255639809183e+00,5.748061194608103941e-01,1.562240557041877764e+01,1.486394389686146589e+01,3.377838649723966569e+01,3.177493769054972361e+01,2.278541105440272574e+01,8.837217113816295821e+00,8.843582679174788908e+00
3.517587939698492594e+00,6.464225434821563310e-01,1.966231208775426342e+00,5.197711867872383262e-01,1.590314544369377536e+01,1.488510408759148618e+01,3.394212606977450974e+01,3.193918723553473171e+01,2.290869650776935984e+01,8.735617060220816299e+00,8.589783221769149435e+00
3.618090452261306655e+00,6.971978599935781951e-01,1.854349686455120327e+00,4.718274006529842302e-01,1.614937503307717392e+01,1.490223059653903093e+01,3.408368002344369074e+01,3.208116290254898928e+01,2.301492356938355854e+01,8.649907839616325589e+00,8.371881505646301846e+00
3.718592964824120717e+00,7.536541514635222150e-01,1.756262047419939076e+00,4.301549816810740223e-01,1.636500534285104536e+01,1.491612014988879942e+01,3.420611334421558070e+01,3.220395414486591079e+01,2.310670673756634841e+01,8.576517495460130647e+00,8.182841663139670985e+00
3.819095477386934778e+00,8.162735399360939725e-01,1.670701281387007020e+00,3.940435565720278310e-01,1.655318667286216794e+01,1.492740089407793924e+01,3.431184258206017290e+01,3.230999270619781782e+01,2.318598433203196407e+01,8.513263210608753795e+00,8.018218508044682835e+00
3.919597989949748840e+00,8.855893667823406812e-01,1.596598313922044543e+00,3.628819294376816607e-01,1.671652570070051524e+01,1.493656797899275546e+01,3.440284244756541909e+01,3.240126088500114321e+01,2.325428951026983171e+01,8.458658319174311657e+00,7.874862739029693692e+00
