time,connectedness
0.000000000000000000e+00,3.589591815888942392e+02
1.005025125628140753e-01,3.934785816257835336e+02
2.010050251256281506e-01,3.933117155515773220e+02
3.015075376884422398e-01,3.937829603686201381e+02
4.020100502512563012e-01,3.941771292789304653e+02
5.025125628140704181e-01,3.934514035863622894e+02
6.030150753768844796e-01,3.911547162524184955e+02
7.035175879396985410e-01,3.871996355695043803e+02
8.040201005025126024e-01,3.815497123313374459e+02
9.045226130653266639e-01,3.741242886321894048e+02
1.005025125628140836e+00,3.651803835785930232e+02
1.105527638190954898e+00,3.555803719933670664e+02
1.206030150753768959e+00,3.465323582676263072e+02
1.306532663316583021e+00,3.391475092297511651e+02
1.407035175879397082e+00,3.340710745866565503e+02
1.507537688442211143e+00,3.312175821549803914e+02
1.608040201005025205e+00,3.297750941200390571e+02
1.708542713567839266e+00,3.286361596899104711e+02
1.809045226130653328e+00,3.269815865775786961e+02
1.909547738693467389e+00,3.245344928578531380e+02
2.010050251256281673e+00,3.214174405079344297e+02
2.110552763819095734e+00,3.179101663756491121e+02
2.211055276381909795e+00,3.143266664431773734e+02
2.311557788944723857e+00,3.110632856828552804e+02
2.412060301507537918e+00,3.088888434718896292e+02
2.512562814070351980e+00,3.096866721132527687e+02
2.613065326633166041e+00,3.171333710429038888e+02
2.713567839195980103e+00,3.326214181476431690e+02
2.814070351758794164e+00,3.477897430810673427e+02
2.914572864321608225e+00,3.554577712640522122e+02
3.015075376884422287e+00,3.578330786997569817e+02
3.115577889447236348e+00,3.583428243101339490e+02
3.216080402010050410e+00,3.584360000808917448e+02
3.316582914572864471e+00,3.584927369050023458e+02
3.417085427135678533e+00,3.585787396530716933e+02
3.517587939698492594e+00,3.586979829453550792e+02
3.618090452261306655e+00,3.588501599611843744e+02
3.718592964824120717e+00,3.590381340626116184e+02
3.819095477386934778e+00,3.592666507163813208e+02
3.919597989949748840e+00,3.595409645640586973e+02
4.020100502512563345e+00,3.598661461127310872e+02
4.120603015075377407e+00,3.602469338944155197e+02
4.221105527638191468e+00,3.606877630294474670e+02
4.321608040201005529e+00,3.611928266542226424e+02
4.422110552763819591e+00,3.617662259701494349e+02
4.522613065326633652e+00,3.624120105697106169e+02
4.623115577889447714e+00,3.631342668876532116e+02
4.723618090452261775e+00,3.639371624129988163e+02
4.824120603015075837e+00,3.648249784742187103e+02
