time,linear_connectedness
0.000000000000000000e+00,2.942662143658532727e+02
1.005025125628140753e-01,3.595106426737403353e+02
2.010050251256281506e-01,3.535008568996062195e+02
3.015075376884422398e-01,3.511650384660965187e+02
4.020100502512563012e-01,3.509290028932777545e+02
5.025125628140704181e-01,3.505244575734673163e+02
6.030150753768844796e-01,3.491808477958877575e+02
7.035175879396985410e-01,3.471484672169383430e+02
8.040201005025126024e-01,3.451474639038407872e+02
9.045226130653266639e-01,3.426966282376886852e+02
1.005025125628140836e+00,3.383397163528387637e+02
1.105527638190954898e+00,3.299680269627426696e+02
1.206030150753768959e+00,3.203916945206292439e+02
1.306532663316583021e+00,3.109018092226563112e+02
1.407035175879397082e+00,3.026235718042927374e+02
1.507537688442211143e+00,2.959765611107385439e+02
1.608040201005025205e+00,2.905300662776220975e+02
1.708542713567839266e+00,2.919008578850479694e+02
1.809045226130653328e+00,2.957032303342191426e+02
1.909547738693467389e+00,2.972326918148363006e+02
2.010050251256281673e+00,2.969161034838148794e+02
2.110552763819095734e+00,2.952793372102373723e+02
2.211055276381909795e+00,2.927545463658645417e+02
2.311557788944723857e+00,2.896862678249280521e+02
2.412060301507537918e+00,2.868825672048121760e+02
2.512562814070351980e+00,2.851914961557811239e+02
2.613065326633166041e+00,2.891151466182813010e+02
2.713567839195980103e+00,3.090684662394955922e+02
2.814070351758794164e+00,3.327399877030418338e+02
2.914572864321608225e+00,3.427793559095318301e+02
3.015075376884422287e+00,3.441972306819306482e+02
3.115577889447236348e+00,3.432922932475255493e+02
3.216080402010050410e+00,3.422808133230013823e+02
3.316582914572864471e+00,3.415123345924348541e+02
3.417085427135678533e+00,3.409142912630724709e+02
3.517587939698492594e+00,3.403988576261439221e+02
3.618090452261306655e+00,3.399191233553260645e+02
3.718592964824120717e+00,3.394560111854576121e+02
3.819095477386934778e+00,3.390034297834270660e+02
3.919597989949748840e+00,3.385604123219160897e+02
4.020100502512563345e+00,3.381275643150416954e+02
4.120603015075377407e+00,3.377058759747574754e+02
4.221105527638191468e+00,3.372964386933406331e+02
4.321608040201005529e+00,3.369005453917934574e+02
4.422110552763819591e+00,3.365202654136911633e+02
4.522613065326633652e+00,3.361593850903211660e+02
4.623115577889447714e+00,3.358261774243400737e+02
4.723618090452261775e+00,3.355447410392107486e+02
4.824120603015075837e+00,3.355755099192685407e+02
4.924623115577889898e+00,3.362203733329730539e+02
5.025125628140703959e+00,3.370268438787511514e+02
5.125628140703518021e+00,3.379502174592845449e+02
5.226130653266332082e+00,3.389747011543810231e+02
5.326633165829146144e+00,3.400881420286557955e+02
5.427135678391960205e+00,3.412767410660707128e+02
5.527638190954774267e+00,3.425224931404667927e+02
5.628140703517588328e+00,3.438008784585217654e+02
5.728643216080402389e+00,3.450786129022675368e+02
5.829145728643216451e+00,3.463112842320308573e+02
5.929648241206030512e+00,3.474412888512021027e+02
6.030150753768844574e+00,3.483974278680688599e+02
6.130653266331658635e+00,3.491003074326018236e+02
6.231155778894472697e+00,3.494965909446389105e+02
6.331658291457286758e+00,3.498166262022039064e+02
6.432160804020100819e+00,3.500289536474433021e+02
6.532663316582914881e+00,3.495088722059368251e+02
6.633165829145728942e+00,3.480828123613615048e+02
6.733668341708543004e+00,3.462132283334577210e+02
6.834170854271357065e+00,3.445514480220464293e+02
6.934673366834171127e+00,3.424350049457013938e+02
7.035175879396985188e+00,3.383778668685700382e+02
7.135678391959799249e+00,3.301152665132146353e+02
7.236180904522613311e+00,3.205947532832311708e+02
7.336683417085427372e+00,3.111063118294339915e+02
7.437185929648241434e+00,3.027993084442123859e+02
7.537688442211055495e+00,2.961189320695288529e+02
7.638190954773869557e+00,2.906560736150340745e+02
7.738693467336683618e+00,2.917732277058158843e+02
7.839195979899497679e+00,2.956386173470477274e+02
7.939698492462311741e+00,2.972241442255918855e+02
8.040201005025126690e+00,2.969511387607961979e+02
8.140703517587940752e+00,2.953473137316099724e+02
8.241206030150754813e+00,2.928491966759883667e+02
8.341708542713568875e+00,2.897979994465461004e+02
8.442211055276382936e+00,2.869680517611948289e+02
8.542713567839196998e+00,2.850882272636208654e+02
8.643216080402011059e+00,2.882858853756985695e+02
8.743718592964825120e+00,3.070433992732835122e+02
8.844221105527639182e+00,3.314713100429713677e+02
8.944723618090453243e+00,3.425021195142882675e+02
9.045226130653267305e+00,3.442550731400211248e+02
9.145728643216081366e+00,3.433809610803974124e+02
9.246231155778895427e+00,3.423398626019209701e+02
9.346733668341709489e+00,3.415471786678451735e+02
9.447236180904523550e+00,3.409363101879981173e+02
9.547738693467337612e+00,3.404149866032589671e+02
9.648241206030151673e+00,3.399326826877925214e+02
9.748743718592965735e+00,3.394683944806441218e+02
9.849246231155779796e+00,3.390152027728194639e+02
9.949748743718593857e+00,3.385717735958118055e+02
1.005025125628140792e+01,3.381385818190615282e+02
1.015075376884422198e+01,3.377165670538180393e+02
1.025125628140703604e+01,3.373067773416150317e+02
1.035175879396985010e+01,3.369105177136263478e+02
1.045226130653266416e+01,3.365297971824305705e+02
1.055276381909547823e+01,3.361683498407084585e+02
1.065326633165829229e+01,3.358342486549339583e+02
1.075376884422110635e+01,3.355507856952497150e+02
1.085427135678392041e+01,3.355625896012522844e+02
1.095477386934673447e+01,3.362014712365228775e+02
1.105527638190954853e+01,3.370046202291670170e+02
1.115577889447236259e+01,3.379252234299016209e+02
1.125628140703517666e+01,3.389472713496646179e+02
1.135678391959799072e+01,3.400585816362222431e+02
1.145728643216080478e+01,3.412454640920378210e+02
1.155778894472361884e+01,3.424900244254743598e+02
1.165829145728643290e+01,3.437679476752260825e+02
1.175879396984924696e+01,3.450462013316753200e+02
1.185929648241206102e+01,3.462806634165538071e+02
1.195979899497487509e+01,3.474141567865632965e+02
1.206030150753768915e+01,3.483757369082381956e+02
1.216080402010050321e+01,3.490860539315128790e+02
1.226130653266331727e+01,3.494897927362525252e+02
1.236180904522613133e+01,3.498063218914164736e+02
1.246231155778894539e+01,3.500309133520059390e+02
1.256281407035175945e+01,3.495339105524654997e+02
1.266331658291457352e+01,3.481283480887159385e+02
1.276381909547738758e+01,3.462597888791696050e+02
1.286432160804020164e+01,3.445930567064165189e+02
1.296482412060301570e+01,3.425091669384798934e+02
1.306532663316582976e+01,3.385447370187128513e+02
1.316582914572864382e+01,3.303468601159869422e+02
1.326633165829145788e+01,3.208444785637397558e+02
1.336683417085427195e+01,3.113384943507002163e+02
1.346733668341708601e+01,3.029920753532799154e+02
1.356783919597990007e+01,2.962715918442578413e+02
1.366834170854271413e+01,2.907884007473971906e+02
1.376884422110552819e+01,2.916429905223782271e+02
1.386934673366834225e+01,2.955691376610208181e+02
1.396984924623115631e+01,2.972089815047859247e+02
1.407035175879397038e+01,2.969769120246793932e+02
1.417085427135678444e+01,2.954011804261767224e+02
1.427135678391959850e+01,2.929216221585176072e+02
1.437185929648241256e+01,2.898790022599170015e+02
1.447236180904522662e+01,2.870358392449054463e+02
1.457286432160804068e+01,2.851020938914185194e+02
1.467336683417085474e+01,2.880695238242016671e+02
1.477386934673366881e+01,3.063945617186113850e+02
1.487437185929648287e+01,3.309950048593024121e+02
1.497487437185929693e+01,3.423725069532357566e+02
1.507537688442211099e+01,3.442613375549883017e+02
1.517587939698492505e+01,3.434096297383129013e+02
1.527638190954773911e+01,3.423635193574456821e+02
1.537688442211055317e+01,3.415647574364599564e+02
1.547738693467336724e+01,3.409505437096391347e+02
1.557788944723618130e+01,3.404277334598055518e+02
1.567839195979899536e+01,3.399447772851085574e+02
1.577889447236180942e+01,3.394801412891202403e+02
1.587939698492462348e+01,3.390266969480948660e+02
1.597989949748743754e+01,3.385830187149875314e+02
1.608040201005025338e+01,3.381495538354922132e+02
1.618090452261306567e+01,3.377272391301353878e+02
1.628140703517588150e+01,3.373171264067981383e+02
1.638190954773869379e+01,3.369204915349215526e+02
1.648241206030150963e+01,3.365393405474890187e+02
1.658291457286432191e+01,3.361773223131501140e+02
1.668341708542713775e+01,3.358423542337901040e+02
1.678391959798995003e+01,3.355569296715535756e+02
1.688442211055276587e+01,3.355499951276384536e+02
1.698492462311557816e+01,3.361826703290727210e+02
1.708542713567839400e+01,3.369824716808831226e+02
1.718592964824120628e+01,3.379003125269472889e+02
1.728643216080402212e+01,3.389199006775391467e+02
1.738693467336683440e+01,3.400290834105793465e+02
1.748743718592965024e+01,3.412142275459200960e+02
1.758793969849246253e+01,3.424575798857092650e+02
1.768844221105527836e+01,3.437350165781145961e+02
1.778894472361809065e+01,3.450137560911738319e+02
1.788944723618090649e+01,3.462500247713106205e+02
1.798994974874371877e+01,3.473869137198503267e+02
1.809045226130653461e+01,3.483538760713004763e+02
1.819095477386934689e+01,3.490715828632997955e+02
1.829145728643216273e+01,3.494828748002607881e+02
1.839195979899497502e+01,3.497960224732498773e+02
1.849246231155779085e+01,3.500323748529885393e+02
1.859296482412060314e+01,3.495582837642355116e+02
1.869346733668341898e+01,3.481735480644796326e+02
1.879396984924623126e+01,3.463065570309889836e+02
1.889447236180904710e+01,3.446344590631110805e+02
1.899497487437185939e+01,3.425819159488461878e+02
1.909547738693467522e+01,3.386587021708896827e+02
1.919597989949748751e+01,3.305774842265242910e+02
1.929648241206030335e+01,3.210941996929300331e+02
1.939698492462311563e+01,3.115714636140269249e+02
1.949748743718593147e+01,3.031859501046535570e+02
1.959798994974874375e+01,2.964250907132629322e+02
1.969849246231155959e+01,2.909209195856936390e+02
1.979899497487437188e+01,2.915112521871772060e+02
1.989949748743718771e+01,2.954981382412188395e+02
2.000000000000000000e+01,2.971925852790041631e+02
