time,linear_potential
0.000000000000000000e+00,2.557726550994326260e+02
1.005025125628140753e-01,3.174958730407843177e+02
2.010050251256281506e-01,3.121115274576662841e+02
3.015075376884422398e-01,3.077193466959404304e+02
4.020100502512563012e-01,3.033559847025312024e+02
5.025125628140704181e-01,2.963543053531221858e+02
6.030150753768844796e-01,2.860107618730544345e+02
7.035175879396985410e-01,2.724182764710379843e+02
8.040201005025126024e-01,2.566473992965869684e+02
9.045226130653266639e-01,2.407184189389337234e+02
1.005025125628140836e+00,2.266816716640452398e+02
1.105527638190954898e+00,2.184726263035570923e+02
1.206030150753768959e+00,2.133802551929177298e+02
1.306532663316583021e+00,2.119704812596122565e+02
1.407035175879397082e+00,2.143387050088350350e+02
1.507537688442211143e+00,2.198576454477308459e+02
1.608040201005025205e+00,2.270641822438149120e+02
1.708542713567839266e+00,2.342249759902684332e+02
1.809045226130653328e+00,2.400456709789755223e+02
1.909547738693467389e+00,2.440647292619156872e+02
2.010050251256281673e+00,2.464564836559948162e+02
2.110552763819095734e+00,2.476573331743196604e+02
2.211055276381909795e+00,2.481863394079180125e+02
2.311557788944723857e+00,2.486608479965509275e+02
2.412060301507537918e+00,2.505278433734044654e+02
2.512562814070351980e+00,2.549870699335140785e+02
2.613065326633166041e+00,2.618582535582559672e+02
2.713567839195980103e+00,2.709647265853716362e+02
2.814070351758794164e+00,2.938761904519533914e+02
2.914572864321608225e+00,3.052519288554681793e+02
3.015075376884422287e+00,3.092547315708262090e+02
3.115577889447236348e+00,3.106364480630684852e+02
3.216080402010050410e+00,3.113519185369806337e+02
3.316582914572864471e+00,3.118994001050095335e+02
3.417085427135678533e+00,3.123624675537618032e+02
3.517587939698492594e+00,3.127481865644400614e+02
3.618090452261306655e+00,3.130602139236814310e+02
3.718592964824120717e+00,3.133065699805907229e+02
3.819095477386934778e+00,3.134969540096529954e+02
3.919597989949748840e+00,3.136406391782817309e+02
4.020100502512563345e+00,3.137453842460932947e+02
4.120603015075377407e+00,3.138172506564459923e+02
4.221105527638191468e+00,3.138605754505558707e+02
4.321608040201005529e+00,3.138779034671317731e+02
4.422110552763819591e+00,3.138698900127442926e+02
4.522613065326633652e+00,3.138344626202746213e+02
4.623115577889447714e+00,3.137643756010599532e+02
4.723618090452261775e+00,3.136360878390808011e+02
4.824120603015075837e+00,3.135226959514263854e+02
4.924623115577889898e+00,3.136115567295775008e+02
5.025125628140703959e+00,3.136152335253368051e+02
5.125628140703518021e+00,3.135746075697295510e+02
5.226130653266332082e+00,3.134988764936366010e+02
5.326633165829146144e+00,3.133898610197318817e+02
5.427135678391960205e+00,3.132454513306762465e+02
5.527638190954774267e+00,3.130599737161973621e+02
5.628140703517588328e+00,3.128225157542179886e+02
5.728643216080402389e+00,3.125134394218629836e+02
5.829145728643216451e+00,3.120975632153904940e+02
5.929648241206030512e+00,3.115116139931905650e+02
6.030150753768844574e+00,3.106416555804925110e+02
6.130653266331658635e+00,3.092819448989314992e+02
6.231155778894472697e+00,3.070499157268484396e+02
6.331658291457286758e+00,3.041357639813775222e+02
6.432160804020100819e+00,3.003987276521356193e+02
6.532663316582914881e+00,2.939825251086010098e+02
6.633165829145728942e+00,2.843283477339085721e+02
6.733668341708543004e+00,2.714254692834004459e+02
6.834170854271357065e+00,2.562058933396579619e+02
6.934673366834171127e+00,2.406221277565132368e+02
7.035175879396985188e+00,2.266486539661956101e+02
7.135678391959799249e+00,2.185120990732302744e+02
7.236180904522613311e+00,2.133925547354442642e+02
7.336683417085427372e+00,2.119164511823313433e+02
7.437185929648241434e+00,2.142088203393782351e+02
7.537688442211055495e+00,2.196722079749514478e+02
7.638190954773869557e+00,2.268645270643446281e+02
7.738693467336683618e+00,2.340474871422866272e+02
7.839195979899497679e+00,2.399116477944822350e+02
7.939698492462311741e+00,2.439741638305723939e+02
8.040201005025126690e+00,2.463972094596667262e+02
8.140703517587940752e+00,2.476105862716287049e+02
8.241206030150754813e+00,2.481242976005226524e+02
8.341708542713568875e+00,2.485371265287167262e+02
8.442211055276382936e+00,2.502351786533399434e+02
8.542713567839196998e+00,2.544422340394136199e+02
8.643216080402011059e+00,2.613461250856904030e+02
8.743718592964825120e+00,2.686894887144670179e+02
8.844221105527639182e+00,2.926490609023906586e+02
8.944723618090453243e+00,3.048341673557291074e+02
9.045226130653267305e+00,3.091663644014072929e+02
9.145728643216081366e+00,3.106251428148114542e+02
9.246231155778895427e+00,3.113483829952442079e+02
9.346733668341709489e+00,3.118931924976743630e+02
9.447236180904523550e+00,3.123547534075704561e+02
9.547738693467337612e+00,3.127406645053291072e+02
9.648241206030151673e+00,3.130536978117203262e+02
9.748743718592965735e+00,3.133012623243699863e+02
9.849246231155779796e+00,3.134928164205089729e+02
9.949748743718593857e+00,3.136375226526053552e+02
1.005025125628140792e+01,3.137431529763343860e+02
1.015075376884422198e+01,3.138157897591624419e+02
1.025125628140703604e+01,3.138597906887714544e+02
1.035175879396985010e+01,3.138777746412877718e+02
1.045226130653266416e+01,3.138704221849434930e+02
1.055276381909547823e+01,3.138357616164747697e+02
1.065326633165829229e+01,3.137667330140226341e+02
1.075376884422110635e+01,3.136406178423342226e+02
1.085427135678392041e+01,3.135178300333412835e+02
1.095477386934673447e+01,3.136106803117530717e+02
1.105527638190954853e+01,3.136157603824457283e+02
1.115577889447236259e+01,3.135761002827927086e+02
1.125628140703517666e+01,3.135012341918705943e+02
1.135678391959799072e+01,3.133930680308029650e+02
1.145728643216080478e+01,3.132496337985933224e+02
1.155778894472361884e+01,3.130653174851580616e+02
1.165829145728643290e+01,3.128293907870781254e+02
1.175879396984924696e+01,3.125225041348253967e+02
1.185929648241206102e+01,3.121099697402273705e+02
1.195979899497487509e+01,3.115295482888646461e+02
1.206030150753768915e+01,3.106689290474018890e+02
1.216080402010050321e+01,3.093255086799852620e+02
1.226130653266331727e+01,3.071233022492503437e+02
1.236180904522613133e+01,3.042014794136989053e+02
1.246231155778894539e+01,3.005251277410221178e+02
1.256281407035175945e+01,2.941858292859338917e+02
1.266331658291457352e+01,2.846181087189101504e+02
1.276381909547738758e+01,2.717915678302130118e+02
1.286432160804020164e+01,2.566105185560317636e+02
1.296482412060301570e+01,2.410077331701255616e+02
1.306532663316582976e+01,2.269242606410030589e+02
1.316582914572864382e+01,2.186874258483937297e+02
1.326633165829145788e+01,2.134798693446660707e+02
1.336683417085427195e+01,2.119065927448380080e+02
1.346733668341708601e+01,2.141059664806975036e+02
1.356783919597990007e+01,2.195029924006427109e+02
1.366834170854271413e+01,2.266736125961328980e+02
1.376884422110552819e+01,2.338756626300348955e+02
1.386934673366834225e+01,2.397834813121136222e+02
1.396984924623115631e+01,2.438919988330851538e+02
1.407035175879397038e+01,2.463522631012691591e+02
1.417085427135678444e+01,2.475905151804691684e+02
1.427135678391959850e+01,2.481152248466931383e+02
1.437185929648241256e+01,2.485227286167521754e+02
1.447236180904522662e+01,2.501672174257849974e+02
1.457286432160804068e+01,2.542916557414126544e+02
1.467336683417085474e+01,2.611788966574846427e+02
1.477386934673366881e+01,2.678968405938596220e+02
1.487437185929648287e+01,2.921840721279936588e+02
1.497487437185929693e+01,3.046463401015972181e+02
1.507537688442211099e+01,3.091060630867593773e+02
1.517587939698492505e+01,3.106013317400353912e+02
1.527638190954773911e+01,3.113329394252737075e+02
1.537688442211055317e+01,3.118803528317744167e+02
1.547738693467336724e+01,3.123438617967289019e+02
1.557788944723618130e+01,3.127317053608115884e+02
1.567839195979899536e+01,3.130465313695254395e+02
1.577889447236180942e+01,3.132956511801842225e+02
1.587939698492462348e+01,3.134885239859277704e+02
1.597989949748743754e+01,3.136343317663138919e+02
1.608040201005025338e+01,3.137408793054841567e+02
1.618090452261306567e+01,3.138143004265525065e+02
1.628140703517588150e+01,3.138589991001065869e+02
1.638190954773869379e+01,3.138776275138854999e+02
1.648241206030150963e+01,3.138709364230046504e+02
1.658291457286432191e+01,3.138370281764150604e+02
1.668341708542713775e+01,3.137690619907902487e+02
1.678391959798995003e+01,3.136450643365429301e+02
1.688442211055276587e+01,3.135126903536462351e+02
1.698492462311557816e+01,3.136097545309619363e+02
1.708542713567839400e+01,3.136162538917623692e+02
1.718592964824120628e+01,3.135775883438769824e+02
1.728643216080402212e+01,3.135035654989961813e+02
1.738693467336683440e+01,3.133962673374991255e+02
1.748743718592965024e+01,3.132537878178923734e+02
1.758793969849246253e+01,3.130706274321000819e+02
1.768844221105527836e+01,3.128362158238500115e+02
1.778894472361809065e+01,3.125314915203589408e+02
1.788944723618090649e+01,3.121223221506699588e+02
1.798994974874371877e+01,3.115473038184862844e+02
1.809045226130653461e+01,3.106958863461755413e+02
1.819095477386934689e+01,3.093685126975550475e+02
1.829145728643216273e+01,3.071956147361127023e+02
1.839195979899497502e+01,3.042656992968835539e+02
1.849246231155779085e+01,3.006497712077379560e+02
1.859296482412060314e+01,2.943869452279440111e+02
1.869346733668341898e+01,2.849056676644618733e+02
1.879396984924623126e+01,2.721560311947571904e+02
1.889447236180904710e+01,2.570148344985867652e+02
1.899497487437185939e+01,2.413944558328594781e+02
1.909547738693467522e+01,2.272731829244468713e+02
1.919597989949748751e+01,2.188648111061328052e+02
1.929648241206030335e+01,2.135695894577722527e+02
1.939698492462311563e+01,2.118992626596107698e+02
1.949748743718593147e+01,2.140052802772357836e+02
1.959798994974874375e+01,2.193349827380592103e+02
1.969849246231155959e+01,2.264826608407103663e+02
1.979899497487437188e+01,2.337029171358207407e+02
1.989949748743718771e+01,2.396541092026998854e+02
2.000000000000000000e+01,2.438087437515806641e+02
