time,potential
0.000000000000000000e+00,7.517950980463496080e+02
1.005025125628140753e-01,8.075802498770210605e+02
2.010050251256281506e-01,8.071855266339033506e+02
3.015075376884422398e-01,8.081467530276022444e+02
4.020100502512563012e-01,8.054691320454815013e+02
5.025125628140704181e-01,7.942915647902649425e+02
6.030150753768844796e-01,7.715019953054088546e+02
7.035175879396985410e-01,7.382770126242353399e+02
8.040201005025126024e-01,7.007554407893761663e+02
9.045226130653266639e-01,6.659900317372931795e+02
1.005025125628140836e+00,6.379304262727744117e+02
1.105527638190954898e+00,6.176900342666956476e+02
1.206030150753768959e+00,6.053255532815855986e+02
1.306532663316583021e+00,6.004842588961705587e+02
1.407035175879397082e+00,6.021700807725277400e+02
1.507537688442211143e+00,6.084038780105595379e+02
1.608040201005025205e+00,6.164047625247677615e+02
1.708542713567839266e+00,6.235026853105129021e+02
1.809045226130653328e+00,6.281227901133148634e+02
1.909547738693467389e+00,6.299953991169354595e+02
2.010050251256281673e+00,6.296697543622871081e+02
2.110552763819095734e+00,6.280069066754056166e+02
2.211055276381909795e+00,6.260464332617665377e+02
2.311557788944723857e+00,6.253319829945666015e+02
2.412060301507537918e+00,6.288058251358314692e+02
2.512562814070351980e+00,6.420257452748451215e+02
2.613065326633166041e+00,6.712882157322131889e+02
2.713567839195980103e+00,7.117360490024180990e+02
2.814070351758794164e+00,7.431144647223603670e+02
2.914572864321608225e+00,7.567824295468886930e+02
3.015075376884422287e+00,7.604143736763614925e+02
3.115577889447236348e+00,7.608582060912356155e+02
3.216080402010050410e+00,7.606208657329455036e+02
3.316582914572864471e+00,7.603029102519611797e+02
3.417085427135678533e+00,7.600023988284518737e+02
3.517587939698492594e+00,7.597298878912823739e+02
3.618090452261306655e+00,7.594925517516011269e+02
3.718592964824120717e+00,7.593020031011151332e+02
3.819095477386934778e+00,7.591710126709725728e+02
3.919597989949748840e+00,7.591113374648801937e+02
4.020100502512563345e+00,7.591329176504773386e+02
4.120603015075377407e+00,7.592441096870602451e+02
4.221105527638191468e+00,7.594521502838400693e+02
4.321608040201005529e+00,7.597636202702353785e+02
4.422110552763819591e+00,7.601850814443068884e+02
4.522613065326633652e+00,7.607234601753802963e+02
4.623115577889447714e+00,7.613865454935164507e+02
4.723618090452261775e+00,7.621834144745128015e+02
4.824120603015075837e+00,7.631248709225729954e+02
4.924623115577889898e+00,7.642238948559273695e+02
5.025125628140703959e+00,7.654961106589910287e+02
5.125628140703518021e+00,7.669602929989670201e+02
5.226130653266332082e+00,7.686388070358060531e+02
5.326633165829146144e+00,7.705580954245505154e+02
5.427135678391960205e+00,7.727486393252385142e+02
5.527638190954774267e+00,7.752446204638661129e+02
5.628140703517588328e+00,7.780817496680607519e+02
5.728643216080402389e+00,7.812921735851527956e+02
5.829145728643216451e+00,7.848927937571070288e+02
5.929648241206030512e+00,7.888603699955768889e+02
6.030150753768844574e+00,7.930807696410845438e+02
6.130653266331658635e+00,7.972491256795191248e+02
6.231155778894472697e+00,8.006860562815860476e+02
6.331658291457286758e+00,8.020409699397189343e+02
6.432160804020100819e+00,7.989579642596330586e+02
6.532663316582914881e+00,7.881444461506932839e+02
6.633165829145728942e+00,7.667908569355802229e+02
6.733668341708543004e+00,7.354911551852615048e+02
6.834170854271357065e+00,6.995633719746585939e+02
6.934673366834171127e+00,6.657155818378255390e+02
7.035175879396985188e+00,6.380280871263064455e+02
7.135678391959799249e+00,6.178527656310002385e+02
7.236180904522613311e+00,6.054118609791082690e+02
7.336683417085427372e+00,6.004451101974526637e+02
7.437185929648241434e+00,6.020140776686355366e+02
7.537688442211055495e+00,6.081805682528851094e+02
7.638190954773869557e+00,6.161811264288858183e+02
