time,R_energy_linear_jacobian
0.000000000000000000e+00,-5.625456665946804605e+03
1.010101010101010083e-01,-5.635389649760632892e+03
2.020202020202020166e-01,-5.656975505510678886e+03
3.030303030303030387e-01,-5.644251565160740029e+03
4.040404040404040331e-01,-5.612954006463092810e+03
5.050505050505050830e-01,-5.572310943420779040e+03
6.060606060606060774e-01,-5.530741074067542286e+03
7.070707070707070718e-01,-5.495060687364879414e+03
8.080808080808080662e-01,-5.470099503032482062e+03
9.090909090909090606e-01,-5.458866001929091908e+03
1.010101010101010166e+00,-5.462668710625195672e+03
1.111111111111111160e+00,-5.481099450155752493e+03
1.212121212121212155e+00,-5.512059429964064293e+03
1.313131313131313149e+00,-5.552020347594629129e+03
1.414141414141414144e+00,-5.596568406795954616e+03
1.515151515151515138e+00,-5.641175496489187935e+03
1.616161616161616132e+00,-5.682041391305160687e+03
1.717171717171717127e+00,-5.716721016464914101e+03
1.818181818181818121e+00,-5.744261424539909967e+03
1.919191919191919116e+00,-5.764816803411338697e+03
2.020202020202020332e+00,-5.778999878895223446e+03
2.121212121212121104e+00,-5.787322878139600107e+03
2.222222222222222321e+00,-5.789926830591835824e+03
2.323232323232323093e+00,-5.786557680763919052e+03
2.424242424242424310e+00,-5.776661020655678840e+03
2.525252525252525082e+00,-5.759571247081552428e+03
2.626262626262626299e+00,-5.734851999554910435e+03
2.727272727272727071e+00,-5.702748663623968241e+03
2.828282828282828287e+00,-5.664566508537713162e+03
2.929292929292929060e+00,-5.622781140569805757e+03
3.030303030303030276e+00,-5.580810032125494217e+03
3.131313131313131048e+00,-5.542511854427600156e+03
3.232323232323232265e+00,-5.511582787695921070e+03
3.333333333333333481e+00,-5.491041170139871610e+03
3.434343434343434254e+00,-5.482888638163797623e+03
3.535353535353535470e+00,-5.487898792955800673e+03
3.636363636363636243e+00,-5.505482267251651137e+03
3.737373737373737459e+00,-5.533681501695327825e+03
3.838383838383838231e+00,-5.569387135890113314e+03
3.939393939393939448e+00,-5.608805838661435700e+03
4.040404040404040664e+00,-5.648117236981003771e+03
4.141414141414140992e+00,-5.684154438400799336e+03
4.242424242424242209e+00,-5.714865674314456555e+03
4.343434343434343425e+00,-5.739370524459853186e+03
4.444444444444444642e+00,-5.757628623250700002e+03
4.545454545454544970e+00,-5.769940440758789919e+03
4.646464646464646187e+00,-5.776538267213455583e+03
4.747474747474747403e+00,-5.777392753369812453e+03
4.848484848484848619e+00,-5.772204528371285960e+03
4.949494949494949836e+00,-5.760514893423000103e+03
5.050505050505050164e+00,-5.741927466732934590e+03
5.151515151515151381e+00,-5.716439323718404012e+03
5.252525252525252597e+00,-5.684792182231838524e+03
5.353535353535353813e+00,-5.648687696309558305e+03
5.454545454545454142e+00,-5.610750627989291388e+03
5.555555555555555358e+00,-5.574227565020903057e+03
5.656565656565656575e+00,-5.542512134385360696e+03
5.757575757575757791e+00,-5.518649550370657380e+03
5.858585858585858119e+00,-5.504949515418979900e+03
5.959595959595959336e+00,-5.502734448760458690e+03
6.060606060606060552e+00,-5.512179048203695857e+03
6.161616161616161769e+00,-5.532236440984265755e+03
6.262626262626262097e+00,-5.560715019479263901e+03
6.363636363636363313e+00,-5.594567083375864968e+03
6.464646464646464530e+00,-5.630380620378771710e+03
6.565656565656565746e+00,-5.664973278600557023e+03
6.666666666666666963e+00,-5.695906216998198033e+03
6.767676767676767291e+00,-5.721727792308991411e+03
6.868686868686868507e+00,-5.741871140055856813e+03
6.969696969696969724e+00,-5.756306715301309850e+03
7.070707070707070940e+00,-5.765155403133033360e+03
7.171717171717171269e+00,-5.768428901824419881e+03
7.272727272727272485e+00,-5.765943260744747022e+03
7.373737373737373701e+00,-5.757369989721706588e+03
7.474747474747474918e+00,-5.742394798694687779e+03
7.575757575757575246e+00,-5.720972728206764259e+03
7.676767676767676463e+00,-5.693625694715723512e+03
7.777777777777777679e+00,-5.661667231022490341e+03
7.878787878787878896e+00,-5.627241889561166317e+03
7.979797979797979224e+00,-5.593136864312421494e+03
8.080808080808081328e+00,-5.562411672794172773e+03
8.181818181818181657e+00,-5.537959891304607481e+03
8.282828282828281985e+00,-5.522125322702911944e+03
8.383838383838384090e+00,-5.516430603517706004e+03
8.484848484848484418e+00,-5.521403039446911862e+03
8.585858585858586522e+00,-5.536480027380842330e+03
8.686868686868686851e+00,-5.560030060095944464e+03
8.787878787878787179e+00,-5.589546863837042110e+03
8.888888888888889284e+00,-5.622030901057976735e+03
8.989898989898989612e+00,-5.654494401306336840e+03
9.090909090909089940e+00,-5.684448256287812910e+03
9.191919191919192045e+00,-5.068535690550259460e+03
9.292929292929292373e+00,-4.447612783972904253e+03
9.393939393939394478e+00,-3.821802182963566338e+03
9.494949494949494806e+00,-3.191600350331028949e+03
9.595959595959595134e+00,-2.557692433487969083e+03
9.696969696969697239e+00,-1.920838929438641117e+03
9.797979797979797567e+00,-1.281809109367150540e+03
9.898989898989899672e+00,-6.413234245759928172e+02
1.000000000000000000e+01,-0.000000000000000000e+00
