time,potential_global
0.000000000000000000e+00,1.019722281859569648e+03
1.010101010101010083e-01,1.050398905750119866e+03
2.020202020202020166e-01,1.065481256919653788e+03
3.030303030303030387e-01,1.072213151800705646e+03
4.040404040404040331e-01,1.075358734093747444e+03
5.050505050505050830e-01,1.076218790363292555e+03
6.060606060606060774e-01,1.075705178803039871e+03
7.070707070707070718e-01,1.074123663753221081e+03
8.080808080808080662e-01,1.071343019459423203e+03
9.090909090909090606e-01,1.067321614163096910e+03
1.010101010101010166e+00,1.062554570470576436e+03
1.111111111111111160e+00,1.058064974501719234e+03
1.212121212121212155e+00,1.054953093135809695e+03
1.313131313131313149e+00,1.053893574164540951e+03
1.414141414141414144e+00,1.054913816233311536e+03
1.515151515151515138e+00,1.057515572359618545e+03
1.616161616161616132e+00,1.061005852487614675e+03
1.717171717171717127e+00,1.064812702302979460e+03
1.818181818181818121e+00,1.068604198435595208e+03
1.919191919191919116e+00,1.072200894920492146e+03
2.020202020202020332e+00,1.075427913517831030e+03
2.121212121212121104e+00,1.078068081293183241e+03
2.222222222222222321e+00,1.079955984242291606e+03
2.323232323232323093e+00,1.081096571787385074e+03
2.424242424242424310e+00,1.081662604460100511e+03
2.525252525252525082e+00,1.081863909306052619e+03
2.626262626262626299e+00,1.081813822079592910e+03
2.727272727272727071e+00,1.081504757517202052e+03
2.828282828282828287e+00,1.080889070071712695e+03
2.929292929292929060e+00,1.079958931462421333e+03
3.030303030303030276e+00,1.078728983307939416e+03
3.131313131313131048e+00,1.077138118367069865e+03
3.232323232323232265e+00,1.074992029727081672e+03
3.333333333333333481e+00,1.072066874064233843e+03
3.434343434343434254e+00,1.068361099598576629e+03
3.535353535353535470e+00,1.064296634610177762e+03
3.636363636363636243e+00,1.060648870991638660e+03
3.737373737373737459e+00,1.058218398835775588e+03
3.838383838383838231e+00,1.057481336768705660e+03
3.939393939393939448e+00,1.058436273334099496e+03
4.040404040404040664e+00,1.060697032404792026e+03
4.141414141414140992e+00,1.063732405723318152e+03
4.242424242424242209e+00,1.067086510600649262e+03
4.343434343434343425e+00,1.070458420127322825e+03
4.444444444444444642e+00,1.073646614186061697e+03
4.545454545454544970e+00,1.076465275323674859e+03
4.646464646464646187e+00,1.078734531186519916e+03
4.747474747474747403e+00,1.080350210654470402e+03
4.848484848484848619e+00,1.081343675362173144e+03
4.949494949494949836e+00,1.081851370968752690e+03
5.050505050505050164e+00,1.082014799584014327e+03
5.151515151515151381e+00,1.081901460528647476e+03
5.252525252525252597e+00,1.081506580393849390e+03
5.353535353535353813e+00,1.080809843245198863e+03
5.454545454545454142e+00,1.079808839428476631e+03
5.555555555555555358e+00,1.078485310974645927e+03
5.656565656565656575e+00,1.076746218824726384e+03
5.757575757575757791e+00,1.074434819821690326e+03
5.858585858585858119e+00,1.071464802178177706e+03
5.959595959595959336e+00,1.068006562706260183e+03
6.060606060606060552e+00,1.064556203917710945e+03
6.161616161616161769e+00,1.061785911642038172e+03
6.262626262626262097e+00,1.060263011208799526e+03
6.363636363636363313e+00,1.060226513104704964e+03
6.464646464646464530e+00,1.061543947475284085e+03
6.565656565656565746e+00,1.063838990612413909e+03
6.666666666666666963e+00,1.066683418667887736e+03
6.767676767676767291e+00,1.069730319573658107e+03
6.868686868686868507e+00,1.072734584576967791e+03
6.969696969696969724e+00,1.075503259858512365e+03
7.070707070707070940e+00,1.077861281402312670e+03
7.171717171717171269e+00,1.079677292422995151e+03
7.272727272727272485e+00,1.080915434905773736e+03
7.373737373737373701e+00,1.081643564280005421e+03
7.474747474747474918e+00,1.081975844972511140e+03
7.575757575757575246e+00,1.081998060066008065e+03
7.676767676767676463e+00,1.081737115317956523e+03
7.777777777777777679e+00,1.081185470155746543e+03
7.878787878787878896e+00,1.080335456173353805e+03
7.979797979797979224e+00,1.079174970162785485e+03
8.080808080808081328e+00,1.077650092582925708e+03
8.181818181818181657e+00,1.075655518708734917e+03
8.282828282828281985e+00,1.073109920275525155e+03
8.383838383838384090e+00,1.070096205518387478e+03
8.484848484848484418e+00,1.066955580469752249e+03
8.585858585858586522e+00,1.064226564341290896e+03
8.686868686868686851e+00,1.062443130415027781e+03
8.787878787878787179e+00,1.061922534113633674e+03
8.888888888888889284e+00,1.062670257483038995e+03
8.989898989898989612e+00,1.064435526510910222e+03
9.090909090909089940e+00,1.066856712127183528e+03
9.191919191919192045e+00,1.069594751570225753e+03
9.292929292929292373e+00,1.072387429301226121e+03
9.393939393939394478e+00,1.075031840051721929e+03
9.494949494949494806e+00,1.077354788213028087e+03
9.595959595959595134e+00,1.079219985200044675e+03
9.696969696969697239e+00,1.080564517763419872e+03
9.797979797979797567e+00,1.081415554776604040e+03
9.898989898989899672e+00,1.081856878279002331e+03
1.000000000000000000e+01,1.081968787592333683e+03
