time,R_energy
0.000000000000000000e+00,-7.318996076147505914e-01
1.002506265664160345e-01,-8.552222070552875088e-01
2.005012531328320691e-01,-1.009461090532170813e+00
3.007518796992481036e-01,-1.195671657078590799e+00
4.010025062656641381e-01,-1.409213416576657885e+00
5.012531328320801727e-01,-1.639746980335345272e+00
6.015037593984962072e-01,-1.875348746639126318e+00
7.017543859649122417e-01,-2.111530377151886739e+00
8.020050125313282763e-01,-2.362701649721536068e+00
9.022556390977443108e-01,-2.669391233880568315e+00
1.002506265664160345e+00,-3.092139711498592014e+00
1.102756892230576380e+00,-3.686393290417655955e+00
1.203007518796992414e+00,-4.464541073337634280e+00
1.303258145363408449e+00,-5.366981085972978960e+00
1.403508771929824483e+00,-6.268799299586031992e+00
1.503759398496240518e+00,-7.028703707987727256e+00
1.604010025062656553e+00,-7.553417901048616656e+00
1.704260651629072587e+00,-7.837487775668759760e+00
1.804511278195488622e+00,-7.960647904272516229e+00
1.904761904761904656e+00,-8.056564973386770134e+00
2.005012531328320691e+00,-8.274944577012670166e+00
2.105263157894736725e+00,-8.743929488728888089e+00
2.205513784461152760e+00,-9.529089570722401703e+00
2.305764411027568794e+00,-1.059765960445525046e+01
2.406015037593984829e+00,-1.181456475635311953e+01
2.506265664160400863e+00,-1.298432211126533353e+01
2.606516290726816898e+00,-1.391256888915955514e+01
2.706766917293232932e+00,-1.444367612924962252e+01
2.807017543859648967e+00,-1.446257816568782495e+01
2.907268170426065002e+00,-1.389032445156485629e+01
3.007518796992481036e+00,-1.270684929872788693e+01
3.107769423558897071e+00,-1.099885430839964862e+01
3.208020050125313105e+00,-8.989106285139422781e+00
3.308270676691729140e+00,-6.999185913484310184e+00
3.408521303258145174e+00,-5.348582040034448148e+00
3.508771929824561209e+00,-4.254174237906554801e+00
3.609022556390977243e+00,-3.794618060729520348e+00
3.709273182957393278e+00,-3.941772006544489226e+00
3.809523809523809312e+00,-4.608173708458989992e+00
3.909774436090225347e+00,-5.665844748268394682e+00
4.010025062656641381e+00,-6.938012806866793447e+00
4.110275689223056972e+00,-8.201520202354588562e+00
4.210526315789473450e+00,-9.229243593108414245e+00
4.310776942355889929e+00,-9.857136232665308029e+00
4.411027568922305520e+00,-1.002913364496911974e+01
4.511278195488721110e+00,-9.791658733369514422e+00
4.611528822055137589e+00,-9.253531146908899885e+00
4.711779448621554067e+00,-8.547386774397496723e+00
4.812030075187969658e+00,-7.812601015430113094e+00
4.912280701754385248e+00,-7.192119291909215839e+00
5.012531328320801727e+00,-6.823670100139663575e+00
5.112781954887218205e+00,-6.816559115063345331e+00
5.213032581453633796e+00,-7.221226575503354894e+00
5.313283208020049386e+00,-8.000912190558803871e+00
5.413533834586465865e+00,-9.013468722836611491e+00
5.513784461152882344e+00,-1.002253344008067337e+01
5.614035087719297934e+00,-1.075791318494175108e+01
5.714285714285713524e+00,-1.101059878854481511e+01
5.814536340852130003e+00,-1.070959467101792661e+01
5.914786967418546482e+00,-9.931973318733017919e+00
6.015037593984962072e+00,-8.842051627810697312e+00
6.115288220551377663e+00,-7.604595032883525896e+00
6.215538847117794141e+00,-6.334514101120004348e+00
6.315789473684210620e+00,-5.109738128382418587e+00
6.416040100250626210e+00,-4.010595540677562632e+00
6.516290726817041801e+00,-3.127843442008309438e+00
6.616541353383458279e+00,-2.527912632782949753e+00
6.716791979949874758e+00,-2.216039289014949620e+00
6.817042606516290348e+00,-2.134581930521968207e+00
6.917293233082705939e+00,-2.193524874676826109e+00
7.017543859649122417e+00,-2.306164759249779372e+00
7.117794486215538896e+00,-2.410194147436965917e+00
7.218045112781954487e+00,-2.471753494111001537e+00
7.318295739348370077e+00,-2.479513098152068995e+00
7.418546365914786556e+00,-2.436099488991481543e+00
7.518796992481203034e+00,-2.350867834459531291e+00
7.619047619047618625e+00,-2.235148590949592950e+00
7.719298245614034215e+00,-2.099662912331318410e+00
7.819548872180450694e+00,-1.953406223804327047e+00
7.919799498746867172e+00,-1.803374178351499380e+00
8.020050125313282763e+00,-1.654702292480810133e+00
8.120300751879698353e+00,-1.510966769494307194e+00
8.220551378446113944e+00,-1.374514903257906040e+00
8.320802005012531311e+00,-1.246765526170645844e+00
8.421052631578946901e+00,-1.128458742751778043e+00
8.521303258145362491e+00,-1.019853027278153856e+00
8.621553884711779858e+00,-9.208756851750398154e-01
8.721804511278195449e+00,-8.312350846357154932e-01
8.822055137844611039e+00,-7.505029355981254202e-01
8.922305764411026630e+00,-6.781737737504918151e-01
9.022556390977442220e+00,-6.137074366628993971e-01
9.122807017543859587e+00,-5.565590176594886751e-01
9.223057644110275177e+00,-5.061996607568904905e-01
9.323308270676690768e+00,-4.621306262781120777e-01
9.423558897243108134e+00,-4.238922916952890807e-01
9.523809523809523725e+00,-3.910691205374017820e-01
9.624060150375939315e+00,-3.632911032194419132e-01
9.724310776942354906e+00,-3.402317400225617905e-01
9.824561403508770496e+00,-3.216023062871430360e-01
9.924812030075187863e+00,-3.071419477739606441e-01
1.002506265664160345e+01,-2.966031548373774807e-01
1.012531328320801904e+01,-2.897324253231213786e-01
1.022556390977443641e+01,-2.862465066472134612e-01
1.032581453634085200e+01,-2.858055255946101436e-01
1.042606516290726759e+01,-2.879855089246388666e-01
1.052631578947368318e+01,-2.922540941982382789e-01
1.062656641604009877e+01,-2.979543298222455672e-01
