time,R_energy_linear
0.000000000000000000e+00,-6.757639998385448488e-01
1.002506265664160345e-01,-8.880081915588813324e-01
2.005012531328320691e-01,-1.181081422134587333e+00
3.007518796992481036e-01,-1.589179715800764559e+00
4.010025062656641381e-01,-2.159122435924812233e+00
5.012531328320801727e-01,-2.952247965974056143e+00
6.015037593984962072e-01,-4.043712718951669061e+00
7.017543859649122417e-01,-5.516114561181703735e+00
8.020050125313282763e-01,-7.443249851937387085e+00
9.022556390977443108e-01,-9.860159588235648087e+00
1.002506265664160345e+00,-1.271988807563124091e+01
1.102756892230576380e+00,-1.584831915658208068e+01
1.203007518796992414e+00,-1.892582799847451724e+01
1.303258145363408449e+00,-2.153972524651075204e+01
1.403508771929824483e+00,-2.334475109928416359e+01
1.503759398496240518e+00,-2.431881713552893487e+01
1.604010025062656553e+00,-2.500932733905699124e+01
1.704260651629072587e+00,-2.657638921607460958e+01
1.804511278195488622e+00,-3.043094665171251734e+01
1.904761904761904656e+00,-3.741668390180254988e+01
2.005012531328320691e+00,-4.683049134135587366e+01
2.105263157894736725e+00,-5.599333968175614018e+01
2.205513784461152760e+00,-6.112391787824991241e+01
2.305764411027568794e+00,-5.943558062545090337e+01
2.406015037593984829e+00,-5.110311830435146874e+01
2.506265664160400863e+00,-3.954304324477672594e+01
2.606516290726816898e+00,-2.988325517250643060e+01
2.706766917293232932e+00,-2.688778252163194082e+01
2.807017543859648967e+00,-3.338880000552008909e+01
2.907268170426065002e+00,-4.925221305819524531e+01
3.007518796992481036e+00,-7.072849805693640235e+01
3.107769423558897071e+00,-9.089196040499103901e+01
3.208020050125313105e+00,-1.021610608014194241e+02
3.308270676691729140e+00,-1.001927476997143032e+02
3.408521303258145174e+00,-8.624718855642873905e+01
3.508771929824561209e+00,-6.587959437588861533e+01
3.609022556390977243e+00,-4.531016884147120294e+01
3.709273182957393278e+00,-2.859880186941946079e+01
3.809523809523809312e+00,-1.708690904702147151e+01
3.909774436090225347e+00,-1.034522706405100401e+01
4.010025062656641381e+00,-7.346637807563707767e+00
4.110275689223056972e+00,-7.225358420554220729e+00
4.210526315789473450e+00,-9.593194377925408745e+00
4.310776942355889929e+00,-1.457436882522089761e+01
4.411027568922305520e+00,-2.264973006031873126e+01
4.511278195488721110e+00,-3.427506374063588623e+01
4.611528822055137589e+00,-4.920462606599124200e+01
4.711779448621554067e+00,-6.565274179714168667e+01
4.812030075187969658e+00,-7.989100367028846961e+01
4.912280701754385248e+00,-8.716991463823956110e+01
5.012531328320801727e+00,-8.412590931794477456e+01
5.112781954887218205e+00,-7.115885373483931176e+01
5.213032581453633796e+00,-5.264093274700756808e+01
5.313283208020049386e+00,-3.467249550919328271e+01
5.413533834586465865e+00,-2.232654105511928222e+01
5.513784461152882344e+00,-1.817480196677681192e+01
5.614035087719297934e+00,-2.216908654128668132e+01
5.714285714285713524e+00,-3.211606001315155368e+01
5.814536340852130003e+00,-4.450670599128088156e+01
5.914786967418546482e+00,-5.594745265416378288e+01
6.015037593984962072e+00,-6.474641098697105690e+01
6.115288220551377663e+00,-7.116798735137813026e+01
6.215538847117794141e+00,-7.569981636947257186e+01
6.315789473684210620e+00,-7.722181030314402506e+01
6.416040100250626210e+00,-7.352828135873571114e+01
6.516290726817041801e+00,-6.371777920037801124e+01
6.616541353383458279e+00,-4.956982112623236958e+01
6.716791979949874758e+00,-3.450311312539401598e+01
6.817042606516290348e+00,-2.152969422665232813e+01
6.917293233082705939e+00,-1.208755719872795531e+01
7.017543859649122417e+00,-6.150934245969748915e+00
7.117794486215538896e+00,-2.928016647710936837e+00
7.218045112781954487e+00,-1.479895553501964001e+00
7.318295739348370077e+00,-1.037957634455474842e+00
7.418546365914786556e+00,-1.082752128588504448e+00
7.518796992481203034e+00,-1.307961249136451842e+00
7.619047619047618625e+00,-1.554399021404625270e+00
7.719298245614034215e+00,-1.751877603436018394e+00
7.819548872180450694e+00,-1.878635300630075111e+00
7.919799498746867172e+00,-1.936445655179499070e+00
8.020050125313282763e+00,-1.936702084035581084e+00
8.120300751879698353e+00,-1.893280561139243368e+00
8.220551378446113944e+00,-1.819252277190049893e+00
8.320802005012531311e+00,-1.725635271552155459e+00
8.421052631578946901e+00,-1.621147656646105606e+00
8.521303258145362491e+00,-1.512402322138715727e+00
8.621553884711779858e+00,-1.404257686880391098e+00
8.721804511278195449e+00,-1.300189145534999424e+00
8.822055137844611039e+00,-1.202624179620223499e+00
8.922305764411026630e+00,-1.113222855192414151e+00
9.022556390977442220e+00,-1.033103255848963897e+00
9.122807017543859587e+00,-9.630186568583669615e-01
9.223057644110275177e+00,-9.034951538336164489e-01
9.323308270676690768e+00,-8.549382958996699644e-01
9.423558897243108134e+00,-8.177157951138670500e-01
9.523809523809523725e+00,-7.922219893591564421e-01
9.624060150375939315e+00,-7.789280732036720778e-01
9.724310776942354906e+00,-7.784206087410598940e-01
9.824561403508770496e+00,-7.914293218708132738e-01
9.924812030075187863e+00,-8.188436839333178563e-01
1.002506265664160345e+01,-8.617162181867892290e-01
1.012531328320801904e+01,-9.212488602007391503e-01
1.022556390977443641e+01,-9.987570970309292973e-01
1.032581453634085200e+01,-1.095605178688569437e+00
1.042606516290726759e+01,-1.213104792012555500e+00
1.052631578947368318e+01,-1.352369665919942676e+00
1.062656641604009877e+01,-1.514120372980930274e+00
1.072681704260651614e+01,-1.698437902030482505e+00
1.082706766917293173e+01,-1.904472172717635026e+00
1.092731829573934732e+01,-2.130122989310016202e+00
1.102756892230576469e+01,-2.371725593078480188e+00
1.112781954887218028e+01,-2.623789248498210824e+00
