time,R_energy_linear_jacobian
0.000000000000000000e+00,-3.141885747720346345e+00
1.002506265664160345e-01,-3.521911845480909520e+00
2.005012531328320691e-01,-3.966054490023195989e+00
3.007518796992481036e-01,-4.485883990444440528e+00
4.010025062656641381e-01,-5.093085617654513619e+00
5.012531328320801727e-01,-5.797001883058979566e+00
6.015037593984962072e-01,-6.601244329158218349e+00
7.017543859649122417e-01,-7.500272587236392674e+00
8.020050125313282763e-01,-8.477565619480607495e+00
9.022556390977443108e-01,-9.507255310244406843e+00
1.002506265664160345e+00,-1.056027626592353919e+01
1.102756892230576380e+00,-1.161396499909903390e+01
1.203007518796992414e+00,-1.266124566891871339e+01
1.303258145363408449e+00,-1.371385687801279474e+01
1.403508771929824483e+00,-1.479568037975835182e+01
1.503759398496240518e+00,-1.592747303237817214e+01
1.604010025062656553e+00,-1.710996396040492584e+01
1.704260651629072587e+00,-1.831364111148011631e+01
1.804511278195488622e+00,-1.947935432344507589e+01
1.904761904761904656e+00,-2.052802709672906190e+01
2.005012531328320691e+00,-2.137506301311319490e+01
2.105263157894736725e+00,-2.194611736999921092e+01
2.205513784461152760e+00,-2.219256750937089606e+01
2.305764411027568794e+00,-2.210447354281229337e+01
2.406015037593984829e+00,-2.171706023853764478e+01
2.506265664160400863e+00,-2.110722148301007195e+01
2.606516290726816898e+00,-2.038036939175021445e+01
2.706766917293232932e+00,-1.965186503751235492e+01
2.807017543859648967e+00,-1.902778399722430436e+01
2.907268170426065002e+00,-1.858764228472653102e+01
3.007518796992481036e+00,-1.837046807160168171e+01
3.107769423558897071e+00,-1.836689372141183441e+01
3.208020050125313105e+00,-1.852161044843630577e+01
3.308270676691729140e+00,-1.874891181360757386e+01
3.408521303258145174e+00,-1.895831037877266922e+01
3.508771929824561209e+00,-1.908150513054898312e+01
3.609022556390977243e+00,-1.909167600305799795e+01
3.709273182957393278e+00,-1.901133993895104979e+01
3.809523809523809312e+00,-1.891034639988368227e+01
3.909774436090225347e+00,-1.889640168927467201e+01
4.010025062656641381e+00,-1.909794051414344196e+01
4.110275689223056972e+00,-1.963829533691725615e+01
4.210526315789473450e+00,-2.060416542869462120e+01
4.310776942355889929e+00,-2.201751635086721848e+01
4.411027568922305520e+00,-2.382156739500435449e+01
4.511278195488721110e+00,-2.588561226466438825e+01
4.611528822055137589e+00,-2.802498115142832447e+01
4.711779448621554067e+00,-3.002852864410851197e+01
4.812030075187969658e+00,-3.168809693191566623e+01
4.912280701754385248e+00,-3.282799791971668668e+01
5.012531328320801727e+00,-3.333291120875296798e+01
5.112781954887218205e+00,-3.316952040783053235e+01
5.213032581453633796e+00,-3.239509440191612555e+01
5.313283208020049386e+00,-3.114880660040756766e+01
5.413533834586465865e+00,-2.962715449748710483e+01
5.513784461152882344e+00,-2.804883903033521975e+01
5.614035087719297934e+00,-2.661578661918773392e+01
5.714285714285713524e+00,-2.547784331241221167e+01
5.814536340852130003e+00,-2.470937227428902361e+01
5.914786967418546482e+00,-2.430418562051163534e+01
6.015037593984962072e+00,-2.418963846458179390e+01
6.115288220551377663e+00,-2.425337134327334354e+01
6.215538847117794141e+00,-2.437175074674980380e+01
6.315789473684210620e+00,-2.443119740569267151e+01
6.416040100250626210e+00,-2.434049467210052953e+01
6.516290726817041801e+00,-2.403729687742338328e+01
6.616541353383458279e+00,-2.349152726109361922e+01
6.716791979949874758e+00,-2.270518876934539065e+01
6.817042606516290348e+00,-2.170726792585507070e+01
6.917293233082705939e+00,-2.054451799746850327e+01
7.017543859649122417e+00,-1.927100149628980930e+01
7.117794486215538896e+00,-1.793932750702718337e+01
7.218045112781954487e+00,-1.659506261753359979e+01
7.318295739348370077e+00,-1.527426768081076425e+01
7.418546365914786556e+00,-1.400330053624948690e+01
7.518796992481203034e+00,-1.279989878012351490e+01
7.619047619047618625e+00,-1.167477929800367775e+01
7.719298245614034215e+00,-1.063328556761921462e+01
7.819548872180450694e+00,-9.676849941770587549e+00
7.919799498746867172e+00,-8.804188637400779172e+00
8.020050125313282763e+00,-8.012227926370595554e+00
8.120300751879698353e+00,-7.296795656087976312e+00
8.220551378446113944e+00,-6.653122781873066494e+00
8.320802005012531311e+00,-6.076198030479380563e+00
8.421052631578946901e+00,-5.561012489150669147e+00
8.521303258145362491e+00,-5.102723531324311779e+00
8.621553884711779858e+00,-4.696760683336203002e+00
8.721804511278195449e+00,-4.338890372676722507e+00
8.822055137844611039e+00,-4.025252039165958529e+00
8.922305764411026630e+00,-3.752374687668960096e+00
9.022556390977442220e+00,-3.517180413241012271e+00
9.122807017543859587e+00,-3.316979541998714698e+00
9.223057644110275177e+00,-3.149460630325196853e+00
9.323308270676690768e+00,-3.012677508130995996e+00
9.423558897243108134e+00,-2.905034737638563236e+00
9.523809523809523725e+00,-2.825272195936664676e+00
9.624060150375939315e+00,-2.772448905128806373e+00
9.724310776942354906e+00,-2.745925682343908658e+00
9.824561403508770496e+00,-2.745345627998755145e+00
9.924812030075187863e+00,-2.770610902310546297e+00
1.002506265664160345e+01,-2.821853668149732819e+00
1.012531328320801904e+01,-2.899398553736065143e+00
1.022556390977443641e+01,-3.003713597585328188e+00
1.032581453634085200e+01,-3.135346509209221200e+00
1.042606516290726759e+01,-3.294843373622875937e+00
1.052631578947368318e+01,-3.482647813784511381e+00
1.062656641604009877e+01,-3.698980237411144234e+00
1.072681704260651614e+01,-3.943699177632914665e+00
1.082706766917293173e+01,-4.216149790502239370e+00
1.092731829573934732e+01,-4.515008002577986623e+00
1.102756892230576469e+01,-4.838132127022962692e+00
1.112781954887218028e+01,-5.182436367870558058e+00
1.122807017543859587e+01,-5.543801866139125956e+00
1.132832080200501146e+01,-5.917040295318621190e+00
1.142857142857142705e+01,-6.295922244865238326e+00
1.152882205513784442e+01,-6.673277876390485197e+00
1.162907268170426001e+01,-7.041171122531868498e+00
1.172932330827067560e+01,-7.391141857263550108e+00
1.182957393483709296e+01,-7.714503988410561064e+00
1.192982456140350855e+01,-8.002682285022688191e+00
1.203007518796992414e+01,-8.247567644273543053e+00
1.213032581453633973e+01,-8.441869820266509450e+00
1.223057644110275533e+01,-8.579448269187897935e+00
1.233082706766917269e+01,-8.655605096880247373e+00
1.243107769423558828e+01,-8.667328192772778550e+00
1.253132832080200387e+01,-8.613476344052296341e+00
1.263157894736842124e+01,-8.494900456252423737e+00
1.273182957393483683e+01,-8.314495424859561723e+00
1.283208020050125242e+01,-8.077175875645199454e+00
1.293233082706766801e+01,-7.789766986682193917e+00
1.303258145363408360e+01,-7.460800588702240610e+00
1.313283208020050097e+01,-7.100208627448198584e+00
1.323308270676691656e+01,-6.718912352619910600e+00
1.333333333333333215e+01,-6.328316545687513894e+00
1.343358395989974952e+01,-5.939732462103908261e+00
1.353383458646616511e+01,-5.563768163999151639e+00
1.363408521303258070e+01,-5.209736985862717162e+00
1.373433583959899629e+01,-4.885140680460104967e+00
1.383458646616541188e+01,-4.595281253414741585e+00
1.393483709273182924e+01,-4.343044336694997121e+00
1.403508771929824483e+01,-4.128878678367513544e+00
1.413533834586466043e+01,-3.950973730148557017e+00
1.423558897243107779e+01,-3.805613862618701937e+00
