time,R_loc
0.000000000000000000e+00,-5.520099294816467328e-01
1.002506265664160345e-01,-5.800834862010750825e-01
2.005012531328320691e-01,-6.055857799371604511e-01
3.007518796992481036e-01,-6.278808345112575351e-01
4.010025062656641381e-01,-6.462221234285129290e-01
5.012531328320801727e-01,-6.597737434593899941e-01
6.015037593984962072e-01,-6.676217659887480060e-01
7.017543859649122417e-01,-6.687606848965852446e-01
8.020050125313282763e-01,-6.620527820449495504e-01
9.022556390977443108e-01,-6.461926880858270827e-01
1.002506265664160345e+00,-6.197533484319132091e-01
1.102756892230576380e+00,-6.718627760908130186e-01
1.203007518796992414e+00,-7.593609103090639412e-01
1.303258145363408449e+00,-8.403920169565843867e-01
1.403508771929824483e+00,-9.055908452411040033e-01
1.503759398496240518e+00,-9.398640017318360407e-01
1.604010025062656553e+00,-9.185665617741880506e-01
1.704260651629072587e+00,-7.360048820129708735e-01
1.804511278195488622e+00,-7.214545386143322858e-01
1.904761904761904656e+00,-7.635495588450165183e-01
2.005012531328320691e+00,-8.098040692119166106e-01
2.105263157894736725e+00,-8.705405299919604101e-01
2.205513784461152760e+00,-1.320727753731005150e+00
2.305764411027568794e+00,-1.630026409335666893e+00
2.406015037593984829e+00,-1.861347057214826073e+00
2.506265664160400863e+00,-2.008337745898386650e+00
2.606516290726816898e+00,-2.054841059059203001e+00
2.706766917293232932e+00,-1.987256532780846463e+00
2.807017543859648967e+00,-1.797031683613318220e+00
2.907268170426065002e+00,-1.479305868301713511e+00
3.007518796992481036e+00,-9.854148588178437418e-01
3.107769423558897071e+00,-6.563542778653219667e-01
3.208020050125313105e+00,-5.035958246915490655e-01
3.308270676691729140e+00,-4.173267406508989752e-01
3.408521303258145174e+00,-3.938803686492653999e-01
3.508771929824561209e+00,-4.317160785797157230e-01
3.609022556390977243e+00,-5.227096416509440235e-01
3.709273182957393278e+00,-6.315840205121516782e-01
3.809523809523809312e+00,-7.329225014608229394e-01
3.909774436090225347e+00,-8.181571491497843240e-01
4.010025062656641381e+00,-8.843246283519032858e-01
4.110275689223056972e+00,-9.291709373240897296e-01
4.210526315789473450e+00,-9.496868511966238824e-01
4.310776942355889929e+00,-9.418274174806338106e-01
4.411027568922305520e+00,-9.009799742596515948e-01
4.511278195488721110e+00,-8.235460585016380897e-01
4.611528822055137589e+00,-7.106843685462200799e-01
4.711779448621554067e+00,-5.733726780667052214e-01
4.812030075187969658e+00,-4.254074428122404661e-01
4.912280701754385248e+00,-2.619865994416328281e-01
5.012531328320801727e+00,-4.039019072320325088e-01
5.112781954887218205e+00,-8.009331284059210132e-01
5.213032581453633796e+00,-1.041533306641428291e+00
5.313283208020049386e+00,-1.060966815229334115e+00
5.413533834586465865e+00,-7.939667648520849497e-01
5.513784461152882344e+00,-8.293712645006829920e-01
5.614035087719297934e+00,-8.100435928223350679e-01
5.714285714285713524e+00,-7.386693858638582189e-01
5.814536340852130003e+00,-6.211265381197601521e-01
5.914786967418546482e+00,-4.653415675418992592e-01
6.015037593984962072e+00,-2.812365991691311295e-01
6.115288220551377663e+00,-8.041695907528034759e-02
6.215538847117794141e+00,1.253755325599097969e-01
6.315789473684210620e+00,3.262232111609874030e-01
6.416040100250626210e+00,3.227790053126214920e-01
6.516290726817041801e+00,2.810769108273099004e-01
6.616541353383458279e+00,2.466176633451379052e-01
6.716791979949874758e+00,2.172552888595728482e-01
6.817042606516290348e+00,1.911643615172997079e-01
6.917293233082705939e+00,1.666026281365189099e-01
7.017543859649122417e+00,1.419223781930533945e-01
7.117794486215538896e+00,1.159080745752872343e-01
7.218045112781954487e+00,8.828985799860170069e-02
7.318295739348370077e+00,5.988942076008848397e-02
7.418546365914786556e+00,3.204065977055250980e-02
7.518796992481203034e+00,5.826851876506423944e-03
7.619047619047618625e+00,-1.822388434911297733e-02
7.719298245614034215e+00,-4.003468783319645563e-02
7.819548872180450694e+00,-5.977611402470367485e-02
7.919799498746867172e+00,-7.771475505610626888e-02
8.020050125313282763e+00,-9.413042669134659424e-02
8.120300751879698353e+00,-1.092789983077196714e-01
8.220551378446113944e+00,-1.233795558161208672e-01
8.320802005012531311e+00,-1.366129377492656394e-01
8.421052631578946901e+00,-1.491248814616127905e-01
8.521303258145362491e+00,-1.610305439880291289e-01
8.621553884711779858e+00,-1.724189678209306353e-01
8.721804511278195449e+00,-1.833569391401951854e-01
8.822055137844611039e+00,-1.938920880329839669e-01
8.922305764411026630e+00,-2.040552532354017734e-01
9.022556390977442220e+00,-2.138621997665677565e-01
9.122807017543859587e+00,-2.233147948911558822e-01
9.223057644110275177e+00,-2.324017422105764397e-01
9.323308270676690768e+00,-2.410989754472326052e-01
9.423558897243108134e+00,-2.493697894994253983e-01
9.523809523809523725e+00,-2.571647909327129389e-01
9.624060150375939315e+00,-2.644217386892809829e-01
9.724310776942354906e+00,-2.710653449053558317e-01
9.824561403508770496e+00,-2.770071002839978869e-01
9.924812030075187863e+00,-2.821451842412425748e-01
1.002506265664160345e+01,-2.863645145372895051e-01
1.012531328320801904e+01,-2.895369879231692867e-01
1.022556390977443641e+01,-2.915219673969952630e-01
1.032581453634085200e+01,-2.921670990161394643e-01
1.042606516290726759e+01,-2.913096057679698259e-01
1.052631578947368318e+01,-2.887783185165567756e-01
1.062656641604009877e+01,-2.843968526878538072e-01
1.072681704260651614e+01,-2.779884639967835080e-01
1.082706766917293173e+01,-2.943772112116407880e-01
1.092731829573934732e+01,-3.607903287836120576e-01
1.102756892230576469e+01,-4.287969305297611999e-01
1.112781954887218028e+01,-4.983313100753383740e-01
1.122807017543859587e+01,-5.692242632633550681e-01
1.132832080200501146e+01,-6.411907918057212497e-01
1.142857142857142705e+01,-7.138230475229688787e-01
1.152882205513784442e+01,-7.865897516688745705e-01
1.162907268170426001e+01,-8.588422937778209532e-01
1.172932330827067560e+01,-9.298270473507638245e-01
1.182957393483709296e+01,-9.987030722607488364e-01
1.192982456140350855e+01,-1.064564137850593006e+00
1.203007518796992414e+01,-1.126463714403831640e+00
1.213032581453633973e+01,-1.183441269932864026e+00
1.223057644110275533e+01,-1.234547971823296564e+00
1.233082706766917269e+01,-1.278869868510639884e+00
1.243107769423558828e+01,-1.315546893622806079e+00
1.253132832080200387e+01,-1.343786595210643586e+00
1.263157894736842124e+01,-1.362872266269359089e+00
1.273182957393483683e+01,-1.372166010578235396e+00
1.283208020050125242e+01,-1.371108140940126230e+00
1.293233082706766801e+01,-1.359214869881187671e+00
1.303258145363408360e+01,-1.336076808120785220e+00
