time,R_spec
0.000000000000000000e+00,2.971390058091744057e-01
1.002506265664160345e-01,2.879737195298086028e-01
2.005012531328320691e-01,2.804520121817633549e-01
3.007518796992481036e-01,2.730715894550604927e-01
4.010025062656641381e-01,2.636503454112787415e-01
5.012531328320801727e-01,2.513204396106071825e-01
6.015037593984962072e-01,2.421941470182740475e-01
7.017543859649122417e-01,2.365482016055736880e-01
8.020050125313282763e-01,2.234377276874977281e-01
9.022556390977443108e-01,2.062992744085439256e-01
1.002506265664160345e+00,1.932305853415028085e-01
1.102756892230576380e+00,1.785393538499538413e-01
1.203007518796992414e+00,1.673477061103388064e-01
1.303258145363408449e+00,1.601493260733946877e-01
1.403508771929824483e+00,1.564550976288527073e-01
1.503759398496240518e+00,1.291338704917857350e-01
1.604010025062656553e+00,1.040384861760485086e-01
1.704260651629072587e+00,8.393952048083910822e-02
1.804511278195488622e+00,7.015033287255036110e-02
1.904761904761904656e+00,6.138332068368761857e-02
2.005012531328320691e+00,5.735033206551200941e-02
2.105263157894736725e+00,5.752578408151885064e-02
2.205513784461152760e+00,5.346492058434651473e-02
2.305764411027568794e+00,4.866116837676970341e-02
2.406015037593984829e+00,4.704247123760172539e-02
2.506265664160400863e+00,4.715490132972409432e-02
2.606516290726816898e+00,4.824200967576944971e-02
2.706766917293232932e+00,5.266201229455910737e-02
2.807017543859648967e+00,6.043565558248260167e-02
2.907268170426065002e+00,7.183698610764206738e-02
3.007518796992481036e+00,8.715285549040328872e-02
3.107769423558897071e+00,1.066606184267229335e-01
3.208020050125313105e+00,1.181444686544882577e-01
3.308270676691729140e+00,9.947970770991877709e-02
3.408521303258145174e+00,8.069560050306358312e-02
3.508771929824561209e+00,6.633642026537803216e-02
3.609022556390977243e+00,5.490694754395049337e-02
3.709273182957393278e+00,4.657761456735179384e-02
3.809523809523809312e+00,4.080928451159618331e-02
3.909774436090225347e+00,3.683146381434572458e-02
4.010025062656641381e+00,3.249409038010583201e-02
4.110275689223056972e+00,2.938542369147375405e-02
4.210526315789473450e+00,2.736846054477589177e-02
4.310776942355889929e+00,2.636150575289657183e-02
4.411027568922305520e+00,2.634706469995524297e-02
4.511278195488721110e+00,2.695413096305203371e-02
4.611528822055137589e+00,2.843982849012796979e-02
4.711779448621554067e+00,3.156713248723572868e-02
4.812030075187969658e+00,3.634820865246329857e-02
4.912280701754385248e+00,3.711231228635934742e-02
5.012531328320801727e+00,3.936506743334336478e-02
5.112781954887218205e+00,4.433388794290077373e-02
5.213032581453633796e+00,4.498688352265487606e-02
5.313283208020049386e+00,4.089171135044375460e-02
5.413533834586465865e+00,3.958518857857096923e-02
5.513784461152882344e+00,4.074482485969290607e-02
5.614035087719297934e+00,4.373230043798936179e-02
5.714285714285713524e+00,4.865366047252579762e-02
5.814536340852130003e+00,5.558889067356355407e-02
5.914786967418546482e+00,6.488218622523442281e-02
6.015037593984962072e+00,7.729122706010753407e-02
6.115288220551377663e+00,9.072754594708108689e-02
6.215538847117794141e+00,8.970074400741689935e-02
6.315789473684210620e+00,8.316151731199512842e-02
6.416040100250626210e+00,7.954702908509647674e-02
6.516290726817041801e+00,7.856332715760755425e-02
6.616541353383458279e+00,8.001415626645713708e-02
6.716791979949874758e+00,8.365124591267900089e-02
6.817042606516290348e+00,7.333893710892300244e-02
6.917293233082705939e+00,6.271257467933429031e-02
7.017543859649122417e+00,5.527820173219152172e-02
7.117794486215538896e+00,5.016320079173653551e-02
7.218045112781954487e+00,4.661313789533013535e-02
7.318295739348370077e+00,4.419035720681416951e-02
7.418546365914786556e+00,4.262594973320830288e-02
7.518796992481203034e+00,4.174657152546718680e-02
7.619047619047618625e+00,4.143673691797208902e-02
7.719298245614034215e+00,4.161831876784022333e-02
