time,Rspec_hyper
0.000000000000000000e+00,4.186061651721341148e-01
1.002506265664160345e-01,3.946666834913398203e-01
2.005012531328320691e-01,3.731575421390421754e-01
3.007518796992481036e-01,3.540199708632764675e-01
4.010025062656641381e-01,3.372181682362409560e-01
5.012531328320801727e-01,3.227430992922284969e-01
6.015037593984962072e-01,3.106167528806609290e-01
7.017543859649122417e-01,3.008970242721846211e-01
8.020050125313282763e-01,2.936828806816899617e-01
9.022556390977443108e-01,2.891193188431077088e-01
1.002506265664160345e+00,2.874009813684732517e-01
1.102756892230576380e+00,2.887727024575995616e-01
1.203007518796992414e+00,2.935236437278188060e-01
1.303258145363408449e+00,2.719094454496427948e-01
1.403508771929824483e+00,2.499814408414837985e-01
1.503759398496240518e+00,2.329275476770368558e-01
1.604010025062656553e+00,2.206193229207996098e-01
1.704260651629072587e+00,2.130041053083849278e-01
1.804511278195488622e+00,2.101663241215975808e-01
1.904761904761904656e+00,2.123879194008119475e-01
2.005012531328320691e+00,2.202048976830484062e-01
2.105263157894736725e+00,2.344538865271846295e-01
2.205513784461152760e+00,2.230986625251894784e-01
2.305764411027568794e+00,1.978920378933356761e-01
2.406015037593984829e+00,1.800256816691166994e-01
2.506265664160400863e+00,1.682259340388134738e-01
2.606516290726816898e+00,1.615586225252864105e-01
2.706766917293232932e+00,1.594564144946425122e-01
2.807017543859648967e+00,1.617333088546971387e-01
2.907268170426065002e+00,1.686027376370841935e-01
3.007518796992481036e+00,1.807074582073501523e-01
3.107769423558897071e+00,1.911840115059972867e-01
3.208020050125313105e+00,1.937618417697593576e-01
3.308270676691729140e+00,1.995382483188946621e-01
3.408521303258145174e+00,1.889470687897454870e-01
3.508771929824561209e+00,1.511679882438259348e-01
3.609022556390977243e+00,1.243515670778435750e-01
3.709273182957393278e+00,1.058685283371461339e-01
3.809523809523809312e+00,9.403997335142480485e-02
3.909774436090225347e+00,8.779599261379190944e-02
4.010025062656641381e+00,8.648653352899191016e-02
