time,x1,x2,x3,x4
0.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e-01,2.999999999999999889e-01,2.000000000000000111e-01
1.002506265664160345e-01,1.060657467889151162e+00,5.324325644911436228e-01,2.984728244772302252e-01,1.940577403401388956e-01
2.005012531328320691e-01,1.121794732521196325e+00,5.711787895280171501e-01,2.982237724705113502e-01,1.882749632506615090e-01
3.007518796992481036e-01,1.182436584442861705e+00,6.172355764957627722e-01,2.994711054883795187e-01,1.826732757835019538e-01
4.010025062656641381e-01,1.241351162547314591e+00,6.717299377105275804e-01,3.024923177249687622e-01,1.772757158965506952e-01
5.012531328320801727e-01,1.297025919656010329e+00,7.358945094913083018e-01,3.076438183260086778e-01,1.721075528783675146e-01
6.015037593984962072e-01,1.347661261956989431e+00,8.110111535875053068e-01,3.153870660648919189e-01,1.671973607520118033e-01
7.017543859649122417e-01,1.391194100987426241e+00,8.983066293183610274e-01,3.263237218733830991e-01,1.625784825400991840e-01
8.020050125313282763e-01,1.425367948586157896e+00,9.987819937709248030e-01,3.412423717508116239e-01,1.582910268914793916e-01
9.022556390977443108e-01,1.447866461664198301e+00,1.112958892493749241e+00,3.611800296717019854e-01,1.543846149630954401e-01
1.002506265664160345e+00,1.456523089026769968e+00,1.240535496736636434e+00,3.875014328134718800e-01,1.509221939772978638e-01
1.102756892230576380e+00,1.449604348366679840e+00,1.379968720940201621e+00,4.219973407912558927e-01,1.479853571410627011e-01
1.203007518796992414e+00,1.426141212529722369e+00,1.528033987265779770e+00,4.669990705352087823e-01,1.456818335415090704e-01
1.303258145363408449e+00,1.386249286358248067e+00,1.679460859999605482e+00,5.254964072043363243e-01,1.441560841441373308e-01
1.403508771929824483e+00,1.331351052496478227e+00,1.826780698437719064e+00,6.012277367914306003e-01,1.436043614434544258e-01
1.503759398496240518e+00,1.264209554755338472e+00,1.960529253199591926e+00,6.986806538270179390e-01,1.442961838532000329e-01
1.604010025062656553e+00,1.188718688587465655e+00,2.069906049257573155e+00,8.228991116809258877e-01,1.466050111937492739e-01
1.704260651629072587e+00,1.109467554538223766e+00,2.143908308413701391e+00,9.789517503565400292e-01,1.510520426821158335e-01
1.804511278195488622e+00,1.031175550229828541e+00,2.172856536390953330e+00,1.170909471937851887e+00,1.583685555561726022e-01
1.904761904761904656e+00,9.581402544688064626e-01,2.150128276529116977e+00,1.400274103444655749e+00,1.695838630288739324e-01
2.005012531328320691e+00,8.938262772249436772e-01,2.073801608873240276e+00,1.664057389063757331e+00,1.861472636166787986e-01
2.105263157894736725e+00,8.406621146729157390e-01,1.947765839419872469e+00,1.953107570591731124e+00,2.100917697504231241e-01
2.205513784461152760e+00,8.000398205052308143e-01,1.781768212748208624e+00,2.251593050898921256e+00,2.442419275247265931e-01
2.305764411027568794e+00,7.724623833155255248e-01,1.590035119047988887e+00,2.538391152843232135e+00,2.924526039362361773e-01
2.406015037593984829e+00,7.577673866808560810e-01,1.388648205453604678e+00,2.790309657762203965e+00,3.598334167804184691e-01
2.506265664160400863e+00,7.553643607579411112e-01,1.192515780574775475e+00,2.986028290326876888e+00,4.528579419509591308e-01
2.606516290726816898e+00,7.644433420333938134e-01,1.013025880380269639e+00,3.109257744060912820e+00,5.791797676076937407e-01
2.706766917293232932e+00,7.841327417115052656e-01,8.570646729067391556e-01,3.150248924124890770e+00,7.469006190010234469e-01
2.807017543859648967e+00,8.136014581614908758e-01,7.273537003683910873e-01,3.105899469711937311e+00,9.630278365453494027e-01
2.907268170426065002e+00,8.521111390711249012e-01,6.235572380027554207e-01,2.979354933653664439e+00,1.231040333928308472e+00
3.007518796992481036e+00,8.990296654931716480e-01,5.435525753132690596e-01,2.779782324369661772e+00,1.547969242494621422e+00
3.107769423558897071e+00,9.538173730907580916e-01,4.844815942503126749e-01,2.522202942737475251e+00,1.902111734404386745e+00
3.208020050125313105e+00,1.015995052328116710e+00,4.434612875251789932e-01,2.226596179911721318e+00,2.272939895773887553e+00
3.308270676691729140e+00,1.085099145237919505e+00,4.179918948955962388e-01,1.915568152154200510e+00,2.634213587818201585e+00
