time,connectedness
0.000000000000000000e+00,2.849244905973738806e+00
1.002506265664160345e-01,2.965439291936670774e+00
2.005012531328320691e-01,3.092147599912011380e+00
3.007518796992481036e-01,3.229958740569830233e+00
4.010025062656641381e-01,3.379362265244343799e+00
5.012531328320801727e-01,3.540648609795526092e+00
6.015037593984962072e-01,3.713775904749266665e+00
7.017543859649122417e-01,3.898210515189753700e+00
8.020050125313282763e-01,4.092766742975034511e+00
9.022556390977443108e-01,4.295496487208152026e+00
1.002506265664160345e+00,4.503708930067880978e+00
1.102756892230576380e+00,4.714216474504566712e+00
1.203007518796992414e+00,4.923878813224807693e+00
1.303258145363408449e+00,5.130417260428223436e+00
1.403508771929824483e+00,5.333282789730804829e+00
1.503759398496240518e+00,5.534125507744447781e+00
1.604010025062656553e+00,5.736263166218474652e+00
1.704260651629072587e+00,5.942682880485134156e+00
1.804511278195488622e+00,6.152705642900124339e+00
1.904761904761904656e+00,6.358467930971269055e+00
2.005012531328320691e+00,6.543375414121252120e+00
2.105263157894736725e+00,6.684751286639703416e+00
2.205513784461152760e+00,6.761196447350069860e+00
2.305764411027568794e+00,6.762088986388839373e+00
2.406015037593984829e+00,6.694364949406942600e+00
2.506265664160400863e+00,6.582589062321020812e+00
2.606516290726816898e+00,6.462043211466871995e+00
2.706766917293232932e+00,6.368081030662462894e+00
2.807017543859648967e+00,6.325907497876396945e+00
2.907268170426065002e+00,6.343809387348397166e+00
3.007518796992481036e+00,6.411545201925608062e+00
3.107769423558897071e+00,6.504576187335066706e+00
3.208020050125313105e+00,6.593197131353608853e+00
3.308270676691729140e+00,6.653260099665697425e+00
3.408521303258145174e+00,6.673781463963181615e+00
3.508771929824561209e+00,6.658223255091069603e+00
3.609022556390977243e+00,6.620032123997629192e+00
3.709273182957393278e+00,6.575984313345437648e+00
3.809523809523809312e+00,6.540874315483304891e+00
3.909774436090225347e+00,6.525005776945023150e+00
4.010025062656641381e+00,6.533987387503934485e+00
4.110275689223056972e+00,6.569586564935646855e+00
4.210526315789473450e+00,6.630574926569064331e+00
4.310776942355889929e+00,6.712980306520954343e+00
4.411027568922305520e+00,6.809610599410335752e+00
4.511278195488721110e+00,6.909134730518081469e+00
4.611528822055137589e+00,6.995494937320899886e+00
4.711779448621554067e+00,7.048892900048445931e+00
4.812030075187969658e+00,7.049575530150721470e+00
4.912280701754385248e+00,6.984488847589732430e+00
5.012531328320801727e+00,6.854607472713509786e+00
5.112781954887218205e+00,6.678955900337609108e+00
5.213032581453633796e+00,6.492148608594992432e+00
5.313283208020049386e+00,6.335674605272710203e+00
5.413533834586465865e+00,6.246319555033884363e+00
5.513784461152882344e+00,6.245721536443485711e+00
5.614035087719297934e+00,6.333826609484923154e+00
5.714285714285713524e+00,6.487930459647142101e+00
5.814536340852130003e+00,6.668214833825194532e+00
5.914786967418546482e+00,6.828839606862968203e+00
6.015037593984962072e+00,6.930621188797217336e+00
6.115288220551377663e+00,6.949637776978104142e+00
6.215538847117794141e+00,6.878443548326770518e+00
6.315789473684210620e+00,6.721714389543180346e+00
6.416040100250626210e+00,6.491188876050001610e+00
6.516290726817041801e+00,6.202927370666976081e+00
6.616541353383458279e+00,5.876141641368429980e+00
6.716791979949874758e+00,5.531502125243140888e+00
6.817042606516290348e+00,5.188379290459906201e+00
6.917293233082705939e+00,4.862159421407034721e+00
7.017543859649122417e+00,4.562849687219728168e+00
7.117794486215538896e+00,4.295226915104905174e+00
7.218045112781954487e+00,4.059994894228544204e+00
7.318295739348370077e+00,3.855242399801805497e+00
7.418546365914786556e+00,3.677721094435362659e+00
7.518796992481203034e+00,3.523754875703675626e+00
7.619047619047618625e+00,3.389786973433820183e+00
7.719298245614034215e+00,3.272652531335998649e+00
7.819548872180450694e+00,3.169674394862424194e+00
7.919799498746867172e+00,3.078659724211352700e+00
8.020050125313282763e+00,2.997849311263204086e+00
8.120300751879698353e+00,2.925850331840197605e+00
8.220551378446113944e+00,2.861568749526055555e+00
8.320802005012531311e+00,2.804148748292258908e+00
8.421052631578946901e+00,2.752921668608509620e+00
8.521303258145362491e+00,2.707364440314855347e+00
8.621553884711779858e+00,2.667066456176972356e+00
8.721804511278195449e+00,2.631703476384708917e+00
8.822055137844611039e+00,2.601017174263246190e+00
8.922305764411026630e+00,2.574799096919726082e+00
9.022556390977442220e+00,2.552878018282570327e+00
9.122807017543859587e+00,2.535109858251532788e+00
9.223057644110275177e+00,2.521369514693044600e+00
9.323308270676690768e+00,2.511544079748351255e+00
9.423558897243108134e+00,2.505527039662694744e+00
9.523809523809523725e+00,2.503213126578579306e+00
9.624060150375939315e+00,2.504493562337910095e+00
9.724310776942354906e+00,2.509251482569827552e+00
9.824561403508770496e+00,2.517357374968738348e+00
9.924812030075187863e+00,2.528664404678815369e+00
1.002506265664160345e+01,2.543003542614624912e+00
1.012531328320801904e+01,2.560178462212972406e+00
1.022556390977443641e+01,2.579960232695112765e+00
1.032581453634085200e+01,2.602081916353904845e+00
1.042606516290726759e+01,2.626233277556401902e+00
1.052631578947368318e+01,2.652055932986017162e+00
1.062656641604009877e+01,2.679139413114259849e+00
1.072681704260651614e+01,2.707018755175933045e+00
1.082706766917293173e+01,2.735174390862526561e+00
1.092731829573934732e+01,2.763035201357614490e+00
1.102756892230576469e+01,2.789985652771258984e+00
1.112781954887218028e+01,2.815377855281124386e+00
1.122807017543859587e+01,2.838549169134926942e+00
1.132832080200501146e+01,2.858845582079620584e+00
1.142857142857142705e+01,2.875650503810625036e+00
1.152882205513784442e+01,2.888417901300985857e+00
1.162907268170426001e+01,2.896707920096706967e+00
1.172932330827067560e+01,2.900222422893622198e+00
1.182957393483709296e+01,2.898837391153029408e+00
1.192982456140350855e+01,2.892629001247678744e+00
1.203007518796992414e+01,2.881890484497601435e+00
1.213032581453633973e+01,2.867137612771991861e+00
1.223057644110275533e+01,2.849101685798628214e+00
1.233082706766917269e+01,2.828710034642410776e+00
1.243107769423558828e+01,2.807055063278790286e+00
1.253132832080200387e+01,2.785353524329637676e+00
1.263157894736842124e+01,2.764897960925061682e+00
1.273182957393483683e+01,2.747002083254605154e+00
1.283208020050125242e+01,2.732941405014676306e+00
1.293233082706766801e+01,2.723890150233687191e+00
1.303258145363408360e+01,2.720855295725480349e+00
1.313283208020050097e+01,2.724609152531526579e+00
1.323308270676691656e+01,2.735623056021668553e+00
1.333333333333333215e+01,2.754006522390976208e+00
1.343358395989974952e+01,2.779458303252392071e+00
1.353383458646616511e+01,2.811237548626110527e+00
1.363408521303258070e+01,2.848164033574693832e+00
1.373433583959899629e+01,2.888655393612816091e+00
1.383458646616541188e+01,2.930806023869476640e+00
1.393483709273182924e+01,2.972506773977076300e+00
1.403508771929824483e+01,3.011597542894969948e+00
1.413533834586466043e+01,3.046037795935814696e+00
1.423558897243107779e+01,3.074074745816942844e+00
1.433583959899749338e+01,3.094387176040102716e+00
1.443609022556390897e+01,3.106185573677348266e+00
1.453634085213032456e+01,3.109256080142086542e+00
1.463659147869674015e+01,3.103945206440185789e+00
1.473684210526315752e+01,3.091091955535913538e+00
1.483709273182957311e+01,3.071921621393055357e+00
1.493734335839598870e+01,3.047919537703358550e+00
1.503759398496240607e+01,3.020703056131008424e+00
1.513784461152882166e+01,2.991906777632674874e+00
1.523809523809523725e+01,2.963090937680674664e+00
1.533834586466165284e+01,2.935677355802155830e+00
1.543859649122806843e+01,2.910912663898401753e+00
1.553884711779448580e+01,2.889855254699395637e+00
1.563909774436090139e+01,2.873380652339754260e+00
1.573934837092731698e+01,2.862199586937223650e+00
1.583959899749373434e+01,2.856883539800007643e+00
1.593984962406014994e+01,2.857893522555016830e+00
1.604010025062656553e+01,2.865609043419359292e+00
1.614035087719298289e+01,2.880355358684031142e+00
1.624060150375939671e+01,2.902428102650483233e+00
1.634085213032581407e+01,2.932115178028653624e+00
1.644110275689222789e+01,2.969716375708751688e+00
1.654135338345864525e+01,3.015561598747161121e+00
1.664160401002506262e+01,3.070028818563365736e+00
1.674185463659147644e+01,3.133563010074432054e+00
1.684210526315789380e+01,3.206697295397852532e+00
1.694235588972431117e+01,3.290077336585453427e+00
1.704260651629072498e+01,3.384489566734334431e+00
1.714285714285714235e+01,3.490892964207275906e+00
1.724310776942355972e+01,3.610452468402986170e+00
1.734335839598997353e+01,3.744569370391252150e+00
