time,linear_connectedness
0.000000000000000000e+00,1.602569639744383823e+00
1.002506265664160345e-01,1.635143935577614505e+00
2.005012531328320691e-01,1.668842635341139857e+00
3.007518796992481036e-01,1.649286467734016881e+00
4.010025062656641381e-01,1.675168535774368195e+00
5.012531328320801727e-01,1.731488101036855021e+00
6.015037593984962072e-01,1.815403023071998412e+00
7.017543859649122417e-01,1.928058477754163391e+00
8.020050125313282763e-01,2.074719884527890468e+00
9.022556390977443108e-01,2.270235208792388271e+00
1.002506265664160345e+00,2.584296896429101764e+00
1.102756892230576380e+00,2.531025003061783352e+00
1.203007518796992414e+00,2.543004944504141385e+00
1.303258145363408449e+00,2.585411463607983684e+00
1.403508771929824483e+00,2.698243286995033241e+00
1.503759398496240518e+00,3.077398241085602670e+00
1.604010025062656553e+00,3.620110152707919582e+00
1.704260651629072587e+00,4.305162318061308113e+00
1.804511278195488622e+00,5.276177323556810350e+00
1.904761904761904656e+00,5.292407211003603784e+00
2.005012531328320691e+00,5.423734113275948232e+00
2.105263157894736725e+00,5.567573688751099148e+00
2.205513784461152760e+00,5.655643194984772748e+00
2.305764411027568794e+00,5.667510690930709139e+00
2.406015037593984829e+00,5.638842849163460791e+00
2.506265664160400863e+00,5.646140901745792640e+00
2.606516290726816898e+00,5.748233049269064310e+00
2.706766917293232932e+00,6.223624407010580839e+00
2.807017543859648967e+00,5.773621372761333248e+00
2.907268170426065002e+00,5.573900082231708630e+00
3.007518796992481036e+00,5.403666950344186759e+00
3.107769423558897071e+00,5.218941962930301770e+00
3.208020050125313105e+00,5.015548731775862024e+00
3.308270676691729140e+00,4.822328499955677472e+00
3.408521303258145174e+00,4.738542991417630468e+00
3.508771929824561209e+00,4.649898025479783925e+00
3.609022556390977243e+00,4.644633040770022703e+00
3.709273182957393278e+00,4.780011591895755529e+00
3.809523809523809312e+00,4.974777642591106108e+00
3.909774436090225347e+00,5.161220729690850995e+00
4.010025062656641381e+00,5.189347402756470551e+00
4.110275689223056972e+00,5.257229733870410371e+00
4.210526315789473450e+00,5.299715011908896045e+00
4.310776942355889929e+00,5.315487403923389031e+00
4.411027568922305520e+00,5.357693055197521481e+00
4.511278195488721110e+00,5.299392313507742536e+00
4.611528822055137589e+00,5.045612291711343289e+00
4.711779448621554067e+00,4.933640563632264886e+00
4.812030075187969658e+00,4.887632482392255895e+00
4.912280701754385248e+00,5.043488229065638428e+00
5.012531328320801727e+00,5.261094184864159473e+00
5.112781954887218205e+00,5.465532610760066135e+00
5.213032581453633796e+00,5.637967558857797989e+00
5.313283208020049386e+00,5.804987468765007819e+00
5.413533834586465865e+00,6.083288953592751902e+00
5.513784461152882344e+00,6.117186881440742852e+00
5.614035087719297934e+00,5.974506391460969290e+00
5.714285714285713524e+00,6.033086334405226125e+00
5.814536340852130003e+00,6.149574382666656902e+00
5.914786967418546482e+00,6.282854904482641167e+00
6.015037593984962072e+00,6.443360703060623251e+00
6.115288220551377663e+00,6.720308487775751516e+00
6.215538847117794141e+00,6.952804801772986210e+00
6.315789473684210620e+00,6.111619857702429215e+00
6.416040100250626210e+00,5.511386086620005287e+00
6.516290726817041801e+00,4.996079444046872098e+00
6.616541353383458279e+00,4.552413239151007041e+00
6.716791979949874758e+00,4.213731088736364150e+00
6.817042606516290348e+00,4.005955809048576732e+00
6.917293233082705939e+00,3.932035305273348325e+00
7.017543859649122417e+00,3.636707036473772359e+00
7.117794486215538896e+00,3.482220409671586747e+00
7.218045112781954487e+00,3.380138716039001512e+00
7.318295739348370077e+00,3.305585646406870914e+00
7.418546365914786556e+00,3.246686003396926257e+00
7.518796992481203034e+00,3.196848682476952419e+00
7.619047619047618625e+00,3.152198456060014919e+00
7.719298245614034215e+00,3.110437320956166651e+00
7.819548872180450694e+00,3.070248242401519168e+00
7.919799498746867172e+00,3.030950338046904058e+00
8.020050125313282763e+00,2.992289143533172879e+00
8.120300751879698353e+00,2.954308185198261771e+00
8.220551378446113944e+00,2.917274755528695085e+00
8.320802005012531311e+00,2.881646782789373695e+00
8.421052631578946901e+00,2.848078246818464443e+00
8.521303258145362491e+00,2.817474436731766563e+00
8.621553884711779858e+00,2.791139751059009466e+00
8.721804511278195449e+00,2.771166921106640757e+00
8.822055137844611039e+00,2.761777564686907382e+00
8.922305764411026630e+00,2.768624462409968956e+00
9.022556390977442220e+00,2.696094759023506260e+00
9.122807017543859587e+00,2.641792007576228229e+00
9.223057644110275177e+00,2.593402420269381281e+00
9.323308270676690768e+00,2.547727956948120820e+00
