time,linear_potential
0.000000000000000000e+00,3.487487360866825092e+00
1.002506265664160345e-01,3.529262566221043507e+00
2.005012531328320691e-01,3.623367503131511125e+00
3.007518796992481036e-01,3.914130520802304503e+00
4.010025062656641381e-01,4.181714907299254769e+00
5.012531328320801727e-01,4.441095292470700784e+00
6.015037593984962072e-01,4.694036348211056975e+00
7.017543859649122417e-01,4.936755576898257836e+00
8.020050125313282763e-01,5.159184371490750820e+00
9.022556390977443108e-01,5.338863202982457423e+00
1.002506265664160345e+00,5.395123124819865446e+00
1.102756892230576380e+00,6.093036097912768234e+00
1.203007518796992414e+00,6.709673025952636038e+00
1.303258145363408449e+00,7.225565577256564787e+00
1.403508771929824483e+00,7.572922802275011911e+00
1.503759398496240518e+00,8.099932749895115691e+00
1.604010025062656553e+00,8.409289200347011217e+00
1.704260651629072587e+00,8.500900171514579995e+00
1.804511278195488622e+00,8.205704214564786270e+00
1.904761904761904656e+00,9.438808237658168565e+00
2.005012531328320691e+00,1.041974572796654286e+01
2.105263157894736725e+00,1.109725635944857558e+01
2.205513784461152760e+00,1.145772754002090998e+01
2.305764411027568794e+00,1.147694336234809853e+01
2.406015037593984829e+00,1.112540960420806790e+01
2.506265664160400863e+00,1.058439909316605032e+01
2.606516290726816898e+00,1.017190691673540570e+01
2.706766917293232932e+00,9.237048255404788577e+00
2.807017543859648967e+00,1.026244820951970738e+01
2.907268170426065002e+00,1.081771714556036912e+01
3.007518796992481036e+00,1.108523987499471453e+01
3.107769423558897071e+00,1.106873251083329279e+01
3.208020050125313105e+00,1.074804226603294488e+01
3.308270676691729140e+00,1.010356326010640338e+01
3.408521303258145174e+00,9.085547191131041700e+00
3.508771929824561209e+00,8.357502115092810158e+00
3.609022556390977243e+00,7.854028603084682203e+00
3.709273182957393278e+00,7.189659627411622012e+00
3.809523809523809312e+00,6.478350868598938384e+00
3.909774436090225347e+00,6.011215009442261170e+00
4.010025062656641381e+00,6.311932680263758755e+00
4.110275689223056972e+00,6.508395432654591417e+00
4.210526315789473450e+00,6.667380930845246745e+00
4.310776942355889929e+00,6.788326353427262205e+00
4.411027568922305520e+00,6.812841300169869996e+00
4.511278195488721110e+00,7.174635150251014615e+00
4.611528822055137589e+00,8.013085050205758009e+00
4.711779448621554067e+00,8.557928410153976984e+00
4.812030075187969658e+00,9.450318275804468371e+00
4.912280701754385248e+00,1.017474088374145325e+01
5.012531328320801727e+00,1.057533230448847306e+01
5.112781954887218205e+00,1.068227092586696436e+01
5.213032581453633796e+00,1.050666215920093371e+01
5.313283208020049386e+00,1.004688819211428275e+01
5.413533834586465865e+00,9.231078146700703257e+00
5.513784461152882344e+00,9.186089797590724970e+00
5.614035087719297934e+00,1.050118781050932526e+01
5.714285714285713524e+00,1.143978232196062805e+01
5.814536340852130003e+00,1.200807370032723576e+01
5.914786967418546482e+00,1.217288883174369118e+01
6.015037593984962072e+00,1.187739325966392556e+01
6.115288220551377663e+00,1.103461073789419089e+01
6.215538847117794141e+00,1.006509039466014244e+01
6.315789473684210620e+00,1.046352444521965097e+01
6.416040100250626210e+00,1.023896277981114977e+01
6.516290726817041801e+00,9.627343393129727644e+00
6.616541353383458279e+00,8.741989958543623374e+00
6.716791979949874758e+00,7.651448094726449156e+00
6.817042606516290348e+00,6.636932994609313852e+00
6.917293233082705939e+00,5.637548899582482065e+00
7.017543859649122417e+00,5.606638007809311652e+00
7.117794486215538896e+00,5.438969921664696727e+00
7.218045112781954487e+00,5.234639738450351132e+00
7.318295739348370077e+00,5.024146257685233152e+00
7.418546365914786556e+00,4.820928131974565822e+00
7.518796992481203034e+00,4.630741778758631355e+00
7.619047619047618625e+00,4.455417081335784069e+00
7.719298245614034215e+00,4.294753520677030423e+00
7.819548872180450694e+00,4.147552250335330370e+00
7.919799498746867172e+00,4.012182464309026919e+00
8.020050125313282763e+00,3.886881879142247698e+00
8.120300751879698353e+00,3.769902458308769688e+00
8.220551378446113944e+00,3.659564743036168188e+00
8.320802005012531311e+00,3.554255240600112220e+00
8.421052631578946901e+00,3.452381232568805469e+00
8.521303258145362491e+00,3.352277588867274005e+00
8.621553884711779858e+00,3.252025505275957240e+00
8.721804511278195449e+00,3.149035019292370841e+00
8.822055137844611039e+00,3.038681258440402821e+00
8.922305764411026630e+00,2.923919074750899405e+00
9.022556390977442220e+00,2.991186039277782704e+00
9.122807017543859587e+00,3.040818483587558685e+00
9.223057644110275177e+00,3.084886935311116130e+00
9.323308270676690768e+00,3.126332138646696457e+00
9.423558897243108134e+00,3.166449198068139737e+00
9.523809523809523725e+00,3.205893351624573562e+00
9.624060150375939315e+00,3.244983219010362685e+00
9.724310776942354906e+00,3.283812535817836498e+00
9.824561403508770496e+00,3.322282369159315518e+00
9.924812030075187863e+00,3.360077852827544120e+00
1.002506265664160345e+01,3.396565261903258470e+00
1.012531328320801904e+01,3.430478098909943263e+00
1.022556390977443641e+01,3.458687640167884325e+00
1.032581453634085200e+01,3.464565073707101206e+00
1.042606516290726759e+01,3.532744421908612154e+00
1.052631578947368318e+01,3.586718727188236588e+00
1.062656641604009877e+01,3.630082093067467319e+00
1.072681704260651614e+01,3.665569503621949554e+00
1.082706766917293173e+01,3.692623714874389229e+00
1.092731829573934732e+01,3.709141103079420798e+00
1.102756892230576469e+01,3.711135888657632442e+00
1.112781954887218028e+01,3.690264120894041433e+00
1.122807017543859587e+01,3.621202064094735551e+00
1.132832080200501146e+01,3.832318481414855427e+00
1.142857142857142705e+01,3.990702704211248619e+00
1.152882205513784442e+01,4.124887844817886062e+00
1.162907268170426001e+01,4.239840756067114746e+00
1.172932330827067560e+01,4.337029913105912904e+00
1.182957393483709296e+01,4.416781847670701033e+00
1.192982456140350855e+01,4.479024419219968856e+00
1.203007518796992414e+01,4.523599820449466513e+00
1.213032581453633973e+01,4.550401723342693217e+00
1.223057644110275533e+01,4.559409107235879333e+00
1.233082706766917269e+01,4.550634833854399375e+00
1.243107769423558828e+01,4.523978222178427266e+00
1.253132832080200387e+01,4.478929699780225704e+00
1.263157894736842124e+01,4.413956453419035419e+00
1.273182957393483683e+01,4.324879414257131849e+00
1.283208020050125242e+01,4.197109620806438457e+00
1.293233082706766801e+01,4.316510679021352104e+00
1.303258145363408360e+01,4.537337162020629755e+00
1.313283208020050097e+01,4.730998217321894295e+00
1.323308270676691656e+01,4.906259302258722421e+00
1.333333333333333215e+01,5.065628722918885884e+00
1.343358395989974952e+01,5.209103127320058313e+00
1.353383458646616511e+01,5.335019588677562652e+00
1.363408521303258070e+01,5.440269479534078911e+00
1.373433583959899629e+01,5.520196460461849419e+00
1.383458646616541188e+01,5.568011488572873979e+00
1.393483709273182924e+01,5.572634888504023998e+00
1.403508771929824483e+01,5.506352257899657765e+00
1.413533834586466043e+01,5.522516323337305799e+00
1.423558897243107779e+01,5.498621877539631164e+00
1.433583959899749338e+01,5.511505375495080017e+00
1.443609022556390897e+01,5.570328629793071862e+00
1.453634085213032456e+01,5.558805701416263290e+00
1.463659147869674015e+01,5.497810674513917917e+00
1.473684210526315752e+01,5.396707473600257821e+00
1.483709273182957311e+01,5.261668932837509693e+00
1.493734335839598870e+01,5.097313505992001836e+00
1.503759398496240607e+01,4.906929319841996318e+00
1.513784461152882166e+01,4.691923074097218205e+00
1.523809523809523725e+01,4.449698490083117797e+00
1.533834586466165284e+01,4.160811164060207901e+00
1.543859649122806843e+01,4.207366758853624766e+00
1.553884711779448580e+01,4.289167378859152002e+00
1.563909774436090139e+01,4.329835701867802200e+00
1.573934837092731698e+01,4.343179855122006217e+00
1.583959899749373434e+01,4.335406448516653910e+00
1.593984962406014994e+01,4.309795942191087192e+00
1.604010025062656553e+01,4.267908009019056870e+00
1.614035087719298289e+01,4.209892974357950735e+00
1.624060150375939671e+01,4.134328034198528456e+00
1.634085213032581407e+01,4.037463272844074247e+00
1.644110275689222789e+01,3.911033152897680498e+00
1.654135338345864525e+01,3.734081619184455914e+00
1.664160401002506262e+01,3.583861558695771166e+00
1.674185463659147644e+01,3.788481155315024385e+00
1.684210526315789380e+01,3.919376309408692194e+00
1.694235588972431117e+01,4.019197717182836804e+00
1.704260651629072498e+01,4.101637613917743508e+00
1.714285714285714235e+01,4.173689858739319192e+00
1.724310776942355972e+01,4.239296138620578525e+00
1.734335839598997353e+01,4.300238665972923258e+00
1.744360902255639090e+01,4.355931703174928060e+00
1.754385964912280471e+01,4.401982857265209326e+00
1.764411027568922208e+01,4.425319071999923359e+00
1.774436090225563945e+01,4.375572537431402509e+00
1.784461152882205326e+01,4.791803201595960182e+00
1.794486215538847063e+01,5.285348293386288532e+00
1.804511278195488444e+01,5.750294031694575203e+00
1.814536340852130181e+01,6.155073187169254112e+00
1.824561403508771917e+01,6.662096003133303412e+00
1.834586466165413299e+01,7.839814710814446030e+00
1.844611528822055035e+01,8.877941865629770390e+00
1.854636591478696772e+01,9.777562376034378389e+00
1.864661654135338154e+01,1.048573172815371457e+01
1.874686716791979890e+01,1.092250793580582524e+01
1.884711779448621627e+01,1.094714367853914183e+01
1.894736842105263008e+01,1.143057213749880319e+01
1.904761904761904745e+01,1.296000732849267756e+01
1.914786967418546126e+01,1.385016393480679220e+01
1.924812030075187863e+01,1.410073436890888843e+01
1.934837092731829600e+01,1.363363466483140307e+01
1.944862155388470981e+01,1.221052169209524507e+01
1.954887218045112718e+01,1.263352137930616692e+01
1.964912280701754099e+01,1.372182746313387547e+01
1.974937343358395836e+01,1.381177348413416794e+01
1.984962406015037573e+01,1.304943405011408686e+01
1.994987468671678954e+01,1.154908758478370245e+01
2.005012531328320691e+01,9.389630125763055446e+00
2.015037593984962427e+01,8.311742708841487470e+00
2.025062656641603809e+01,7.143240793244286735e+00
2.035087719298245545e+01,6.239773210059949449e+00
2.045112781954887282e+01,6.488290638417502088e+00
2.055137844611528664e+01,6.539654666551831141e+00
2.065162907268170400e+01,6.499769051758894634e+00
2.075187969924811782e+01,6.340733406954361939e+00
2.085213032581453518e+01,6.844947584217640824e+00
2.095238095238095255e+01,7.241133535787812825e+00
2.105263157894736636e+01,7.580707076869112271e+00
2.115288220551378373e+01,7.856397890065936807e+00
2.125313283208019755e+01,8.050512066842767211e+00
2.135338345864661491e+01,8.136606202286625233e+00
2.145363408521303228e+01,8.030759590584860774e+00
2.155388471177944609e+01,8.134695960871123788e+00
2.165413533834586346e+01,8.110828660322733086e+00
2.175438596491228083e+01,7.966466301140723516e+00
2.185463659147869464e+01,7.734683671650708803e+00
2.195488721804511201e+01,7.429444894513450137e+00
2.205513784461152937e+01,7.048165795995251059e+00
2.215538847117794319e+01,6.868775262415231175e+00
2.225563909774436055e+01,7.142448372236195553e+00
2.235588972431077437e+01,7.308207956220645229e+00
2.245614035087719174e+01,7.405536382046156163e+00
2.255639097744360910e+01,7.449633847872783932e+00
2.265664160401002292e+01,7.448076789462840352e+00
2.275689223057644028e+01,7.404475462040646327e+00
2.285714285714285410e+01,7.320095320453352095e+00
2.295739348370927146e+01,7.194928263837322646e+00
2.305764411027568883e+01,7.028549106124449608e+00
2.315789473684210265e+01,6.820813173926202566e+00
2.325814536340852001e+01,6.572350430789536624e+00
2.335839598997493738e+01,6.284753704605823721e+00
2.345864661654135119e+01,5.960274809530620388e+00
2.355889724310776856e+01,5.600583961911703490e+00
2.365914786967418593e+01,5.203066508086276798e+00
2.375939849624059974e+01,4.745580876163685069e+00
2.385964912280701711e+01,4.548841820474790687e+00
2.395989974937343092e+01,4.576964907896067913e+00
2.406015037593984829e+01,4.597001464282925554e+00
2.416040100250626566e+01,4.637098713193172905e+00
2.426065162907267947e+01,4.633406233030250121e+00
2.436090225563909684e+01,4.604900737697185775e+00
2.446115288220551065e+01,4.558935397913492338e+00
2.456140350877192802e+01,4.499849997964881609e+00
2.466165413533834538e+01,4.430765260552692375e+00
