time,potential
0.000000000000000000e+00,5.390316221121009832e+00
1.002506265664160345e-01,5.486592405766904434e+00
2.005012531328320691e-01,5.597856740062285397e+00
3.007518796992481036e-01,5.725178597080791576e+00
4.010025062656641381e-01,5.869592149322580887e+00
5.012531328320801727e-01,6.032055904456413487e+00
6.015037593984962072e-01,6.213405568405173440e+00
7.017543859649122417e-01,6.414303233144950767e+00
8.020050125313282763e-01,6.635184317776196217e+00
9.022556390977443108e-01,6.876201977799516030e+00
1.002506265664160345e+00,7.137162769768284676e+00
1.102756892230576380e+00,7.417437699812790441e+00
1.203007518796992414e+00,7.715819047617777926e+00
1.303258145363408449e+00,8.030285099739534971e+00
1.403508771929824483e+00,8.357644381666538891e+00
1.503759398496240518e+00,8.693076031842137397e+00
1.604010025062656553e+00,9.029674860948270876e+00
1.704260651629072587e+00,9.358226027262835700e+00
1.804511278195488622e+00,9.667501147419574892e+00
1.904761904761904656e+00,9.945291738727483732e+00
2.005012531328320691e+00,1.018013416702170382e+01
2.105263157894736725e+00,1.036333201359353318e+01
2.205513784461152760e+00,1.049064357064860253e+01
2.305764411027568794e+00,1.056301493526487256e+01
2.406015037593984829e+00,1.058600088194667777e+01
2.506265664160400863e+00,1.056795153624332251e+01
2.606516290726816898e+00,1.051754324856221423e+01
2.706766917293232932e+00,1.044157843414081377e+01
2.807017543859648967e+00,1.034388304473450404e+01
2.907268170426065002e+00,1.022553314939071178e+01
3.007518796992481036e+00,1.008596915004538985e+01
3.107769423558897071e+00,9.924369206418699463e+00
3.208020050125313105e+00,9.740953070971361427e+00
3.308270676691729140e+00,9.538129616876560135e+00
3.408521303258145174e+00,9.321308319311523150e+00
3.508771929824561209e+00,9.099063386127340891e+00
3.609022556390977243e+00,8.882487790311778042e+00
3.709273182957393278e+00,8.683920100636330019e+00
3.809523809523809312e+00,8.515472478246078225e+00
3.909774436090225347e+00,8.387770565523421595e+00
4.010025062656641381e+00,8.309108705603289735e+00
4.110275689223056972e+00,8.284999554388965848e+00
4.210526315789473450e+00,8.317975599111125717e+00
4.310776942355889929e+00,8.407503336036670660e+00
4.411027568922305520e+00,8.549962576320668362e+00
4.511278195488721110e+00,8.738766620054002843e+00
4.611528822055137589e+00,8.964803329031875379e+00
4.711779448621554067e+00,9.217381886887075382e+00
4.812030075187969658e+00,9.485714808712637947e+00
4.912280701754385248e+00,9.760639397388978011e+00
5.012531328320801727e+00,1.003592360510232417e+01
5.112781954887218205e+00,1.030839599860366285e+01
5.213032581453633796e+00,1.057654168091561075e+01
5.313283208020049386e+00,1.083803826764123279e+01
5.413533834586465865e+00,1.108745005890255975e+01
5.513784461152882344e+00,1.131532800698806085e+01
5.614035087719297934e+00,1.150911779375044475e+01
5.714285714285713524e+00,1.165516969773975120e+01
5.814536340852130003e+00,1.174071982338937303e+01
5.914786967418546482e+00,1.175525312213236795e+01
6.015037593984962072e+00,1.169143282774614434e+01
6.115288220551377663e+00,1.154597707774761517e+01
6.215538847117794141e+00,1.132047011933840608e+01
6.315789473684210620e+00,1.102166796552025474e+01
6.416040100250626210e+00,1.066088182497695414e+01
6.516290726817041801e+00,1.025248973736814051e+01
6.616541353383458279e+00,9.812099400976146413e+00
6.716791979949874758e+00,9.354934949987262272e+00
6.817042606516290348e+00,8.894726718937258525e+00
6.917293233082705939e+00,8.443083423654440978e+00
7.017543859649122417e+00,8.009213267509990075e+00
7.117794486215538896e+00,7.599883344861738443e+00
