time,potential_global
0.000000000000000000e+00,1.122501532103104616e+01
1.002506265664160345e-01,1.145654158725016813e+01
2.005012531328320691e-01,1.171872328077914283e+01
3.007518796992481036e-01,1.201447122042734605e+01
4.010025062656641381e-01,1.234681069551500165e+01
5.012531328320801727e-01,1.271873204142930547e+01
6.015037593984962072e-01,1.313296423684141345e+01
7.017543859649122417e-01,1.359166387164456502e+01
8.020050125313282763e-01,1.409602826564672640e+01
9.022556390977443108e-01,1.464587129053363412e+01
1.002506265664160345e+00,1.523924096948795892e+01
1.102756892230576380e+00,1.587219805963798791e+01
1.203007518796992414e+00,1.653887950062537371e+01
1.303258145363408449e+00,1.723190642852195253e+01
1.403508771929824483e+00,1.794302734580191228e+01
1.503759398496240518e+00,1.866363819164583049e+01
1.604010025062656553e+00,1.938462277055296923e+01
1.704260651629072587e+00,2.009502921718623014e+01
1.804511278195488622e+00,2.077963927797315691e+01
1.904761904761904656e+00,2.141647925720190315e+01
2.005012531328320691e+00,2.197629681184923811e+01
2.105263157894736725e+00,2.242608241494389532e+01
2.205513784461152760e+00,2.273702941157803536e+01
2.305764411027568794e+00,2.289426086778232161e+01
2.406015037593984829e+00,2.290333827721732618e+01
2.506265664160400863e+00,2.278943806481354173e+01
2.606516290726816898e+00,2.258904552045849101e+01
2.706766917293232932e+00,2.233801011257605040e+01
2.807017543859648967e+00,2.206103704994751524e+01
2.907268170426065002e+00,2.176627667483682060e+01
3.007518796992481036e+00,2.144649609842621629e+01
3.107769423558897071e+00,2.108637038146296661e+01
3.208020050125313105e+00,2.067340577993396877e+01
3.308270676691729140e+00,2.020804397254717699e+01
3.408521303258145174e+00,1.970821992501409170e+01
3.508771929824561209e+00,1.920639991887995635e+01
3.609022556390977243e+00,1.874140668030405621e+01
3.709273182957393278e+00,1.834972590462794528e+01
3.809523809523809312e+00,1.805995070660895507e+01
3.909774436090225347e+00,1.789123406074518030e+01
4.010025062656641381e+00,1.785449727612525805e+01
4.110275689223056972e+00,1.795454942721084990e+01
4.210526315789473450e+00,1.819167952471299898e+01
4.310776942355889929e+00,1.856194076041259322e+01
4.411027568922305520e+00,1.905591971295427811e+01
4.511278195488721110e+00,1.965632342837128732e+01
4.611528822055137589e+00,2.033539687996222867e+01
4.711779448621554067e+00,2.105396575613547938e+01
4.812030075187969658e+00,2.176428161599713462e+01
4.912280701754385248e+00,2.241789915656224252e+01
5.012531328320801727e+00,2.297708119503437274e+01
5.112781954887218205e+00,2.342503385309778352e+01
5.213032581453633796e+00,2.376946788157884072e+01
5.313283208020049386e+00,2.403702242270311373e+01
5.413533834586465865e+00,2.426079517518684625e+01
5.513784461152882344e+00,2.446602590478937955e+01
5.614035087719297934e+00,2.465884544164145353e+01
5.714285714285713524e+00,2.482147904960820384e+01
5.814536340852130003e+00,2.491559990594448593e+01
5.914786967418546482e+00,2.489322595571117347e+01
6.015037593984962072e+00,2.471138051686490655e+01
