time,R_energy
0.000000000000000000e+00,-2.752143250777769334e-01
1.005025125628140753e-01,-2.674253389295420114e-01
2.010050251256281506e-01,-2.573937879396232531e-01
3.015075376884422398e-01,-2.463304161743362086e-01
4.020100502512563012e-01,-2.358212219743278659e-01
5.025125628140704181e-01,-2.272769862013608866e-01
6.030150753768844796e-01,-2.215938205631026725e-01
7.035175879396985410e-01,-2.190112016414514085e-01
8.040201005025126024e-01,-2.192114736858046808e-01
9.045226130653266639e-01,-2.214298988890847364e-01
1.005025125628140836e+00,-2.246328372276946705e-01
1.105527638190954898e+00,-2.276234505152765486e-01
1.206030150753768959e+00,-2.291842388140365727e-01
1.306532663316583021e+00,-2.283509485632414793e-01
1.407035175879397082e+00,-2.246401206614712098e-01
1.507537688442211143e+00,-2.182395714148025467e-01
1.608040201005025205e+00,-2.099256313608165447e-01
1.708542713567839266e+00,-2.007811797457282610e-01
1.809045226130653328e+00,-1.919155932717291624e-01
1.909547738693467389e+00,-1.841926604604794404e-01
2.010050251256281673e+00,-1.782367243946955393e-01
2.110552763819095734e+00,-1.745434928572986710e-01
2.211055276381909795e+00,-1.736491078546099909e-01
2.311557788944723857e+00,-1.762723473889309667e-01
2.412060301507537918e+00,-1.832985280670726691e-01
2.512562814070351980e+00,-1.957144070841039252e-01
2.613065326633166041e+00,-2.144131042283000110e-01
2.713567839195980103e+00,-2.399870947926019682e-01
2.814070351758794164e+00,-2.725252631130750669e-01
2.914572864321608225e+00,-3.113898038206647234e-01
3.015075376884422287e+00,-3.550836021337977488e-01
3.115577889447236348e+00,-4.012540192190254817e-01
3.216080402010050410e+00,-4.468059657679951391e-01
3.316582914572864471e+00,-4.883308843417203393e-01
3.417085427135678533e+00,-5.228640147113474690e-01
3.517587939698492594e+00,-5.487729472508837691e-01
3.618090452261306655e+00,-5.666944216165180626e-01
3.718592964824120717e+00,-5.801374503384444381e-01
3.819095477386934778e+00,-5.950262103033349126e-01
3.919597989949748840e+00,-6.181806199917531108e-01
4.020100502512563345e+00,-6.550705650662019819e-01
4.120603015075377407e+00,-7.075109252427201900e-01
4.221105527638191468e+00,-7.725907014340697154e-01
4.321608040201005529e+00,-8.432363711482198099e-01
4.422110552763819591e+00,-9.104421366208522715e-01
4.522613065326633652e+00,-9.654357276130469678e-01
4.623115577889447714e+00,-1.000909655472638660e+00
4.723618090452261775e+00,-1.011615078577488225e+00
4.824120603015075837e+00,-9.945506218207099680e-01
4.924623115577889898e+00,-9.495455446432763402e-01
5.025125628140703959e+00,-8.801401760575001676e-01
5.125628140703518021e+00,-7.937399263964097784e-01
5.226130653266332082e+00,-7.003402951816026789e-01
5.326633165829146144e+00,-6.098636270454466102e-01
5.427135678391960205e+00,-5.295698775667592173e-01
5.527638190954774267e+00,-4.626795956735661464e-01
5.628140703517588328e+00,-4.086295465278620975e-01
5.728643216080402389e+00,-3.646112319458588713e-01
5.829145728643216451e+00,-3.272604549070403657e-01
5.929648241206030512e+00,-2.939803281851331995e-01
6.030150753768844574e+00,-2.634176819212429299e-01
6.130653266331658635e+00,-2.354316605114832872e-01
6.231155778894472697e+00,-2.106785540349387642e-01
6.331658291457286758e+00,-1.901619533910165749e-01
6.432160804020100819e+00,-1.748757603902887370e-01
6.532663316582914881e+00,-1.655737256016347470e-01
6.633165829145728942e+00,-1.626996926375142150e-01
6.733668341708543004e+00,-1.664366015140414379e-01
6.834170854271357065e+00,-1.768445053220488450e-01
6.934673366834171127e+00,-1.939869531646807865e-01
7.035175879396985188e+00,-2.180068081019861381e-01
7.135678391959799249e+00,-2.490515935340304465e-01
7.236180904522613311e+00,-2.868668049946829779e-01
7.336683417085427372e+00,-3.303459057375178753e-01
7.437185929648241434e+00,-3.771557090866221040e-01
7.537688442211055495e+00,-4.234514187844784505e-01
7.638190954773869557e+00,-4.645187896694940588e-01
7.738693467336683618e+00,-4.959580594358455330e-01
7.839195979899497679e+00,-5.148960754625666603e-01
7.939698492462311741e+00,-5.207558658710478294e-01
8.040201005025126690e+00,-5.151938747633290072e-01
8.140703517587940752e+00,-5.015414958108784793e-01
8.241206030150754813e+00,-4.839031361565835909e-01
8.341708542713568875e+00,-4.664550361315304428e-01
8.442211055276382936e+00,-4.532210737377785903e-01
8.542713567839196998e+00,-4.475198281138821343e-01
8.643216080402011059e+00,-4.511633979340586853e-01
8.743718592964825120e+00,-4.638089422427400521e-01
8.844221105527639182e+00,-4.826912538712914147e-01
8.944723618090453243e+00,-5.031769048617998896e-01
9.045226130653267305e+00,-5.199616875136304772e-01
9.145728643216081366e+00,-5.284901288075805059e-01
9.246231155778895427e+00,-5.260161276392470997e-01
9.346733668341709489e+00,-5.119897329148132004e-01
9.447236180904523550e+00,-4.877930447010047077e-01
9.547738693467337612e+00,-4.561605883786338245e-01
9.648241206030151673e+00,-4.204544643128273473e-01
9.748743718592965735e+00,-3.840780632046323917e-01
9.849246231155779796e+00,-3.500631672401947614e-01
9.949748743718593857e+00,-3.208306041367168793e-01
1.005025125628140792e+01,-2.980885692493928096e-01
1.015075376884422198e+01,-2.827890606577957433e-01
1.025125628140703604e+01,-2.751520299278722437e-01
1.035175879396985010e+01,-2.746931977813055203e-01
1.045226130653266416e+01,-2.802618274070639570e-01
1.055276381909547823e+01,-2.901168042289684612e-01
1.065326633165829229e+01,-3.020965475742015682e-01
1.075376884422110635e+01,-3.138451584131071725e-01
1.085427135678392041e+01,-3.231003251889233985e-01
1.095477386934673447e+01,-3.281197189665580050e-01
1.105527638190954853e+01,-3.280246686751902563e-01
1.115577889447236259e+01,-3.230438457550808273e-01
1.125628140703517666e+01,-3.144459413179422347e-01
1.135678391959799072e+01,-3.040520355956630172e-01
1.145728643216080478e+01,-2.937756710300428731e-01
1.155778894472361884e+01,-2.850963883081525929e-01
1.165829145728643290e+01,-2.787680975802033223e-01
1.175879396984924696e+01,-2.748662300345357523e-01
1.185929648241206102e+01,-2.729803704031192324e-01
1.195979899497487509e+01,-2.724108974486434409e-01
1.206030150753768915e+01,-2.722068223106068330e-01
1.216080402010050321e+01,-2.712299256798141323e-01
1.226130653266331727e+01,-2.683994601867284446e-01
1.236180904522613133e+01,-2.629871499774887877e-01
1.246231155778894539e+01,-2.548589852498234221e-01
1.256281407035175945e+01,-2.446099526450155326e-01
1.266331658291457352e+01,-2.333879512632862085e-01
1.276381909547738758e+01,-2.224354892624138547e-01
1.286432160804020164e+01,-2.127425202051017039e-01
1.296482412060301570e+01,-2.049096334247270390e-01
1.306532663316582976e+01,-1.992660962444650075e-01
1.316582914572864382e+01,-1.961685466040728187e-01
1.326633165829145788e+01,-1.961650974342535880e-01
1.336683417085427195e+01,-2.001396544127297950e-01
1.346733668341708601e+01,-2.092399481718395238e-01
1.356783919597990007e+01,-2.247015312468595982e-01
1.366834170854271413e+01,-2.476393651993233080e-01
1.376884422110552819e+01,-2.787613229094175749e-01
1.386934673366834225e+01,-3.181320069381668447e-01
1.396984924623115631e+01,-3.649348145748285699e-01
