time,R_energy_linear
0.000000000000000000e+00,-8.611600456159365535e+00
1.005025125628140753e-01,-9.681889312240612000e+00
2.010050251256281506e-01,-1.104555340114210260e+01
3.015075376884422398e-01,-1.276392990623616441e+01
4.020100502512563012e-01,-1.490713092966070619e+01
5.025125628140704181e-01,-1.754842988213820831e+01
6.030150753768844796e-01,-2.075303545256354099e+01
7.035175879396985410e-01,-2.455926634506487005e+01
8.040201005025126024e-01,-2.895157522499387781e+01
9.045226130653266639e-01,-3.382832785934674291e+01
1.005025125628140836e+00,-3.897276309783705983e+01
1.105527638190954898e+00,-4.404163637534465892e+01
1.206030150753768959e+00,-4.858798710054807657e+01
1.306532663316583021e+00,-5.212718898080808572e+01
1.407035175879397082e+00,-5.423730603432147745e+01
1.507537688442211143e+00,-5.466325510153010470e+01
1.608040201005025205e+00,-5.338392847619086012e+01
1.708542713567839266e+00,-5.061350357416876733e+01
1.809045226130653328e+00,-4.673775026457182946e+01
1.909547738693467389e+00,-4.221464622576581149e+01
2.010050251256281673e+00,-3.747842001364934816e+01
2.110552763819095734e+00,-3.287521274912752745e+01
2.211055276381909795e+00,-2.863830588877455341e+01
2.311557788944723857e+00,-2.489478849342663480e+01
2.412060301507537918e+00,-2.168919875468922953e+01
2.512562814070351980e+00,-1.901140616948043416e+01
2.613065326633166041e+00,-1.682103434805062037e+01
2.713567839195980103e+00,-1.506548749205713555e+01
2.814070351758794164e+00,-1.369165951290702488e+01
2.914572864321608225e+00,-1.265272422486960302e+01
3.015075376884422287e+00,-1.191168906214364398e+01
3.115577889447236348e+00,-1.144312025775184516e+01
3.216080402010050410e+00,-1.123409756907904367e+01
3.316582914572864471e+00,-1.128512210207815158e+01
3.417085427135678533e+00,-1.161147487571549597e+01
3.517587939698492594e+00,-1.224536617794388071e+01
3.618090452261306655e+00,-1.323910130882495473e+01
3.718592964824120717e+00,-1.466931500308208136e+01
3.819095477386934778e+00,-1.664200001366562276e+01
3.919597989949748840e+00,-1.929738409543180566e+01
4.020100502512563345e+00,-2.281247962325365108e+01
4.120603015075377407e+00,-2.739712944852873377e+01
4.221105527638191468e+00,-3.327670658664055736e+01
4.321608040201005529e+00,-4.065212799906650787e+01
4.422110552763819591e+00,-4.962807218787545338e+01
4.522613065326633652e+00,-6.010757874470940720e+01
4.623115577889447714e+00,-7.167034465771853036e+01
4.723618090452261775e+00,-8.348214710816071715e+01
4.824120603015075837e+00,-9.430918313583667612e+01
4.924623115577889898e+00,-1.027024079983898304e+02
5.025125628140703959e+00,-1.073476788099715407e+02
5.125628140703518021e+00,-1.074663812442529576e+02
5.226130653266332082e+00,-1.030788074078931658e+02
5.326633165829146144e+00,-9.498938487419411558e+01
5.427135678391960205e+00,-8.450483530977967916e+01
5.527638190954774267e+00,-7.303819298291837470e+01
5.628140703517588328e+00,-6.177927026526801768e+01
5.728643216080402389e+00,-5.153055651616115540e+01
5.829145728643216451e+00,-4.270210241993704869e+01
5.929648241206030512e+00,-3.539994681117678255e+01
6.030150753768844574e+00,-2.954007657805440346e+01
6.130653266331658635e+00,-2.494603433604766352e+01
6.231155778894472697e+00,-2.141564885378942051e+01
6.331658291457286758e+00,-1.875895447749601175e+01
6.432160804020100819e+00,-1.681554910361337818e+01
6.532663316582914881e+00,-1.545969694483988022e+01
6.633165829145728942e+00,-1.459932578378641388e+01
6.733668341708543004e+00,-1.417273316785801107e+01
6.834170854271357065e+00,-1.414505431607105557e+01
6.934673366834171127e+00,-1.450541416260542782e+01
7.035175879396985188e+00,-1.526500834270272300e+01
7.135678391959799249e+00,-1.645592608855521277e+01
7.236180904522613311e+00,-1.813014796721798305e+01
7.336683417085427372e+00,-2.035769485806950385e+01
7.437185929648241434e+00,-2.322227033479281388e+01
7.537688442211055495e+00,-2.681194648438452433e+01
7.638190954773869557e+00,-3.120170476311717067e+01
7.738693467336683618e+00,-3.642460501469448531e+01
7.839195979899497679e+00,-4.243018508636317421e+01
7.939698492462311741e+00,-4.903391347936818789e+01
8.040201005025126690e+00,-5.587089660351169584e+01
8.140703517587940752e+00,-6.237829040848441764e+01
8.241206030150754813e+00,-6.783643246125751602e+01
8.341708542713568875e+00,-7.148748584860899769e+01
8.442211055276382936e+00,-7.271625422383026205e+01
8.542713567839196998e+00,-7.123373513166676219e+01
8.643216080402011059e+00,-6.718132246552063691e+01
8.743718592964825120e+00,-6.110008946183804568e+01
8.844221105527639182e+00,-5.377602256723498897e+01
8.944723618090453243e+00,-4.603307969619455520e+01
9.045226130653267305e+00,-3.855946455289635821e+01
9.145728643216081366e+00,-3.181764891178779919e+01
9.246231155778895427e+00,-2.603905832257717634e+01
9.346733668341709489e+00,-2.127246297796502716e+01
9.447236180904523550e+00,-1.745000296182114496e+01
9.547738693467337612e+00,-1.444614673531175342e+01
9.648241206030151673e+00,-1.211937159067158554e+01
9.748743718592965735e+00,-1.033641545683771845e+01
9.849246231155779796e+00,-8.983405157538694397e+00
9.949748743718593857e+00,-7.968831522817832358e+00
1.005025125628140792e+01,-7.222293377267353875e+00
1.015075376884422198e+01,-6.691559698552595137e+00
1.025125628140703604e+01,-6.339368315734599690e+00
1.035175879396985010e+01,-6.140634637003794083e+00
1.045226130653266416e+01,-6.080320323505650215e+00
1.055276381909547823e+01,-6.152004173035988899e+00
1.065326633165829229e+01,-6.357112689921379456e+00
1.075376884422110635e+01,-6.704745934206908231e+00
1.085427135678392041e+01,-7.212028285282774398e+00
1.095477386934673447e+01,-7.904897820587192037e+00
1.105527638190954853e+01,-8.819188714555961539e+00
1.115577889447236259e+01,-1.000172732485667915e+01
1.125628140703517666e+01,-1.151090982935670759e+01
1.135678391959799072e+01,-1.341582346816544202e+01
1.145728643216080478e+01,-1.579241695015564950e+01
1.155778894472361884e+01,-1.871464507500490626e+01
1.165829145728643290e+01,-2.223826770228018290e+01
1.175879396984924696e+01,-2.637577289965123839e+01
1.185929648241206102e+01,-3.106365190846536350e+01
1.195979899497487509e+01,-3.612856332019136119e+01
1.206030150753768915e+01,-4.126580664279057942e+01
1.216080402010050321e+01,-4.604809177967498357e+01
1.226130653266331727e+01,-4.997902247979766344e+01
1.236180904522613133e+01,-5.258948799823669162e+01
1.246231155778894539e+01,-5.355128988541073198e+01
1.256281407035175945e+01,-5.276497100077592250e+01
1.266331658291457352e+01,-5.038385068453185056e+01
1.276381909547738758e+01,-4.676452618557029695e+01
1.286432160804020164e+01,-4.236819145240602325e+01
1.296482412060301570e+01,-3.765469605081895565e+01
1.306532663316582976e+01,-3.300459007823501878e+01
1.316582914572864382e+01,-2.868334741368042984e+01
1.326633165829145788e+01,-2.484219999473725693e+01
1.336683417085427195e+01,-2.154056990639952573e+01
1.346733668341708601e+01,-1.877543693136272651e+01
1.356783919597990007e+01,-1.650813695742658638e+01
1.366834170854271413e+01,-1.468456563221583977e+01
1.376884422110552819e+01,-1.324844291763652393e+01
1.386934673366834225e+01,-1.214902756257924210e+01
1.396984924623115631e+01,-1.134508569427421065e+01
1.407035175879397038e+01,-1.080669572451346383e+01
1.417085427135678444e+01,-1.051606586607371696e+01
1.427135678391959850e+01,-1.046816656207835550e+01
1.437185929648241256e+01,-1.067172007542315093e+01
1.447236180904522662e+01,-1.115092348917614196e+01
1.457286432160804068e+01,-1.194817898168286519e+01
1.467336683417085474e+01,-1.312799691362294752e+01
1.477386934673366881e+01,-1.478203020884128271e+01
1.487437185929648287e+01,-1.703474190266105381e+01
1.497487437185929693e+01,-2.004828658929843499e+01
1.507537688442211099e+01,-2.402354061765152693e+01
1.517587939698492505e+01,-2.919169260152178325e+01
1.527638190954773911e+01,-3.578775421483267394e+01
1.537688442211055317e+01,-4.399536075100113663e+01
1.547738693467336724e+01,-5.385495320803171637e+01
1.557788944723618130e+01,-6.514033422823725061e+01
1.567839195979899536e+01,-7.723538742332924301e+01
1.577889447236180942e+01,-8.907665091470005336e+01
1.587939698492462348e+01,-9.924387206596304623e+01
1.597989949748743754e+01,-1.062426135277929689e+02
1.608040201005025338e+01,-1.089204687269868401e+02
1.618090452261306567e+01,-1.068452450097549331e+02
1.628140703517588150e+01,-1.004507277215595025e+02
1.638190954773869379e+01,-9.087116941036350681e+01
1.648241206030150963e+01,-7.956107443311238114e+01
1.658291457286432191e+01,-6.789543101777748291e+01
1.668341708542713775e+01,-5.690759794342768885e+01
1.678391959798995003e+01,-4.720955042534094304e+01
1.688442211055276587e+01,-3.904703931918973581e+01
1.698492462311557816e+01,-3.241311262396582293e+01
1.708542713567839400e+01,-2.716117891556852015e+01
1.718592964824120628e+01,-2.308988938968665749e+01
1.728643216080402212e+01,-1.999550799726659633e+01
1.738693467336683440e+01,-1.769857935122528403e+01
1.748743718592965024e+01,-1.605408082288185057e+01
1.758793969849246253e+01,-1.495266075535037231e+01
1.768844221105527836e+01,-1.431800073982344834e+01
1.778894472361809065e+01,-1.410319435163889601e+01
1.788944723618090649e+01,-1.428756955256095473e+01
1.798994974874371877e+01,-1.487449831434001801e+01
1.809045226130653461e+01,-1.589020355348998415e+01
1.819095477386934689e+01,-1.738317278168308633e+01
1.829145728643216273e+01,-1.942334994512065549e+01
1.839195979899497502e+01,-2.209965878664297989e+01
1.849246231155779085e+01,-2.551354461754782932e+01
1.859296482412060314e+01,-2.976519829151921570e+01
1.869346733668341898e+01,-3.492839781661794518e+01
1.879396984924623126e+01,-4.101053546705119146e+01
1.889447236180904710e+01,-4.789814775963155569e+01
1.899497487437185939e+01,-5.529692124581189461e+01
1.909547738693467522e+01,-6.268847943527399025e+01
1.919597989949748751e+01,-6.933831899900806661e+01
1.929648241206030335e+01,-7.438805991888287394e+01
1.939698492462311563e+01,-7.703713116941955263e+01
1.949748743718593147e+01,-7.676729155857596254e+01
1.959798994974874375e+01,-7.351781849540894598e+01
1.969849246231155959e+01,-6.772212002119610474e+01
1.979899497487437188e+01,-6.018126680710572174e+01
1.989949748743718771e+01,-5.183487019468952894e+01
2.000000000000000000e+01,-4.353354770709036359e+01
