time,R_energy_linear_jacobian
0.000000000000000000e+00,-2.114548273008131574e+01
1.005025125628140753e-01,-2.321944449587026682e+01
2.010050251256281506e-01,-2.549197920587042887e+01
3.015075376884422398e-01,-2.789895447171090126e+01
4.020100502512563012e-01,-3.034972916790238884e+01
5.025125628140704181e-01,-3.273044966491601571e+01
6.030150753768844796e-01,-3.491247837940307619e+01
7.035175879396985410e-01,-3.676502161304932770e+01
8.040201005025126024e-01,-3.816970572959085928e+01
9.045226130653266639e-01,-3.903434256547740233e+01
1.005025125628140836e+00,-3.930359322113828568e+01
1.105527638190954898e+00,-3.896522253736763730e+01
1.206030150753768959e+00,-3.805147862843959672e+01
1.306532663316583021e+00,-3.663555385467545733e+01
1.407035175879397082e+00,-3.482334994293911734e+01
1.507537688442211143e+00,-3.274132739145116489e+01
1.608040201005025205e+00,-3.052215279282751936e+01
1.708542713567839266e+00,-2.829070151112370013e+01
1.809045226130653328e+00,-2.615307743173414323e+01
1.909547738693467389e+00,-2.419043082681069023e+01
2.010050251256281673e+00,-2.245788350590850513e+01
2.110552763819095734e+00,-2.098753306749013348e+01
2.211055276381909795e+00,-1.979383409018007356e+01
2.311557788944723857e+00,-1.887970730230297889e+01
2.412060301507537918e+00,-1.824222572538011278e+01
2.512562814070351980e+00,-1.787731934931406386e+01
2.613065326633166041e+00,-1.778339913615603507e+01
2.713567839195980103e+00,-1.796405775897178003e+01
2.814070351758794164e+00,-1.843008666542047891e+01
2.914572864321608225e+00,-1.920101366267471477e+01
3.015075376884422287e+00,-2.030625311852639925e+01
3.115577889447236348e+00,-2.178578736079296974e+01
3.216080402010050410e+00,-2.369005545704727211e+01
3.316582914572864471e+00,-2.607840423692356069e+01
3.417085427135678533e+00,-2.901507354236191816e+01
3.517587939698492594e+00,-3.256135871976299256e+01
3.618090452261306655e+00,-3.676259109098553779e+01
3.718592964824120717e+00,-4.162935196015456540e+01
3.819095477386934778e+00,-4.711435247832119444e+01
3.919597989949748840e+00,-5.308964846964713047e+01
4.020100502512563345e+00,-5.933215456981346136e+01
4.120603015075377407e+00,-6.552637500920552327e+01
4.221105527638191468e+00,-7.128959822283798076e+01
4.321608040201005529e+00,-7.621686517555164642e+01
4.422110552763819591e+00,-7.993497052431824557e+01
4.522613065326633652e+00,-8.215190895569978125e+01
4.623115577889447714e+00,-8.269219488301979482e+01
4.723618090452261775e+00,-8.151552150886315928e+01
4.824120603015075837e+00,-7.872056641281386646e+01
4.924623115577889898e+00,-7.453516646574441040e+01
5.025125628140703959e+00,-6.929154629928817144e+01
5.125628140703518021e+00,-6.338571335910899052e+01
5.226130653266332082e+00,-5.722539537142282740e+01
5.326633165829146144e+00,-5.117758188661343866e+01
5.427135678391960205e+00,-4.552907622447532532e+01
5.527638190954774267e+00,-4.046884319476308178e+01
5.628140703517588328e+00,-3.609229985141938357e+01
5.728643216080402389e+00,-3.242055606865090311e+01
5.829145728643216451e+00,-2.942529500569957079e+01
5.929648241206030512e+00,-2.705193839191433014e+01
6.030150753768844574e+00,-2.523736435583084159e+01
6.130653266331658635e+00,-2.392152127502836478e+01
6.231155778894472697e+00,-2.305396809564726723e+01
6.331658291457286758e+00,-2.259685269543749797e+01
6.432160804020100819e+00,-2.252563529426463163e+01
6.532663316582914881e+00,-2.282840617598979094e+01
6.633165829145728942e+00,-2.350417297739405242e+01
6.733668341708543004e+00,-2.456009317858563890e+01
6.834170854271357065e+00,-2.600733683708646282e+01
6.934673366834171127e+00,-2.785512971735263221e+01
7.035175879396985188e+00,-3.010264380198508860e+01
7.135678391959799249e+00,-3.272890285579553904e+01
7.236180904522613311e+00,-3.568183114130238209e+01
7.336683417085427372e+00,-3.886883677357540279e+01
7.437185929648241434e+00,-4.215234342274687407e+01
7.537688442211055495e+00,-4.535361390318583830e+01
7.638190954773869557e+00,-4.826642866016887012e+01
7.738693467336683618e+00,-5.067904202370930022e+01
7.839195979899497679e+00,-5.239985356474031164e+01
7.939698492462311741e+00,-5.328115066400665967e+01
8.040201005025126690e+00,-5.323660875192356201e+01
8.140703517587940752e+00,-5.225074046947157314e+01
8.241206030150754813e+00,-5.038030285392648011e+01
8.341708542713568875e+00,-4.774801145570219063e+01
8.442211055276382936e+00,-4.452863327715733988e+01
8.542713567839196998e+00,-4.092812034260149545e+01
8.643216080402011059e+00,-3.715841294818116580e+01
8.743718592964825120e+00,-3.341274247608195225e+01
8.844221105527639182e+00,-2.984685083890681767e+01
8.944723618090453243e+00,-2.656968960612350017e+01
9.045226130653267305e+00,-2.364384046128436268e+01
9.145728643216081366e+00,-2.109301106334687503e+01
9.246231155778895427e+00,-1.891279280775898286e+01
9.346733668341709489e+00,-1.708139933099467456e+01
9.447236180904523550e+00,-1.556846941801247652e+01
9.547738693467337612e+00,-1.434133450768684526e+01
9.648241206030151673e+00,-1.336898760608300485e+01
9.748743718592965735e+00,-1.262432986417649339e+01
9.849246231155779796e+00,-1.208528712986341169e+01
9.949748743718593857e+00,-1.173526138130475971e+01
1.005025125628140792e+01,-1.156322617697100341e+01
1.015075376884422198e+01,-1.156364122778386871e+01
1.025125628140703604e+01,-1.173625874875791375e+01
1.035175879396985010e+01,-1.208581577742983981e+01
1.045226130653266416e+01,-1.262154011667677445e+01
1.055276381909547823e+01,-1.335633368958782619e+01
1.065326633165829229e+01,-1.430543424523535556e+01
1.075376884422110635e+01,-1.548430604547086809e+01
1.085427135678392041e+01,-1.690550402654183415e+01
1.095477386934673447e+01,-1.857434943433946373e+01
1.105527638190954853e+01,-2.048351615089816136e+01
1.115577889447236259e+01,-2.260709583129647626e+01
1.125628140703517666e+01,-2.489532088326803461e+01
1.135678391959799072e+01,-2.727164903966065168e+01
1.145728643216080478e+01,-2.963397292312597742e+01
1.155778894472361884e+01,-3.186100814285406102e+01
1.165829145728643290e+01,-3.382350766964167121e+01
1.175879396984924696e+01,-3.539841931179473278e+01
1.185929648241206102e+01,-3.648323008807957990e+01
1.195979899497487509e+01,-3.700792713034221038e+01
1.206030150753768915e+01,-3.694294381651535986e+01
1.216080402010050321e+01,-3.630243133811427469e+01
1.226130653266331727e+01,-3.514270952463945719e+01
1.236180904522613133e+01,-3.355594326605985600e+01
1.246231155778894539e+01,-3.165947740788820397e+01
1.256281407035175945e+01,-2.958213378096198554e+01
1.266331658291457352e+01,-2.744981032846996527e+01
1.276381909547738758e+01,-2.537319878217842373e+01
1.286432160804020164e+01,-2.343987209940279470e+01
1.296482412060301570e+01,-2.171158952509268047e+01
1.306532663316582976e+01,-2.022615335371398260e+01
1.316582914572864382e+01,-1.900220783415828762e+01
1.326633165829145788e+01,-1.804522012105245565e+01
1.336683417085427195e+01,-1.735330402114459858e+01
1.346733668341708601e+01,-1.692216054589938423e+01
1.356783919597990007e+01,-1.674893131916061861e+01
1.366834170854271413e+01,-1.683507920371772926e+01
1.376884422110552819e+01,-1.718853768470172838e+01
1.386934673366834225e+01,-1.782536558770877377e+01
1.396984924623115631e+01,-1.877105790771834037e+01
1.407035175879397038e+01,-2.006152054143976216e+01
1.417085427135678444e+01,-2.174351297443899611e+01
1.427135678391959850e+01,-2.387408030786888702e+01
1.437185929648241256e+01,-2.651812694268792114e+01
1.447236180904522662e+01,-2.974287996946043933e+01
1.457286432160804068e+01,-3.360773373057109836e+01
1.467336683417085474e+01,-3.814823957309440061e+01
1.477386934673366881e+01,-4.335434123252167637e+01
1.487437185929648287e+01,-4.914571462140891356e+01
1.497487437185929693e+01,-5.535077162756012115e+01
1.507537688442211099e+01,-6.169861954131211235e+01
1.517587939698492505e+01,-6.783222597320350644e+01
1.527638190954773911e+01,-7.334476673307921146e+01
1.537688442211055317e+01,-7.783198039713518313e+01
1.547738693467336724e+01,-8.094695614538684936e+01
1.557788944723618130e+01,-8.244450262948842578e+01
1.567839195979899536e+01,-8.220886096543613064e+01
1.577889447236180942e+01,-8.026519001814749288e+01
1.587939698492462348e+01,-7.677709632601633416e+01
1.597989949748743754e+01,-7.203001742659134266e+01
1.608040201005025338e+01,-6.639839048670805255e+01
1.618090452261306567e+01,-6.029752961175409354e+01
1.628140703517588150e+01,-5.412821973831663769e+01
1.638190954773869379e+01,-4.822763481028587762e+01
1.648241206030150963e+01,-4.283910689522798521e+01
1.658291457286432191e+01,-3.810567431524213333e+01
1.668341708542713775e+01,-3.408337052965612202e+01
1.678391959798995003e+01,-3.076509511689970111e+01
1.688442211055276587e+01,-2.810602024801222143e+01
1.698492462311557816e+01,-2.604478236051404849e+01
1.708542713567839400e+01,-2.451839868578070281e+01
1.718592964824120628e+01,-2.347132740188746425e+01
1.728643216080402212e+01,-2.286012748793780247e+01
1.738693467336683440e+01,-2.265522837552775570e+01
1.748743718592965024e+01,-2.284091933526483942e+01
1.758793969849246253e+01,-2.341415608403351456e+01
1.768844221105527836e+01,-2.438230985330027067e+01
1.778894472361809065e+01,-2.575960364000670211e+01
1.788944723618090649e+01,-2.756172869067226472e+01
1.798994974874371877e+01,-2.979809788373837875e+01
1.809045226130653461e+01,-3.246152353566915849e+01
1.819095477386934689e+01,-3.551596782407671782e+01
1.829145728643216273e+01,-3.888439645080151763e+01
1.839195979899497502e+01,-4.244026507227255962e+01
1.849246231155779085e+01,-4.600687146808042627e+01
1.859296482412060314e+01,-4.936768436220547329e+01
1.869346733668341898e+01,-5.228758360504261304e+01
1.879396984924623126e+01,-5.454098715643910111e+01
1.889447236180904710e+01,-5.594037831004516903e+01
1.899497487437185939e+01,-5.635927173102693644e+01
1.909547738693467522e+01,-5.574645753254984726e+01
1.919597989949748751e+01,-4.967267521078416337e+01
1.929648241206030335e+01,-4.322257567038229098e+01
1.939698492462311563e+01,-3.652191712767282894e+01
1.949748743718593147e+01,-2.973247444721996757e+01
1.959798994974874375e+01,-2.303249484314030227e+01
1.969849246231155959e+01,-1.659218314367928215e+01
1.979899497487437188e+01,-1.055127254462245645e+01
1.989949748743718771e+01,-5.004856080404015195e+00
2.000000000000000000e+01,-0.000000000000000000e+00
