time,R_energy_pc
0.000000000000000000e+00,-5.091120331341556060e+00
1.005025125628140753e-01,-5.835086206442865020e+00
2.010050251256281506e-01,-6.600862217424345424e+00
3.015075376884422398e-01,-7.341071439510582053e+00
4.020100502512563012e-01,-8.011169946386953455e+00
5.025125628140704181e-01,-8.577530620198476896e+00
6.030150753768844796e-01,-9.021970818019115157e+00
7.035175879396985410e-01,-9.342600947770129949e+00
8.040201005025126024e-01,-9.550077536500102937e+00
9.045226130653266639e-01,-9.662448181678973569e+00
1.005025125628140836e+00,-9.700034182044134923e+00
1.105527638190954898e+00,-9.681644298645869284e+00
1.206030150753768959e+00,-9.622154378507200789e+00
1.306532663316583021e+00,-9.532494179578295146e+00
1.407035175879397082e+00,-9.422548669985804537e+00
1.507537688442211143e+00,-9.302658440546142771e+00
1.608040201005025205e+00,-9.182854583662891201e+00
1.708542713567839266e+00,-9.071719352406065084e+00
1.809045226130653328e+00,-8.975574426321385246e+00
1.909547738693467389e+00,-8.897906812191680004e+00
2.010050251256281673e+00,-8.839450412537393831e+00
2.110552763819095734e+00,-8.798889150517911872e+00
2.211055276381909795e+00,-8.774323874248983302e+00
2.311557788944723857e+00,-8.764666227695196099e+00
2.412060301507537918e+00,-8.769902120998294137e+00
2.512562814070351980e+00,-8.791203665753677399e+00
2.613065326633166041e+00,-8.831005307406844196e+00
2.713567839195980103e+00,-8.892842509841564436e+00
2.814070351758794164e+00,-8.980884201061847705e+00
2.914572864321608225e+00,-9.099097468497475916e+00
3.015075376884422287e+00,-9.250248548818712280e+00
3.115577889447236348e+00,-9.434476231757869868e+00
3.216080402010050410e+00,-9.647942137552139030e+00
3.316582914572864471e+00,-9.882336454019378991e+00
3.417085427135678533e+00,-1.012493302510250714e+01
3.517587939698492594e+00,-1.035935550281178585e+01
3.618090452261306655e+00,-1.056842243846196894e+01
3.718592964824120717e+00,-1.073770398463033260e+01
3.819095477386934778e+00,-1.085857498339177241e+01
3.919597989949748840e+00,-1.092992030104930379e+01
4.020100502512563345e+00,-1.095506530306175286e+01
4.120603015075377407e+00,-1.093393034536453001e+01
4.221105527638191468e+00,-1.086199284424889733e+01
4.321608040201005529e+00,-1.073225028344008436e+01
4.422110552763819591e+00,-1.053393779821868037e+01
4.522613065326633652e+00,-1.025356831370981503e+01
4.623115577889447714e+00,-9.877669940329699472e+00
4.723618090452261775e+00,-9.397025769269404805e+00
4.824120603015075837e+00,-8.811323540883767791e+00
4.924623115577889898e+00,-8.133531487227791956e+00
5.025125628140703959e+00,-7.391493309606031126e+00
5.125628140703518021e+00,-6.625048357357107065e+00
5.226130653266332082e+00,-5.879978991629161378e+00
5.326633165829146144e+00,-5.199150697557772816e+00
5.427135678391960205e+00,-4.614432472512531191e+00
5.527638190954774267e+00,-4.142222470940059686e+00
5.628140703517588328e+00,-3.782482247390852148e+00
5.728643216080402389e+00,-3.522378070214781776e+00
5.829145728643216451e+00,-3.341603475695834380e+00
5.929648241206030512e+00,-3.217920139124664125e+00
6.030150753768844574e+00,-3.131614303461041082e+00
6.130653266331658635e+00,-3.068606119411238620e+00
6.231155778894472697e+00,-3.021108590979172615e+00
6.331658291457286758e+00,-2.985376373358324731e+00
6.432160804020100819e+00,-2.959767262915109498e+00
6.532663316582914881e+00,-2.943811974988117530e+00
6.633165829145728942e+00,-2.937860229939958767e+00
6.733668341708543004e+00,-2.942814038603636551e+00
6.834170854271357065e+00,-2.959738985961927860e+00
6.934673366834171127e+00,-2.989902791251032088e+00
7.035175879396985188e+00,-3.035050809145794837e+00
7.135678391959799249e+00,-3.096356460938376465e+00
7.236180904522613311e+00,-3.172732295154046867e+00
7.336683417085427372e+00,-3.260070412161037545e+00
7.437185929648241434e+00,-3.351148230653044902e+00
7.537688442211055495e+00,-3.435780892060614100e+00
7.638190954773869557e+00,-3.501633002586635346e+00
7.738693467336683618e+00,-3.535771897765001004e+00
7.839195979899497679e+00,-3.526829794942214491e+00
7.939698492462311741e+00,-3.467040814626035861e+00
8.040201005025126690e+00,-3.353894249820987827e+00
8.140703517587940752e+00,-3.191240335059998934e+00
8.241206030150754813e+00,-2.989113107432427974e+00
8.341708542713568875e+00,-2.762646006854572622e+00
8.442211055276382936e+00,-2.530242270093516765e+00
8.542713567839196998e+00,-2.310004878455161226e+00
8.643216080402011059e+00,-2.115968371315363417e+00
8.743718592964825120e+00,-1.955380908678134633e+00
8.844221105527639182e+00,-1.827106816621481666e+00
8.944723618090453243e+00,-1.724539812619849677e+00
9.045226130653267305e+00,-1.643465082427137069e+00
9.145728643216081366e+00,-1.582656900755756491e+00
9.246231155778895427e+00,-1.539916805506877706e+00
9.346733668341709489e+00,-1.512537342125861883e+00
9.447236180904523550e+00,-1.497959876392433332e+00
9.547738693467337612e+00,-1.494353210895547956e+00
9.648241206030151673e+00,-1.500807527890463122e+00
9.748743718592965735e+00,-1.517348600033116002e+00
9.849246231155779796e+00,-1.544930699955368247e+00
9.949748743718593857e+00,-1.585445688782367357e+00
1.005025125628140792e+01,-1.641758652100692162e+00
1.015075376884422198e+01,-1.717887645021417553e+00
1.025125628140703604e+01,-1.819076514188959992e+00
1.035175879396985010e+01,-1.951689649637132096e+00
