time,R_loc
0.000000000000000000e+00,-1.499999999765578018e-01
1.005025125628140753e-01,-1.872023983884308074e-01
2.010050251256281506e-01,-2.209239072931135917e-01
3.015075376884422398e-01,-2.502999324185615215e-01
4.020100502512563012e-01,-2.743149440029290509e-01
5.025125628140704181e-01,-2.918258768525028302e-01
6.030150753768844796e-01,-3.016157978097400161e-01
7.035175879396985410e-01,-3.024853770516866547e-01
8.040201005025126024e-01,-2.933858958276136519e-01
9.045226130653266639e-01,-2.735905248463232908e-01
1.005025125628140836e+00,-2.428858516950738733e-01
1.105527638190954898e+00,-2.017527560640997031e-01
1.206030150753768959e+00,-1.514910751149179391e-01
1.306532663316583021e+00,-9.423995288304620743e-02
1.407035175879397082e+00,-3.286029290339165243e-02
1.507537688442211143e+00,-2.401415190249646392e-02
1.608040201005025205e+00,-2.176787832360924102e-02
1.708542713567839266e+00,-1.972746435863000081e-02
1.809045226130653328e+00,-1.787480520158840624e-02
1.909547738693467389e+00,-1.619325123415482626e-02
2.010050251256281673e+00,-1.466751636950315574e-02
2.110552763819095734e+00,-1.328358693804060353e-02
2.211055276381909795e+00,-1.202863292837848264e-02
2.311557788944723857e+00,-1.089092191827965156e-02
2.412060301507537918e+00,-9.859736782540345912e-03
2.512562814070351980e+00,-8.925297352942895834e-03
2.613065326633166041e+00,-8.078686204362792167e-03
2.713567839195980103e+00,-7.311779120551278183e-03
2.814070351758794164e+00,-6.617179555797714219e-03
2.914572864321608225e+00,-5.988158014642532348e-03
3.015075376884422287e+00,-5.418595365694559712e-03
3.115577889447236348e+00,-1.125202858665019789e-02
3.216080402010050410e+00,-5.545819209418206830e-02
3.316582914572864471e+00,-9.988880020350704436e-02
3.417085427135678533e+00,-1.440663890406312375e-01
3.517587939698492594e+00,-1.874883392705140039e-01
3.618090452261306655e+00,-2.295796605947255098e-01
3.718592964824120717e+00,-2.696441434458380360e-01
3.819095477386934778e+00,-3.068161320771146117e-01
3.919597989949748840e+00,-3.400171767614645901e-01
4.020100502512563345e+00,-3.679248143928503523e-01
4.120603015075377407e+00,-3.889644588639384892e-01
4.221105527638191468e+00,-4.013413665016064558e-01
4.321608040201005529e+00,-4.031290892769767709e-01
4.422110552763819591e+00,-3.924362855511898118e-01
4.522613065326633652e+00,-3.676606822877737102e-01
4.623115577889447714e+00,-3.278212866858475905e-01
4.723618090452261775e+00,-2.729259876849132738e-01
4.824120603015075837e+00,-2.042894796105977073e-01
4.924623115577889898e+00,-1.246916668806719586e-01
5.025125628140703959e+00,-3.827168609804593169e-02
5.125628140703518021e+00,-6.588403650426288838e-04
5.226130653266332082e+00,-5.957859572674611970e-04
5.326633165829146144e+00,-5.387537753250432049e-04
5.427135678391960205e+00,-4.871692524196086227e-04
5.527638190954774267e+00,-4.405125029906808987e-04
5.628140703517588328e+00,-3.983131748756391088e-04
5.728643216080402389e+00,-3.601457848888406366e-04
5.829145728643216451e+00,-3.256253278906893860e-04
5.929648241206030512e+00,-2.944035822983748218e-04
6.030150753768844574e+00,-2.661654491720316651e-04
6.130653266331658635e+00,-2.406260156406422879e-04
6.231155778894472697e+00,-2.175274721075357021e-04
6.331658291457286758e+00,-1.966366535128549753e-04
6.432160804020100819e+00,-1.777425799953519236e-04
6.532663316582914881e+00,-1.606544675104432107e-04
6.633165829145728942e+00,-1.451997739616503469e-04
6.733668341708543004e+00,-1.312224451094079480e-04
6.834170854271357065e+00,-1.185812204889877264e-04
6.934673366834171127e+00,-4.255927926744001999e-02
7.035175879396985188e+00,-8.734274835331401476e-02
7.135678391959799249e+00,-1.297756669280114572e-01
7.236180904522613311e+00,-1.690421902889732986e-01
7.336683417085427372e+00,-2.041769940341886802e-01
7.437185929648241434e+00,-2.340372207976226804e-01
7.537688442211055495e+00,-2.572972259973216325e-01
7.638190954773869557e+00,-2.724772033280142836e-01
7.738693467336683618e+00,-2.780185974771143265e-01
7.839195979899497679e+00,-2.724176206836403935e-01
7.939698492462311741e+00,-2.544213948685314364e-01
8.040201005025126690e+00,-2.232766533683331056e-01
8.140703517587940752e+00,-1.789983253147609810e-01
8.241206030150754813e+00,-1.226007590171551698e-01
8.341708542713568875e+00,-5.621755408413692257e-02
8.442211055276382936e+00,-2.295197944027216330e-05
8.542713567839196998e+00,-2.066180892623670218e-05
8.643216080402011059e+00,-1.859059774715621227e-05
8.743718592964825120e+00,-1.671744229682359251e-05
8.844221105527639182e+00,-1.502339407867276516e-05
8.944723618090453243e+00,-1.349127953877149455e-05
