time,R_spec
0.000000000000000000e+00,3.160390735297883280e-01
1.005025125628140753e-01,3.089488617976738349e-01
2.010050251256281506e-01,3.010491549142909062e-01
3.015075376884422398e-01,2.913938329846291753e-01
4.020100502512563012e-01,2.779835843738519552e-01
5.025125628140704181e-01,2.645673394061681671e-01
6.030150753768844796e-01,2.515004688386485165e-01
7.035175879396985410e-01,2.391449373699614522e-01
8.040201005025126024e-01,2.278001110512601901e-01
9.045226130653266639e-01,2.177340742550384345e-01
1.005025125628140836e+00,2.092134247727865104e-01
1.105527638190954898e+00,2.024311457405914005e-01
1.206030150753768959e+00,1.961923386894964261e-01
1.306532663316583021e+00,1.915539057009847390e-01
1.407035175879397082e+00,1.890877081670812587e-01
1.507537688442211143e+00,1.888581112147560415e-01
1.608040201005025205e+00,1.908041010955718875e-01
1.708542713567839266e+00,1.948856881366712313e-01
1.809045226130653328e+00,2.010669862823157295e-01
1.909547738693467389e+00,2.079901124339956775e-01
2.010050251256281673e+00,2.158258364902286008e-01
2.110552763819095734e+00,2.250125398960904910e-01
2.211055276381909795e+00,2.352657976028970088e-01
2.311557788944723857e+00,2.462717072075601699e-01
2.412060301507537918e+00,2.576443402657841997e-01
2.512562814070351980e+00,2.690062817986608179e-01
2.613065326633166041e+00,2.799836916936725983e-01
2.713567839195980103e+00,2.880888924052926181e-01
2.814070351758794164e+00,2.932772007520661472e-01
2.914572864321608225e+00,2.969592490837396070e-01
3.015075376884422287e+00,2.990797059719325079e-01
3.115577889447236348e+00,2.995763192606139547e-01
3.216080402010050410e+00,2.984002947526621097e-01
3.316582914572864471e+00,2.955707327082693348e-01
3.417085427135678533e+00,2.910665765657886594e-01
3.517587939698492594e+00,2.849283258632729354e-01
3.618090452261306655e+00,2.772176591684296088e-01
3.718592964824120717e+00,2.666828522914297395e-01
3.819095477386934778e+00,2.530087696707376543e-01
3.919597989949748840e+00,2.386927278878750447e-01
4.020100502512563345e+00,2.240972914060692656e-01
4.120603015075377407e+00,2.096541999463275019e-01
4.221105527638191468e+00,1.956469361381635852e-01
4.321608040201005529e+00,1.824761981492874496e-01
4.422110552763819591e+00,1.704449303817296424e-01
4.522613065326633652e+00,1.597612117776171792e-01
4.623115577889447714e+00,1.506948833191223969e-01
4.723618090452261775e+00,1.426574882175699333e-01
4.824120603015075837e+00,1.361062277615364691e-01
4.924623115577889898e+00,1.316232114923583940e-01
5.025125628140703959e+00,1.292438988688481283e-01
5.125628140703518021e+00,1.289518888661646823e-01
5.226130653266332082e+00,1.307964184264293894e-01
5.326633165829146144e+00,1.347018280963577508e-01
5.427135678391960205e+00,1.406814485656037450e-01
5.527638190954774267e+00,1.486350297135501652e-01
5.628140703517588328e+00,1.578403009695200365e-01
5.728643216080402389e+00,1.679931028957057926e-01
5.829145728643216451e+00,1.793990966966913791e-01
5.929648241206030512e+00,1.917653539382904726e-01
6.030150753768844574e+00,2.046964330017119194e-01
6.130653266331658635e+00,2.178126666049541305e-01
6.231155778894472697e+00,2.287970594671659974e-01
6.331658291457286758e+00,2.375776664319224629e-01
6.432160804020100819e+00,2.450747852108309810e-01
6.532663316582914881e+00,2.511042466511503868e-01
6.633165829145728942e+00,2.555566075999636810e-01
6.733668341708543004e+00,2.583513586204359558e-01
6.834170854271357065e+00,2.594728638224499395e-01
6.934673366834171127e+00,2.589273160532419849e-01
7.035175879396985188e+00,2.567843681251290033e-01
7.135678391959799249e+00,2.531068978648808865e-01
7.236180904522613311e+00,2.480444807115598227e-01
7.336683417085427372e+00,2.417556476444643332e-01
7.437185929648241434e+00,2.344284451072243258e-01
7.537688442211055495e+00,2.262373336902989140e-01
7.638190954773869557e+00,2.154738441798362547e-01
7.738693467336683618e+00,2.050433007575442335e-01
7.839195979899497679e+00,1.952892497603882227e-01
7.939698492462311741e+00,1.865009456542193744e-01
8.040201005025126690e+00,1.790220278064020010e-01
8.140703517587940752e+00,1.718929182223529750e-01
8.241206030150754813e+00,1.660129601560340062e-01
8.341708542713568875e+00,1.621488370115650723e-01
8.442211055276382936e+00,1.604723358668805333e-01
8.542713567839196998e+00,1.610315136644842049e-01
8.643216080402011059e+00,1.639638952476812073e-01
8.743718592964825120e+00,1.692941697002731116e-01
8.844221105527639182e+00,1.771247685173577835e-01
8.944723618090453243e+00,1.865500285094705002e-01
9.045226130653267305e+00,1.975292655127550978e-01
9.145728643216081366e+00,2.105966998242057575e-01
9.246231155778895427e+00,2.255285581596512268e-01
9.346733668341709489e+00,2.374329836164842389e-01
9.447236180904523550e+00,2.434016350226317627e-01
9.547738693467337612e+00,2.512616447169416789e-01
9.648241206030151673e+00,2.609376270140869036e-01
9.748743718592965735e+00,2.723911214482869214e-01
9.849246231155779796e+00,2.850098623553994903e-01
9.949748743718593857e+00,2.959915132470709587e-01
1.005025125628140792e+01,3.083798227839704698e-01
1.015075376884422198e+01,3.200608910126128137e-01
1.025125628140703604e+01,3.321753514991738765e-01
1.035175879396985010e+01,3.454416481155336838e-01
1.045226130653266416e+01,3.598969971341391405e-01
1.055276381909547823e+01,3.706638919876597549e-01
1.065326633165829229e+01,3.678254704469379188e-01
1.075376884422110635e+01,3.635157099601196151e-01
1.085427135678392041e+01,3.577932371991675020e-01
1.095477386934673447e+01,3.507305778323362433e-01
1.105527638190954853e+01,3.422919180748759116e-01
1.115577889447236259e+01,3.325864132809355778e-01
1.125628140703517666e+01,3.197462185139256508e-01
1.135678391959799072e+01,3.036044367968826485e-01
1.145728643216080478e+01,2.874732939787546515e-01
1.155778894472361884e+01,2.716361105897721617e-01
1.165829145728643290e+01,2.565259962783896786e-01
1.175879396984924696e+01,2.425604970349741762e-01
1.185929648241206102e+01,2.299424438167465556e-01
1.195979899497487509e+01,2.190607357168920521e-01
1.206030150753768915e+01,2.099171905110136516e-01
1.216080402010050321e+01,2.027747393411856724e-01
1.226130653266331727e+01,1.959031934609754000e-01
1.236180904522613133e+01,1.915092547183365468e-01
1.246231155778894539e+01,1.896317083945318616e-01
1.256281407035175945e+01,1.901948333059405305e-01
1.266331658291457352e+01,1.932431407086622754e-01
1.276381909547738758e+01,1.986234885802198868e-01
1.286432160804020164e+01,2.062961268579255047e-01
1.296482412060301570e+01,2.138925081798914996e-01
1.306532663316582976e+01,2.231421567722178534e-01
1.316582914572864382e+01,2.338109330903466732e-01
1.326633165829145788e+01,2.455409630942613219e-01
1.336683417085427195e+01,2.579453432913922373e-01
1.346733668341708601e+01,2.706436788295473184e-01
1.356783919597990007e+01,2.831489519291172097e-01
1.366834170854271413e+01,2.950891565289457952e-01
1.376884422110552819e+01,3.017426335247967439e-01
1.386934673366834225e+01,3.067599807981881144e-01
1.396984924623115631e+01,3.101418540399560331e-01
1.407035175879397038e+01,3.117946879737892862e-01
1.417085427135678444e+01,3.117180253473138540e-01
1.427135678391959850e+01,3.098761557428513225e-01
1.437185929648241256e+01,3.062649072288238794e-01
1.447236180904522662e+01,3.008978077815049335e-01
1.457286432160804068e+01,2.937784078698232881e-01
1.467336683417085474e+01,2.849917605463201387e-01
1.477386934673366881e+01,2.724524191196300849e-01
1.487437185929648287e+01,2.572371813524561013e-01
1.497487437185929693e+01,2.415115857043146352e-01
1.507537688442211099e+01,2.255879482329072871e-01
1.517587939698492505e+01,2.099391386327472686e-01
1.527638190954773911e+01,1.949840227168969931e-01
1.537688442211055317e+01,1.809719617285411031e-01
1.547738693467336724e+01,1.682784047581401266e-01
1.557788944723618130e+01,1.571767140222254666e-01
1.567839195979899536e+01,1.478079464058573711e-01
1.577889447236180942e+01,1.394517545931183433e-01
1.587939698492462348e+01,1.329451666785863573e-01
1.597989949748743754e+01,1.286736817870330618e-01
1.608040201005025338e+01,1.266686660820358634e-01
1.618090452261306567e+01,1.268949184787469819e-01
1.628140703517588150e+01,1.293800717516738752e-01
1.638190954773869379e+01,1.340552227524878792e-01
1.648241206030150963e+01,1.408970768511044191e-01
1.658291457286432191e+01,1.498022776418946600e-01
1.668341708542713775e+01,1.595100338547229268e-01
1.678391959798995003e+01,1.706037170679491066e-01
1.688442211055276587e+01,1.829347261813287218e-01
1.698492462311557816e+01,1.961870458942293338e-01
1.708542713567839400e+01,2.099132147905939660e-01
1.718592964824120628e+01,2.237024847451472565e-01
1.728643216080402212e+01,2.344146481393133974e-01
1.738693467336683440e+01,2.431671074049703840e-01
1.748743718592965024e+01,2.504672167740976119e-01
1.758793969849246253e+01,2.561345701216032333e-01
1.768844221105527836e+01,2.600824850167139379e-01
1.778894472361809065e+01,2.622417433823943655e-01
1.788944723618090649e+01,2.626168611882050974e-01
1.798994974874371877e+01,2.612257097157091312e-01
1.809045226130653461e+01,2.581587771610223681e-01
1.819095477386934689e+01,2.535050224858451662e-01
1.829145728643216273e+01,2.474076883316958519e-01
1.839195979899497502e+01,2.400815763228902333e-01
1.849246231155779085e+01,2.317140475046046144e-01
1.859296482412060314e+01,2.213680967451642778e-01
1.869346733668341898e+01,2.097739849415887758e-01
1.879396984924623126e+01,1.986092742817927304e-01
1.889447236180904710e+01,1.883108746738555161e-01
1.899497487437185939e+01,1.791593596714178560e-01
1.909547738693467522e+01,1.714645900692814418e-01
1.919597989949748751e+01,1.638345523866747699e-01
1.929648241206030335e+01,1.581430461430731738e-01
1.939698492462311563e+01,1.546349902376831231e-01
1.949748743718593147e+01,1.534702203435751311e-01
1.959798994974874375e+01,1.546598712554686783e-01
1.969849246231155959e+01,1.583627491438759638e-01
1.979899497487437188e+01,1.646173720916815908e-01
1.989949748743718771e+01,1.734713643071937872e-01
2.000000000000000000e+01,1.837516046704861794e-01
