time,R_spec_pc
0.000000000000000000e+00,1.937493424630978844e-01
1.005025125628140753e-01,1.859753045465492582e-01
2.010050251256281506e-01,1.789427666273710194e-01
3.015075376884422398e-01,1.726724356025083895e-01
4.020100502512563012e-01,1.671850441568278889e-01
5.025125628140704181e-01,1.625061884899812736e-01
6.030150753768844796e-01,1.586664511915130693e-01
7.035175879396985410e-01,1.556876479137300762e-01
8.040201005025126024e-01,1.535943134539272115e-01
9.045226130653266639e-01,1.524039240039241627e-01
1.005025125628140836e+00,1.521410321574915847e-01
1.105527638190954898e+00,1.528404976109381530e-01
1.206030150753768959e+00,1.544622890467890475e-01
1.306532663316583021e+00,1.570397284162055040e-01
1.407035175879397082e+00,1.604722404496500832e-01
1.507537688442211143e+00,1.647056058061161510e-01
1.608040201005025205e+00,1.673038930931952661e-01
1.708542713567839266e+00,1.641737671620307482e-01
1.809045226130653328e+00,1.618346179540128826e-01
1.909547738693467389e+00,1.602973064360765365e-01
2.010050251256281673e+00,1.596083897538225216e-01
2.110552763819095734e+00,1.597045418903598746e-01
2.211055276381909795e+00,1.606043680925277051e-01
2.311557788944723857e+00,1.622525954881169907e-01
2.412060301507537918e+00,1.646140022523682189e-01
2.512562814070351980e+00,1.676564623084985661e-01
2.613065326633166041e+00,1.713264071059062421e-01
2.713567839195980103e+00,1.755733379372608760e-01
2.814070351758794164e+00,1.803503975800230807e-01
2.914572864321608225e+00,1.855751109735229720e-01
3.015075376884422287e+00,1.886792851997500242e-01
3.115577889447236348e+00,1.831280286561751125e-01
3.216080402010050410e+00,1.772406111146596630e-01
3.316582914572864471e+00,1.711876583186361378e-01
3.417085427135678533e+00,1.651182462835548148e-01
3.517587939698492594e+00,1.591743252886418380e-01
3.618090452261306655e+00,1.534656814706439332e-01
3.718592964824120717e+00,1.480696138262764250e-01
3.819095477386934778e+00,1.430961974237170697e-01
3.919597989949748840e+00,1.385959854632599908e-01
4.020100502512563345e+00,1.346296424738622211e-01
4.120603015075377407e+00,1.312927935036174998e-01
4.221105527638191468e+00,1.286199730463516988e-01
4.321608040201005529e+00,1.266961634274931248e-01
4.422110552763819591e+00,1.256079564317557073e-01
4.522613065326633652e+00,1.254297104307239563e-01
4.623115577889447714e+00,1.262205606674037250e-01
4.723618090452261775e+00,1.281133967173893606e-01
4.824120603015075837e+00,1.311972384399465175e-01
4.924623115577889898e+00,1.355043183864012568e-01
5.025125628140703959e+00,1.411218918691536373e-01
5.125628140703518021e+00,1.479897718056765454e-01
5.226130653266332082e+00,1.451900271692589672e-01
5.326633165829146144e+00,1.401017982807133688e-01
5.427135678391960205e+00,1.361243684886212502e-01
5.527638190954774267e+00,1.331715731722822038e-01
5.628140703517588328e+00,1.312404956440782478e-01
5.728643216080402389e+00,1.302048903831348747e-01
5.829145728643216451e+00,1.300187439656082800e-01
5.929648241206030512e+00,1.305775746567726658e-01
6.030150753768844574e+00,1.318006410854719035e-01
6.130653266331658635e+00,1.336113404211085043e-01
6.231155778894472697e+00,1.359226596350993077e-01
6.331658291457286758e+00,1.386642590603581193e-01
6.432160804020100819e+00,1.417568153440519896e-01
6.532663316582914881e+00,1.451173093497701294e-01
6.633165829145728942e+00,1.486658278853975612e-01
6.733668341708543004e+00,1.522962412753395278e-01
6.834170854271357065e+00,1.559088022066862922e-01
6.934673366834171127e+00,1.593719135037066081e-01
7.035175879396985188e+00,1.625552035931850381e-01
7.135678391959799249e+00,1.653065606304000013e-01
7.236180904522613311e+00,1.674701885119613265e-01
7.336683417085427372e+00,1.689014629973743520e-01
7.437185929648241434e+00,1.694749686879116757e-01
7.537688442211055495e+00,1.690904789799143604e-01
7.638190954773869557e+00,1.677007116793846064e-01
7.738693467336683618e+00,1.653271710424324414e-01
7.839195979899497679e+00,1.620356952326181821e-01
7.939698492462311741e+00,1.579563716724279865e-01
8.040201005025126690e+00,1.533246903899034841e-01
8.140703517587940752e+00,1.483011707240865507e-01
8.241206030150754813e+00,1.431584429865007113e-01
8.341708542713568875e+00,1.381508929264741725e-01
8.442211055276382936e+00,1.334153716963204783e-01
8.542713567839196998e+00,1.291512988589495481e-01
8.643216080402011059e+00,1.254907866917440440e-01
8.743718592964825120e+00,1.225156273890420922e-01
8.844221105527639182e+00,1.203037217824204919e-01
8.944723618090453243e+00,1.188406490708319024e-01
9.045226130653267305e+00,1.181455988959188019e-01
9.145728643216081366e+00,1.181704462686246210e-01
9.246231155778895427e+00,1.188928561991683813e-01
9.346733668341709489e+00,1.202643635616446049e-01
9.447236180904523550e+00,1.222399326988799634e-01
9.547738693467337612e+00,1.247827931911296845e-01
9.648241206030151673e+00,1.278486296889188301e-01
9.748743718592965735e+00,1.314108421394838133e-01
9.849246231155779796e+00,1.354371891348911949e-01
9.949748743718593857e+00,1.399099815046759843e-01
1.005025125628140792e+01,1.448098690916890530e-01
1.015075376884422198e+01,1.500966321595822994e-01
1.025125628140703604e+01,1.557620390237401398e-01
1.035175879396985010e+01,1.617504217811580602e-01
1.045226130653266416e+01,1.680200976466234009e-01
1.055276381909547823e+01,1.744955684614027946e-01
1.065326633165829229e+01,1.806717773218910472e-01
1.075376884422110635e+01,1.811573735127233742e-01
1.085427135678392041e+01,1.822606580535338083e-01
1.095477386934673447e+01,1.839482045122793341e-01
1.105527638190954853e+01,1.862024139367511877e-01
1.115577889447236259e+01,1.844941220996093034e-01
1.125628140703517666e+01,1.774216151755454440e-01
1.135678391959799072e+01,1.711855307266432757e-01
1.145728643216080478e+01,1.658157257035594023e-01
1.155778894472361884e+01,1.612814984885056480e-01
1.165829145728643290e+01,1.576367577660093833e-01
1.175879396984924696e+01,1.549294286944724042e-01
1.185929648241206102e+01,1.531528293466010160e-01
1.195979899497487509e+01,1.523722716001683075e-01
1.206030150753768915e+01,1.525484311409419091e-01
1.216080402010050321e+01,1.537416277229142758e-01
1.226130653266331727e+01,1.560127069425856217e-01
1.236180904522613133e+01,1.592621239536111677e-01
1.246231155778894539e+01,1.634748797421093358e-01
1.256281407035175945e+01,1.685045984803519858e-01
1.266331658291457352e+01,1.650513714343455618e-01
1.276381909547738758e+01,1.619159928275988314e-01
1.286432160804020164e+01,1.597079736107662185e-01
1.296482412060301570e+01,1.583776831931403284e-01
1.306532663316582976e+01,1.579596989432638376e-01
1.316582914572864382e+01,1.584096970194982246e-01
1.326633165829145788e+01,1.596790004866837087e-01
1.336683417085427195e+01,1.617574403631429902e-01
1.346733668341708601e+01,1.645754623317203791e-01
1.356783919597990007e+01,1.680976031632598899e-01
1.366834170854271413e+01,1.722844017856409726e-01
1.376884422110552819e+01,1.770744414392192989e-01
1.386934673366834225e+01,1.824193154365525982e-01
1.396984924623115631e+01,1.882556783532345346e-01
