time,R_norm
0.000000000000000000e+00,-2.989000000000000545e-01
1.005025125628140753e-01,-3.057345419158516431e-01
2.010050251256281506e-01,-3.168921328353412892e-01
3.015075376884422398e-01,-3.265852629330980306e-01
4.020100502512563012e-01,-3.309368579112476616e-01
5.025125628140704181e-01,-3.268860578426492913e-01
6.030150753768844796e-01,-3.128424188548602491e-01
7.035175879396985410e-01,-2.899404997456427324e-01
8.040201005025126024e-01,-2.618146637988345571e-01
9.045226130653266639e-01,-2.346001973727097900e-01
1.005025125628140836e+00,-2.150335201932672413e-01
1.105527638190954898e+00,-2.079652898585416798e-01
1.206030150753768959e+00,-2.153510077806857215e-01
1.306532663316583021e+00,-2.330381484834943284e-01
1.407035175879397082e+00,-2.547544753883597135e-01
1.507537688442211143e+00,-2.718790051078107672e-01
1.608040201005025205e+00,-2.795097969518328118e-01
1.708542713567839266e+00,-2.762307802752746455e-01
1.809045226130653328e+00,-2.643307424415423657e-01
1.909547738693467389e+00,-2.490414480627727856e-01
2.010050251256281673e+00,-2.334705664119146040e-01
2.110552763819095734e+00,-2.209054183726366916e-01
2.211055276381909795e+00,-2.109012619007214484e-01
2.311557788944723857e+00,-2.030458867259045674e-01
2.412060301507537918e+00,-1.962166637615593567e-01
2.512562814070351980e+00,-1.897247312237630990e-01
2.613065326633166041e+00,-1.840412588630874202e-01
2.713567839195980103e+00,-1.800950930211472345e-01
2.814070351758794164e+00,-1.795907345392985521e-01
2.914572864321608225e+00,-1.843981522262901906e-01
3.015075376884422287e+00,-1.964825249640638760e-01
3.115577889447236348e+00,-2.175258937557894290e-01
3.216080402010050410e+00,-2.486237216038238995e-01
3.316582914572864471e+00,-2.904598243786595257e-01
3.417085427135678533e+00,-3.425575630455853227e-01
3.517587939698492594e+00,-4.033125002107671997e-01
3.618090452261306655e+00,-4.697462639030772213e-01
3.718592964824120717e+00,-5.374491132347828382e-01
3.819095477386934778e+00,-5.999441336118406243e-01
3.919597989949748840e+00,-6.504431300098605373e-01
4.020100502512563345e+00,-6.823565887060183410e-01
4.120603015075377407e+00,-6.902767629780908187e-01
4.221105527638191468e+00,-6.751526626215245130e-01
4.321608040201005529e+00,-6.450740191583010930e-01
4.422110552763819591e+00,-6.163838016348244242e-01
4.522613065326633652e+00,-6.133123023551423358e-01
4.623115577889447714e+00,-6.613993463490507319e-01
4.723618090452261775e+00,-7.722802237988957152e-01
4.824120603015075837e+00,-9.388797926223272361e-01
4.924623115577889898e+00,-1.128029833075091970e+00
5.025125628140703959e+00,-1.288166686121726245e+00
5.125628140703518021e+00,-1.372350285685745241e+00
5.226130653266332082e+00,-1.353725223405669142e+00
5.326633165829146144e+00,-1.245127330292843171e+00
5.427135678391960205e+00,-1.078941234441794350e+00
5.527638190954774267e+00,-9.017015786682736067e-01
5.628140703517588328e+00,-7.450159112661817185e-01
5.728643216080402389e+00,-6.265614156951514468e-01
5.829145728643216451e+00,-5.447471741713402205e-01
5.929648241206030512e+00,-4.902825101685318598e-01
6.030150753768844574e+00,-4.508694933832405050e-01
6.130653266331658635e+00,-4.165533545335124987e-01
6.231155778894472697e+00,-3.818135032554915709e-01
6.331658291457286758e+00,-3.444094468532691300e-01
6.432160804020100819e+00,-3.051167565822551220e-01
6.532663316582914881e+00,-2.660047553526906361e-01
6.633165829145728942e+00,-2.296081114267772838e-01
6.733668341708543004e+00,-1.984200153672260880e-01
6.834170854271357065e+00,-1.743351472066929642e-01
6.934673366834171127e+00,-1.586201956936645063e-01
7.035175879396985188e+00,-1.518808261688706918e-01
7.135678391959799249e+00,-1.538992127368974672e-01
7.236180904522613311e+00,-1.640433845578116168e-01
7.336683417085427372e+00,-1.812875781632284633e-01
7.437185929648241434e+00,-2.047234414775034594e-01
7.537688442211055495e+00,-2.336961693159657072e-01
7.638190954773869557e+00,-2.686964441209289123e-01
7.738693467336683618e+00,-3.111760042323379327e-01
7.839195979899497679e+00,-3.629140507363952106e-01
7.939698492462311741e+00,-4.255820843785162455e-01
8.040201005025126690e+00,-4.979891846249256959e-01
8.140703517587940752e+00,-5.724761207367684568e-01
8.241206030150754813e+00,-6.380889467666857051e-01
8.341708542713568875e+00,-6.794371595212217452e-01
8.442211055276382936e+00,-6.802670742595889886e-01
8.542713567839196998e+00,-6.393662197891156751e-01
8.643216080402011059e+00,-5.661476969145455840e-01
8.743718592964825120e+00,-4.848088769859392189e-01
8.844221105527639182e+00,-4.202970872577455053e-01
8.944723618090453243e+00,-3.925905587021011889e-01
9.045226130653267305e+00,-4.061924055058279137e-01
9.145728643216081366e+00,-4.533693048771584300e-01
9.246231155778895427e+00,-5.169396109121902061e-01
9.346733668341709489e+00,-5.794087712329590856e-01
9.447236180904523550e+00,-6.267697349002054885e-01
9.547738693467337612e+00,-6.512512212249711441e-01
9.648241206030151673e+00,-6.513516844182707377e-01
9.748743718592965735e+00,-6.295122812335870455e-01
9.849246231155779796e+00,-5.910398194373778225e-01
9.949748743718593857e+00,-5.417603195419791184e-01
1.005025125628140792e+01,-4.875173725906142841e-01
1.015075376884422198e+01,-4.335589199488991130e-01
1.025125628140703604e+01,-3.836642071800139830e-01
1.035175879396985010e+01,-3.410002034983612429e-01
1.045226130653266416e+01,-3.075348718116363012e-01
1.055276381909547823e+01,-2.845161649220558919e-01
1.065326633165829229e+01,-2.724574186767224626e-01
1.075376884422110635e+01,-2.711982523019342839e-01
1.085427135678392041e+01,-2.798738809182118592e-01
1.095477386934673447e+01,-2.968373169566333458e-01
1.105527638190954853e+01,-3.197787546100970824e-01
1.115577889447236259e+01,-3.454674609933392482e-01
1.125628140703517666e+01,-3.700661899683586054e-01
1.135678391959799072e+01,-3.892846148942321616e-01
1.145728643216080478e+01,-3.988804605953587545e-01
1.155778894472361884e+01,-3.964900155735582299e-01
1.165829145728643290e+01,-3.809630110993196261e-01
1.175879396984924696e+01,-3.542869409595706398e-01
1.185929648241206102e+01,-3.223101930902019241e-01
1.195979899497487509e+01,-2.924143776783124093e-01
1.206030150753768915e+01,-2.737134618149456022e-01
1.216080402010050321e+01,-2.707218908476934915e-01
1.226130653266331727e+01,-2.817901901415403310e-01
1.236180904522613133e+01,-3.018752304922107665e-01
1.246231155778894539e+01,-3.207775195110892930e-01
1.256281407035175945e+01,-3.307425216755970343e-01
1.266331658291457352e+01,-3.268602662245093660e-01
1.276381909547738758e+01,-3.122082611600747182e-01
1.286432160804020164e+01,-2.911837978143706485e-01
1.296482412060301570e+01,-2.708829464319595370e-01
1.306532663316582976e+01,-2.541121632779044792e-01
1.316582914572864382e+01,-2.420736543989243372e-01
1.326633165829145788e+01,-2.338867930709576382e-01
1.336683417085427195e+01,-2.270154788518018163e-01
1.346733668341708601e+01,-2.205488134992076577e-01
1.356783919597990007e+01,-2.137361469044851137e-01
1.366834170854271413e+01,-2.073783866627387784e-01
1.376884422110552819e+01,-2.031235880711952102e-01
1.386934673366834225e+01,-2.030687092456792964e-01
1.396984924623115631e+01,-2.096200105769699118e-01
1.407035175879397038e+01,-2.249245692560541687e-01
1.417085427135678444e+01,-2.509672397344251404e-01
1.427135678391959850e+01,-2.890287160600106819e-01
1.437185929648241256e+01,-3.396314220972826425e-01
1.447236180904522662e+01,-4.023390414993094355e-01
1.457286432160804068e+01,-4.752383877219425456e-01
1.467336683417085474e+01,-5.545905454428666781e-01
1.477386934673366881e+01,-6.350783640461187263e-01
1.487437185929648287e+01,-7.089862277460988738e-01
1.497487437185929693e+01,-7.669902923908433756e-01
1.507537688442211099e+01,-8.016557665491029772e-01
1.517587939698492505e+01,-8.067908767067742959e-01
1.527638190954773911e+01,-7.819409897426476963e-01
1.537688442211055317e+01,-7.380149104462513376e-01
1.547738693467336724e+01,-6.980583451983279897e-01
1.557788944723618130e+01,-6.915149915470355513e-01
1.567839195979899536e+01,-7.473765219899911605e-01
1.577889447236180942e+01,-8.828193477951239432e-01
1.587939698492462348e+01,-1.083089241968895333e+00
1.597989949748743754e+01,-1.303189890215722846e+00
1.608040201005025338e+01,-1.476903512021991105e+00
1.618090452261306567e+01,-1.550383127352134682e+00
1.628140703517588150e+01,-1.500558949510556461e+00
1.638190954773869379e+01,-1.351646870324143990e+00
1.648241206030150963e+01,-1.150705715592230893e+00
1.658291457286432191e+01,-9.509861011779896511e-01
1.668341708542713775e+01,-7.835311969223880402e-01
1.678391959798995003e+01,-6.626778434579025934e-01
1.688442211055276587e+01,-5.810970111944080418e-01
1.698492462311557816e+01,-5.262876786225152426e-01
1.708542713567839400e+01,-4.843165597181868232e-01
1.718592964824120628e+01,-4.453517224604532365e-01
1.728643216080402212e+01,-4.049815813466862147e-01
1.738693467336683440e+01,-3.621027074377909938e-01
1.748743718592965024e+01,-3.183550941573688453e-01
1.758793969849246253e+01,-2.765357086577658885e-01
1.768844221105527836e+01,-2.393723299435192853e-01
1.778894472361809065e+01,-2.094544131244232554e-01
1.788944723618090649e+01,-1.885506695126316079e-01
1.798994974874371877e+01,-1.776560871857812696e-01
1.809045226130653461e+01,-1.770592548733072591e-01
1.819095477386934689e+01,-1.861827273854734788e-01
1.829145728643216273e+01,-2.039391632059462112e-01
1.839195979899497502e+01,-2.289256370794750528e-01
1.849246231155779085e+01,-2.601632261289542614e-01
1.859296482412060314e+01,-2.972068386293991171e-01
1.869346733668341898e+01,-3.410655918640100315e-01
1.879396984924623126e+01,-3.949222311984176281e-01
