time,x1,x2,x3,x4,x5
0.000000000000000000e+00,9.999999999999997780e-01,9.999999999999998890e-01,2.000000000000000111e-01,2.999999999999999889e-01,4.000000000000000222e-01
1.005025125628140753e-01,1.051904508116146442e+00,9.834774355864781548e-01,2.040833605191107458e-01,2.968117153535617669e-01,4.077935332577172223e-01
2.010050251256281506e-01,1.106584692971869677e+00,9.740877268657949228e-01,2.083033985601094595e-01,2.933112494621505362e-01,4.150775412060964120e-01
3.015075376884422398e-01,1.163064051296719414e+00,9.718114617727330318e-01,2.126743103287680181e-01,2.895491471643744097e-01,4.218294188660141053e-01
4.020100502512563012e-01,1.220102875108355800e+00,9.766308975999122843e-01,2.172088146333665815e-01,2.855745131197168218e-01,4.280289668696029004e-01
5.025125628140704181e-01,1.276184232106125638e+00,9.884984201648719937e-01,2.219180766027424867e-01,2.814345602016777304e-01,4.336584849503656303e-01
6.030150753768844796e-01,1.329526786480887957e+00,1.007291719245426931e+00,2.268116430153608032e-01,2.771742648561346112e-01,4.387028565127421564e-01
7.035175879396985410e-01,1.378135288503880007e+00,1.032754645296583673e+00,2.318973845446144488e-01,2.728361013086416653e-01,4.431496188617836118e-01
8.040201005025126024e-01,1.419899170681072187e+00,1.064426362423227301e+00,2.371814444666791866e-01,2.684598568134591301e-01,4.469890169519327161e-01
9.045226130653266639e-01,1.452745195760203556e+00,1.101565406377968737e+00,2.426681914241268778e-01,2.640825184541803483e-01,4.502140408545571848e-01
1.005025125628140836e+00,1.474836956257265186e+00,1.143081949477751103e+00,2.483601751046649042e-01,2.597382207750268401e-01,4.528204477764687930e-01
1.105527638190954898e+00,1.484801902822853625e+00,1.187497145450477687e+00,2.542580846780148618e-01,2.554582485611827103e-01,4.548067684734447003e-01
1.206030150753768959e+00,1.481947883041125680e+00,1.232951862286751687e+00,2.603607100596524448e-01,2.512710849491571197e-01,4.561742987723711451e-01
1.306532663316583021e+00,1.466420674907990218e+00,1.277283528130368939e+00,2.666649068218669982e-01,2.472024971501325386e-01,4.569270766263452965e-01
1.407035175879397082e+00,1.439256365268646087e+00,1.318176819382144815e+00,2.731655659613334008e-01,2.432756523445923913e-01,4.570718450393556620e-01
1.507537688442211143e+00,1.402302865110651497e+00,1.353373531912454908e+00,2.798555900727245360e-01,2.395112568852516277e-01,4.566180011300522978e-01
1.608040201005025205e+00,1.358018002804286972e+00,1.380905520664047703e+00,2.867258777603589603e-01,2.359277124550353821e-01,4.555775314700110656e-01
1.708542713567839266e+00,1.309186838951067688e+00,1.399302817818987021e+00,2.937653182318412104e-01,2.325412836923514137e-01,4.539649337050080113e-01
1.809045226130653328e+00,1.258621661800833458e+00,1.407732135754928171e+00,3.009607981122168208e-01,2.293662723194549724e-01,4.517971243704909101e-01
1.909547738693467389e+00,1.208905978195668585e+00,1.406040778007570102e+00,3.082972224421162144e-01,2.264151935698086038e-01,4.490933327510344686e-01
2.010050251256281673e+00,1.162222458674858627e+00,1.394706883392841767e+00,3.157575516863646015e-01,2.236989513159665377e-01,4.458749806297542806e-01
2.110552763819095734e+00,1.120275987873543322e+00,1.374719272441648821e+00,3.233228563653217646e-01,2.212270088530723655e-01,4.421655478320501986e-01
2.211055276381909795e+00,1.084298080290267308e+00,1.347420804367207792e+00,3.309723905697287138e-01,2.190075529001578036e-01,4.379904235997550410e-01
2.311557788944723857e+00,1.055106163891901927e+00,1.314348601577079112e+00,3.386836852723769109e-01,2.170476487847312896e-01,4.333767440303405438e-01
2.412060301507537918e+00,1.033189803399927609e+00,1.277094809558029898e+00,3.464326618720859896e-01,2.153533852661344006e-01,4.283532160778568132e-01
2.512562814070351980e+00,1.018801376945768888e+00,1.237200610568961689e+00,3.541937659373313174e-01,2.139300077843103165e-01,4.229499289302668386e-01
2.613065326633166041e+00,1.012036935458355824e+00,1.196086165597162632e+00,3.619401205958084344e-01,2.127820392492952573e-01,4.171981539372678349e-01
2.713567839195980103e+00,1.012900389399509216e+00,1.155012761964506085e+00,3.696436985047670265e-01,2.119133877583338488e-01,4.111301346322988604e-01
2.814070351758794164e+00,1.021349047557949419e+00,1.115070624569092672e+00,3.772755108732838703e-01,2.113274408427683326e-01,4.047788687378387484e-01
2.914572864321608225e+00,1.037321475387255276e+00,1.077184751358409631e+00,3.848058114454820378e-01,2.110271460174341918e-01,3.981778845153445268e-01
3.015075376884422287e+00,1.060749815032711263e+00,1.042132713717739856e+00,3.922043131172394670e-01,2.110150775794769062e-01,3.913610139432229240e-01
3.115577889447236348e+00,1.091558550483868073e+00,1.010569100825539968e+00,3.994404143865352141e-01,2.112934896934940410e-01,3.843621656295569955e-01
3.216080402010050410e+00,1.129651364052743912e+00,9.830530992594544992e-01,4.064834326856304747e-01,2.118643559097921625e-01,3.772151004413504261e-01
3.316582914572864471e+00,1.174887004406021118e+00,9.600767176960298688e-01,4.133028414522275651e-01,2.127293953375072044e-01,3.699532129691480153e-01
3.417085427135678533e+00,1.227044542985923581e+00,9.420921547853677858e-01,4.198685078809811788e-01,2.138900857498836350e-01,3.626093218112514949e-01
3.517587939698492594e+00,1.285778085533727744e+00,9.295371389271230855e-01,4.261509280734955829e-01,2.153476639879998988e-01,3.552154718215917439e-01
3.618090452261306655e+00,1.350561074411042561e+00,9.228574116891830048e-01,4.321214568391472666e-01,2.171031140399251880e-01,3.478027508942411750e-01
3.718592964824120717e+00,1.420620982220655470e+00,9.225251317990876831e-01,4.377525293374456283e-01,2.191571432767322469e-01,3.404011238341659862e-01
