time,connectedness
0.000000000000000000e+00,6.986364241061449931e+00
1.005025125628140753e-01,7.110355052361318151e+00
2.010050251256281506e-01,7.246125620267460654e+00
3.015075376884422398e-01,7.392469847590227516e+00
4.020100502512563012e-01,7.547700795862025913e+00
5.025125628140704181e-01,7.709578044852720247e+00
6.030150753768844796e-01,7.875244627823441590e+00
7.035175879396985410e-01,8.041186121875060877e+00
8.040201005025126024e-01,8.203234847974229638e+00
9.045226130653266639e-01,8.356648076473566888e+00
1.005025125628140836e+00,8.496286680480894304e+00
1.105527638190954898e+00,8.616915897782281064e+00
1.206030150753768959e+00,8.713622803077075929e+00
1.306532663316583021e+00,8.782308792851416968e+00
1.407035175879397082e+00,8.820174825109864614e+00
1.507537688442211143e+00,8.826094044643468806e+00
1.608040201005025205e+00,8.800775692669983385e+00
1.708542713567839266e+00,8.746675074981672182e+00
1.809045226130653328e+00,8.667673344410687264e+00
1.909547738693467389e+00,8.568611845035203345e+00
2.010050251256281673e+00,8.454790537085770552e+00
2.110552763819095734e+00,8.331526568428522239e+00
2.211055276381909795e+00,8.203828473104797681e+00
2.311557788944723857e+00,8.076200177982894246e+00
2.412060301507537918e+00,7.952557175479221918e+00
2.512562814070351980e+00,7.836223572473167032e+00
2.613065326633166041e+00,7.729977592067785785e+00
2.713567839195980103e+00,7.636119637079562317e+00
2.814070351758794164e+00,7.556545335878736225e+00
2.914572864321608225e+00,7.492812435375553193e+00
3.015075376884422287e+00,7.446197130302627087e+00
3.115577889447236348e+00,7.417736884983291645e+00
3.216080402010050410e+00,7.408259353305543193e+00
3.316582914572864471e+00,7.418397040960031497e+00
3.417085427135678533e+00,7.448587606616239754e+00
3.517587939698492594e+00,7.499059033761456661e+00
3.618090452261306655e+00,7.569798836918260498e+00
3.718592964824120717e+00,7.660505658853989708e+00
3.819095477386934778e+00,7.770521541956806999e+00
3.919597989949748840e+00,7.898743046967303449e+00
4.020100502512563345e+00,8.043510403643198359e+00
4.120603015075377407e+00,8.202476075050547877e+00
4.221105527638191468e+00,8.372460891880781020e+00
4.321608040201005529e+00,8.549312468362161965e+00
4.422110552763819591e+00,8.727799890258195248e+00
4.522613065326633652e+00,8.901594603936739958e+00
4.623115577889447714e+00,9.063406996570551044e+00
4.723618090452261775e+00,9.205349812970302636e+00
4.824120603015075837e+00,9.319570112914822957e+00
4.924623115577889898e+00,9.399115024047521416e+00
5.025125628140703959e+00,9.438889136542682579e+00
5.125628140703518021e+00,9.436466671850128662e+00
5.226130653266332082e+00,9.392509284160741601e+00
5.326633165829146144e+00,9.310645311925528134e+00
5.427135678391960205e+00,9.196848795491440853e+00
5.527638190954774267e+00,9.058520794964483258e+00
5.628140703517588328e+00,8.903537685545925839e+00
5.728643216080402389e+00,8.739477682674815284e+00
5.829145728643216451e+00,8.573123566496830605e+00
5.929648241206030512e+00,8.410233774890603087e+00
6.030150753768844574e+00,8.255513959418152581e+00
6.130653266331658635e+00,8.112707075812627622e+00
6.231155778894472697e+00,7.984734776324298622e+00
6.331658291457286758e+00,7.873845482386701455e+00
6.432160804020100819e+00,7.781745879134158272e+00
6.532663316582914881e+00,7.709706016387951166e+00
6.633165829145728942e+00,7.658636351744522841e+00
6.733668341708543004e+00,7.629138370842266426e+00
6.834170854271357065e+00,7.621531470957966903e+00
6.934673366834171127e+00,7.635858612069188922e+00
7.035175879396985188e+00,7.671872350428142973e+00
7.135678391959799249e+00,7.729002577398992102e+00
7.236180904522613311e+00,7.806306670368473810e+00
7.336683417085427372e+00,7.902402969915670816e+00
7.437185929648241434e+00,8.015389284397516079e+00
7.537688442211055495e+00,8.142750478329379149e+00
7.638190954773869557e+00,8.281263109330364358e+00
7.738693467336683618e+00,8.426912047428306352e+00
7.839195979899497679e+00,8.574843667048309470e+00
7.939698492462311741e+00,8.719391402024522009e+00
8.040201005025126690e+00,8.854218127635107294e+00
8.140703517587940752e+00,8.972617672955522039e+00
8.241206030150754813e+00,9.067995030366109432e+00
8.341708542713568875e+00,9.134497956962325915e+00
8.442211055276382936e+00,9.167704539048687096e+00
8.542713567839196998e+00,9.165216498866607608e+00
8.643216080402011059e+00,9.126995303570256013e+00
8.743718592964825120e+00,9.055336363874610939e+00
8.844221105527639182e+00,8.954484349669826315e+00
8.944723618090453243e+00,8.830001889554939254e+00
9.045226130653267305e+00,8.688061982998052102e+00
9.145728643216081366e+00,8.534820276620793678e+00
9.246231155778895427e+00,8.375962860290110612e+00
9.346733668341709489e+00,8.216450993166525052e+00
9.447236180904523550e+00,8.060433377521297516e+00
9.547738693467337612e+00,7.911273370430791374e+00
9.648241206030151673e+00,7.771639583265193885e+00
9.748743718592965735e+00,7.643620460248380155e+00
9.849246231155779796e+00,7.528838050660596970e+00
9.949748743718593857e+00,7.428548350293584512e+00
1.005025125628140792e+01,7.343723256487201034e+00
1.015075376884422198e+01,7.275113767749504134e+00
1.025125628140703604e+01,7.223295981693510726e+00
1.035175879396985010e+01,7.188702026635143127e+00
1.045226130653266416e+01,7.171637831946337194e+00
1.055276381909547823e+01,7.172289294399510240e+00
1.065326633165829229e+01,7.190717718532164682e+00
1.075376884422110635e+01,7.226845113408449706e+00
1.085427135678392041e+01,7.280429417511200541e+00
1.095477386934673447e+01,7.351029564318109166e+00
1.105527638190954853e+01,7.437960094617515949e+00
1.115577889447236259e+01,7.540235229446382803e+00
1.125628140703517666e+01,7.656502782165409471e+00
1.135678391959799072e+01,7.784969564583433588e+00
1.145728643216080478e+01,7.923322212375508933e+00
1.155778894472361884e+01,8.068651279856474900e+00
1.165829145728643290e+01,8.217392229287913352e+00
1.175879396984924696e+01,8.365304413891326618e+00
1.185929648241206102e+01,8.507516659074237708e+00
1.195979899497487509e+01,8.638671989384686611e+00
1.206030150753768915e+01,8.753198994651327780e+00
1.216080402010050321e+01,8.845714910789741481e+00
1.226130653266331727e+01,8.911532826229120019e+00
1.236180904522613133e+01,8.947193310706943237e+00
1.246231155778894539e+01,8.950911206906694062e+00
1.256281407035175945e+01,8.922823205156724669e+00
1.266331658291457352e+01,8.864966702171802382e+00
1.276381909547738758e+01,8.780993886340695553e+00
1.286432160804020164e+01,8.675699767170307553e+00
1.296482412060301570e+01,8.554482051673794274e+00
1.306532663316582976e+01,8.422845220551256062e+00
1.316582914572864382e+01,8.286022236363292492e+00
1.326633165829145788e+01,8.148737927752025101e+00
1.336683417085427195e+01,8.015100415733535044e+00
1.346733668341708601e+01,7.888587476137802312e+00
1.356783919597990007e+01,7.772091211163614233e+00
1.366834170854271413e+01,7.667990939462786315e+00
1.376884422110552819e+01,7.578233385288669410e+00
1.386934673366834225e+01,7.504407723574184175e+00
1.396984924623115631e+01,7.447809192987929094e+00
1.407035175879397038e+01,7.409488781084792919e+00
1.417085427135678444e+01,7.390288432453559153e+00
1.427135678391959850e+01,7.390861704602475157e+00
1.437185929648241256e+01,7.411680064619778463e+00
1.447236180904522662e+01,7.453024523207972152e+00
1.457286432160804068e+01,7.514961861273955712e+00
1.467336683417085474e+01,7.597304121133338306e+00
1.477386934673366881e+01,7.699549593632740496e+00
1.487437185929648287e+01,7.820803261344042134e+00
1.497487437185929693e+01,7.959674985438445205e+00
1.507537688442211099e+01,8.114155213666906619e+00
1.517587939698492505e+01,8.281471735393946432e+00
1.527638190954773911e+01,8.457938486528011168e+00
1.537688442211055317e+01,8.638820180894452250e+00
1.547738693467336724e+01,8.818254989280815082e+00
1.557788944723618130e+01,8.989298524187804063e+00
1.567839195979899536e+01,9.144165830571644449e+00
1.577889447236180942e+01,9.274736800310403595e+00
1.587939698492462348e+01,9.373337720197774559e+00
1.597989949748743754e+01,9.433708922685989151e+00
1.608040201005025338e+01,9.451954716025777969e+00
1.618090452261306567e+01,9.427206371768484416e+00
1.628140703517588150e+01,9.361776935874011940e+00
1.638190954773869379e+01,9.260750737404633171e+00
1.648241206030150963e+01,9.131144598902190879e+00
1.658291457286432191e+01,8.980905108081715937e+00
1.668341708542713775e+01,8.818001912117365393e+00
1.678391959798995003e+01,8.649778167993042999e+00
1.688442211055276587e+01,8.482596014533983819e+00
1.698492462311557816e+01,8.321727173049138671e+00
1.708542713567839400e+01,8.171404133732030672e+00
1.718592964824120628e+01,8.034952397019756276e+00
1.728643216080402212e+01,7.914946265189055197e+00
1.738693467336683440e+01,7.813355284512299548e+00
1.748743718592965024e+01,7.731665544311510097e+00
1.758793969849246253e+01,7.670971896009358026e+00
1.768844221105527836e+01,7.632041512004398065e+00
1.778894472361809065e+01,7.615351595984018118e+00
1.788944723618090649e+01,7.621103952625213118e+00
1.798994974874371877e+01,7.649218515802045815e+00
1.809045226130653461e+01,7.699307227577631529e+00
1.819095477386934689e+01,7.770629009345896954e+00
1.829145728643216273e+01,7.862026336161665796e+00
1.839195979899497502e+01,7.971844358059614777e+00
1.849246231155779085e+01,8.097835012035318414e+00
1.859296482412060314e+01,8.237051827464549447e+00
1.869346733668341898e+01,8.385747045296259472e+00
1.879396984924623126e+01,8.539292042566692942e+00
1.889447236180904710e+01,8.692154412800347174e+00
1.899497487437185939e+01,8.837977535851852195e+00
1.909547738693467522e+01,8.969815056046080315e+00
1.919597989949748751e+01,9.080558042033242572e+00
1.929648241206030335e+01,9.163555842549641284e+00
1.939698492462311563e+01,9.213359788346860313e+00
1.949748743718593147e+01,9.226444631794594287e+00
1.959798994974874375e+01,9.201720847760169519e+00
1.969849246231155959e+01,9.140679523546882734e+00
1.979899497487437188e+01,9.047119350586322994e+00
1.989949748743718771e+01,8.926536458436350685e+00
2.000000000000000000e+01,8.785354253427161808e+00
