time,linear_connectedness
0.000000000000000000e+00,5.561203388636988265e+00
1.005025125628140753e-01,5.791505150504200117e+00
2.010050251256281506e-01,6.100205335573548382e+00
3.015075376884422398e-01,6.440506872920308545e+00
4.020100502512563012e-01,6.471019545953985208e+00
5.025125628140704181e-01,6.593483153335270686e+00
6.030150753768844796e-01,6.771440087577774491e+00
7.035175879396985410e-01,6.994911741108182923e+00
8.040201005025126024e-01,7.259613141339816167e+00
9.045226130653266639e-01,7.564302725455586796e+00
1.005025125628140836e+00,7.912818323190575320e+00
1.105527638190954898e+00,8.332507139821192510e+00
1.206030150753768959e+00,8.418682980745602507e+00
1.306532663316583021e+00,8.409473800787210962e+00
1.407035175879397082e+00,8.410661791880203353e+00
1.507537688442211143e+00,8.401381205789315132e+00
1.608040201005025205e+00,8.378713099029353017e+00
1.708542713567839266e+00,8.352273150242680799e+00
1.809045226130653328e+00,8.354695971841525903e+00
1.909547738693467389e+00,8.065094753400416039e+00
2.010050251256281673e+00,7.692218055313808200e+00
2.110552763819095734e+00,7.382286857519362755e+00
2.211055276381909795e+00,7.125156233204681833e+00
2.311557788944723857e+00,6.920059751901630918e+00
2.412060301507537918e+00,6.769840394933848593e+00
2.512562814070351980e+00,6.682331288907874089e+00
2.613065326633166041e+00,6.683055081086688887e+00
2.713567839195980103e+00,6.507055258402663966e+00
2.814070351758794164e+00,6.273039472554717833e+00
2.914572864321608225e+00,6.126785965477025364e+00
3.015075376884422287e+00,6.046699530467736672e+00
3.115577889447236348e+00,6.024188574559547149e+00
3.216080402010050410e+00,6.055877047638360544e+00
3.316582914572864471e+00,6.142135259085865329e+00
3.417085427135678533e+00,6.287245931089262108e+00
3.517587939698492594e+00,6.501312282381677576e+00
3.618090452261306655e+00,6.809340559715019836e+00
3.718592964824120717e+00,7.020608335105284148e+00
3.819095477386934778e+00,7.059271093845487677e+00
3.919597989949748840e+00,7.181759618579600435e+00
4.020100502512563345e+00,7.369451103167749650e+00
4.120603015075377407e+00,7.618350031412352230e+00
4.221105527638191468e+00,7.928550842655422315e+00
4.321608040201005529e+00,8.301918506638038764e+00
4.422110552763819591e+00,8.741815363863958410e+00
4.522613065326633652e+00,9.256162949249183924e+00
4.623115577889447714e+00,9.880355945528046746e+00
4.723618090452261775e+00,1.015009906016920738e+01
4.824120603015075837e+00,1.028107864914181668e+01
4.924623115577889898e+00,1.039365461244355870e+01
5.025125628140703959e+00,1.044440836395809313e+01
5.125628140703518021e+00,1.041499862302644530e+01
5.226130653266332082e+00,1.030520958748361160e+01
5.326633165829146144e+00,1.013094557571512233e+01
5.427135678391960205e+00,9.922719938303055542e+00
5.527638190954774267e+00,9.734113170259202974e+00
5.628140703517588328e+00,9.262595117487906649e+00
5.728643216080402389e+00,8.690397759567375147e+00
5.829145728643216451e+00,8.224568239362024968e+00
