time,linear_potential
0.000000000000000000e+00,1.293556960817400814e+01
1.005025125628140753e-01,1.310353488756413043e+01
2.010050251256281506e-01,1.325073868048924552e+01
3.015075376884422398e-01,1.348012165855642586e+01
4.020100502512563012e-01,1.431117513961512344e+01
5.025125628140704181e-01,1.509332599326267221e+01
6.030150753768844796e-01,1.584728083276403510e+01
7.035175879396985410e-01,1.656031218486106127e+01
8.040201005025126024e-01,1.720873833977732659e+01
9.045226130653266639e-01,1.775965829044377742e+01
1.005025125628140836e+00,1.816752534676817987e+01
1.105527638190954898e+00,1.836227078399434376e+01
1.206030150753768959e+00,1.898850596029951276e+01
1.306532663316583021e+00,1.961568375240784690e+01
1.407035175879397082e+00,1.996486347179112641e+01
1.507537688442211143e+00,2.002998718971587522e+01
1.608040201005025205e+00,1.982064812204256654e+01
1.708542713567839266e+00,1.935133173227431413e+01
1.809045226130653328e+00,1.863017713692384802e+01
1.909547738693467389e+00,1.818922744833236038e+01
2.010050251256281673e+00,1.785395512283332309e+01
2.110552763819095734e+00,1.737732667476260318e+01
2.211055276381909795e+00,1.680962986792854963e+01
2.311557788944723857e+00,1.618770309521480399e+01
2.412060301507537918e+00,1.553800141680306801e+01
2.512562814070351980e+00,1.487326642241193575e+01
2.613065326633166041e+00,1.418451980058137352e+01
2.713567839195980103e+00,1.391659375963445555e+01
2.814070351758794164e+00,1.396978848960604402e+01
2.914572864321608225e+00,1.401293645238543739e+01
3.015075376884422287e+00,1.406861904750128645e+01
3.115577889447236348e+00,1.414595212159418836e+01
3.216080402010050410e+00,1.424961154536384456e+01
3.316582914572864471e+00,1.438030585754277269e+01
3.417085427135678533e+00,1.453711344225645696e+01
3.517587939698492594e+00,1.471342683441261379e+01
3.618090452261306655e+00,1.488995464111431666e+01
3.718592964824120717e+00,1.533490882430846014e+01
3.819095477386934778e+00,1.626234793006006640e+01
3.919597989949748840e+00,1.722298316206654079e+01
4.020100502512563345e+00,1.823632630359076501e+01
4.120603015075377407e+00,1.929392411985441314e+01
4.221105527638191468e+00,2.038662215495410734e+01
4.321608040201005529e+00,2.148031073431775440e+01
4.422110552763819591e+00,2.252806099385665206e+01
4.522613065326633652e+00,2.346798072837512095e+01
4.623115577889447714e+00,2.419309151514069356e+01
4.723618090452261775e+00,2.537572096772030505e+01
4.824120603015075837e+00,2.672831726395465424e+01
4.924623115577889898e+00,2.769463136457885355e+01
5.025125628140703959e+00,2.822584268186537670e+01
5.125628140703518021e+00,2.829367616515857975e+01
5.226130653266332082e+00,2.788764263608088356e+01
5.326633165829146144e+00,2.705755684111883497e+01
5.427135678391960205e+00,2.585835428597090058e+01
5.527638190954774267e+00,2.436478759019005480e+01
5.628140703517588328e+00,2.315903410014586683e+01
5.728643216080402389e+00,2.227100603447444271e+01
5.829145728643216451e+00,2.126106361271602907e+01
5.929648241206030512e+00,2.021225803834536805e+01
6.030150753768844574e+00,1.917622074620654971e+01
6.130653266331658635e+00,1.818096453069963658e+01
6.231155778894472697e+00,1.724278151270012671e+01
6.331658291457286758e+00,1.636321943431592274e+01
6.432160804020100819e+00,1.552600193137757145e+01
6.532663316582914881e+00,1.503360398823011579e+01
6.633165829145728942e+00,1.505106745302658666e+01
6.733668341708543004e+00,1.505185307789319715e+01
6.834170854271357065e+00,1.506486016167974640e+01
6.934673366834171127e+00,1.509738998513629582e+01
7.035175879396985188e+00,1.514836237834454735e+01
7.135678391959799249e+00,1.521041157529831622e+01
7.236180904522613311e+00,1.525467844266138862e+01
7.336683417085427372e+00,1.578430686108402980e+01
7.437185929648241434e+00,1.656661952961324147e+01
7.537688442211055495e+00,1.735118764476326803e+01
7.638190954773869557e+00,1.814059048991880729e+01
7.738693467336683618e+00,1.891185962613011995e+01
7.839195979899497679e+00,1.963038003719171343e+01
7.939698492462311741e+00,2.024800300430831257e+01
8.040201005025126690e+00,2.067838994917670803e+01
8.140703517587940752e+00,2.156471056456340207e+01
8.241206030150754813e+00,2.253256668192732448e+01
8.341708542713568875e+00,2.321298261597014445e+01
8.442211055276382936e+00,2.356271922451248457e+01
8.542713567839196998e+00,2.355728597044763362e+01
8.643216080402011059e+00,2.317841831122185425e+01
8.743718592964825120e+00,2.244442807367279968e+01
8.844221105527639182e+00,2.136660721819232833e+01
8.944723618090453243e+00,2.057349560871043437e+01
9.045226130653267305e+00,1.998354382769135995e+01
9.145728643216081366e+00,1.921290128076456227e+01
9.246231155778895427e+00,1.834079376056728350e+01
9.346733668341709489e+00,1.742163420066751200e+01
9.447236180904523550e+00,1.649642933536610201e+01
9.547738693467337612e+00,1.558970441347006641e+01
9.648241206030151673e+00,1.471666028866509812e+01
