time,potential
0.000000000000000000e+00,1.976484478358728580e+01
1.005025125628140753e-01,1.998844193020117643e+01
2.010050251256281506e-01,2.022840567590993643e+01
3.015075376884422398e-01,2.048328914306919302e+01
4.020100502512563012e-01,2.075088621711680759e+01
5.025125628140704181e-01,2.102808153828922144e+01
6.030150753768844796e-01,2.131071314091450830e+01
7.035175879396985410e-01,2.159347327487036949e+01
8.040201005025126024e-01,2.186989085603714145e+01
9.045226130653266639e-01,2.213244702633398120e+01
1.005025125628140836e+00,2.237286869505541631e+01
1.105527638190954898e+00,2.258263200165021090e+01
1.206030150753768959e+00,2.275366107367528556e+01
1.306532663316583021e+00,2.287914899359024190e+01
1.407035175879397082e+00,2.295436655837395534e+01
1.507537688442211143e+00,2.297729196188659984e+01
1.608040201005025205e+00,2.294891026778785204e+01
1.708542713567839266e+00,2.287310756804289369e+01
1.809045226130653328e+00,2.275618748965569793e+01
1.909547738693467389e+00,2.260613193279735356e+01
2.010050251256281673e+00,2.243177285795503195e+01
2.110552763819095734e+00,2.224203190651264705e+01
2.211055276381909795e+00,2.204533045349507248e+01
2.311557788944723857e+00,2.184921067504590297e+01
2.412060301507537918e+00,2.166015424982648696e+01
2.512562814070351980e+00,2.148355568845305896e+01
2.613065326633166041e+00,2.132379775795904919e+01
2.713567839195980103e+00,2.118438178333742528e+01
2.814070351758794164e+00,2.106807690853147363e+01
2.914572864321608225e+00,2.097706341658825835e+01
3.015075376884422287e+00,2.091305792599295543e+01
3.115577889447236348e+00,2.087741276198957152e+01
3.216080402010050410e+00,2.087118772378996567e+01
3.316582914572864471e+00,2.089519357370262753e+01
3.417085427135678533e+00,2.095000738567487275e+01
3.517587939698492594e+00,2.103595854752673233e+01
3.618090452261306655e+00,2.115308352589863361e+01
3.718592964824120717e+00,2.130104535565587298e+01
3.819095477386934778e+00,2.147901306933482601e+01
3.919597989949748840e+00,2.168549593657566987e+01
4.020100502512563345e+00,2.191812986666208474e+01
4.120603015075377407e+00,2.217341919238734604e+01
4.221105527638191468e+00,2.244645114195580859e+01
4.321608040201005529e+00,2.273061727178101421e+01
4.422110552763819591e+00,2.301740907247961232e+01
4.522613065326633652e+00,2.329638325749700201e+01
4.623115577889447714e+00,2.355541685010398822e+01
4.723618090452261775e+00,2.378136203518203473e+01
4.824120603015075837e+00,2.396114851863805129e+01
4.924623115577889898e+00,2.408324901537345752e+01
5.025125628140703959e+00,2.413926021670809163e+01
5.125628140703518021e+00,2.412522019874072043e+01
5.226130653266332082e+00,2.404228207070944023e+01
5.326633165829146144e+00,2.389652976905468407e+01
5.427135678391960205e+00,2.369799310204965082e+01
5.527638190954774267e+00,2.345916294415810199e+01
5.628140703517588328e+00,2.319340963355111995e+01
5.728643216080402389e+00,2.291364471270291148e+01
5.829145728643216451e+00,2.263140872940206805e+01
5.929648241206030512e+00,2.235640611922085697e+01
6.030150753768844574e+00,2.209640293121369581e+01
6.130653266331658635e+00,2.185736295884428415e+01
6.231155778894472697e+00,2.164370685778511927e+01
6.331658291457286758e+00,2.145860759153811870e+01
6.432160804020100819e+00,2.130426964925155175e+01
6.532663316582914881e+00,2.118216471208068086e+01
6.633165829145728942e+00,2.109321427343140698e+01
6.733668341708543004e+00,2.103791909429578411e+01
6.834170854271357065e+00,2.101643945890170073e+01
6.934673366834171127e+00,2.102863090807650792e+01
7.035175879396985188e+00,2.107403869127128004e+01
7.135678391959799249e+00,2.115185294242250436e+01
7.236180904522613311e+00,2.126082478502990369e+01
7.336683417085427372e+00,2.139914340339253940e+01
7.437185929648241434e+00,2.156427561491999256e+01
7.537688442211055495e+00,2.175277445778946728e+01
7.638190954773869557e+00,2.196007198642405100e+01
7.738693467336683618e+00,2.218028561336730320e+01
7.839195979899497679e+00,2.240608557517672850e+01
7.939698492462311741e+00,2.262868987128999265e+01
8.040201005025126690e+00,2.283806457384342181e+01
8.140703517587940752e+00,2.302339862846346108e+01
8.241206030150754813e+00,2.317387990284355581e+01
8.341708542713568875e+00,2.327972257132736900e+01
8.442211055276382936e+00,2.333329279401785783e+01
8.542713567839196998e+00,2.333010106778883852e+01
8.643216080402011059e+00,2.326941246576191347e+01
8.743718592964825120e+00,2.315430840677883140e+01
8.844221105527639182e+00,2.299118446255397075e+01
8.944723618090453243e+00,2.278882722852325671e+01
9.045226130653267305e+00,2.255730896300748611e+01
9.145728643216081366e+00,2.230693901916261979e+01
9.246231155778895427e+00,2.204744100476406388e+01
9.346733668341709489e+00,2.178742318483485718e+01
9.447236180904523550e+00,2.153412829103915627e+01
9.547738693467337612e+00,2.129340009921003585e+01
9.648241206030151673e+00,2.106979085214416969e+01
9.748743718592965735e+00,2.086674170674821127e+01
9.849246231155779796e+00,2.068678598259886314e+01
9.949748743718593857e+00,2.053174402468525273e+01
