time,potential_global
0.000000000000000000e+00,3.160668952089395134e+01
1.005025125628140753e-01,3.189850237317427073e+01
2.010050251256281506e-01,3.221829885537393778e+01
3.015075376884422398e-01,3.256335014711920195e+01
4.020100502512563012e-01,3.292981947281340638e+01
5.025125628140704181e-01,3.331259800896877010e+01
6.030150753768844796e-01,3.370517028639031309e+01
7.035175879396985410e-01,3.409953887898791436e+01
8.040201005025126024e-01,3.448625826111646830e+01
9.045226130653266639e-01,3.485463515248451216e+01
1.005025125628140836e+00,3.519314137613498872e+01
1.105527638190954898e+00,3.549007149774477909e+01
1.206030150753768959e+00,3.573442193247393561e+01
1.306532663316583021e+00,3.591690200489723850e+01
1.407035175879397082e+00,3.603091803539036420e+01
1.507537688442211143e+00,3.607333646987808606e+01
1.608040201005025205e+00,3.604485160830342494e+01
1.708542713567839266e+00,3.594987375978485034e+01
1.809045226130653328e+00,3.579597160989808202e+01
1.909547738693467389e+00,3.559301054657498753e+01
2.010050251256281673e+00,3.535217818193073924e+01
2.110552763819095734e+00,3.508507582318262763e+01
2.211055276381909795e+00,3.480299215274266800e+01
2.311557788944723857e+00,3.451640725391497000e+01
2.412060301507537918e+00,3.423471495782089136e+01
2.512562814070351980e+00,3.396612012662716751e+01
2.613065326633166041e+00,3.371765668651038794e+01
2.713567839195980103e+00,3.349527722653582629e+01
2.814070351758794164e+00,3.330397611393841828e+01
2.914572864321608225e+00,3.314791774499155963e+01
3.015075376884422287e+00,3.303055523173987496e+01
3.115577889447236348e+00,3.295472774587111786e+01
3.216080402010050410e+00,3.292273146309170784e+01
3.316582914572864471e+00,3.293636007011239997e+01
3.417085427135678533e+00,3.299691234977257892e+01
3.517587939698492594e+00,3.310516348050606439e+01
3.618090452261306655e+00,3.326129720119884325e+01
3.718592964824120717e+00,3.346479463144004285e+01
3.819095477386934778e+00,3.371427616569010155e+01
3.919597989949748840e+00,3.400729371001748547e+01
4.020100502512563345e+00,3.434007442768599105e+01
4.120603015075377407e+00,3.470722403221967767e+01
4.221105527638191468e+00,3.510141400182465077e+01
4.321608040201005529e+00,3.551309231861125681e+01
4.422110552763819591e+00,3.593029474151822455e+01
4.522613065326633652e+00,3.633866033473017865e+01
4.623115577889447714e+00,3.672178296394283592e+01
4.723618090452261775e+00,3.706202048932093618e+01
4.824120603015075837e+00,3.734181911119731012e+01
4.924623115577889898e+00,3.754546683508189631e+01
5.025125628140703959e+00,3.766100690198373968e+01
5.125628140703518021e+00,3.768188434748135762e+01
5.226130653266332082e+00,3.760788027225972030e+01
5.326633165829146144e+00,3.744506055540972511e+01
5.427135678391960205e+00,3.720476669099097933e+01
5.527638190954774267e+00,3.690196344950443574e+01
5.628140703517588328e+00,3.655339270164924415e+01
5.728643216080402389e+00,3.617593182800849405e+01
5.829145728643216451e+00,3.578538821085921029e+01
5.929648241206030512e+00,3.539578247912667308e+01
6.030150753768844574e+00,3.501904932170250362e+01
6.130653266331658635e+00,3.466503298677901768e+01
6.231155778894472697e+00,3.434165607121046548e+01
6.331658291457286758e+00,3.405516565977821131e+01
