time,row_entropy_connectedness
0.000000000000000000e+00,1.189081038097420162e+01
1.005025125628140753e-01,1.190715950940616530e+01
2.010050251256281506e-01,1.192246709131092253e+01
3.015075376884422398e-01,1.193654528592256447e+01
4.020100502512563012e-01,1.194946918577134909e+01
5.025125628140704181e-01,1.196131049988995798e+01
6.030150753768844796e-01,1.197216177666017067e+01
7.035175879396985410e-01,1.198209293456852542e+01
8.040201005025126024e-01,1.199116992745917187e+01
9.045226130653266639e-01,1.199945859935232839e+01
1.005025125628140836e+00,1.200701885904638111e+01
1.105527638190954898e+00,1.201391128562209687e+01
1.206030150753768959e+00,1.202018789836960266e+01
1.306532663316583021e+00,1.202590280873969064e+01
1.407035175879397082e+00,1.203110073344605624e+01
1.507537688442211143e+00,1.203582763738163663e+01
1.608040201005025205e+00,1.204012308452318969e+01
1.708542713567839266e+00,1.204402474800248335e+01
1.809045226130653328e+00,1.204756814224426265e+01
1.909547738693467389e+00,1.205078346316350135e+01
2.010050251256281673e+00,1.205370192709197141e+01
2.110552763819095734e+00,1.205634815648024905e+01
2.211055276381909795e+00,1.205874871025866568e+01
2.311557788944723857e+00,1.206092453614366633e+01
2.412060301507537918e+00,1.206289684952777996e+01
2.512562814070351980e+00,1.206468437716546660e+01
2.613065326633166041e+00,1.206630348463723479e+01
2.713567839195980103e+00,1.206777084400610001e+01
2.814070351758794164e+00,1.206909929006855720e+01
2.914572864321608225e+00,1.207030283512423274e+01
3.015075376884422287e+00,1.207139206538207077e+01
3.115577889447236348e+00,1.207237818194088419e+01
3.216080402010050410e+00,1.207327162211149307e+01
3.316582914572864471e+00,1.207407982969594151e+01
3.417085427135678533e+00,1.207481172506896350e+01
3.517587939698492594e+00,1.207547416536834461e+01
3.618090452261306655e+00,1.207607338131210284e+01
3.718592964824120717e+00,1.207661606733339887e+01
3.819095477386934778e+00,1.207710686099282782e+01
3.919597989949748840e+00,1.207755096188140875e+01
4.020100502512563345e+00,1.207795302817972072e+01
4.120603015075377407e+00,1.207831653739492062e+01
4.221105527638191468e+00,1.207864561895424238e+01
4.321608040201005529e+00,1.207894329420665791e+01
4.422110552763819591e+00,1.207921248822284177e+01
4.522613065326633652e+00,1.207945621708611128e+01
4.623115577889447714e+00,1.207967655217293412e+01
4.723618090452261775e+00,1.207987590424876245e+01
4.824120603015075837e+00,1.208005635331093508e+01
4.924623115577889898e+00,1.208021952765443530e+01
5.025125628140703959e+00,1.208036713889291214e+01
5.125628140703518021e+00,1.208050060920770363e+01
5.226130653266332082e+00,1.208062138158021703e+01
5.326633165829146144e+00,1.208073058281067880e+01
5.427135678391960205e+00,1.208082939506182285e+01
5.527638190954774267e+00,1.208091873881101996e+01
5.628140703517588328e+00,1.208099957699120353e+01
5.728643216080402389e+00,1.208107267047978262e+01
5.829145728643216451e+00,1.208113880045247157e+01
5.929648241206030512e+00,1.208119859870599022e+01
6.030150753768844574e+00,1.208125269442308714e+01
6.130653266331658635e+00,1.208130161524130664e+01
6.231155778894472697e+00,1.208134586514675846e+01
6.331658291457286758e+00,1.208138588672533409e+01
6.432160804020100819e+00,1.208142208179644328e+01
6.532663316582914881e+00,1.208145482273012483e+01
6.633165829145728942e+00,1.208148442893112673e+01
6.733668341708543004e+00,1.208151121311049536e+01
6.834170854271357065e+00,1.208153543017687781e+01
6.934673366834171127e+00,1.208155733829985934e+01
7.035175879396985188e+00,1.208157713930899391e+01
7.135678391959799249e+00,1.208159505928636079e+01
7.236180904522613311e+00,1.208161126477925151e+01
7.336683417085427372e+00,1.208162591834181043e+01
7.437185929648241434e+00,1.208163918017815064e+01
7.537688442211055495e+00,1.208165116655419524e+01
7.638190954773869557e+00,1.208166201257471073e+01
7.738693467336683618e+00,1.208167182022233277e+01
7.839195979899497679e+00,1.208168068806208773e+01
7.939698492462311741e+00,1.208168871339474393e+01
8.040201005025126690e+00,1.208169596605410590e+01
8.140703517587940752e+00,1.208170252857684268e+01
8.241206030150754813e+00,1.208170846489168504e+01
8.341708542713568875e+00,1.208171383078235372e+01
8.442211055276382936e+00,1.208171868809430904e+01
8.542713567839196998e+00,1.208172308060299116e+01
8.643216080402011059e+00,1.208172705327917917e+01
8.743718592964825120e+00,1.208173064484254411e+01
8.844221105527639182e+00,1.208173389385048857e+01
8.944723618090453243e+00,1.208173683167508905e+01
9.045226130653267305e+00,1.208173948926223495e+01
9.145728643216081366e+00,1.208174189240078356e+01
9.246231155778895427e+00,1.208174406617677654e+01
9.346733668341709489e+00,1.208174603187540086e+01
