time,R_energy_linear
0.000000000000000000e+00,-8.649600001337666981e+02
1.010101010101010083e-01,-1.129231737385138786e+03
2.020202020202020166e-01,-1.000314047869147544e+03
3.030303030303030387e-01,-1.100663174836366807e+03
4.040404040404040331e-01,-1.761172774643402363e+03
5.050505050505050830e-01,-1.408353852379682849e+03
6.060606060606060774e-01,-1.170260790257368626e+03
7.070707070707070718e-01,-1.169798403394098159e+03
8.080808080808080662e-01,-9.587574150856196411e+02
9.090909090909090606e-01,-9.908998353362860598e+02
1.010101010101010166e+00,-9.474200953853045348e+02
1.111111111111111160e+00,-7.915702120914045281e+02
1.212121212121212155e+00,-1.054186309840682043e+03
1.313131313131313149e+00,-1.270963157676014134e+03
1.414141414141414144e+00,-9.147723313557323763e+02
1.515151515151515138e+00,-8.618828962303350636e+02
1.616161616161616132e+00,-8.390969038081364033e+02
1.717171717171717127e+00,-5.858806643503686473e+02
1.818181818181818121e+00,-4.569721923736033773e+02
1.919191919191919116e+00,-4.730943817482948361e+02
2.020202020202020332e+00,-5.225018452441012187e+02
2.121212121212121104e+00,-6.301022124621938474e+02
2.222222222222222321e+00,-9.256864333034145602e+02
2.323232323232323093e+00,-1.005974461890966836e+03
2.424242424242424310e+00,-6.979912778943871672e+02
2.525252525252525082e+00,-1.078376740993611520e+03
2.626262626262626299e+00,-1.520341127440458649e+03
2.727272727272727071e+00,-1.118681616013980829e+03
2.828282828282828287e+00,-9.484297399543735310e+02
2.929292929292929060e+00,-8.793628203481964647e+02
3.030303030303030276e+00,-9.847138053321339157e+02
3.131313131313131048e+00,-1.166536971290200881e+03
3.232323232323232265e+00,-1.026139160702857453e+03
3.333333333333333481e+00,-8.091690289957977029e+02
3.434343434343434254e+00,-1.369731371943708382e+03
3.535353535353535470e+00,-1.370433397840246471e+03
3.636363636363636243e+00,-9.060106433701413380e+02
3.737373737373737459e+00,-8.848837126164410165e+02
3.838383838383838231e+00,-6.531343348086096512e+02
3.939393939393939448e+00,-4.383754438175298560e+02
4.040404040404040664e+00,-4.437407814841604932e+02
4.141414141414140992e+00,-4.994479456035918474e+02
4.242424242424242209e+00,-5.509133769985832032e+02
4.343434343434343425e+00,-7.474080709197072565e+02
4.444444444444444642e+00,-1.011242340149266852e+03
4.545454545454544970e+00,-8.448829726355294270e+02
4.646464646464646187e+00,-6.741552714184455226e+02
4.747474747474747403e+00,-1.049489447968441709e+03
4.848484848484848619e+00,-1.110397363641353422e+03
4.949494949494949836e+00,-8.237280749929110470e+02
5.050505050505050164e+00,-7.376927171379063566e+02
5.151515151515151381e+00,-8.605325723653759269e+02
5.252525252525252597e+00,-1.120066325636110378e+03
5.353535353535353813e+00,-1.398868094563655859e+03
5.454545454545454142e+00,-9.669827050366272942e+02
5.555555555555555358e+00,-9.094816863106204892e+02
5.656565656565656575e+00,-1.600160182723263006e+03
5.757575757575757791e+00,-1.274629081832442125e+03
5.858585858585858119e+00,-9.142536582814586836e+02
5.959595959595959336e+00,-7.888763655414857112e+02
6.060606060606060552e+00,-5.823150728134700103e+02
6.161616161616161769e+00,-5.911009288058086213e+02
6.262626262626262097e+00,-6.444964553017281332e+02
6.363636363636363313e+00,-5.965062827413896684e+02
6.464646464646464530e+00,-6.830481599560251880e+02
6.565656565656565746e+00,-9.484982870757322644e+02
6.666666666666666963e+00,-9.514814199552313312e+02
6.767676767676767291e+00,-6.894417912342618138e+02
6.868686868686868507e+00,-6.727852866473106133e+02
6.969696969696969724e+00,-7.992082359544079964e+02
7.070707070707070940e+00,-7.036002146901104197e+02
7.171717171717171269e+00,-6.096533294567343546e+02
7.272727272727272485e+00,-7.250135594702229582e+02
7.373737373737373701e+00,-8.959853098808001732e+02
7.474747474747474918e+00,-1.293201443288254723e+03
7.575757575757575246e+00,-1.469680697303157331e+03
7.676767676767676463e+00,-8.166410678241846881e+02
7.777777777777777679e+00,-1.102909598051093326e+03
7.878787878787878896e+00,-1.561376097078429211e+03
7.979797979797979224e+00,-1.126078856889895633e+03
8.080808080808081328e+00,-8.701828062272924171e+02
8.181818181818181657e+00,-7.043217955800206482e+02
8.282828282828281985e+00,-7.474800933454135929e+02
8.383838383838384090e+00,-9.434238224768660075e+02
8.484848484848484418e+00,-8.667051424192779905e+02
8.585858585858586522e+00,-6.552593241905568675e+02
8.686868686868686851e+00,-8.993028009922259116e+02
8.787878787878787179e+00,-1.043193228937398544e+03
8.888888888888889284e+00,-7.714806305798798576e+02
8.989898989898989612e+00,-5.916290692014002843e+02
9.090909090909089940e+00,-5.657314101891780638e+02
9.191919191919192045e+00,-5.059897415242415946e+02
9.292929292929292373e+00,-4.662331421005639527e+02
9.393939393939394478e+00,-6.048886154193457969e+02
9.494949494949494806e+00,-7.928587447709929847e+02
9.595959595959595134e+00,-9.195519193506412421e+02
9.696969696969697239e+00,-1.437262497348567877e+03
9.797979797979797567e+00,-1.286422089405610450e+03
9.898989898989899672e+00,-7.626640922504241189e+02
1.000000000000000000e+01,-1.197817403829388695e+03
