time,R_energy_linear_jacobian
0.000000000000000000e+00,-2.139146720987681931e+02
1.010101010101010083e-01,-2.118429838515218080e+02
2.020202020202020166e-01,-2.087534237587252903e+02
3.030303030303030387e-01,-2.051846180156250341e+02
4.040404040404040331e-01,-2.022748514403353113e+02
5.050505050505050830e-01,-2.003418482205812836e+02
6.060606060606060774e-01,-1.985613636934032513e+02
7.070707070707070718e-01,-1.965949399770120181e+02
8.080808080808080662e-01,-1.948112467388233995e+02
9.090909090909090606e-01,-1.934154122188106726e+02
1.010101010101010166e+00,-1.918559823404713995e+02
1.111111111111111160e+00,-1.894855416256772287e+02
1.212121212121212155e+00,-1.867935762641573945e+02
1.313131313131313149e+00,-1.847594548481403081e+02
1.414141414141414144e+00,-1.838374997589651798e+02
1.515151515151515138e+00,-1.842686757065690699e+02
1.616161616161616132e+00,-1.852701709074841006e+02
1.717171717171717127e+00,-1.854726439303629490e+02
1.818181818181818121e+00,-1.852451727114974744e+02
1.919191919191919116e+00,-1.856796419263385189e+02
2.020202020202020332e+00,-1.867652651144634319e+02
2.121212121212121104e+00,-1.878471236595130449e+02
2.222222222222222321e+00,-1.885565099095861967e+02
2.323232323232323093e+00,-1.889708322611415099e+02
2.424242424242424310e+00,-1.889414631340717960e+02
2.525252525252525082e+00,-1.882994322922068022e+02
2.626262626262626299e+00,-1.875792900312792426e+02
2.727272727272727071e+00,-1.870597725246591665e+02
2.828282828282828287e+00,-1.863490454280302799e+02
2.929292929292929060e+00,-1.856058002431405214e+02
3.030303030303030276e+00,-1.853345730884509805e+02
3.131313131313131048e+00,-1.851889138521610789e+02
3.232323232323232265e+00,-1.840403662064585433e+02
3.333333333333333481e+00,-1.815352930139283956e+02
3.434343434343434254e+00,-1.789911163308085804e+02
3.535353535353535470e+00,-1.776206814943415395e+02
3.636363636363636243e+00,-1.775766111010149189e+02
3.737373737373737459e+00,-1.786419041209912848e+02
3.838383838383838231e+00,-1.797186033086057364e+02
3.939393939393939448e+00,-1.799746832061791508e+02
4.040404040404040664e+00,-1.801193879403368783e+02
4.141414141414140992e+00,-1.807758689751397299e+02
4.242424242424242209e+00,-1.815870812668188705e+02
4.343434343434343425e+00,-1.821857760996090576e+02
4.444444444444444642e+00,-1.828251288441633449e+02
4.545454545454544970e+00,-1.839584031502058963e+02
4.646464646464646187e+00,-1.852165486243787882e+02
4.747474747474747403e+00,-1.857213521903675257e+02
4.848484848484848619e+00,-1.855780906105450185e+02
4.949494949494949836e+00,-1.852471164955346978e+02
5.050505050505050164e+00,-1.848403681087315817e+02
5.151515151515151381e+00,-1.847296249688167791e+02
5.252525252525252597e+00,-1.850123037251947835e+02
5.353535353535353813e+00,-1.849904339247405574e+02
5.454545454545454142e+00,-1.836377316291131478e+02
5.555555555555555358e+00,-1.810999183643712627e+02
5.656565656565656575e+00,-1.790261582063413357e+02
5.757575757575757791e+00,-1.782491616125196003e+02
5.858585858585858119e+00,-1.784092163961435062e+02
5.959595959595959336e+00,-1.789477815539432299e+02
6.060606060606060552e+00,-1.792022939991250610e+02
6.161616161616161769e+00,-1.791805367539810732e+02
6.262626262626262097e+00,-1.792704466271548824e+02
6.363636363636363313e+00,-1.792967439962973231e+02
6.464646464646464530e+00,-1.791154032961888447e+02
6.565656565656565746e+00,-1.791044465132025039e+02
6.666666666666666963e+00,-1.798440893014875996e+02
6.767676767676767291e+00,-1.817238404185881109e+02
6.868686868686868507e+00,-1.838247987219791639e+02
6.969696969696969724e+00,-1.847519818967156198e+02
7.070707070707070940e+00,-1.846849500851073458e+02
7.171717171717171269e+00,-1.844966525908961898e+02
7.272727272727272485e+00,-1.846292007768527696e+02
7.373737373737373701e+00,-1.850653787987511976e+02
7.474747474747474918e+00,-1.854885278076476993e+02
7.575757575757575246e+00,-1.854654163697572642e+02
7.676767676767676463e+00,-1.843469169544551960e+02
7.777777777777777679e+00,-1.824678106836917379e+02
7.878787878787878896e+00,-1.811264156661084712e+02
7.979797979797979224e+00,-1.806056777174382546e+02
8.080808080808081328e+00,-1.803112973046135892e+02
8.181818181818181657e+00,-1.798800752280915276e+02
8.282828282828281985e+00,-1.794771678516547411e+02
8.383838383838384090e+00,-1.793507772879812308e+02
8.484848484848484418e+00,-1.790050314455747014e+02
8.585858585858586522e+00,-1.779640473656234860e+02
8.686868686868686851e+00,-1.769596748136225415e+02
8.787878787878787179e+00,-1.768780627018821576e+02
8.888888888888889284e+00,-1.781010197826498995e+02
8.989898989898989612e+00,-1.805589398283674996e+02
9.090909090909089940e+00,-1.828131695287203513e+02
9.191919191919192045e+00,-1.631029973756765798e+02
9.292929292929292373e+00,-1.432612228483222054e+02
9.393939393939394478e+00,-1.234197624926333532e+02
9.494949494949494806e+00,-1.037324458935953828e+02
9.595959595959595134e+00,-8.412122705597415973e+01
9.696969696969697239e+00,-6.439064101823670683e+01
9.797979797979797567e+00,-4.380138454539368809e+01
9.898989898989899672e+00,-2.187017693924419959e+01
1.000000000000000000e+01,-0.000000000000000000e+00
