time,R_loc
0.000000000000000000e+00,-2.000000000057511329e-01
1.005025125628140753e-01,-6.438445801922558775e-01
2.010050251256281506e-01,-1.063434386915010688e+00
3.015075376884422398e-01,-1.190484818071139594e+00
4.020100502512563012e-01,-7.030144567132032840e-01
5.025125628140704181e-01,-4.811583749179174641e-01
6.030150753768844796e-01,-4.353125143299224065e-01
7.035175879396985410e-01,-4.722016256748285956e-01
8.040201005025126024e-01,-4.953675739199407957e-01
9.045226130653266639e-01,-3.728780195190338764e-01
1.005025125628140836e+00,-3.877207928393788805e-01
1.105527638190954898e+00,-6.711628639779292360e-01
1.206030150753768959e+00,-6.915667690857348893e-01
1.306532663316583021e+00,-6.376896251273569405e-01
1.407035175879397082e+00,-7.171971352585166937e-01
1.507537688442211143e+00,-7.352858184312557333e-01
1.608040201005025205e+00,-6.166037375874776627e-01
1.708542713567839266e+00,-5.485836325666155755e-01
1.809045226130653328e+00,-5.331680283538726695e-01
1.909547738693467389e+00,-4.384725965758383692e-01
2.010050251256281673e+00,-2.244265344030259013e-01
2.110552763819095734e+00,-3.233065093977138815e-01
2.211055276381909795e+00,-5.530051852495425635e-01
2.311557788944723857e+00,-8.757704141877953319e-01
2.412060301507537918e+00,-1.188425585400902929e+00
2.512562814070351980e+00,-1.105719100576294966e+00
2.613065326633166041e+00,-4.402396816562885729e-01
2.713567839195980103e+00,-4.278682676015888031e-01
2.814070351758794164e+00,-4.818035238642834894e-01
2.914572864321608225e+00,-4.919842905923290655e-01
3.015075376884422287e+00,-4.577173777524837783e-01
3.115577889447236348e+00,-3.054273072493832730e-01
3.216080402010050410e+00,-6.440330054814495941e-01
3.316582914572864471e+00,-8.938123765583084746e-01
3.417085427135678533e+00,-7.279515810245094087e-01
3.517587939698492594e+00,-5.733121386414774534e-01
3.618090452261306655e+00,-5.725634042129685852e-01
3.718592964824120717e+00,-5.074480588024365968e-01
3.819095477386934778e+00,-4.529353168582554989e-01
3.919597989949748840e+00,-4.450148002631956201e-01
4.020100502512563345e+00,-2.732877684476976432e-01
4.120603015075377407e+00,-3.274589602224192708e-01
4.221105527638191468e+00,-5.363127842994569461e-01
4.321608040201005529e+00,-6.185910457258206874e-01
4.422110552763819591e+00,-7.242585525175990746e-01
4.522613065326633652e+00,-9.824133173926415941e-01
4.623115577889447714e+00,-1.141155176454859532e+00
4.723618090452261775e+00,-8.448965824474533592e-01
4.824120603015075837e+00,-3.444256587184102436e-01
4.924623115577889898e+00,-5.501345218249620306e-01
5.025125628140703959e+00,-6.525034836249742343e-01
5.125628140703518021e+00,-5.953695108825389770e-01
5.226130653266332082e+00,-4.418078927548435564e-01
5.326633165829146144e+00,-4.979014361207492745e-01
5.427135678391960205e+00,-9.141567236354093406e-01
5.527638190954774267e+00,-1.059511336234539636e+00
5.628140703517588328e+00,-6.434568796658799439e-01
5.728643216080402389e+00,-4.087408305912993978e-01
5.829145728643216451e+00,-3.512883672436536431e-01
5.929648241206030512e+00,-3.253086876773692016e-01
6.030150753768844574e+00,-4.134191579581401044e-01
6.130653266331658635e+00,-4.290580235241301388e-01
6.231155778894472697e+00,-3.939381033583910785e-01
6.331658291457286758e+00,-6.143735355593690217e-01
6.432160804020100819e+00,-7.390962082501040253e-01
6.532663316582914881e+00,-7.249511700962862903e-01
6.633165829145728942e+00,-7.634974109821399679e-01
6.733668341708543004e+00,-9.297315640419656635e-01
6.834170854271357065e+00,-9.140881144780106382e-01
6.934673366834171127e+00,-5.333836082823634195e-01
7.035175879396985188e+00,-4.004686501657923614e-01
7.135678391959799249e+00,-6.345583032919059896e-01
7.236180904522613311e+00,-6.907338255885447920e-01
7.336683417085427372e+00,-5.685077205283095569e-01
7.437185929648241434e+00,-5.182037030186049664e-01
7.537688442211055495e+00,-7.509257560138606902e-01
7.638190954773869557e+00,-1.105637444922150658e+00
7.738693467336683618e+00,-1.078698546568142014e+00
7.839195979899497679e+00,-5.134295439954025264e-01
7.939698492462311741e+00,-3.444561064717555077e-01
8.040201005025126690e+00,-2.723046242128331906e-01
8.140703517587940752e+00,-4.069992096996004616e-01
8.241206030150754813e+00,-5.149860227177482930e-01
8.341708542713568875e+00,-5.101495951917245364e-01
8.442211055276382936e+00,-5.145103922910674310e-01
8.542713567839196998e+00,-7.374856804638283414e-01
8.643216080402011059e+00,-8.015670256456060017e-01
8.743718592964825120e+00,-7.069237317444978519e-01
8.844221105527639182e+00,-6.798846690565643058e-01
8.944723618090453243e+00,-7.149151952833580070e-01
9.045226130653267305e+00,-5.801935349650308993e-01
