time,R_spec
0.000000000000000000e+00,5.812558412578881784e-02
1.010101010101010083e-01,3.959875460829279797e-02
2.020202020202020166e-01,3.354629615781230811e-02
3.030303030303030387e-01,3.205843546027652147e-02
4.040404040404040331e-01,3.236170267703126352e-02
5.050505050505050830e-01,3.554171840852765607e-02
6.060606060606060774e-01,3.641077587441592101e-02
7.070707070707070718e-01,3.616715405150044971e-02
8.080808080808080662e-01,3.356031510070887208e-02
9.090909090909090606e-01,3.446552047511585587e-02
1.010101010101010166e+00,2.970022444929057426e-02
1.111111111111111160e+00,2.628824898974824187e-02
1.212121212121212155e+00,2.549394882464727993e-02
1.313131313131313149e+00,2.949449689476877495e-02
1.414141414141414144e+00,2.911438807612519095e-02
1.515151515151515138e+00,2.899071854579693408e-02
1.616161616161616132e+00,2.818570767064259783e-02
1.717171717171717127e+00,2.526826289427905325e-02
1.818181818181818121e+00,2.345875680427118512e-02
1.919191919191919116e+00,2.421580058317242962e-02
2.020202020202020332e+00,2.691444425103966739e-02
2.121212121212121104e+00,2.610726420852754748e-02
2.222222222222222321e+00,2.466176201426424977e-02
2.323232323232323093e+00,1.874665015861903469e-02
2.424242424242424310e+00,1.586350435867857345e-02
2.525252525252525082e+00,1.419617976324851275e-02
2.626262626262626299e+00,1.554711500990378636e-02
2.727272727272727071e+00,1.690487579025412926e-02
2.828282828282828287e+00,1.725842558512166031e-02
2.929292929292929060e+00,1.579746333905390071e-02
3.030303030303030276e+00,1.587819224392675310e-02
3.131313131313131048e+00,1.472599662996629949e-02
3.232323232323232265e+00,1.156535036633238311e-02
3.333333333333333481e+00,1.054705849980078040e-02
3.434343434343434254e+00,1.018022420756621756e-02
3.535353535353535470e+00,1.196029877586346490e-02
3.636363636363636243e+00,1.208952512114516015e-02
3.737373737373737459e+00,1.387278518696878106e-02
3.838383838383838231e+00,1.197247438230967555e-02
3.939393939393939448e+00,1.111035877738260867e-02
4.040404040404040664e+00,1.068651601911699972e-02
4.141414141414140992e+00,9.546192727723301977e-03
4.242424242424242209e+00,9.430197642834405036e-03
4.343434343434343425e+00,1.020053363796327717e-02
4.444444444444444642e+00,9.218232837889812903e-03
4.545454545454544970e+00,7.461462703118733678e-03
4.646464646464646187e+00,6.637595505516118155e-03
4.747474747474747403e+00,6.133912971962363070e-03
4.848484848484848619e+00,7.044611687748954243e-03
4.949494949494949836e+00,6.979446633771146935e-03
5.050505050505050164e+00,6.688247879942343412e-03
5.151515151515151381e+00,6.521156103927207293e-03
5.252525252525252597e+00,6.874065910526673540e-03
5.353535353535353813e+00,5.414668805378823613e-03
5.454545454545454142e+00,4.452957814176284126e-03
5.555555555555555358e+00,4.012043947173787178e-03
5.656565656565656575e+00,4.062851661527965355e-03
5.757575757575757791e+00,4.771816785984921150e-03
5.858585858585858119e+00,5.017083809941216832e-03
5.959595959595959336e+00,5.174848067978965460e-03
6.060606060606060552e+00,4.851666093482785887e-03
6.161616161616161769e+00,4.674153312577339348e-03
6.262626262626262097e+00,3.651421673798206646e-03
6.363636363636363313e+00,3.265904281122839446e-03
6.464646464646464530e+00,3.285663819373828200e-03
6.565656565656565746e+00,3.744660044742951013e-03
6.666666666666666963e+00,3.518115164728349929e-03
6.767676767676767291e+00,3.029739455671538739e-03
6.868686868686868507e+00,2.771787282372820821e-03
6.969696969696969724e+00,2.731107211115590266e-03
7.070707070707070940e+00,2.996504318293548297e-03
7.171717171717171269e+00,2.738197934438324401e-03
7.272727272727272485e+00,2.538151620909326334e-03
7.373737373737373701e+00,2.494362183852127934e-03
7.474747474747474918e+00,2.558879726533992705e-03
7.575757575757575246e+00,2.001268690735266784e-03
7.676767676767676463e+00,1.709118983528656443e-03
7.777777777777777679e+00,1.518970627194586760e-03
7.878787878787878896e+00,1.683104293547559027e-03
7.979797979797979224e+00,1.949316766228170739e-03
8.080808080808081328e+00,2.061573071683163449e-03
8.181818181818181657e+00,1.939857493106264931e-03
8.282828282828281985e+00,1.883663327757571782e-03
8.383838383838384090e+00,1.610255380216356336e-03
8.484848484848484418e+00,1.262147851306426316e-03
8.585858585858586522e+00,1.166043101946201768e-03
8.686868686868686851e+00,1.190159347503912243e-03
8.787878787878787179e+00,1.427603507030491322e-03
8.888888888888889284e+00,1.433431415024031185e-03
8.989898989898989612e+00,1.304284298542176396e-03
9.090909090909089940e+00,1.246987229194430327e-03
9.191919191919192045e+00,1.231565033115539828e-03
9.292929292929292373e+00,1.159120139338530326e-03
9.393939393939394478e+00,1.010871030474674859e-03
9.494949494949494806e+00,1.013732059707313790e-03
9.595959595959595134e+00,9.348413042331663860e-04
9.696969696969697239e+00,9.552673795279145079e-04
9.797979797979797567e+00,7.307597486576159233e-04
9.898989898989899672e+00,6.535650803585306423e-04
1.000000000000000000e+01,5.964445851445114143e-04
