time,x1,x2,x3,x4,x5,x6,x7,x8,x9
0.000000000000000000e+00,9.999999999999998890e-01,3.999999999999999556e+00,4.000000000000000000e+00,4.000000000000000000e+00,3.000000000000000000e+00,3.000000000000000000e+00,3.000000000000000000e+00,3.000000000000000000e+00,3.999999999999999556e+00
1.005025125628140753e-01,1.212283320971134559e+00,5.302406194583427101e+00,3.675319215976389664e+00,3.611518157700709164e+00,2.771510941993280408e+00,3.029414997380428520e+00,2.915323105354551192e+00,2.482224066040082278e+00,3.994400013411327777e+00
2.010050251256281506e-01,1.739103143540128071e+00,6.390822363624566904e+00,2.885021851925092751e+00,3.402074041012591810e+00,2.652424733027506587e+00,3.063503383681278169e+00,2.705110346322092685e+00,2.161940136866747686e+00,3.730403319110338067e+00
3.015075376884422398e-01,2.728468358649836389e+00,6.573966595260725576e+00,2.096966908781459082e+00,3.448710008822429174e+00,2.562818077703760800e+00,3.054626854002601810e+00,2.455128715981071519e+00,2.079314480798120535e+00,3.314612809093411272e+00
4.020100502512563012e-01,4.083785607990431110e+00,5.614555000119736405e+00,1.611734014792616909e+00,3.691627964290642439e+00,2.430937195849541599e+00,3.006854212019115291e+00,2.249948195230882853e+00,2.310557809707035393e+00,3.022378093525353915e+00
5.025125628140704181e-01,5.125518185828192408e+00,4.086353580861778134e+00,1.456380646375319277e+00,4.011179768657896716e+00,2.227847808317497957e+00,2.964604824450491449e+00,2.164732445197913524e+00,2.963382740310912755e+00,2.977238866292648556e+00
6.030150753768844796e-01,5.095107260340710376e+00,2.812129587166885436e+00,1.569456865279913460e+00,4.265623196300773579e+00,1.978744991291331745e+00,2.993225123087282835e+00,2.275149192616698901e+00,4.010563783916406777e+00,3.041224375171779126e+00
7.035175879396985410e-01,4.110928412747989924e+00,2.094050985148654842e+00,1.901090402343937891e+00,4.325601332618518313e+00,1.745214562558927707e+00,3.172245175276975360e+00,2.639435441909955049e+00,5.011433687395042469e+00,2.980018813604266459e+00
8.040201005025126024e-01,2.946464738115591508e+00,1.823937503994784715e+00,2.399713595900441199e+00,4.122454049742759530e+00,1.596447466954713956e+00,3.595920750706294911e+00,3.189240779963517181e+00,5.325821114621898111e+00,2.768461121829036919e+00
9.045226130653266639e-01,2.110854552299014752e+00,1.858692117722159587e+00,2.964034428530093912e+00,3.690864225270010124e+00,1.598934335942213680e+00,4.327423705449004565e+00,3.598572535460231592e+00,4.850624099327272454e+00,2.559932204799103328e+00
1.005025125628140836e+00,1.644068080583150238e+00,2.131259666884094628e+00,3.430115095028420491e+00,3.167762324058152501e+00,1.831777510074509507e+00,5.238119314420222494e+00,3.484987104909004874e+00,4.071910904042449708e+00,2.414625329162138456e+00
1.105527638190954898e+00,1.431799529070165722e+00,2.615731413504583713e+00,3.635304923524387721e+00,2.730687650313408543e+00,2.394743015687389232e+00,5.867858549116167666e+00,2.888155183616374799e+00,3.435719735167525268e+00,2.284423958245794140e+00
