time,connectedness
0.000000000000000000e+00,7.118602426597884403e+01
1.010101010101010083e-01,7.081450825157268980e+01
2.020202020202020166e-01,7.018492606860020544e+01
3.030303030303030387e-01,7.004490303066491208e+01
4.040404040404040331e-01,7.052759898415878581e+01
5.050505050505050830e-01,7.078631794543080957e+01
6.060606060606060774e-01,7.078944810333892690e+01
7.070707070707070718e-01,7.072518829309674970e+01
8.080808080808080662e-01,7.069580896368992740e+01
9.090909090909090606e-01,7.077930831779188736e+01
1.010101010101010166e+00,7.069695122666199438e+01
1.111111111111111160e+00,7.049138668254303752e+01
1.212121212121212155e+00,7.052427120755959322e+01
1.313131313131313149e+00,7.065048886347747725e+01
1.414141414141414144e+00,7.055736013547465291e+01
1.515151515151515138e+00,7.042303205055664250e+01
1.616161616161616132e+00,7.029059240968324218e+01
1.717171717171717127e+00,7.019117829296607169e+01
1.818181818181818121e+00,7.032068936848949647e+01
1.919191919191919116e+00,7.065469216288619236e+01
2.020202020202020332e+00,7.097690204668751335e+01
2.121212121212121104e+00,7.112501478591185844e+01
2.222222222222222321e+00,7.099919385672437500e+01
2.323232323232323093e+00,7.049279138911077780e+01
2.424242424242424310e+00,6.996411122386152215e+01
2.525252525252525082e+00,7.009452068528779023e+01
2.626262626262626299e+00,7.056645843544639263e+01
2.727272727272727071e+00,7.073988129966586769e+01
2.828282828282828287e+00,7.076548222953387324e+01
2.929292929292929060e+00,7.083748866029948488e+01
3.030303030303030276e+00,7.097300515040754476e+01
3.131313131313131048e+00,7.090860061092624278e+01
3.232323232323232265e+00,7.047857574287822047e+01
3.333333333333333481e+00,7.016038563078045343e+01
3.434343434343434254e+00,7.043945086789545940e+01
3.535353535353535470e+00,7.074840796598753911e+01
3.636363636363636243e+00,7.075249639031959248e+01
3.737373737373737459e+00,7.065831466922418258e+01
3.838383838383838231e+00,7.044921437534165420e+01
3.939393939393939448e+00,7.032378283919034345e+01
4.040404040404040664e+00,7.043935831105244461e+01
4.141414141414140992e+00,7.065529505244779784e+01
4.242424242424242209e+00,7.082009064754267058e+01
4.343434343434343425e+00,7.088212405081723944e+01
4.444444444444444642e+00,7.071290738858344582e+01
4.545454545454544970e+00,7.026432779790776806e+01
4.646464646464646187e+00,6.999916339694262035e+01
4.747474747474747403e+00,7.023853680915253506e+01
4.848484848484848619e+00,7.054929060042016431e+01
4.949494949494949836e+00,7.067093031161854810e+01
5.050505050505050164e+00,7.079784452469206713e+01
5.151515151515151381e+00,7.101407916019681466e+01
5.252525252525252597e+00,7.111736472114043295e+01
5.353535353535353813e+00,7.081988159080607659e+01
5.454545454545454142e+00,7.017090663094830916e+01
5.555555555555555358e+00,7.003384903238105608e+01
5.656565656565656575e+00,7.060671291938103877e+01
5.757575757575757791e+00,7.095813333055100713e+01
5.858585858585858119e+00,7.094819321118626476e+01
5.959595959595959336e+00,7.077135278934363782e+01
6.060606060606060552e+00,7.054447469169096507e+01
6.161616161616161769e+00,7.045830947130274069e+01
6.262626262626262097e+00,7.044878414860525595e+01
6.363636363636363313e+00,7.044202166236884466e+01
6.464646464646464530e+00,7.053384869514368916e+01
6.565656565656565746e+00,7.066274583068324944e+01
6.666666666666666963e+00,7.056833783417198447e+01
6.767676767676767291e+00,7.031017748654410582e+01
6.868686868686868507e+00,7.023598383522265465e+01
6.969696969696969724e+00,7.036685626334570998e+01
7.070707070707070940e+00,7.049051187885963543e+01
7.171717171717171269e+00,7.062977424018650652e+01
7.272727272727272485e+00,7.087114588543582272e+01
7.373737373737373701e+00,7.107467600363064264e+01
7.474747474747474918e+00,7.105052900529682347e+01
7.575757575757575246e+00,7.057560486653711962e+01
7.676767676767676463e+00,6.996293528350047097e+01
7.777777777777777679e+00,7.017215755792970810e+01
7.878787878787878896e+00,7.083630679955739140e+01
7.979797979797979224e+00,7.108225475273427207e+01
8.080808080808081328e+00,7.097722892968126018e+01
8.181818181818181657e+00,7.076575794951226328e+01
8.282828282828281985e+00,7.064293000910839737e+01
8.383838383838384090e+00,7.054155495189785086e+01
8.484848484848484418e+00,7.029983497585426733e+01
8.585858585858586522e+00,7.014992821798333011e+01
8.686868686868686851e+00,7.038247456740730001e+01
8.787878787878787179e+00,7.067392623628779802e+01
8.888888888888889284e+00,7.069059465679866605e+01
8.989898989898989612e+00,7.057685541599076373e+01
9.090909090909089940e+00,7.047773405232449306e+01
9.191919191919192045e+00,7.039538625802188676e+01
9.292929292929292373e+00,7.040704697234262710e+01
9.393939393939394478e+00,7.059885222017278750e+01
9.494949494949494806e+00,7.083324614395941410e+01
9.595959595959595134e+00,7.093351319839531754e+01
9.696969696969697239e+00,7.083079109143075414e+01
9.797979797979797567e+00,7.033371788479978193e+01
9.898989898989899672e+00,7.000326447494248328e+01
1.000000000000000000e+01,7.043774137304470173e+01
