time,linear_connectedness
0.000000000000000000e+00,6.696757361255041019e+01
1.010101010101010083e-01,6.563656326943288377e+01
2.020202020202020166e-01,6.741809788057665287e+01
3.030303030303030387e-01,6.697625292853152246e+01
4.040404040404040331e-01,6.443612695994144701e+01
5.050505050505050830e-01,6.514272365761556216e+01
6.060606060606060774e-01,6.486053769894459720e+01
7.070707070707070718e-01,6.598402119810830868e+01
8.080808080808080662e-01,6.620533528149812241e+01
9.090909090909090606e-01,6.573976488103973281e+01
1.010101010101010166e+00,6.563187238270920432e+01
1.111111111111111160e+00,6.640216387224191408e+01
1.212121212121212155e+00,6.479342332410200811e+01
1.313131313131313149e+00,6.322018225349722087e+01
1.414141414141414144e+00,6.461171302081854151e+01
1.515151515151515138e+00,6.425541177943468085e+01
1.616161616161616132e+00,6.622497926100527366e+01
1.717171717171717127e+00,6.676302735448207670e+01
1.818181818181818121e+00,6.681890228767460371e+01
1.919191919191919116e+00,6.753658717137525969e+01
2.020202020202020332e+00,6.634665918572865451e+01
2.121212121212121104e+00,6.566990686150312229e+01
2.222222222222222321e+00,6.517172711658228934e+01
2.323232323232323093e+00,6.623586038760758754e+01
2.424242424242424310e+00,6.689538121857594888e+01
2.525252525252525082e+00,6.565307564992944833e+01
2.626262626262626299e+00,6.370272313115892615e+01
2.727272727272727071e+00,6.467375124688709320e+01
2.828282828282828287e+00,6.605920745463707533e+01
2.929292929292929060e+00,6.667162087685161964e+01
3.030303030303030276e+00,6.529171612108447675e+01
3.131313131313131048e+00,6.487423687299256869e+01
3.232323232323232265e+00,6.613752584199963280e+01
3.333333333333333481e+00,6.759380655541065153e+01
3.434343434343434254e+00,6.506619398598463988e+01
3.535353535353535470e+00,6.320121277955146155e+01
3.636363636363636243e+00,6.467117442717396614e+01
3.737373737373737459e+00,6.543930058303149622e+01
3.838383838383838231e+00,6.751198016645783184e+01
3.939393939393939448e+00,6.856007280221777478e+01
4.040404040404040664e+00,6.920737501243235101e+01
4.141414141414140992e+00,6.714400101748793759e+01
4.242424242424242209e+00,6.397714312450501950e+01
4.343434343434343425e+00,6.441465710600340344e+01
4.444444444444444642e+00,6.389427081820737442e+01
4.545454545454544970e+00,6.577888667240488019e+01
4.646464646464646187e+00,6.751085649873307659e+01
4.747474747474747403e+00,6.542868320835863472e+01
4.848484848484848619e+00,6.491592097362013192e+01
4.949494949494949836e+00,6.622471589881425302e+01
5.050505050505050164e+00,6.677572834513567557e+01
5.151515151515151381e+00,6.492573005103412243e+01
5.252525252525252597e+00,6.513091402267559715e+01
5.353535353535353813e+00,6.470062763198845346e+01
5.454545454545454142e+00,6.794844202257436905e+01
5.555555555555555358e+00,6.820458986567216186e+01
5.656565656565656575e+00,6.507873392700861359e+01
5.757575757575757791e+00,6.517350094411655448e+01
5.858585858585858119e+00,6.501042084157228373e+01
5.959595959595959336e+00,6.630260046444733746e+01
6.060606060606060552e+00,6.863026021924856934e+01
6.161616161616161769e+00,6.885719119905002117e+01
6.262626262626262097e+00,6.710041763924462543e+01
6.363636363636363313e+00,6.654592224496221320e+01
6.464646464646464530e+00,6.408959705583313848e+01
6.565656565656565746e+00,6.351285056866110779e+01
6.666666666666666963e+00,6.364120753396453978e+01
6.767676767676767291e+00,6.506056953644839780e+01
6.868686868686868507e+00,6.662599727723656429e+01
6.969696969696969724e+00,6.661219381725126709e+01
7.070707070707070940e+00,6.834823548718073027e+01
7.171717171717171269e+00,6.792789873354674057e+01
7.272727272727272485e+00,6.620316223794191046e+01
7.373737373737373701e+00,6.482434733163218255e+01
7.474747474747474918e+00,6.486307359731294753e+01
7.575757575757575246e+00,6.690811207620164680e+01
7.676767676767676463e+00,6.958155188381984146e+01
7.777777777777777679e+00,6.860808782801589700e+01
7.878787878787878896e+00,6.456386406741602002e+01
7.979797979797979224e+00,6.603490111538081919e+01
8.080808080808081328e+00,6.465115158744357871e+01
8.181818181818181657e+00,6.828176053394766143e+01
8.282828282828281985e+00,6.750405858735257425e+01
8.383838383838384090e+00,6.642276801387484397e+01
8.484848484848484418e+00,6.673429050338658897e+01
8.585858585858586522e+00,6.718849748790987064e+01
8.686868686868686851e+00,6.558204164874027242e+01
8.787878787878787179e+00,6.355005296034672568e+01
8.888888888888889284e+00,6.432373411562863907e+01
8.989898989898989612e+00,6.472843460407304406e+01
9.090909090909089940e+00,6.763017189462584611e+01
9.191919191919192045e+00,6.913772483019408810e+01
9.292929292929292373e+00,7.036469902210134819e+01
9.393939393939394478e+00,6.915569324792889461e+01
9.494949494949494806e+00,6.542799320200423097e+01
9.595959595959595134e+00,6.641615942071121026e+01
9.696969696969697239e+00,6.339444709045228876e+01
9.797979797979797567e+00,6.687029066949649803e+01
9.898989898989899672e+00,7.037120549386396817e+01
1.000000000000000000e+01,6.710138400320280994e+01
