time,linear_potential
0.000000000000000000e+00,9.456054989163027358e+01
1.005025125628140753e-01,1.015218926104261641e+02
2.010050251256281506e-01,9.846445560416388787e+01
3.015075376884422398e-01,9.383417765907935859e+01
4.020100502512563012e-01,9.538911906718411160e+01
5.025125628140704181e-01,8.795046861681089467e+01
6.030150753768844796e-01,9.303917372141459907e+01
7.035175879396985410e-01,9.573051983637721207e+01
8.040201005025126024e-01,9.153180846996292530e+01
9.045226130653266639e-01,9.114665031037060317e+01
1.005025125628140836e+00,9.180939801130438127e+01
1.105527638190954898e+00,8.627027889940470118e+01
1.206030150753768959e+00,8.410992604356243874e+01
1.306532663316583021e+00,8.555392453188743218e+01
1.407035175879397082e+00,8.140994327867008451e+01
1.507537688442211143e+00,8.278203608875945463e+01
1.608040201005025205e+00,8.203947481353930016e+01
1.708542713567839266e+00,7.892047974051402548e+01
1.809045226130653328e+00,7.668566116319379944e+01
1.909547738693467389e+00,7.363562971799649404e+01
2.010050251256281673e+00,7.004473315435772918e+01
2.110552763819095734e+00,7.068246198997971419e+01
2.211055276381909795e+00,7.325905784787860853e+01
2.311557788944723857e+00,7.549740006233309941e+01
2.412060301507537918e+00,7.508637233298070157e+01
2.512562814070351980e+00,7.662859533920912725e+01
2.613065326633166041e+00,7.703725865645652959e+01
2.713567839195980103e+00,7.164483253914870886e+01
2.814070351758794164e+00,7.567567216079345371e+01
2.914572864321608225e+00,7.658647933619086245e+01
3.015075376884422287e+00,7.442592075467678114e+01
3.115577889447236348e+00,7.532138504844115801e+01
3.216080402010050410e+00,7.684149092205960585e+01
3.316582914572864471e+00,6.979197753012991257e+01
3.417085427135678533e+00,6.988619524136284156e+01
3.517587939698492594e+00,7.148831493447593743e+01
3.618090452261306655e+00,6.546040812611497017e+01
3.718592964824120717e+00,6.765146443780741947e+01
3.819095477386934778e+00,6.821198534667733782e+01
3.919597989949748840e+00,6.346654734451413304e+01
4.020100502512563345e+00,6.207222062490654935e+01
4.120603015075377407e+00,6.460892017863389469e+01
4.221105527638191468e+00,6.584328183969856241e+01
4.321608040201005529e+00,6.341766158296059075e+01
4.422110552763819591e+00,6.681250504647465505e+01
4.522613065326633652e+00,6.568158243735955182e+01
4.623115577889447714e+00,6.512825338850299772e+01
4.723618090452261775e+00,7.087553808294882174e+01
4.824120603015075837e+00,6.996327080786703334e+01
4.924623115577889898e+00,6.465684443104964885e+01
5.025125628140703959e+00,6.861587709607431407e+01
5.125628140703518021e+00,6.865683354237327762e+01
5.226130653266332082e+00,6.426566855232159980e+01
5.326633165829146144e+00,6.844245879751080963e+01
5.427135678391960205e+00,6.616751675032968194e+01
5.527638190954774267e+00,5.977566659132221361e+01
5.628140703517588328e+00,6.558191733743758789e+01
5.728643216080402389e+00,6.323344927812084393e+01
5.829145728643216451e+00,6.100055310157398480e+01
5.929648241206030512e+00,6.535095372795015578e+01
6.030150753768844574e+00,6.196761875662259200e+01
6.130653266331658635e+00,5.852555114855444174e+01
6.231155778894472697e+00,6.528768419889915720e+01
6.331658291457286758e+00,6.600168812536422536e+01
6.432160804020100819e+00,6.398313389900645376e+01
6.532663316582914881e+00,6.249899772086102701e+01
6.633165829145728942e+00,6.237121887444346413e+01
6.733668341708543004e+00,6.163016581129076599e+01
6.834170854271357065e+00,6.392402475156753638e+01
6.934673366834171127e+00,6.738229367426635008e+01
7.035175879396985188e+00,6.301586697718327201e+01
7.135678391959799249e+00,6.082308584325429734e+01
7.236180904522613311e+00,6.303300008345589589e+01
7.336683417085427372e+00,6.435436669491359396e+01
7.437185929648241434e+00,5.887765271519108978e+01
7.537688442211055495e+00,6.085204969791871576e+01
7.638190954773869557e+00,5.964460115193202228e+01
7.738693467336683618e+00,5.738612188544281167e+01
7.839195979899497679e+00,6.241620019914852691e+01
7.939698492462311741e+00,6.176150788603453634e+01
8.040201005025126690e+00,6.429330675368989034e+01
8.140703517587940752e+00,6.486621008633508723e+01
8.241206030150754813e+00,6.215061862161845596e+01
8.341708542713568875e+00,6.024642203905379745e+01
8.442211055276382936e+00,6.715779510589119639e+01
8.542713567839196998e+00,6.421651598414925388e+01
8.643216080402011059e+00,5.998441227930783270e+01
8.743718592964825120e+00,6.044771461588514683e+01
8.844221105527639182e+00,6.209402371088424388e+01
8.944723618090453243e+00,6.137935066030463105e+01
9.045226130653267305e+00,6.180643316235838114e+01
9.145728643216081366e+00,6.135562055570348150e+01
9.246231155778895427e+00,5.427972407150516432e+01
9.346733668341709489e+00,5.585085894538882911e+01
9.447236180904523550e+00,5.961670417751486184e+01
9.547738693467337612e+00,5.845832429112314088e+01
9.648241206030151673e+00,6.012079148793182526e+01
9.748743718592965735e+00,6.360956712072108132e+01
9.849246231155779796e+00,5.839804307400535066e+01
9.949748743718593857e+00,6.106163082525450392e+01
1.005025125628140792e+01,6.639553262036874060e+01
1.015075376884422198e+01,6.068978116337605400e+01
1.025125628140703604e+01,6.517006481125720541e+01
1.035175879396985010e+01,6.419192064017025245e+01
1.045226130653266416e+01,6.330827941739240572e+01
1.055276381909547823e+01,6.350905275423536267e+01
1.065326633165829229e+01,6.594390921120299254e+01
1.075376884422110635e+01,5.840780356361979386e+01
1.085427135678392041e+01,5.900751826292683688e+01
1.095477386934673447e+01,6.128787034361931063e+01
1.105527638190954853e+01,5.814169009471021354e+01
1.115577889447236259e+01,5.910983699342482822e+01
1.125628140703517666e+01,5.756163014762437058e+01
1.135678391959799072e+01,5.400129222289681508e+01
1.145728643216080478e+01,5.333470357790540817e+01
1.155778894472361884e+01,5.666894687833399757e+01
1.165829145728643290e+01,6.033365894502451710e+01
1.175879396984924696e+01,5.978577556337140919e+01
1.185929648241206102e+01,6.299460042852395247e+01
1.195979899497487509e+01,6.173341342639277940e+01
1.206030150753768915e+01,5.914068346192711800e+01
1.216080402010050321e+01,6.502157084819590693e+01
1.226130653266331727e+01,6.617731455412400976e+01
1.236180904522613133e+01,6.118200358885167844e+01
1.246231155778894539e+01,6.189842689966813793e+01
1.256281407035175945e+01,6.450095312062379094e+01
1.266331658291457352e+01,6.043978400872757817e+01
