time,potential
0.000000000000000000e+00,1.153599820677920320e+02
1.005025125628140753e-01,1.150700951463454516e+02
2.010050251256281506e-01,1.148516657672418688e+02
3.015075376884422398e-01,1.148257744895128667e+02
4.020100502512563012e-01,1.148571333722800318e+02
5.025125628140704181e-01,1.148314040629089163e+02
6.030150753768844796e-01,1.147595156535125085e+02
7.035175879396985410e-01,1.147832792587604018e+02
8.040201005025126024e-01,1.148175805381031296e+02
9.045226130653266639e-01,1.147601650470272432e+02
1.005025125628140836e+00,1.147491961620714278e+02
1.105527638190954898e+00,1.149244970567507949e+02
1.206030150753768959e+00,1.152327588696869469e+02
1.306532663316583021e+00,1.154335132432133548e+02
1.407035175879397082e+00,1.154494652824115377e+02
1.507537688442211143e+00,1.154115540423490245e+02
1.608040201005025205e+00,1.154273253324653865e+02
1.708542713567839266e+00,1.154711366203907659e+02
1.809045226130653328e+00,1.154928727488207016e+02
1.909547738693467389e+00,1.155203997953976653e+02
2.010050251256281673e+00,1.155937591794230457e+02
2.110552763819095734e+00,1.156583259088849331e+02
2.211055276381909795e+00,1.155737536615075243e+02
2.311557788944723857e+00,1.153186504068085441e+02
2.412060301507537918e+00,1.150827110550914938e+02
2.512562814070351980e+00,1.149946918054726979e+02
2.613065326633166041e+00,1.149960898012232633e+02
2.713567839195980103e+00,1.149406173612879485e+02
2.814070351758794164e+00,1.148477668970802483e+02
2.914572864321608225e+00,1.148384657954857460e+02
3.015075376884422287e+00,1.148322632187326917e+02
3.115577889447236348e+00,1.147532159252900499e+02
3.216080402010050410e+00,1.146677372402303234e+02
3.316582914572864471e+00,1.147773414514482511e+02
3.417085427135678533e+00,1.150398160022181173e+02
3.517587939698492594e+00,1.152185990631174377e+02
3.618090452261306655e+00,1.152441177622607995e+02
3.718592964824120717e+00,1.152324089380656602e+02
3.819095477386934778e+00,1.152979322189154061e+02
3.919597989949748840e+00,1.153760337671761960e+02
4.020100502512563345e+00,1.154070669140455294e+02
4.120603015075377407e+00,1.154599745483043876e+02
4.221105527638191468e+00,1.155916290740422312e+02
4.321608040201005529e+00,1.157262673532240740e+02
4.422110552763819591e+00,1.157072122193269763e+02
4.522613065326633652e+00,1.155013933286257668e+02
4.623115577889447714e+00,1.152707533064109384e+02
4.723618090452261775e+00,1.151643091569830801e+02
4.824120603015075837e+00,1.151414658677573755e+02
4.924623115577889898e+00,1.150708956746103553e+02
5.025125628140703959e+00,1.149772023108681935e+02
5.125628140703518021e+00,1.149394071436701523e+02
5.226130653266332082e+00,1.149324626200617843e+02
5.326633165829146144e+00,1.148265274279054040e+02
5.427135678391960205e+00,1.146718364142888760e+02
5.527638190954774267e+00,1.147052861756870641e+02
5.628140703517588328e+00,1.148897297053279374e+02
5.728643216080402389e+00,1.150524691668631618e+02
5.829145728643216451e+00,1.150742742407443586e+02
