time,potential_global
0.000000000000000000e+00,2.104614080211790963e+02
1.010101010101010083e-01,2.098318414740188018e+02
2.020202020202020166e-01,2.089049492358578277e+02
3.030303030303030387e-01,2.087205372922865365e+02
4.040404040404040331e-01,2.093444751055731672e+02
5.050505050505050830e-01,2.096126514489423300e+02
6.060606060606060774e-01,2.095424455981180643e+02
7.070707070707070718e-01,2.094998485144905942e+02
8.080808080808080662e-01,2.095390762434827252e+02
9.090909090909090606e-01,2.096622783311406977e+02
1.010101010101010166e+00,2.095581347861356960e+02
1.111111111111111160e+00,2.093565904395552479e+02
1.212121212121212155e+00,2.095228156106734048e+02
1.313131313131313149e+00,2.097598810615590423e+02
1.414141414141414144e+00,2.096518064065318185e+02
1.515151515151515138e+00,2.095241103698608924e+02
1.616161616161616132e+00,2.094478383894779370e+02
1.717171717171717127e+00,2.093716149928085883e+02
1.818181818181818121e+00,2.095156238212801725e+02
1.919191919191919116e+00,2.099119982711336547e+02
2.020202020202020332e+00,2.103321160275547754e+02
2.121212121212121104e+00,2.105370010496524742e+02
2.222222222222222321e+00,2.103129720819524948e+02
2.323232323232323093e+00,2.095192847574583368e+02
2.424242424242424310e+00,2.087420281639043367e+02
2.525252525252525082e+00,2.089037790924795956e+02
2.626262626262626299e+00,2.094965675313621603e+02
2.727272727272727071e+00,2.096152037659657026e+02
2.828282828282828287e+00,2.095549968678370760e+02
2.929292929292929060e+00,2.096669427997919115e+02
3.030303030303030276e+00,2.098899098003406607e+02
3.131313131313131048e+00,2.098001469511576147e+02
3.232323232323232265e+00,2.092003104029652718e+02
3.333333333333333481e+00,2.088348252661928370e+02
3.434343434343434254e+00,2.093091440827150791e+02
3.535353535353535470e+00,2.097748020010253924e+02
3.636363636363636243e+00,2.097969740129998968e+02
3.737373737373737459e+00,2.097315613542107542e+02
3.838383838383838231e+00,2.095722355260483027e+02
3.939393939393939448e+00,2.094824375719442742e+02
4.040404040404040664e+00,2.096381907180800965e+02
4.141414141414140992e+00,2.099123348487174496e+02
4.242424242424242209e+00,2.101512495044294155e+02
4.343434343434343425e+00,2.102593831405611127e+02
4.444444444444444642e+00,2.099955013385846314e+02
4.545454545454544970e+00,2.093093261963418286e+02
4.646464646464646187e+00,2.089056465219683787e+02
4.747474747474747403e+00,2.092154130856829113e+02
4.848484848484848619e+00,2.095732403986119152e+02
4.949494949494949836e+00,2.096075245732395445e+02
5.050505050505050164e+00,2.096786518905070977e+02
5.151515151515151381e+00,2.099555343481281398e+02
5.252525252525252597e+00,2.101199656026941511e+02
5.353535353535353813e+00,2.096824397652603125e+02
5.454545454545454142e+00,2.087663526244703291e+02
5.555555555555555358e+00,2.086216073213145421e+02
5.656565656565656575e+00,2.094585356105510243e+02
5.757575757575757791e+00,2.099701621469305337e+02
5.858585858585858119e+00,2.099525522353605140e+02
5.959595959595959336e+00,2.097742108902473603e+02
6.060606060606060552e+00,2.095981158670441573e+02
6.161616161616161769e+00,2.095735281055921462e+02
6.262626262626262097e+00,2.095873788751399047e+02
6.363636363636363313e+00,2.095875625785062368e+02
6.464646464646464530e+00,2.097532237623723006e+02
6.565656565656565746e+00,2.099734735574089655e+02
6.666666666666666963e+00,2.098309270317249400e+02
6.767676767676767291e+00,2.094293317533936261e+02
6.868686868686868507e+00,2.093086102906514157e+02
6.969696969696969724e+00,2.094796778368210539e+02
7.070707070707070940e+00,2.095850779955849248e+02
7.171717171717171269e+00,2.096522191494899232e+02
7.272727272727272485e+00,2.098693301591755187e+02
7.373737373737373701e+00,2.101209249323545123e+02
7.474747474747474918e+00,2.100900460740766107e+02
7.575757575757575246e+00,2.093843814994966124e+02
7.676767676767676463e+00,2.085055053773134546e+02
7.777777777777777679e+00,2.087888472264193638e+02
7.878787878787878896e+00,2.097331488614333352e+02
7.979797979797979224e+00,2.100755153400040456e+02
8.080808080808081328e+00,2.099043244195609930e+02
8.181818181818181657e+00,2.096738046883577056e+02
8.282828282828281985e+00,2.096288285574843258e+02
8.383838383838384090e+00,2.095941024654198088e+02
8.484848484848484418e+00,2.093044321455888621e+02
8.585858585858586522e+00,2.091251022154717418e+02
8.686868686868686851e+00,2.095040395369545365e+02
8.787878787878787179e+00,2.099631462675889111e+02
8.888888888888889284e+00,2.099882353759854823e+02
8.989898989898989612e+00,2.098080961056354568e+02
9.090909090909089940e+00,2.096795768262538786e+02
9.191919191919192045e+00,2.095833958334916076e+02
9.292929292929292373e+00,2.095605289547656014e+02
9.393939393939394478e+00,2.097098604890733213e+02
9.494949494949494806e+00,2.099213708503587270e+02
9.595959595959595134e+00,2.100299101708464491e+02
9.696969696969697239e+00,2.098683984033100671e+02
9.797979797979797567e+00,2.091256863296800930e+02
9.898989898989899672e+00,2.086002436663387130e+02
1.000000000000000000e+01,2.091624771191009984e+02
