time,R_energy_linear
0.000000000000000000e+00,-8.143605322439032898e+04
1.005025125628140753e-01,-1.105661225208624091e+05
2.010050251256281506e-01,-1.281814709020345181e+05
3.015075376884422398e-01,-1.320199206153497798e+05
4.020100502512563012e-01,-1.324678206245430629e+05
5.025125628140704181e-01,-1.325646988726091513e+05
6.030150753768844796e-01,-1.329810087758113223e+05
7.035175879396985410e-01,-1.337629252031543583e+05
8.040201005025126024e-01,-1.348183980066379008e+05
9.045226130653266639e-01,-1.360286349955991027e+05
1.005025125628140836e+00,-1.372738472057668550e+05
1.105527638190954898e+00,-1.384380344617202645e+05
1.206030150753768959e+00,-1.394178873883160413e+05
1.306532663316583021e+00,-1.401472328491281078e+05
1.407035175879397082e+00,-1.406004495117616898e+05
1.507537688442211143e+00,-1.407864704881160578e+05
1.608040201005025205e+00,-1.407765605194836098e+05
1.708542713567839266e+00,-1.407152775155604468e+05
1.809045226130653328e+00,-1.407297992277754238e+05
1.909547738693467389e+00,-1.408343226598834735e+05
2.010050251256281673e+00,-1.409536049452248262e+05
2.110552763819095734e+00,-1.410015973469322198e+05
2.211055276381909795e+00,-1.409413695868397481e+05
2.311557788944723857e+00,-1.408197832307016943e+05
2.412060301507537918e+00,-1.407372531324683514e+05
2.512562814070351980e+00,-1.407526431727325835e+05
2.613065326633166041e+00,-1.408344701777926821e+05
2.713567839195980103e+00,-1.409013731820115354e+05
2.814070351758794164e+00,-1.408877599290937360e+05
2.914572864321608225e+00,-1.408062997779190191e+05
3.015075376884422287e+00,-1.407935729107581719e+05
3.115577889447236348e+00,-1.410823122319934191e+05
3.216080402010050410e+00,-1.419078141991093580e+05
3.316582914572864471e+00,-1.434346223055986047e+05
3.417085427135678533e+00,-1.457145663330481329e+05
3.517587939698492594e+00,-1.486375016105023387e+05
3.618090452261306655e+00,-1.519101096917196410e+05
3.718592964824120717e+00,-1.551312854000774096e+05
3.819095477386934778e+00,-1.579418232707738644e+05
3.919597989949748840e+00,-1.601394509547352209e+05
4.020100502512563345e+00,-1.616911863130752463e+05
4.120603015075377407e+00,-1.626782557950437767e+05
4.221105527638191468e+00,-1.632448878062063304e+05
4.321608040201005529e+00,-1.635637938235819165e+05
4.422110552763819591e+00,-1.637842181675979809e+05
4.522613065326633652e+00,-1.639785110978073499e+05
4.623115577889447714e+00,-1.641404607739685453e+05
4.723618090452261775e+00,-1.642324389738477475e+05
