time,R_energy_linear_jacobian
0.000000000000000000e+00,-1.231094712969632155e+03
1.005025125628140753e-01,-1.251077266861741919e+03
2.010050251256281506e-01,-1.261660090909057772e+03
3.015075376884422398e-01,-1.270480777318975242e+03
4.020100502512563012e-01,-1.279291702505852982e+03
5.025125628140704181e-01,-1.287313958132020616e+03
6.030150753768844796e-01,-1.294012454962531592e+03
7.035175879396985410e-01,-1.299559231157202476e+03
8.040201005025126024e-01,-1.304358321628330032e+03
9.045226130653266639e-01,-1.308501501364173464e+03
1.005025125628140836e+00,-1.311664649492324770e+03
1.105527638190954898e+00,-1.313455125968288257e+03
1.206030150753768959e+00,-1.313829002580039287e+03
1.306532663316583021e+00,-1.313248822906148462e+03
1.407035175879397082e+00,-1.312489696657245531e+03
1.507537688442211143e+00,-1.312182209647729906e+03
1.608040201005025205e+00,-1.312402128247735845e+03
1.708542713567839266e+00,-1.312683081017076574e+03
1.809045226130653328e+00,-1.312472182922205320e+03
1.909547738693467389e+00,-1.311633654669704129e+03
2.010050251256281673e+00,-1.310617174960104649e+03
2.110552763819095734e+00,-1.310217740252227259e+03
2.211055276381909795e+00,-1.311140095045759381e+03
2.311557788944723857e+00,-1.313725754962528072e+03
2.412060301507537918e+00,-1.318065784544078952e+03
2.512562814070351980e+00,-1.324338025514331093e+03
2.613065326633166041e+00,-1.332988697290966002e+03
2.713567839195980103e+00,-1.344556065047783022e+03
2.814070351758794164e+00,-1.359257731558057230e+03
2.914572864321608225e+00,-1.376659931789719167e+03
3.015075376884422287e+00,-1.395703664713590115e+03
3.115577889447236348e+00,-1.415082576445921632e+03
3.216080402010050410e+00,-1.433688479046813882e+03
3.316582914572864471e+00,-1.450826801289838386e+03
3.417085427135678533e+00,-1.466122544190502822e+03
3.517587939698492594e+00,-1.479279358484099703e+03
3.618090452261306655e+00,-1.489957158857967897e+03
3.718592964824120717e+00,-1.497902547473561071e+03
3.819095477386934778e+00,-1.503197080072456174e+03
3.919597989949748840e+00,-1.506364961701712446e+03
4.020100502512563345e+00,-1.508211417224617207e+03
4.120603015075377407e+00,-1.509478209157542324e+03
4.221105527638191468e+00,-1.510548476118912504e+03
4.321608040201005529e+00,-1.511423551609355854e+03
4.422110552763819591e+00,-1.511995277743635370e+03
4.522613065326633652e+00,-1.512404074187898686e+03
4.623115577889447714e+00,-1.513229394709165263e+03
4.723618090452261775e+00,-1.515419590358198548e+03
4.824120603015075837e+00,-1.520070004727270316e+03
4.924623115577889898e+00,-1.528244710442819496e+03
5.025125628140703959e+00,-1.540935645079698816e+03
5.125628140703518021e+00,-1.559054661044856402e+03
5.226130653266332082e+00,-1.583288786838146507e+03
5.326633165829146144e+00,-1.613806144474502844e+03
5.427135678391960205e+00,-1.649994707620436657e+03
5.527638190954774267e+00,-1.690436360159602827e+03
5.628140703517588328e+00,-1.733158595584054638e+03
5.728643216080402389e+00,-1.776024263651325100e+03
5.829145728643216451e+00,-1.817063158298541794e+03
5.929648241206030512e+00,-1.854638970478425108e+03
6.030150753768844574e+00,-1.887492025737149106e+03
6.130653266331658635e+00,-1.914780184240520839e+03
6.231155778894472697e+00,-1.936183394959314001e+03
6.331658291457286758e+00,-1.951999309209259991e+03
6.432160804020100819e+00,-1.963097994330079246e+03
6.532663316582914881e+00,-1.970689462423314581e+03
6.633165829145728942e+00,-1.975988027211291183e+03
6.733668341708543004e+00,-1.979932680410327066e+03
6.834170854271357065e+00,-1.983116070757096395e+03
6.934673366834171127e+00,-1.985971483267363737e+03
7.035175879396985188e+00,-1.989113220776110666e+03
7.135678391959799249e+00,-1.993643371234321421e+03
7.236180904522613311e+00,-2.001285467627596972e+03
7.336683417085427372e+00,-2.014316309305726691e+03
7.437185929648241434e+00,-2.035343469077778082e+03
7.537688442211055495e+00,-2.066971331912117421e+03
7.638190954773869557e+00,-2.111355767437888971e+03
7.738693467336683618e+00,-2.169679062959662133e+03
7.839195979899497679e+00,-2.241704410093808747e+03
7.939698492462311741e+00,-2.325626573438878495e+03
8.040201005025126690e+00,-2.418296188059087854e+03
8.140703517587940752e+00,-2.515688048961223558e+03
8.241206030150754813e+00,-2.613414104091547870e+03
8.341708542713568875e+00,-2.707169110861887930e+03
8.442211055276382936e+00,-2.793115769670451755e+03
8.542713567839196998e+00,-2.868263354688368509e+03
8.643216080402011059e+00,-2.930831761188029304e+03
8.743718592964825120e+00,-2.980472547943900736e+03
8.844221105527639182e+00,-3.018188932140173620e+03
8.944723618090453243e+00,-3.045940426351301539e+03
9.045226130653267305e+00,-3.066099849661785811e+03
9.145728643216081366e+00,-3.080975032277558512e+03
9.246231155778895427e+00,-3.092539856944302301e+03
9.346733668341709489e+00,-3.102452206129265505e+03
9.447236180904523550e+00,-3.112365886390668493e+03
9.547738693467337612e+00,-3.124440148019966273e+03
9.648241206030151673e+00,-3.141861517791405731e+03
9.748743718592965735e+00,-3.169160010095503822e+03
9.849246231155779796e+00,-3.212123511627280550e+03
9.949748743718593857e+00,-3.277190332242981640e+03
1.005025125628140792e+01,-3.370337811213250006e+03
1.015075376884422198e+01,-3.495691923267230777e+03
1.025125628140703604e+01,-3.654308944118375166e+03
1.035175879396985010e+01,-3.843627964275202885e+03
1.045226130653266416e+01,-4.057782101165087624e+03
1.055276381909547823e+01,-4.288487938280505659e+03
1.065326633165829229e+01,-4.526058605403543879e+03
1.075376884422110635e+01,-4.760312763833315330e+03
1.085427135678392041e+01,-4.981455550637540910e+03
1.095477386934673447e+01,-5.181086109665716322e+03
1.105527638190954853e+01,-5.353284951662030835e+03
1.115577889447236259e+01,-5.495423621947897118e+03
1.125628140703517666e+01,-5.608250446203913270e+03
1.135678391959799072e+01,-5.695147389587982616e+03
1.145728643216080478e+01,-5.760954149322871672e+03
1.155778894472361884e+01,-5.810912269638431098e+03
1.165829145728643290e+01,-5.850038241769797423e+03
1.175879396984924696e+01,-5.882987515481116134e+03
1.185929648241206102e+01,-5.914415378301420787e+03
1.195979899497487509e+01,-5.949809434470307679e+03
1.206030150753768915e+01,-5.996616858881933695e+03
1.216080402010050321e+01,-6.065256187752707774e+03
1.226130653266331727e+01,-6.169418005755584090e+03
1.236180904522613133e+01,-6.325085466223362346e+03
