time,R_loc
0.000000000000000000e+00,-3.937388927827891294e+00
1.005025125628140753e-01,-2.662041825122829053e+00
2.010050251256281506e-01,-9.754858944902179418e-01
3.015075376884422398e-01,-5.156527458369241090e-01
4.020100502512563012e-01,-8.039912372526103468e-01
5.025125628140704181e-01,-1.217610257342460756e+00
6.030150753768844796e-01,-1.458483352534400979e+00
7.035175879396985410e-01,-1.446803529203677385e+00
8.040201005025126024e-01,-1.230743279512225286e+00
9.045226130653266639e-01,-9.232327875530188521e-01
1.005025125628140836e+00,-9.500080435643959431e-01
1.105527638190954898e+00,-1.514521173394054898e+00
1.206030150753768959e+00,-1.590070761322103898e+00
1.306532663316583021e+00,-9.621179732515292571e-01
1.407035175879397082e+00,-4.171010650024430388e-01
1.507537688442211143e+00,-2.930170033494290949e-01
1.608040201005025205e+00,-5.065939463200219706e-01
1.708542713567839266e+00,-8.634894064774023548e-01
1.809045226130653328e+00,-1.227186120333900732e+00
1.909547738693467389e+00,-1.477028060192786540e+00
2.010050251256281673e+00,-1.535795710938536729e+00
2.110552763819095734e+00,-1.401315278815040699e+00
2.211055276381909795e+00,-1.135750202996277380e+00
2.311557788944723857e+00,-8.297402104284756774e-01
2.412060301507537918e+00,-5.580391614357083085e-01
2.512562814070351980e+00,-3.542237039799722709e-01
2.613065326633166041e+00,-2.169870538526463832e-01
2.713567839195980103e+00,-2.389675489030896605e-01
2.814070351758794164e+00,-2.169878774438416258e-01
2.914572864321608225e+00,-4.179985929053664506e-01
3.015075376884422287e+00,-6.998042209049870621e-01
3.115577889447236348e+00,-1.002177674291893084e+00
3.216080402010050410e+00,-1.232320428812272439e+00
3.316582914572864471e+00,-1.317466550299073447e+00
3.417085427135678533e+00,-1.240558189063989403e+00
3.517587939698492594e+00,-1.041103926402442426e+00
3.618090452261306655e+00,-7.896130471696238828e-01
3.718592964824120717e+00,-5.515083751905791587e-01
3.819095477386934778e+00,-3.627307206821583918e-01
3.919597989949748840e+00,-2.294264556113034814e-01
4.020100502512563345e+00,-1.630960544169950954e-01
4.120603015075377407e+00,-2.246414346207536994e-01
4.221105527638191468e+00,-4.064534275816100717e-01
4.321608040201005529e+00,-6.499277371840861406e-01
4.422110552763819591e+00,-9.029423438944306213e-01
4.522613065326633652e+00,-1.090026786165765316e+00
4.623115577889447714e+00,-1.153445681634224229e+00
4.723618090452261775e+00,-1.081649110057369967e+00
4.824120603015075837e+00,-9.094073105675448687e-01
4.924623115577889898e+00,-6.953839959411567406e-01
5.025125628140703959e+00,-4.925632544061642193e-01
5.125628140703518021e+00,-3.299546645907369680e-01
5.226130653266332082e+00,-2.131036861419133288e-01
5.326633165829146144e+00,-1.420686484010502681e-01
5.427135678391960205e+00,-2.608578952845164167e-01
5.527638190954774267e+00,-4.400190852793528506e-01
5.628140703517588328e+00,-6.603708702090926863e-01
5.728643216080402389e+00,-8.698767381964955803e-01
5.829145728643216451e+00,-1.006032612327345532e+00
5.929648241206030512e+00,-1.029076730940658990e+00
6.030150753768844574e+00,-9.403133023333509755e-01
6.130653266331658635e+00,-7.766504235284799051e-01
6.231155778894472697e+00,-5.886132803389898527e-01
6.331658291457286758e+00,-4.169090932482077960e-01
6.432160804020100819e+00,-2.813736483808781941e-01
6.532663316582914881e+00,-1.841723918927229420e-01
6.633165829145728942e+00,-1.859097839562728893e-01
6.733668341708543004e+00,-3.186173455071994454e-01
6.834170854271357065e+00,-4.988716215681421318e-01
6.934673366834171127e+00,-6.966266621333261355e-01
7.035175879396985188e+00,-8.601408114650155312e-01
7.135678391959799249e+00,-9.409311663155506267e-01
7.236180904522613311e+00,-9.186030625052410414e-01
7.336683417085427372e+00,-8.083441596085094716e-01
7.437185929648241434e+00,-6.493144666386285735e-01
7.537688442211055495e+00,-4.837338218877107465e-01
7.638190954773869557e+00,-3.403572348403827164e-01
7.738693467336683618e+00,-2.302977826218466362e-01
7.839195979899497679e+00,-1.523110053636145267e-01
7.939698492462311741e+00,-2.466279087620648625e-01
8.040201005025126690e+00,-3.933920236232069101e-01
8.140703517587940752e+00,-5.695646976278112561e-01
8.241206030150754813e+00,-7.366325780466809192e-01
8.341708542713568875e+00,-8.479128554839121534e-01
8.442211055276382936e+00,-8.720743975842992768e-01
8.542713567839196998e+00,-8.078105553366299318e-01
8.643216080402011059e+00,-6.812538231315556914e-01
8.743718592964825120e+00,-5.303648187293674710e-01
8.844221105527639182e+00,-3.875328569158398295e-01
8.944723618090453243e+00,-2.704953421250877454e-01
9.045226130653267305e+00,-1.834003577894094406e-01
9.145728643216081366e+00,-2.022501324194792005e-01
9.246231155778895427e+00,-3.237266201772115437e-01
9.346733668341709489e+00,-4.782756426457979160e-01
9.447236180904523550e+00,-6.383829211920044600e-01
9.547738693467337612e+00,-7.631424185916557690e-01
9.648241206030151673e+00,-8.174050387665943163e-01
9.748743718592965735e+00,-7.890261617404803474e-01
9.849246231155779796e+00,-6.927026445779915775e-01
9.949748743718593857e+00,-5.598930377104238687e-01
1.005025125628140792e+01,-4.229723078452707341e-01
1.015075376884422198e+01,-3.037038385222956549e-01
1.025125628140703604e+01,-2.107555572283814627e-01
1.035175879396985010e+01,-1.738612471768874457e-01
1.045226130653266416e+01,-2.767421638516509574e-01
1.055276381909547823e+01,-4.126634722823041557e-01
1.065326633165829229e+01,-5.621472229933033304e-01
1.075376884422110635e+01,-6.907002916278770499e-01
1.085427135678392041e+01,-7.632774892130100852e-01
1.095477386934673447e+01,-7.613697068364899678e-01
1.105527638190954853e+01,-6.907786023191420099e-01
1.115577889447236259e+01,-5.762387225161091919e-01
1.125628140703517666e+01,-4.480742150647643030e-01
1.135678391959799072e+01,-3.299510495935464860e-01
1.145728643216080478e+01,-2.338912254984393257e-01
1.155778894472361884e+01,-1.621453309397224984e-01
1.165829145728643290e+01,-2.443679663066689045e-01
1.175879396984924696e+01,-3.651036664109597041e-01
1.185929648241206102e+01,-5.034617265309293543e-01
1.195979899497487509e+01,-6.306718933757338164e-01
1.206030150753768915e+01,-7.136271715779685110e-01
1.216080402010050321e+01,-7.305357723197403175e-01
1.226130653266331727e+01,-6.807561998556366234e-01
1.236180904522613133e+01,-5.830127935979589893e-01
1.246231155778894539e+01,-4.646848656975066660e-01
1.256281407035175945e+01,-3.498601666152012513e-01
1.266331658291457352e+01,-2.528048330674437238e-01
1.276381909547738758e+01,-1.780939418161153753e-01
1.286432160804020164e+01,-2.216628871565262671e-01
1.296482412060301570e+01,-3.302679099093097648e-01
1.306532663316582976e+01,-4.582978050393649028e-01
1.316582914572864382e+01,-5.816614869758041095e-01
1.326633165829145788e+01,-6.698462016174744349e-01
1.336683417085427195e+01,-6.997321762014507840e-01
1.346733668341708601e+01,-6.662460307893525169e-01
1.356783919597990007e+01,-5.831322305027697439e-01
1.366834170854271413e+01,-4.746225368279510803e-01
1.376884422110552819e+01,-3.643044408363493858e-01
1.386934673366834225e+01,-2.677782298121655913e-01
1.396984924623115631e+01,-1.914280272075075118e-01
1.407035175879397038e+01,-2.055518231180997191e-01
1.417085427135678444e+01,-3.045192169537358495e-01
1.427135678391959850e+01,-4.234469432873311234e-01
1.437185929648241256e+01,-5.419157709241062548e-01
1.447236180904522662e+01,-6.320678416216196638e-01
1.457286432160804068e+01,-6.706210058382566785e-01
1.467336683417085474e+01,-6.495941669015792286e-01
1.477386934673366881e+01,-5.787930064116153517e-01
1.487437185929648287e+01,-4.794680705799692078e-01
1.497487437185929693e+01,-3.741969951676082928e-01
1.507537688442211099e+01,-2.792312603361324364e-01
1.517587939698492505e+01,-2.022797929157604813e-01
1.527638190954773911e+01,-1.940748495243838079e-01
1.537688442211055317e+01,-2.853771761124335171e-01
1.547738693467336724e+01,-3.964753041429958103e-01
1.557788944723618130e+01,-5.097726258895818319e-01
1.567839195979899536e+01,-5.998626697589770629e-01
1.577889447236180942e+01,-6.439532178603712964e-01
1.587939698492462348e+01,-6.322609458209171862e-01
1.597989949748743754e+01,-5.715767308345220954e-01
1.608040201005025338e+01,-4.805064506285816606e-01
1.618090452261306567e+01,-3.803831276627533953e-01
1.628140703517588150e+01,-2.876270386309442983e-01
1.638190954773869379e+01,-2.108578041060127362e-01
1.648241206030150963e+01,-1.859498448553154049e-01
1.658291457286432191e+01,-2.711324427195904718e-01
1.668341708542713775e+01,-3.755681809991529008e-01
1.678391959798995003e+01,-4.838083071945220581e-01
1.688442211055276587e+01,-5.725956988555935823e-01
1.698492462311557816e+01,-6.199664319694875303e-01
1.708542713567839400e+01,-6.151159865908084612e-01
1.718592964824120628e+01,-5.625909338391466008e-01
1.728643216080402212e+01,-4.787425353924845695e-01
1.738693467336683440e+01,-3.835969408783057588e-01
1.748743718592965024e+01,-2.934194078818563867e-01
1.758793969849246253e+01,-2.174041604519061366e-01
1.768844221105527836e+01,-1.803161531199748424e-01
1.778894472361809065e+01,-2.605910864872384991e-01
1.788944723618090649e+01,-3.593789159594962257e-01
1.798994974874371877e+01,-4.628543521789652004e-01
1.809045226130653461e+01,-5.495970540891903511e-01
1.819095477386934689e+01,-5.986212343600527674e-01
1.829145728643216273e+01,-5.986456912410176301e-01
1.839195979899497502e+01,-5.525914090753758501e-01
1.849246231155779085e+01,-4.749405277948426374e-01
1.859296482412060314e+01,-3.844498408511753951e-01
1.869346733668341898e+01,-2.970226589127378247e-01
1.879396984924623126e+01,-2.221655854839355015e-01
1.889447236180904710e+01,-1.765821426857883125e-01
1.899497487437185939e+01,-2.529050107114017010e-01
1.909547738693467522e+01,-3.469029863367723010e-01
1.919597989949748751e+01,-4.459714268989500852e-01
1.929648241206030335e+01,-5.302371803850292054e-01
1.939698492462311563e+01,-5.797388951123139123e-01
1.949748743718593147e+01,-5.830922376048874867e-01
1.959798994974874375e+01,-5.420818212087397114e-01
1.969849246231155959e+01,-4.696715407703777601e-01
1.979899497487437188e+01,-3.834391932855396590e-01
1.989949748743718771e+01,-2.988019964789145888e-01
2.000000000000000000e+01,-2.253786526296153170e-01
