time,R_spec
0.000000000000000000e+00,2.396147103040925349e-05
1.005025125628140753e-01,2.848323678407143359e-05
2.010050251256281506e-01,5.143172150493572844e-05
3.015075376884422398e-01,1.170906370036754805e-04
4.020100502512563012e-01,2.432814413071493834e-04
5.025125628140704181e-01,4.555625824403386481e-04
6.030150753768844796e-01,7.596046383948479308e-04
7.035175879396985410e-01,1.112170813528580438e-03
8.040201005025126024e-01,1.358244062783064976e-03
9.045226130653266639e-01,1.402049537448227245e-03
1.005025125628140836e+00,1.258579456345487561e-03
1.105527638190954898e+00,1.000626959584796942e-03
1.206030150753768959e+00,7.153687461464441899e-04
1.306532663316583021e+00,4.718274039919451157e-04
1.407035175879397082e+00,3.100701203980690823e-04
1.507537688442211143e+00,2.400397094651923746e-04
1.608040201005025205e+00,2.504929973871430904e-04
1.708542713567839266e+00,3.407248524766523512e-04
1.809045226130653328e+00,5.114500197854476848e-04
1.909547738693467389e+00,7.656308390628502325e-04
2.010050251256281673e+00,1.085958084759596192e-03
2.110552763819095734e+00,1.412200197903263395e-03
2.211055276381909795e+00,1.578098077538386736e-03
2.311557788944723857e+00,1.526938122781817953e-03
2.412060301507537918e+00,1.302869736757530754e-03
2.512562814070351980e+00,1.002323150409421305e-03
2.613065326633166041e+00,7.214963798585368425e-04
2.713567839195980103e+00,5.313132220738025439e-04
2.814070351758794164e+00,4.641009554978140677e-04
2.914572864321608225e+00,5.281470784124226835e-04
3.015075376884422287e+00,7.226093362774676024e-04
3.115577889447236348e+00,1.047244118422946705e-03
3.216080402010050410e+00,1.496144225099582670e-03
3.316582914572864471e+00,2.033802926642062914e-03
3.417085427135678533e+00,2.559150495094628108e-03
3.517587939698492594e+00,2.828147524824978221e-03
3.618090452261306655e+00,2.775140068930771406e-03
3.718592964824120717e+00,2.414763729510934192e-03
3.819095477386934778e+00,1.906647409951091332e-03
3.919597989949748840e+00,1.401349984832399309e-03
4.020100502512563345e+00,1.014711013633991243e-03
4.120603015075377407e+00,7.871227963918911441e-04
4.221105527638191468e+00,7.485777071313259867e-04
4.321608040201005529e+00,8.822609632250302814e-04
4.422110552763819591e+00,1.164453178601469741e-03
4.522613065326633652e+00,1.573076431084917404e-03
4.623115577889447714e+00,2.060504189930936758e-03
4.723618090452261775e+00,2.487396215803454325e-03
4.824120603015075837e+00,2.702062378403009748e-03
4.924623115577889898e+00,2.640454051177821074e-03
5.025125628140703959e+00,2.317918781407549318e-03
5.125628140703518021e+00,1.881553055248449697e-03
5.226130653266332082e+00,1.480359997308868837e-03
5.326633165829146144e+00,1.220718141846580465e-03
5.427135678391960205e+00,1.170872461345958283e-03
5.527638190954774267e+00,1.358292468185697769e-03
5.628140703517588328e+00,1.760165950585337175e-03
5.728643216080402389e+00,2.328035875271709711e-03
5.829145728643216451e+00,3.015200321255739890e-03
5.929648241206030512e+00,3.693277314653770071e-03
6.030150753768844574e+00,4.157771842129079354e-03
6.130653266331658635e+00,4.278417925749419468e-03
6.231155778894472697e+00,4.016284393385294998e-03
6.331658291457286758e+00,3.448973478083750682e-03
6.432160804020100819e+00,2.768360134424392716e-03
6.532663316582914881e+00,2.147995843022089402e-03
6.633165829145728942e+00,1.715262825210117636e-03
6.733668341708543004e+00,1.548957034828483958e-03
6.834170854271357065e+00,1.652327751887297524e-03
6.934673366834171127e+00,1.987132980006835192e-03
7.035175879396985188e+00,2.489832006461661917e-03
7.135678391959799249e+00,3.074796231116577565e-03
7.236180904522613311e+00,3.601824044806397306e-03
7.336683417085427372e+00,3.921140727957073135e-03
7.437185929648241434e+00,3.929893119314182941e-03
7.537688442211055495e+00,3.632468614030400986e-03
7.638190954773869557e+00,3.142057926033565117e-03
7.738693467336683618e+00,2.633070324438690699e-03
7.839195979899497679e+00,2.278259185496862155e-03
7.939698492462311741e+00,2.193902332305603352e-03
8.040201005025126690e+00,2.412050578769044627e-03
8.140703517587940752e+00,2.890968460104937493e-03
8.241206030150754813e+00,3.545191408843353757e-03
8.341708542713568875e+00,4.262125843007545135e-03
8.442211055276382936e+00,4.901878107567821108e-03
8.542713567839196998e+00,5.312487818283622570e-03
8.643216080402011059e+00,5.379698753001127196e-03
8.743718592964825120e+00,5.080681436618723901e-03
8.844221105527639182e+00,4.497234756643760795e-03
8.944723618090453243e+00,3.784647813967815383e-03
9.045226130653267305e+00,3.122583687331884073e-03
9.145728643216081366e+00,2.664715194957516936e-03
9.246231155778895427e+00,2.497367348818162192e-03
9.346733668341709489e+00,2.626741679106404936e-03
9.447236180904523550e+00,2.999491841032292383e-03
9.547738693467337612e+00,3.529253501644399188e-03
9.648241206030151673e+00,4.104731398054237493e-03
9.748743718592965735e+00,4.591629990771574008e-03
9.849246231155779796e+00,4.858342161131009446e-03
9.949748743718593857e+00,4.827576810114637788e-03
1.005025125628140792e+01,4.518256208434628940e-03
1.015075376884422198e+01,4.045488868254090015e-03
1.025125628140703604e+01,3.580384245635903802e-03
1.035175879396985010e+01,3.288536269090763450e-03
1.045226130653266416e+01,3.268499479347842032e-03
1.055276381909547823e+01,3.521895093783816363e-03
1.065326633165829229e+01,3.974121634215078622e-03
1.075376884422110635e+01,4.518621602983620075e-03
1.085427135678392041e+01,5.043783515498625157e-03
