time,Rspec_hyper
0.000000000000000000e+00,1.185533999729523565e-04
1.005025125628140753e-01,1.870901489245135624e-04
2.010050251256281506e-01,3.420472863303270156e-04
3.015075376884422398e-01,6.039563336883975540e-04
4.020100502512563012e-01,9.134380034959389220e-04
5.025125628140704181e-01,1.167831460682977694e-03
6.030150753768844796e-01,1.295408868085772599e-03
7.035175879396985410e-01,1.283489094442420535e-03
8.040201005025126024e-01,1.160133650532611327e-03
9.045226130653266639e-01,9.729307630235316164e-04
1.005025125628140836e+00,7.726535318629380129e-04
1.105527638190954898e+00,5.991226747129583564e-04
1.206030150753768959e+00,4.762782390124628258e-04
1.306532663316583021e+00,4.189448163783930884e-04
1.407035175879397082e+00,4.414513564700280686e-04
1.507537688442211143e+00,5.547343669197782844e-04
1.608040201005025205e+00,7.482879551236778885e-04
1.708542713567839266e+00,9.769764135257557984e-04
1.809045226130653328e+00,1.177561853653957130e-03
1.909547738693467389e+00,1.300419496713003768e-03
2.010050251256281673e+00,1.324151378170791314e-03
2.110552763819095734e+00,1.252114348362817677e-03
2.211055276381909795e+00,1.106507093714948842e-03
2.311557788944723857e+00,9.232735452822792444e-04
2.412060301507537918e+00,7.426534904689005394e-04
2.512562814070351980e+00,5.979491703404008190e-04
2.613065326633166041e+00,5.114802006785303546e-04
2.713567839195980103e+00,4.980354218001940272e-04
2.814070351758794164e+00,5.656201163197003678e-04
2.914572864321608225e+00,7.064724904984739581e-04
3.015075376884422287e+00,8.874131432245262966e-04
3.115577889447236348e+00,1.057178658762261518e-03
3.216080402010050410e+00,1.169030947193699932e-03
3.316582914572864471e+00,1.197799309506459350e-03
3.417085427135678533e+00,1.142497882077060612e-03
3.517587939698492594e+00,1.021642906445371143e-03
3.618090452261306655e+00,8.663984755107713778e-04
3.718592964824120717e+00,7.113904040083329772e-04
3.819095477386934778e+00,5.857806635663887320e-04
3.919597989949748840e+00,5.097644243290443480e-04
4.020100502512563345e+00,4.961166907361243359e-04
4.120603015075377407e+00,5.500185035167174611e-04
4.221105527638191468e+00,6.630278719141329685e-04
4.321608040201005529e+00,8.077575624434428243e-04
4.422110552763819591e+00,9.441922109153428645e-04
4.522613065326633652e+00,1.035712182595722444e-03
4.623115577889447714e+00,1.061475040219735187e-03
4.723618090452261775e+00,1.019277965101119971e-03
4.824120603015075837e+00,9.229854196278544642e-04
4.924623115577889898e+00,7.976414558999932961e-04
5.025125628140703959e+00,6.723076644952212435e-04
5.125628140703518021e+00,5.727952199605639439e-04
5.226130653266332082e+00,5.180407973103533670e-04
5.326633165829146144e+00,5.195974802027260048e-04
5.427135678391960205e+00,5.794938548131895687e-04
5.527638190954774267e+00,6.850504047143217163e-04
5.628140703517588328e+00,8.072895226518298981e-04
5.728643216080402389e+00,9.097278057260528659e-04
5.829145728643216451e+00,9.630013499606771953e-04
5.929648241206030512e+00,9.546312160443729856e-04
6.030150753768844574e+00,8.901063557402018279e-04
6.130653266331658635e+00,7.882272986905905585e-04
6.231155778894472697e+00,6.739441890206820246e-04
6.331658291457286758e+00,5.712296338421623794e-04
6.432160804020100819e+00,4.986772642720312294e-04
6.532663316582914881e+00,4.685309012146202795e-04
6.633165829145728942e+00,4.864564802639934158e-04
6.733668341708543004e+00,5.491379542565853148e-04
6.834170854271357065e+00,6.412924707976514187e-04
6.934673366834171127e+00,7.375932490616893874e-04
7.035175879396985188e+00,8.111797280231606167e-04
7.135678391959799249e+00,8.431147825681162711e-04
7.236180904522613311e+00,8.271534671459843981e-04
7.336683417085427372e+00,7.696154167912386442e-04
7.437185929648241434e+00,6.863290605478957526e-04
7.537688442211055495e+00,5.977515441845258817e-04
7.638190954773869557e+00,5.236938024170357999e-04
7.738693467336683618e+00,4.797007068422083588e-04
7.839195979899497679e+00,4.753026745918806579e-04
7.939698492462311741e+00,5.120752700235756214e-04
8.040201005025126690e+00,5.808028580528382546e-04
8.140703517587940752e+00,6.611420804393203319e-04
8.241206030150754813e+00,7.275287305312640260e-04
8.341708542713568875e+00,7.591280414278775944e-04
8.442211055276382936e+00,7.472581450379382501e-04
8.542713567839196998e+00,6.965791700565998916e-04
8.643216080402011059e+00,6.212522776097384545e-04
8.743718592964825120e+00,5.391559852920258487e-04
8.844221105527639182e+00,4.668914410549889578e-04
8.944723618090453243e+00,4.170932572585704570e-04
9.045226130653267305e+00,3.977248477324779813e-04
9.145728643216081366e+00,4.115794781032204499e-04
9.246231155778895427e+00,4.547951306831264553e-04
9.346733668341709489e+00,5.157643169675901317e-04
9.447236180904523550e+00,5.772383489104672416e-04
9.547738693467337612e+00,6.218758833381582939e-04
9.648241206030151673e+00,6.379598146225031428e-04
9.748743718592965735e+00,6.223153198669350433e-04
9.849246231155779796e+00,5.801611730557722311e-04
9.949748743718593857e+00,5.228590724366609203e-04
1.005025125628140792e+01,4.644710676947066573e-04
1.015075376884422198e+01,4.182825923170666689e-04
1.025125628140703604e+01,3.943380853082661388e-04
1.035175879396985010e+01,3.978272324575018266e-04
1.045226130653266416e+01,4.273992003602159048e-04
1.055276381909547823e+01,4.738528758444561810e-04
1.065326633165829229e+01,5.215507945776809602e-04
1.075376884422110635e+01,5.537715966272502028e-04
1.085427135678392041e+01,5.593516745450227354e-04
1.095477386934673447e+01,5.363870877554783798e-04
1.105527638190954853e+01,4.913822971473702462e-04
1.115577889447236259e+01,4.355004894071439489e-04
1.125628140703517666e+01,3.805437530911941202e-04
1.135678391959799072e+01,3.363367427233738107e-04
1.145728643216080478e+01,3.097155606583691895e-04
1.155778894472361884e+01,3.042578794465778422e-04
1.165829145728643290e+01,3.197547638865841976e-04
1.175879396984924696e+01,3.514141523416503422e-04
1.185929648241206102e+01,3.900654094068446752e-04
1.195979899497487509e+01,4.244566086058214772e-04
1.206030150753768915e+01,4.448576014669011324e-04
1.216080402010050321e+01,4.459824728662937967e-04
1.226130653266331727e+01,4.280690174863288969e-04
1.236180904522613133e+01,3.962334210080182282e-04
1.246231155778894539e+01,3.586669994408370546e-04
1.256281407035175945e+01,3.243447075175930798e-04
1.266331658291457352e+01,3.009782023946413337e-04
1.276381909547738758e+01,2.935515526652932722e-04
1.286432160804020164e+01,3.031517220869780864e-04
1.296482412060301570e+01,3.259969903892410504e-04
1.306532663316582976e+01,3.536199283017279170e-04
1.316582914572864382e+01,3.753728582147496020e-04
1.326633165829145788e+01,3.826177384588364244e-04
1.336683417085427195e+01,3.720463996140303516e-04
1.346733668341708601e+01,3.461524903594225162e-04
1.356783919597990007e+01,3.112199397809167723e-04
1.366834170854271413e+01,2.746256653052788800e-04
1.376884422110552819e+01,2.428872240573098766e-04
1.386934673366834225e+01,2.207888218377915875e-04
1.396984924623115631e+01,2.111459738163936652e-04
1.407035175879397038e+01,2.146000895840782861e-04
1.417085427135678444e+01,2.292281511671383719e-04
1.427135678391959850e+01,2.504362779157321339e-04
1.437185929648241256e+01,2.718420812846555510e-04
1.447236180904522662e+01,2.871383806508435695e-04
1.457286432160804068e+01,2.920308540517368100e-04
1.467336683417085474e+01,2.853395697090875907e-04
1.477386934673366881e+01,2.690239509526788685e-04
1.487437185929648287e+01,2.473596768913313986e-04
1.497487437185929693e+01,2.256432924539505773e-04
1.507537688442211099e+01,2.088542901476577070e-04
1.517587939698492505e+01,2.005825378295361000e-04
1.527638190954773911e+01,2.022122668225284354e-04
1.537688442211055317e+01,2.122954136652913516e-04
1.547738693467336724e+01,2.264923661054790076e-04
1.557788944723618130e+01,2.387407096906026525e-04
1.567839195979899536e+01,2.435770377942679077e-04
1.577889447236180942e+01,2.383228020367683382e-04
1.587939698492462348e+01,2.237604479430316381e-04
1.597989949748743754e+01,2.031868570330170936e-04
1.608040201005025338e+01,1.808344735412849573e-04
1.618090452261306567e+01,1.606205053220322010e-04
1.628140703517588150e+01,1.455285933553330136e-04
1.638190954773869379e+01,1.374163491677284630e-04
1.648241206030150963e+01,1.369125997128156419e-04
1.658291457286432191e+01,1.432366777105689064e-04
1.668341708542713775e+01,1.541068648611590799e-04
1.678391959798995003e+01,1.660984464196268453e-04
1.688442211055276587e+01,1.755581342112407287e-04
1.698492462311557816e+01,1.797027579305994212e-04
1.708542713567839400e+01,1.773807246143503874e-04
1.718592964824120628e+01,1.692514386902246458e-04
1.728643216080402212e+01,1.574381191786594332e-04
1.738693467336683440e+01,1.448464158563356023e-04
1.748743718592965024e+01,1.343862920574929467e-04
1.758793969849246253e+01,1.282939062604507166e-04
1.768844221105527836e+01,1.276080742829121531e-04
1.778894472361809065e+01,1.317907409129286762e-04
1.788944723618090649e+01,1.386572879351425638e-04
1.798994974874371877e+01,1.449437766153658996e-04
1.809045226130653461e+01,1.475293457929711103e-04
1.819095477386934689e+01,1.446912730323291819e-04
1.829145728643216273e+01,1.366103765809231101e-04
1.839195979899497502e+01,1.249548935838658747e-04
1.849246231155779085e+01,1.120318256673183280e-04
1.859296482412060314e+01,1.000599389084509856e-04
1.869346733668341898e+01,9.077858499064939070e-05
1.879396984924623126e+01,8.530738539790132463e-05
1.889447236180904710e+01,8.408221781612413149e-05
1.899497487437185939e+01,8.676815464845776991e-05
1.909547738693467522e+01,9.221157466900352048e-05
1.919597989949748751e+01,9.860369731670327203e-05
1.929648241206030335e+01,1.039341463275888513e-04
1.939698492462311563e+01,1.065782945954729839e-04
1.949748743718593147e+01,1.057491074436666550e-04
1.959798994974874375e+01,1.016507222731010600e-04
1.969849246231155959e+01,9.533357183827976178e-05
1.979899497487437188e+01,8.834415080835703342e-05
1.989949748743718771e+01,8.229579871779185403e-05
2.000000000000000000e+01,7.847408831258866806e-05
