time,x1,x2,x3,x4,x5,x6,x7,x8,x9
0.000000000000000000e+00,7.000000000000000000e+00,9.999999999999998890e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.400000000000000000e+01,1.200000000000000000e+01,1.300000000000000000e+01,2.999999999999999889e-01,2.999999999999999889e-01
1.005025125628140753e-01,6.373715604448450200e+00,1.618616096926813297e+00,9.417442333535994692e-01,9.114516464513933158e-01,1.274997513590333398e+01,1.523911289864236629e+01,1.396838123072116211e+01,3.006850454069472378e-01,3.002627117949724367e-01
2.010050251256281506e-01,5.746220569939136880e+00,2.460016693165841595e+00,9.533605828256819237e-01,8.276987509264950305e-01,1.242882800152487022e+01,1.608409223719057124e+01,1.422133863055834446e+01,3.033077132778850271e-01,3.004618661022441239e-01
3.015075376884422398e-01,5.030830042641135869e+00,3.423625433216905378e+00,1.036509605571059867e+00,7.396946765609977437e-01,1.234246497200619075e+01,1.626381937915696696e+01,1.428703267742815441e+01,3.113600126325272166e-01,3.006078457084179201e-01
4.020100502512563012e-01,4.263246093016554994e+00,4.316023212977608381e+00,1.210147614350634226e+00,6.537704226829940124e-01,1.232771283691074871e+01,1.631092331686577168e+01,1.431369461236971041e+01,3.305104794892956277e-01,3.007101515191004659e-01
5.025125628140704181e-01,3.523782830500659990e+00,4.956435200549293540e+00,1.502170732018095700e+00,5.814515648818369131e-01,1.234385282449084897e+01,1.634366284506774392e+01,1.434215128690870245e+01,3.661261711271096009e-01,3.007810555865788604e-01
6.030150753768844796e-01,2.871757138084245042e+00,5.263813482451356940e+00,1.940586061483796643e+00,5.321182843972361853e-01,1.238162422915198491e+01,1.638799518361949481e+01,1.438465237821632847e+01,4.196654420745599690e-01,3.008327258032333362e-01
7.035175879396985410e-01,2.325943423013649536e+00,5.249724586278315286e+00,2.536563511880126853e+00,5.116217657717546663e-01,1.243692547818833205e+01,1.644719432048788832e+01,1.444249745964157228e+01,4.866406292675929945e-01,3.008750793895684228e-01
8.040201005025126024e-01,1.880275641392174402e+00,4.974191384935709337e+00,3.260726388095225747e+00,5.251095822569443738e-01,1.250302341539716267e+01,1.651548265523759085e+01,1.450998135075490758e+01,5.574389755096148535e-01,3.009164582757766215e-01
9.045226130653266639e-01,1.522631152983619174e+00,4.519638920222196710e+00,4.030970256006860097e+00,5.805387145731117915e-01,1.257026226128123270e+01,1.658301150670159885e+01,1.457748521445409118e+01,6.213297780411737303e-01,3.009665970668448653e-01
1.005025125628140836e+00,1.242741036386398434e+00,3.976010004101023565e+00,4.734168959200383497e+00,6.915555629232842394e-01,1.262953749201227893e+01,1.664086594322038337e+01,1.463603183523042794e+01,6.714371786130938213e-01,3.010430656131060090e-01
1.105527638190954898e+00,1.032014714973002789e+00,3.421376957527247242e+00,5.271771804773320191e+00,8.795784119080765073e-01,1.267578606777234995e+01,1.668472802397135268e+01,1.468096972623516905e+01,7.066195467541743769e-01,3.011876825615269482e-01
1.206030150753768959e+00,8.821480106179003799e-01,2.905731996544392182e+00,5.588936351433934746e+00,1.173908103313786144e+00,1.270858216689441811e+01,1.671501061913469144e+01,1.471234727634926998e+01,7.295213570902612243e-01,3.015124950258090131e-01
1.306532663316583021e+00,7.857548628853822104e-01,2.449597748120089680e+00,5.670200968284181187e+00,1.606311863088415004e+00,1.273029699006638893e+01,1.673461039809943784e+01,1.473284600491710172e+01,7.437545999305610334e-01,3.023251679146505833e-01
1.407035175879397082e+00,7.382697692961062153e-01,2.054534839846303029e+00,5.523507780528376543e+00,2.195065145725632050e+00,1.274401850097320654e+01,1.674677499031333383e+01,1.474565944778188786e+01,7.523517155140263535e-01,3.044263240897563949e-01
