time,connectedness
0.000000000000000000e+00,9.861345375432807714e+01
1.005025125628140753e-01,1.029565340955127795e+02
2.010050251256281506e-01,1.050684211487757693e+02
3.015075376884422398e-01,1.068887503072477756e+02
4.020100502512563012e-01,1.086576391238234862e+02
5.025125628140704181e-01,1.100714376512419364e+02
6.030150753768844796e-01,1.109667472015055694e+02
7.035175879396985410e-01,1.114129832311682975e+02
8.040201005025126024e-01,1.115394800150868377e+02
9.045226130653266639e-01,1.114255335562296239e+02
1.005025125628140836e+00,1.111241338461066306e+02
1.105527638190954898e+00,1.107221737217268469e+02
1.206030150753768959e+00,1.103557255835138733e+02
1.306532663316583021e+00,1.101793248488806682e+02
1.407035175879397082e+00,1.103197444521384796e+02
1.507537688442211143e+00,1.108247265951692242e+02
1.608040201005025205e+00,1.116119425449229112e+02
1.708542713567839266e+00,1.124663771283733809e+02
1.809045226130653328e+00,1.131419054916063516e+02
1.909547738693467389e+00,1.134979780099737354e+02
2.010050251256281673e+00,1.135348619226923432e+02
2.110552763819095734e+00,1.133253577046524185e+02
2.211055276381909795e+00,1.129424982134360391e+02
2.311557788944723857e+00,1.124421986433493714e+02
2.412060301507537918e+00,1.118886610507700681e+02
2.512562814070351980e+00,1.113779509686981584e+02
2.613065326633166041e+00,1.110316395408501791e+02
2.713567839195980103e+00,1.109660835861336068e+02
2.814070351758794164e+00,1.112532368861270129e+02
2.914572864321608225e+00,1.118844812875346406e+02
3.015075376884422287e+00,1.127611633557604023e+02
3.115577889447236348e+00,1.137423358194896252e+02
3.216080402010050410e+00,1.147233507304616325e+02
3.316582914572864471e+00,1.156638592038863891e+02
3.417085427135678533e+00,1.165433307046711064e+02
3.517587939698492594e+00,1.173109634263492751e+02
3.618090452261306655e+00,1.178938047420381849e+02
3.718592964824120717e+00,1.182553478302692582e+02
3.819095477386934778e+00,1.184417654134512929e+02
3.919597989949748840e+00,1.185713291139387593e+02
4.020100502512563345e+00,1.187798498794503956e+02
4.120603015075377407e+00,1.191577827344067089e+02
4.221105527638191468e+00,1.197036284323912554e+02
4.321608040201005529e+00,1.203164799010042998e+02
4.422110552763819591e+00,1.208468941961452003e+02
4.522613065326633652e+00,1.211786495395506620e+02
4.623115577889447714e+00,1.212743944843849704e+02
4.723618090452261775e+00,1.211603232524451101e+02
4.824120603015075837e+00,1.208880948406245892e+02
4.924623115577889898e+00,1.205156462103271906e+02
5.025125628140703959e+00,1.201124283941633166e+02
5.125628140703518021e+00,1.197683888569936812e+02
5.226130653266332082e+00,1.195887445355656666e+02
5.326633165829146144e+00,1.196740950023618382e+02
5.427135678391960205e+00,1.200954899794821529e+02
5.527638190954774267e+00,1.208755657870611060e+02
5.628140703517588328e+00,1.219886639916361872e+02
5.728643216080402389e+00,1.233832209186141284e+02
5.829145728643216451e+00,1.250012150670312394e+02
5.929648241206030512e+00,1.267656734946803851e+02
6.030150753768844574e+00,1.285527103595574943e+02
