time,linear_connectedness
0.000000000000000000e+00,1.172841362197212192e+02
1.005025125628140753e-01,1.229151378137158304e+02
2.010050251256281506e-01,1.225284789920377477e+02
3.015075376884422398e-01,1.236752005511522867e+02
4.020100502512563012e-01,1.267915338766514139e+02
5.025125628140704181e-01,1.289404892628336654e+02
6.030150753768844796e-01,1.293591601228360162e+02
7.035175879396985410e-01,1.290684706504573569e+02
8.040201005025126024e-01,1.289462493192001205e+02
9.045226130653266639e-01,1.308219195702368154e+02
1.005025125628140836e+00,1.325723197904969766e+02
1.105527638190954898e+00,1.333011521068383445e+02
1.206030150753768959e+00,1.328557069073047217e+02
1.306532663316583021e+00,1.315526059343927159e+02
1.407035175879397082e+00,1.301442509843369351e+02
1.507537688442211143e+00,1.301128833655854180e+02
1.608040201005025205e+00,1.323308254462266689e+02
1.708542713567839266e+00,1.358090814446149750e+02
1.809045226130653328e+00,1.383682222160365143e+02
1.909547738693467389e+00,1.391750756469719477e+02
2.010050251256281673e+00,1.382733306572456229e+02
2.110552763819095734e+00,1.367500423030155616e+02
2.211055276381909795e+00,1.351001699734620445e+02
2.311557788944723857e+00,1.347884378912812338e+02
2.412060301507537918e+00,1.345996864124023773e+02
2.512562814070351980e+00,1.337635988443357178e+02
2.613065326633166041e+00,1.322742474582463785e+02
2.713567839195980103e+00,1.306178440765795870e+02
2.814070351758794164e+00,1.296003722245116307e+02
2.914572864321608225e+00,1.298569098175905197e+02
3.015075376884422287e+00,1.311758146124570317e+02
3.115577889447236348e+00,1.324795980057261033e+02
3.216080402010050410e+00,1.330835903502980671e+02
3.316582914572864471e+00,1.330675384700697634e+02
3.417085427135678533e+00,1.331662614224994172e+02
3.517587939698492594e+00,1.334444685868566296e+02
3.618090452261306655e+00,1.347768028538374097e+02
3.718592964824120717e+00,1.361568426819679303e+02
3.819095477386934778e+00,1.368905887209372452e+02
3.919597989949748840e+00,1.368318354255065685e+02
4.020100502512563345e+00,1.367140778488334831e+02
4.120603015075377407e+00,1.367660775245407478e+02
4.221105527638191468e+00,1.380690308433114240e+02
4.321608040201005529e+00,1.402481929362323854e+02
4.422110552763819591e+00,1.422161006556721929e+02
4.522613065326633652e+00,1.431946854488111285e+02
4.623115577889447714e+00,1.431598927127286913e+02
4.723618090452261775e+00,1.423114656333201538e+02
4.824120603015075837e+00,1.414539323965762776e+02
4.924623115577889898e+00,1.409672811122882479e+02
5.025125628140703959e+00,1.403685702794183499e+02
5.125628140703518021e+00,1.395230354024395751e+02
5.226130653266332082e+00,1.384846688941329660e+02
5.326633165829146144e+00,1.375118337366125445e+02
5.427135678391960205e+00,1.371810107873918980e+02
5.527638190954774267e+00,1.377849383708907851e+02
5.628140703517588328e+00,1.391705838509538182e+02
5.728643216080402389e+00,1.405496184379557576e+02
5.829145728643216451e+00,1.418682182359899002e+02
5.929648241206030512e+00,1.430270926135810896e+02
6.030150753768844574e+00,1.443278240416937024e+02
6.130653266331658635e+00,1.459355519002615154e+02
6.231155778894472697e+00,1.476431902739921611e+02
6.331658291457286758e+00,1.489420715372927475e+02
6.432160804020100819e+00,1.496115261432339594e+02
6.532663316582914881e+00,1.498128051981229021e+02
6.633165829145728942e+00,1.501781937430800440e+02
6.733668341708543004e+00,1.512317874749151656e+02
6.834170854271357065e+00,1.529149525740682520e+02
6.934673366834171127e+00,1.549471372976555870e+02
7.035175879396985188e+00,1.563752841422382005e+02
7.135678391959799249e+00,1.568352507917371099e+02
7.236180904522613311e+00,1.566961779593146957e+02
7.336683417085427372e+00,1.562417469075587064e+02
7.437185929648241434e+00,1.556171943084953853e+02
7.537688442211055495e+00,1.549628106218782477e+02
7.638190954773869557e+00,1.542261196361808402e+02
7.738693467336683618e+00,1.532661238211386205e+02
7.839195979899497679e+00,1.526628924623363162e+02
7.939698492462311741e+00,1.528375716133276967e+02
8.040201005025126690e+00,1.539138563293412858e+02
8.140703517587940752e+00,1.558370121855203365e+02
8.241206030150754813e+00,1.583490267794935562e+02
8.341708542713568875e+00,1.610433750876786405e+02
8.442211055276382936e+00,1.638781222368762087e+02
8.542713567839196998e+00,1.668260677385475219e+02
8.643216080402011059e+00,1.696209300433558553e+02
8.743718592964825120e+00,1.719652768553006865e+02
8.844221105527639182e+00,1.736593494584111568e+02
8.944723618090453243e+00,1.746483636979299092e+02
9.045226130653267305e+00,1.753032239450861312e+02
9.145728643216081366e+00,1.761994893066450913e+02
9.246231155778895427e+00,1.776448555595734433e+02
9.346733668341709489e+00,1.795963700555507216e+02
9.447236180904523550e+00,1.817014709816368168e+02
9.547738693467337612e+00,1.834284136869908650e+02
9.648241206030151673e+00,1.844520433145371783e+02
9.748743718592965735e+00,1.847840627346097904e+02
9.849246231155779796e+00,1.845322088550740887e+02
9.949748743718593857e+00,1.838571709671470558e+02
1.005025125628140792e+01,1.829676278056033141e+02
1.015075376884422198e+01,1.820740546686047878e+02
1.025125628140703604e+01,1.815008639305964380e+02
1.035175879396985010e+01,1.817226760875897469e+02
1.045226130653266416e+01,1.830961239049201765e+02
1.055276381909547823e+01,1.857446989397459731e+02
1.065326633165829229e+01,1.895806673329086038e+02
1.075376884422110635e+01,1.943269854036524862e+02
1.085427135678392041e+01,1.996180343234108818e+02
1.095477386934673447e+01,2.050772755684953950e+02
1.105527638190954853e+01,2.102135005645137085e+02
1.115577889447236259e+01,2.145065305984753081e+02
1.125628140703517666e+01,2.176492887490260841e+02
1.135678391959799072e+01,2.196737570704243296e+02
1.145728643216080478e+01,2.209627477983097208e+02
1.155778894472361884e+01,2.221539032834284626e+02
1.165829145728643290e+01,2.238073663516870795e+02
1.175879396984924696e+01,2.261348036972927673e+02
1.185929648241206102e+01,2.289551546020051660e+02
1.195979899497487509e+01,2.317972449821376415e+02
1.206030150753768915e+01,2.341297507310439414e+02
1.216080402010050321e+01,2.356134362017728847e+02
1.226130653266331727e+01,2.361401684517441026e+02
1.236180904522613133e+01,2.357981345546209013e+02
1.246231155778894539e+01,2.348790417207416681e+02
1.256281407035175945e+01,2.338378137286541119e+02
1.266331658291457352e+01,2.332402334305495799e+02
1.276381909547738758e+01,2.337328249153859190e+02
1.286432160804020164e+01,2.358891854438541600e+02
1.296482412060301570e+01,2.400318091712682360e+02
1.306532663316582976e+01,2.461840214707252699e+02
1.316582914572864382e+01,2.540814626964475735e+02
1.326633165829145788e+01,2.631921670907224211e+02
1.336683417085427195e+01,2.727614595134294291e+02
1.346733668341708601e+01,2.818568417109678421e+02
1.356783919597990007e+01,2.895456277159530032e+02
1.366834170854271413e+01,2.952445756282140792e+02
1.376884422110552819e+01,2.989661937327929877e+02
1.386934673366834225e+01,3.012903831269422881e+02
1.396984924623115631e+01,3.031353900502129477e+02
1.407035175879397038e+01,3.053893039629732016e+02
1.417085427135678444e+01,3.085550956095306674e+02
1.427135678391959850e+01,3.126067707110195215e+02
1.437185929648241256e+01,3.170641891963560397e+02
1.447236180904522662e+01,3.212148017173049084e+02
1.457286432160804068e+01,3.243979468214097892e+02
1.467336683417085474e+01,3.262035956829640782e+02
1.477386934673366881e+01,3.265652760434618358e+02
1.487437185929648287e+01,3.258200515394631793e+02
1.497487437185929693e+01,3.246838185142711382e+02
1.507537688442211099e+01,3.241229106524114627e+02
1.517587939698492505e+01,3.251915404293088727e+02
1.527638190954773911e+01,3.288268998535744458e+02
1.537688442211055317e+01,3.356305655359892626e+02
1.547738693467336724e+01,3.457550455118710602e+02
1.557788944723618130e+01,3.588823820504553623e+02
1.567839195979899536e+01,3.742153244292173895e+02
1.577889447236180942e+01,3.904939597916804246e+02
1.587939698492462348e+01,4.061182929163139761e+02
1.597989949748743754e+01,4.194928448919802690e+02
1.608040201005025338e+01,4.295717002886188425e+02
1.618090452261306567e+01,4.362740118459159362e+02
1.628140703517588150e+01,4.404703004387220631e+02
1.638190954773869379e+01,4.435893986255355799e+02
1.648241206030150963e+01,4.470599741864899670e+02
1.658291457286432191e+01,4.518064612089189609e+02
1.668341708542713775e+01,4.579977235815202334e+02
1.678391959798995003e+01,4.650938567929945862e+02
1.688442211055276587e+01,4.721081532200693118e+02
1.698492462311557816e+01,4.779705313880076574e+02
1.708542713567839400e+01,4.818692074020224254e+02
1.718592964824120628e+01,4.835081045744825019e+02
1.728643216080402212e+01,4.832760045408836049e+02
1.738693467336683440e+01,4.822536185728895930e+02
1.748743718592965024e+01,4.820123010401223382e+02
1.758793969849246253e+01,4.842896374318996209e+02
1.768844221105527836e+01,4.906336914277235906e+02
1.778894472361809065e+01,5.020826086295800224e+02
1.788944723618090649e+01,5.189711058747045627e+02
1.798994974874371877e+01,5.408586530276727444e+02
1.809045226130653461e+01,5.664939282994770338e+02
1.819095477386934689e+01,5.938277707903079090e+02
1.829145728643216273e+01,6.202288375246755550e+02
1.839195979899497502e+01,6.430658851841865271e+02
1.849246231155779085e+01,6.605655499609474646e+02
