time,linear_potential
0.000000000000000000e+00,8.848030761361346208e+01
1.005025125628140753e-01,9.314687211721123106e+01
2.010050251256281506e-01,9.208438113226833366e+01
3.015075376884422398e-01,9.004985696879313650e+01
4.020100502512563012e-01,9.405917498228328100e+01
5.025125628140704181e-01,9.590264579321133454e+01
6.030150753768844796e-01,9.603778554559211500e+01
7.035175879396985410e-01,9.383350186642762480e+01
8.040201005025126024e-01,9.472029770947945337e+01
9.045226130653266639e-01,9.706199810511530757e+01
1.005025125628140836e+00,9.840308644342698585e+01
1.105527638190954898e+00,9.907641960728398089e+01
1.206030150753768959e+00,9.913840013851795163e+01
1.306532663316583021e+00,9.848071035570086451e+01
1.407035175879397082e+00,9.661409226238625081e+01
1.507537688442211143e+00,9.392069582797790872e+01
1.608040201005025205e+00,9.587744013371015228e+01
1.708542713567839266e+00,9.792869146070589181e+01
1.809045226130653328e+00,9.899428470425505111e+01
1.909547738693467389e+00,9.915919622761839491e+01
2.010050251256281673e+00,9.819346884444577483e+01
2.110552763819095734e+00,9.514285373552841918e+01
2.211055276381909795e+00,9.567030683967534799e+01
2.311557788944723857e+00,9.712978919481139428e+01
2.412060301507537918e+00,9.824713299583022774e+01
2.512562814070351980e+00,9.852626697972762315e+01
2.613065326633166041e+00,9.797157187969612835e+01
2.713567839195980103e+00,9.621921799991025637e+01
2.814070351758794164e+00,9.497706909368764627e+01
2.914572864321608225e+00,9.547732472705278894e+01
3.015075376884422287e+00,9.755768051706618849e+01
3.115577889447236348e+00,9.896975702646480499e+01
3.216080402010050410e+00,9.958860209913352435e+01
3.316582914572864471e+00,9.919025863559360801e+01
3.417085427135678533e+00,9.759379300554307690e+01
3.517587939698492594e+00,9.901283068551080646e+01
3.618090452261306655e+00,9.964279195744902040e+01
3.718592964824120717e+00,1.014537964321059746e+02
3.819095477386934778e+00,1.021278239899912847e+02
3.919597989949748840e+00,1.017640769987234393e+02
4.020100502512563345e+00,9.986632493145144451e+01
4.120603015075377407e+00,1.005265137697408733e+02
4.221105527638191468e+00,1.009575639348121712e+02
4.321608040201005529e+00,1.018448986015298203e+02
4.422110552763819591e+00,1.029855109036212468e+02
4.522613065326633652e+00,1.030921662367069302e+02
4.623115577889447714e+00,1.018391482815391242e+02
4.723618090452261775e+00,1.016876608928092764e+02
4.824120603015075837e+00,1.019863557300152621e+02
4.924623115577889898e+00,1.014738319144426981e+02
5.025125628140703959e+00,1.022584511259285733e+02
5.125628140703518021e+00,1.022842085938928847e+02
5.226130653266332082e+00,1.012461148782691680e+02
5.326633165829146144e+00,1.008570555081136462e+02
5.427135678391960205e+00,1.015764388002104823e+02
5.527638190954774267e+00,1.020221295929928544e+02
5.628140703517588328e+00,1.025812113398891654e+02
5.728643216080402389e+00,1.040533393600686196e+02
5.829145728643216451e+00,1.045336806215520511e+02
5.929648241206030512e+00,1.052756194413439772e+02
6.030150753768844574e+00,1.069843086553909615e+02
6.130653266331658635e+00,1.082533923780123075e+02
6.231155778894472697e+00,1.088734764456390423e+02
6.331658291457286758e+00,1.098134782720402427e+02
6.432160804020100819e+00,1.101243223325914613e+02
6.532663316582914881e+00,1.103355366935649613e+02
6.633165829145728942e+00,1.112075473961690903e+02
6.733668341708543004e+00,1.118311444283678782e+02
6.834170854271357065e+00,1.121133483334260887e+02
6.934673366834171127e+00,1.119933170152792599e+02
7.035175879396985188e+00,1.122331668760078429e+02
7.135678391959799249e+00,1.126049756596986668e+02
7.236180904522613311e+00,1.130835714665704188e+02
7.336683417085427372e+00,1.132521541079484422e+02
7.437185929648241434e+00,1.130314897432046877e+02
7.537688442211055495e+00,1.124662478517244750e+02
7.638190954773869557e+00,1.119376852802840006e+02
7.738693467336683618e+00,1.119993745576583706e+02
7.839195979899497679e+00,1.124460149794373933e+02
7.939698492462311741e+00,1.130814859643163999e+02
8.040201005025126690e+00,1.138300219226411230e+02
8.140703517587940752e+00,1.146954788049787481e+02
8.241206030150754813e+00,1.158865151323927449e+02
8.341708542713568875e+00,1.177565266813855231e+02
8.442211055276382936e+00,1.201596999548392546e+02
8.542713567839196998e+00,1.226828017213076976e+02
8.643216080402011059e+00,1.249643646837961626e+02
8.743718592964825120e+00,1.267555207598218345e+02
8.844221105527639182e+00,1.280731607118045474e+02
8.944723618090453243e+00,1.292238727386874473e+02
9.045226130653267305e+00,1.303453474294274770e+02
9.145728643216081366e+00,1.313428950005853721e+02
9.246231155778895427e+00,1.321370752713889942e+02
9.346733668341709489e+00,1.326824603131538254e+02
9.447236180904523550e+00,1.330304747726392236e+02
9.547738693467337612e+00,1.333726503143301727e+02
9.648241206030151673e+00,1.337723635515874605e+02
9.748743718592965735e+00,1.340660692720249187e+02
9.849246231155779796e+00,1.341172628064915671e+02
9.949748743718593857e+00,1.339015175500399835e+02
1.005025125628140792e+01,1.335460708011448787e+02
1.015075376884422198e+01,1.333432399967050515e+02
1.025125628140703604e+01,1.335331296172270470e+02
1.035175879396985010e+01,1.341373856475203468e+02
1.045226130653266416e+01,1.351344820920246548e+02
1.055276381909547823e+01,1.365629641496337570e+02
1.065326633165829229e+01,1.385491966292027826e+02
1.075376884422110635e+01,1.412984573421821040e+02
1.085427135678392041e+01,1.448943997930781507e+02
1.095477386934673447e+01,1.490831024615694673e+02
1.105527638190954853e+01,1.533964732811483316e+02
1.115577889447236259e+01,1.573583856084948138e+02
1.125628140703517666e+01,1.606649698458350883e+02
1.135678391959799072e+01,1.633050138111306921e+02
1.145728643216080478e+01,1.654507639221488091e+02
1.155778894472361884e+01,1.672186575026729543e+02
1.165829145728643290e+01,1.686481671898733623e+02
1.175879396984924696e+01,1.697607637896110475e+02
1.185929648241206102e+01,1.705928647043124045e+02
1.195979899497487509e+01,1.712365966404251481e+02
1.206030150753768915e+01,1.717905137367333737e+02
1.216080402010050321e+01,1.722372692392250144e+02
1.226130653266331727e+01,1.724922789675735260e+02
1.236180904522613133e+01,1.725231924947739515e+02
1.246231155778894539e+01,1.724054398190540667e+02
1.256281407035175945e+01,1.723425317248436102e+02
1.266331658291457352e+01,1.726005174346230717e+02
1.276381909547738758e+01,1.733716474044988445e+02
1.286432160804020164e+01,1.747806479921845551e+02
1.296482412060301570e+01,1.769813359630340130e+02
1.306532663316582976e+01,1.801880181412152240e+02
1.316582914572864382e+01,1.846366354691315337e+02
1.326633165829145788e+01,1.904423338133511550e+02
1.336683417085427195e+01,1.973898077557759336e+02
1.346733668341708601e+01,2.049035116720152985e+02
1.356783919597990007e+01,2.122463116406832739e+02
1.366834170854271413e+01,2.187859481198615015e+02
1.376884422110552819e+01,2.242065834802158122e+02
1.386934673366834225e+01,2.285297998546204497e+02
1.396984924623115631e+01,2.319332916966091318e+02
1.407035175879397038e+01,2.345945109157613047e+02
1.417085427135678444e+01,2.366591259759890136e+02
1.427135678391959850e+01,2.382469621981693138e+02
1.437185929648241256e+01,2.394747588715418658e+02
1.447236180904522662e+01,2.404556001037253168e+02
1.457286432160804068e+01,2.412413645134950855e+02
1.467336683417085474e+01,2.418174073481679045e+02
1.477386934673366881e+01,2.421842436669536482e+02
1.487437185929648287e+01,2.424245979614522071e+02
1.497487437185929693e+01,2.427328281738708995e+02
1.507537688442211099e+01,2.433961624015516634e+02
1.517587939698492505e+01,2.447204599957573521e+02
1.527638190954773911e+01,2.470032266101258358e+02
1.537688442211055317e+01,2.505867018211714310e+02
1.547738693467336724e+01,2.558724447449608022e+02
1.557788944723618130e+01,2.632385952683806067e+02
1.567839195979899536e+01,2.728565282923937048e+02
1.577889447236180942e+01,2.844608049031807013e+02
1.587939698492462348e+01,2.972644245463332027e+02
1.597989949748743754e+01,3.101516440115117348e+02
1.608040201005025338e+01,3.220397232314363691e+02
1.618090452261306567e+01,3.322149509370138958e+02
1.628140703517588150e+01,3.404606531528911546e+02
1.638190954773869379e+01,3.469281879729538218e+02
1.648241206030150963e+01,3.519179955894866225e+02
1.658291457286432191e+01,3.557443449668123208e+02
1.668341708542713775e+01,3.586820078369332236e+02
1.678391959798995003e+01,3.609591011544453636e+02
1.688442211055276587e+01,3.627627025127209208e+02
1.698492462311557816e+01,3.642196094250076044e+02
1.708542713567839400e+01,3.653949124073083681e+02
1.718592964824120628e+01,3.663527985606779112e+02
1.728643216080402212e+01,3.672255728545008537e+02
1.738693467336683440e+01,3.682548892944813019e+02
1.748743718592965024e+01,3.697996134174303506e+02
1.758793969849246253e+01,3.723075629699163756e+02
1.768844221105527836e+01,3.763019680521382497e+02
1.778894472361809065e+01,3.824092991893393219e+02
1.788944723618090649e+01,3.913361294926799019e+02
1.798994974874371877e+01,4.037143788486637277e+02
1.809045226130653461e+01,4.198218687609453355e+02
1.819095477386934689e+01,4.392773958319763778e+02
1.829145728643216273e+01,4.609178952962810172e+02
1.839195979899497502e+01,4.830271625443236303e+02
1.849246231155779085e+01,5.038357521098239431e+02
1.859296482412060314e+01,5.220362003314393178e+02
1.869346733668341898e+01,5.370469047450701510e+02
1.879396984924623126e+01,5.489286435480024693e+02
1.889447236180904710e+01,5.581078874202182760e+02
