time,potential
0.000000000000000000e+00,2.389614460278016281e+02
1.005025125628140753e-01,2.467325391810929602e+02
2.010050251256281506e-01,2.531533208002593653e+02
3.015075376884422398e-01,2.583485634852073076e+02
4.020100502512563012e-01,2.619238749478973887e+02
5.025125628140704181e-01,2.643592214734451886e+02
6.030150753768844796e-01,2.665452367271645926e+02
7.035175879396985410e-01,2.688845519844442720e+02
8.040201005025126024e-01,2.710494901294957799e+02
9.045226130653266639e-01,2.724518165725988865e+02
1.005025125628140836e+00,2.728898805256480955e+02
1.105527638190954898e+00,2.727749623332572924e+02
1.206030150753768959e+00,2.728140427730942292e+02
1.306532663316583021e+00,2.735112105574370958e+02
1.407035175879397082e+00,2.748471422244885503e+02
1.507537688442211143e+00,2.763010858700409926e+02
1.608040201005025205e+00,2.772346970907684067e+02
1.708542713567839266e+00,2.773967521141672137e+02
1.809045226130653328e+00,2.771037859193842792e+02
1.909547738693467389e+00,2.769378383785370943e+02
2.010050251256281673e+00,2.772753688548120294e+02
2.110552763819095734e+00,2.780266337756499979e+02
2.211055276381909795e+00,2.787421018399774653e+02
2.311557788944723857e+00,2.790032582276940616e+02
2.412060301507537918e+00,2.787839157360045874e+02
2.512562814070351980e+00,2.784598210425407387e+02
2.613065326633166041e+00,2.784869082071752473e+02
2.713567839195980103e+00,2.790603009654938091e+02
2.814070351758794164e+00,2.800231802675855874e+02
2.914572864321608225e+00,2.810866373628360293e+02
3.015075376884422287e+00,2.821807607803468159e+02
3.115577889447236348e+00,2.836041517290495335e+02
3.216080402010050410e+00,2.858062264239028991e+02
3.316582914572864471e+00,2.889901922905040692e+02
3.417085427135678533e+00,2.928601140294890115e+02
3.517587939698492594e+00,2.967133906122969051e+02
3.618090452261306655e+00,2.998486716628507338e+02
3.718592964824120717e+00,3.019896963101895722e+02
3.819095477386934778e+00,3.033673825943433826e+02
3.919597989949748840e+00,3.044240228210244368e+02
4.020100502512563345e+00,3.054388466840408114e+02
4.120603015075377407e+00,3.063705546540239766e+02
4.221105527638191468e+00,3.069952104264686454e+02
4.321608040201005529e+00,3.071909557388079293e+02
4.422110552763819591e+00,3.071038710331228572e+02
4.522613065326633652e+00,3.070480740031466098e+02
4.623115577889447714e+00,3.072525248516826650e+02
4.723618090452261775e+00,3.076871790629401175e+02
4.824120603015075837e+00,3.081104096942267461e+02
4.924623115577889898e+00,3.082967408226604675e+02
5.025125628140703959e+00,3.082472844861227941e+02
5.125628140703518021e+00,3.081954138150416611e+02
5.226130653266332082e+00,3.084215912952146823e+02
5.326633165829146144e+00,3.090676133544031927e+02
5.427135678391960205e+00,3.101205475083507963e+02
5.527638190954774267e+00,3.115721944473374947e+02
5.628140703517588328e+00,3.135842528093168085e+02
5.728643216080402389e+00,3.164598083642858342e+02
5.829145728643216451e+00,3.204042426837865492e+02
5.929648241206030512e+00,3.252676375210778588e+02
6.030150753768844574e+00,3.304905681120956729e+02
6.130653266331658635e+00,3.353334564940723794e+02
6.231155778894472697e+00,3.392511431432722588e+02
6.331658291457286758e+00,3.421288554264108939e+02
6.432160804020100819e+00,3.442052945378915751e+02
6.532663316582914881e+00,3.457920845561932879e+02
6.633165829145728942e+00,3.470446616625304159e+02
6.733668341708543004e+00,3.479423994984653632e+02
6.834170854271357065e+00,3.484414374822438276e+02
6.934673366834171127e+00,3.486270172483929173e+02
7.035175879396985188e+00,3.487136328568805084e+02
7.135678391959799249e+00,3.489021651741597339e+02
7.236180904522613311e+00,3.492380783811491369e+02
7.336683417085427372e+00,3.496028947894951102e+02
7.437185929648241434e+00,3.498488499586657099e+02
7.537688442211055495e+00,3.499585873597810632e+02
7.638190954773869557e+00,3.500888410536954893e+02
7.738693467336683618e+00,3.504740617746166436e+02
7.839195979899497679e+00,3.513029470446980440e+02
7.939698492462311741e+00,3.526949852334068396e+02
8.040201005025126690e+00,3.547905720430894121e+02
8.140703517587940752e+00,3.578335526859347624e+02
8.241206030150754813e+00,3.621054881828457610e+02
8.341708542713568875e+00,3.677106842695584987e+02
8.442211055276382936e+00,3.743718146259469677e+02
8.542713567839196998e+00,3.814189551312668982e+02
8.643216080402011059e+00,3.880284830732870773e+02
8.743718592964825120e+00,3.935769518618577081e+02
8.844221105527639182e+00,3.978617766118404688e+02
8.944723618090453243e+00,4.010443822369599047e+02
9.045226130653267305e+00,4.034099645719192608e+02
9.145728643216081366e+00,4.051614420412268487e+02
9.246231155778895427e+00,4.063820984611688800e+02
9.346733668341709489e+00,4.071346942750748781e+02
9.447236180904523550e+00,4.075590442774378630e+02
9.547738693467337612e+00,4.078595863103424790e+02
9.648241206030151673e+00,4.081998672324171480e+02
9.748743718592965735e+00,4.086138587254109211e+02
9.849246231155779796e+00,4.090242236677343612e+02
9.949748743718593857e+00,4.093576838534030458e+02
1.005025125628140792e+01,4.096584658575173421e+02
1.015075376884422198e+01,4.101060171325140118e+02
1.025125628140703604e+01,4.109426672285657105e+02
1.035175879396985010e+01,4.124043036236176363e+02
1.045226130653266416e+01,4.147292049895529544e+02
1.055276381909547823e+01,4.182147805704870507e+02
1.065326633165829229e+01,4.232064214054153126e+02
1.075376884422110635e+01,4.299419583864668652e+02
1.085427135678392041e+01,4.383208021091454043e+02
1.095477386934673447e+01,4.477729528506021097e+02
1.105527638190954853e+01,4.573675608452969641e+02
1.115577889447236259e+01,4.661431434057436718e+02
1.125628140703517666e+01,4.734645466781229288e+02
1.135678391959799072e+01,4.791724910445715295e+02
1.145728643216080478e+01,4.834608443460414264e+02
1.155778894472361884e+01,4.866315177467480453e+02
1.165829145728643290e+01,4.889254700959064053e+02
1.175879396984924696e+01,4.905087222168517087e+02
1.185929648241206102e+01,4.915473037356979944e+02
1.195979899497487509e+01,4.922513809232651738e+02
1.206030150753768915e+01,4.928319648289470933e+02
1.216080402010050321e+01,4.934177282651975247e+02
1.226130653266331727e+01,4.940226205719187078e+02
1.236180904522613133e+01,4.946065149386341204e+02
1.246231155778894539e+01,4.951846099823827672e+02
1.256281407035175945e+01,4.958978236707106930e+02
1.266331658291457352e+01,4.970008808146232013e+02
1.276381909547738758e+01,4.988098755480683621e+02
1.286432160804020164e+01,5.016818945940668755e+02
1.296482412060301570e+01,5.060374430895130899e+02
1.306532663316582976e+01,5.123456205383878341e+02
1.316582914572864382e+01,5.209812098723859890e+02
1.326633165829145788e+01,5.319735066183891377e+02
1.336683417085427195e+01,5.448014330693996499e+02
1.346733668341708601e+01,5.584138841231662127e+02
1.356783919597990007e+01,5.715312236076448471e+02
1.366834170854271413e+01,5.830843463997587151e+02
1.376884422110552819e+01,5.925263784480481490e+02
1.386934673366834225e+01,5.998452568516279371e+02
1.396984924623115631e+01,6.053424291363476186e+02
1.407035175879397038e+01,6.093854970839369116e+02
1.417085427135678444e+01,6.122882946989914217e+02
1.427135678391959850e+01,6.143219599952000181e+02
1.437185929648241256e+01,6.157600964804877322e+02
1.447236180904522662e+01,6.168718975466442771e+02
1.457286432160804068e+01,6.178632782031894521e+02
1.467336683417085474e+01,6.188335632355308462e+02
1.477386934673366881e+01,6.198056266938783665e+02
1.487437185929648287e+01,6.208198289422709877e+02
1.497487437185929693e+01,6.220249656503485767e+02
1.507537688442211099e+01,6.237091999837639378e+02
1.517587939698492505e+01,6.262795267018115055e+02
1.527638190954773911e+01,6.302431270931202789e+02
1.537688442211055317e+01,6.362097822574521615e+02
1.547738693467336724e+01,6.448527357966173668e+02
1.557788944723618130e+01,6.567374137672221650e+02
1.567839195979899536e+01,6.720202021418518825e+02
1.577889447236180942e+01,6.901686067187795288e+02
1.587939698492462348e+01,7.099156057445178476e+02
1.597989949748743754e+01,7.295586023693822426e+02
1.608040201005025338e+01,7.474916212932280359e+02
1.618090452261306567e+01,7.626781493648276182e+02
1.628140703517588150e+01,7.748055942131973097e+02
1.638190954773869379e+01,7.841087214482556647e+02
1.648241206030150963e+01,7.910642475163040217e+02
1.658291457286432191e+01,7.961691736685022533e+02
1.668341708542713775e+01,7.998701378357642398e+02
1.678391959798995003e+01,8.025772823521294868e+02
1.688442211055276587e+01,8.046677716081474045e+02
1.698492462311557816e+01,8.064475379687106624e+02
1.708542713567839400e+01,8.081139672067333777e+02
1.718592964824120628e+01,8.097763995923987750e+02
1.728643216080402212e+01,8.115425406121740934e+02
1.738693467336683440e+01,8.136217878778243175e+02
1.748743718592965024e+01,8.163885554794085238e+02
1.758793969849246253e+01,8.203965494786777981e+02
1.768844221105527836e+01,8.263774490921969118e+02
1.778894472361809065e+01,8.352341089159924650e+02
1.788944723618090649e+01,8.479638638967709312e+02
1.798994974874371877e+01,8.654189584728117097e+02
1.809045226130653461e+01,8.879075949266839416e+02
1.819095477386934689e+01,9.148098396179732390e+02
1.829145728643216273e+01,9.444702699740794287e+02
1.839195979899497502e+01,9.745321526489161670e+02
1.849246231155779085e+01,1.002615273756767124e+03
1.859296482412060314e+01,1.026995094598918968e+03
1.869346733668341898e+01,1.046925920568201946e+03
1.879396984924623126e+01,1.062516523036535091e+03
1.889447236180904710e+01,1.074361770510024598e+03
1.899497487437185939e+01,1.083203807616758695e+03
1.909547738693467522e+01,1.089757741254821212e+03
1.919597989949748751e+01,1.094669040316273367e+03
1.929648241206030335e+01,1.098506088872985174e+03
1.939698492462311563e+01,1.101734132322988671e+03
1.949748743718593147e+01,1.104691287134437516e+03
1.959798994974874375e+01,1.107614876833240032e+03
1.969849246231155959e+01,1.110733495336439773e+03
1.979899497487437188e+01,1.114387268617962945e+03
1.989949748743718771e+01,1.119124158941536280e+03
2.000000000000000000e+01,1.125753674758617990e+03
