time,potential_global
0.000000000000000000e+00,3.977078627380376474e+02
1.005025125628140753e-01,4.057345062801178983e+02
2.010050251256281506e-01,4.119477469592471266e+02
3.015075376884422398e-01,4.181090917309483643e+02
4.020100502512563012e-01,4.237643117040689731e+02
5.025125628140704181e-01,4.281680077003796328e+02
6.030150753768844796e-01,4.311898830039111772e+02
7.035175879396985410e-01,4.330988925185903327e+02
8.040201005025126024e-01,4.340669517329059204e+02
9.045226130653266639e-01,4.340988081315358613e+02
1.005025125628140836e+00,4.333147176118192192e+02
1.105527638190954898e+00,4.321360300125621166e+02
1.206030150753768959e+00,4.311735850389309803e+02
1.306532663316583021e+00,4.309726363135204679e+02
1.407035175879397082e+00,4.318060864272202366e+02
1.507537688442211143e+00,4.335788857622584374e+02
1.608040201005025205e+00,4.358520634197791424e+02
1.708542713567839266e+00,4.380169116567935816e+02
1.809045226130653328e+00,4.395969567229968220e+02
1.909547738693467389e+00,4.404563898136774469e+02
2.010050251256281673e+00,4.407108530021804427e+02
2.110552763819095734e+00,4.404802253979339639e+02
2.211055276381909795e+00,4.397709668458024339e+02
2.311557788944723857e+00,4.385846094805961002e+02
2.412060301507537918e+00,4.370997812166887684e+02
2.512562814070351980e+00,4.357113084550483677e+02
2.613065326633166041e+00,4.348850159241643496e+02
2.713567839195980103e+00,4.349635486398248077e+02
2.814070351758794164e+00,4.360509979512144128e+02
2.914572864321608225e+00,4.380131622422092050e+02
3.015075376884422287e+00,4.405795933323202576e+02
3.115577889447236348e+00,4.435037458161107793e+02
3.216080402010050410e+00,4.466652562984551764e+02
3.316582914572864471e+00,4.499964888110731636e+02
3.417085427135678533e+00,4.533048013400502327e+02
3.517587939698492594e+00,4.562158055627836006e+02
3.618090452261306655e+00,4.583541778586412079e+02
3.718592964824120717e+00,4.596137836271884112e+02
3.819095477386934778e+00,4.602527882926106599e+02
3.919597989949748840e+00,4.607350075328979528e+02
4.020100502512563345e+00,4.614725713424270452e+02
4.120603015075377407e+00,4.626427601340035949e+02
4.221105527638191468e+00,4.641429255591865513e+02
4.321608040201005529e+00,4.656777788997421226e+02
4.422110552763819591e+00,4.669346973504816560e+02
4.522613065326633652e+00,4.677361474568555195e+02
4.623115577889447714e+00,4.680567382170410724e+02
4.723618090452261775e+00,4.679321032575032291e+02
4.824120603015075837e+00,4.673958768442122960e+02
4.924623115577889898e+00,4.665191172427295214e+02
5.025125628140703959e+00,4.654897207869074123e+02
5.125628140703518021e+00,4.646220778530247912e+02
5.226130653266332082e+00,4.642710657002064067e+02
5.326633165829146144e+00,4.647213726408618868e+02
5.427135678391960205e+00,4.661287105442095822e+02
5.527638190954774267e+00,4.685320913594290460e+02
5.628140703517588328e+00,4.719059140794981317e+02
5.728643216080402389e+00,4.761966174793267896e+02
5.829145728643216451e+00,4.812880370185090442e+02
5.929648241206030512e+00,4.868999125182941725e+02
6.030150753768844574e+00,4.925318567351729939e+02
6.130653266331658635e+00,4.975800908743424316e+02
6.231155778894472697e+00,5.016000043520697886e+02
6.331658291457286758e+00,5.045133700022052494e+02
6.432160804020100819e+00,5.065903136475622546e+02
6.532663316582914881e+00,5.082441415483622791e+02
6.633165829145728942e+00,5.098058109847517017e+02
6.733668341708543004e+00,5.113998653216292496e+02
6.834170854271357065e+00,5.129492354192140056e+02
6.934673366834171127e+00,5.142771743721017401e+02
7.035175879396985188e+00,5.152333704341525618e+02
7.135678391959799249e+00,5.157582741777739557e+02
7.236180904522613311e+00,5.158640106541896557e+02
7.336683417085427372e+00,5.155963396540847725e+02
7.437185929648241434e+00,5.150426164801929190e+02
7.537688442211055495e+00,5.143746740235619654e+02
7.638190954773869557e+00,5.138651379381479956e+02
7.738693467336683618e+00,5.138473926511638865e+02
7.839195979899497679e+00,5.146524972261744324e+02
7.939698492462311741e+00,5.165717897103282894e+02
8.040201005025126690e+00,5.198534101132918295e+02
8.140703517587940752e+00,5.246952386797340750e+02
8.241206030150754813e+00,5.311894932391483053e+02
8.341708542713568875e+00,5.392097722788887495e+02
8.442211055276382936e+00,5.482961559929331088e+02
8.542713567839196998e+00,5.576547704390683293e+02
8.643216080402011059e+00,5.663605800299374096e+02
8.743718592964825120e+00,5.736946895819778547e+02
8.844221105527639182e+00,5.793944866449825213e+02
8.944723618090453243e+00,5.836474369752784241e+02
9.045226130653267305e+00,5.868744623313717739e+02
9.145728643216081366e+00,5.894808950617169785e+02
9.246231155778895427e+00,5.917077821233303894e+02
9.346733668341709489e+00,5.936136598375093172e+02
9.447236180904523550e+00,5.951496099171164360e+02
9.547738693467337612e+00,5.962579596882286523e+02
9.648241206030151673e+00,5.969286502772915810e+02
9.748743718592965735e+00,5.972005786792979052e+02
9.849246231155779796e+00,5.971509441649474184e+02
9.949748743718593857e+00,5.969109122255736111e+02
1.005025125628140792e+01,5.966970347584292540e+02
1.015075376884422198e+01,5.968221936721355405e+02
1.025125628140703604e+01,5.976761921244441282e+02
1.035175879396985010e+01,5.997005085516042300e+02
1.045226130653266416e+01,6.033748262788571992e+02
1.055276381909547823e+01,6.091891969427813365e+02
1.065326633165829229e+01,6.175493179661236809e+02
1.075376884422110635e+01,6.285961883582233440e+02
1.085427135678392041e+01,6.420001841153199393e+02
1.095477386934673447e+01,6.568605614702995581e+02
1.105527638190954853e+01,6.718460481871509273e+02
1.115577889447236259e+01,6.855900032304862179e+02
1.125628140703517666e+01,6.971460465257221131e+02
1.135678391959799072e+01,7.062227812813481478e+02
1.145728643216080478e+01,7.130855665319953687e+02
1.155778894472361884e+01,7.182620951377829215e+02
1.165829145728643290e+01,7.222633652021842181e+02
1.175879396984924696e+01,7.254367871301038804e+02
1.185929648241206102e+01,7.279559345618371253e+02
1.195979899497487509e+01,7.298911593626291960e+02
1.206030150753768915e+01,7.312903880749578320e+02
1.216080402010050321e+01,7.322230637370431623e+02
1.226130653266331727e+01,7.327910801768966849e+02
1.236180904522613133e+01,7.331403884817332255e+02
1.246231155778894539e+01,7.334904914163056446e+02
1.256281407035175945e+01,7.341670160943009478e+02
1.266331658291457352e+01,7.356200742550355471e+02
1.276381909547738758e+01,7.384316838008035120e+02
1.286432160804020164e+01,7.433189524302455311e+02
1.296482412060301570e+01,7.511036644891831884e+02
1.306532663316582976e+01,7.625823742615208403e+02
1.316582914572864382e+01,7.782588421974097628e+02
1.326633165829145788e+01,7.980052165767756378e+02
1.336683417085427195e+01,8.208276170410719033e+02
1.346733668341708601e+01,8.449365682054266244e+02
1.356783919597990007e+01,8.682000493794396334e+02
1.366834170854271413e+01,8.888040797781735591e+02
1.376884422110552819e+01,9.057557897127741171e+02
1.386934673366834225e+01,9.189648779839220651e+02
1.396984924623115631e+01,9.289574629538731187e+02
1.407035175879397038e+01,9.364796045946270624e+02
1.417085427135678444e+01,9.422058022841468983e+02
1.427135678391959850e+01,9.466192373814177472e+02
1.437185929648241256e+01,9.500264824357446969e+02
1.447236180904522662e+01,9.526315422054908595e+02
1.457286432160804068e+01,9.546048903593570003e+02
1.467336683417085474e+01,9.561232364927219578e+02
1.477386934673366881e+01,9.573963234167204064e+02
1.487437185929648287e+01,9.587037419471214434e+02
1.497487437185929693e+01,9.604445225156654260e+02
1.507537688442211099e+01,9.631883695086629587e+02
1.517587939698492505e+01,9.677229129003551407e+02
1.527638190954773911e+01,9.750883985622550654e+02
1.537688442211055317e+01,9.865538225938076948e+02
1.547738693467336724e+01,1.003443778132140437e+03
1.557788944723618130e+01,1.026753159852035651e+03
1.567839195979899536e+01,1.056624373704389200e+03
1.577889447236180942e+01,1.091927478369726941e+03
1.587939698492462348e+01,1.130239820384797213e+03
1.597989949748743754e+01,1.168380694571963886e+03
1.608040201005025338e+01,1.203331472342025108e+03
1.618090452261306567e+01,1.233076916171437915e+03
1.628140703517588150e+01,1.256933417175493787e+03
1.638190954773869379e+01,1.275309459645995958e+03
1.648241206030150963e+01,1.289185118888666693e+03
1.658291457286432191e+01,1.299640644947714009e+03
1.668341708542713775e+01,1.307589564204640737e+03
1.678391959798995003e+01,1.313708234063527243e+03
1.688442211055276587e+01,1.318482273217026886e+03
1.698492462311557816e+01,1.322287245483965307e+03
1.708542713567839400e+01,1.325456766197985644e+03
1.718592964824120628e+01,1.328336158383365500e+03
1.728643216080402212e+01,1.331341137294243254e+03
1.738693467336683440e+01,1.335033962776569524e+03
